CE2	NTV20001025.1530.1273-CE1
CE3	NTV20001025.1530.1273-CE2
CE4	NTV20001025.1530.1273-CE3
CE1	NTV20001025.1530.1273-CE4
CE5	NTV20001025.1530.1273-CE5
CE6	NTV20001025.1530.1273-CE6
CE7	NTV20001025.1530.1273-CE7
CE8	NTV20001025.1530.1273-CE8
CE9	NTV20001025.1530.1273-CE9
E15	NTV20001025.1530.1273-E1
E1	NTV20001025.1530.1273-E2
E2	NTV20001025.1530.1273-E3
E4	NTV20001025.1530.1273-E4
E5	NTV20001025.1530.1273-E5
E6	NTV20001025.1530.1273-E6
E7	NTV20001025.1530.1273-E7
E8	NTV20001025.1530.1273-E8
E9	NTV20001025.1530.1273-E9
E10	NTV20001025.1530.1273-E10
E11	NTV20001025.1530.1273-E11
E12	NTV20001025.1530.1273-E12
EM1	NTV20001025.1530.1273-E2-1
EM19	NTV20001025.1530.1273-E6-2
EM2	NTV20001025.1530.1273-E1-3
EM3	NTV20001025.1530.1273-E3-4
EM4	NTV20001025.1530.1273-E4-5
EM5	NTV20001025.1530.1273-E5-6
EM6	NTV20001025.1530.1273-E5-7
EM7	NTV20001025.1530.1273-E7-8
EM8	NTV20001025.1530.1273-E8-9
EM9	NTV20001025.1530.1273-E9-10
EM10	NTV20001025.1530.1273-E11-11
EM11	NTV20001025.1530.1273-E10-12
EM12	NTV20001025.1530.1273-E3-13
EM13	NTV20001025.1530.1273-E3-14
EM14	NTV20001025.1530.1273-E3-15
EM15	NTV20001025.1530.1273-E12-16
EM16	NTV20001025.1530.1273-E12-17
EM17	NTV20001025.1530.1273-E5-18
EM18	NTV20001025.1530.1273-E3-19
R2	NTV20001025.1530.1273-R1
R3	NTV20001025.1530.1273-R2
R1	NTV20001025.1530.1273-R3
RM2	NTV20001025.1530.1273-R1-1
RM3	NTV20001025.1530.1273-R2-1
RM1	NTV20001025.1530.1273-R3-1
V1	NTV20001025.1530.1273-EV1
V3	NTV20001025.1530.1273-EV2
V4	NTV20001025.1530.1273-EV3
V2	NTV20001025.1530.1273-EV4
V5	NTV20001025.1530.1273-EV5
VM1	NTV20001025.1530.1273-EV1-1
VM3	NTV20001025.1530.1273-EV2-1
VM4	NTV20001025.1530.1273-EV3-1
VM5	NTV20001025.1530.1273-EV5-1
VM2	NTV20001025.1530.1273-EV4-1
Q1	NTV20001025.1530.1273-T1
Q2	NTV20001025.1530.1273-T2
Q3	NTV20001025.1530.1273-T3
Q4	NTV20001025.1530.1273-T4
