CE7	VAR20001128.1100.1366-CE1
CE8	VAR20001128.1100.1366-CE2
CE2	VAR20001128.1100.1366-CE3
CE1	VAR20001128.1100.1366-CE4
CE3	VAR20001128.1100.1366-CE5
CE5	VAR20001128.1100.1366-CE6
CE4	VAR20001128.1100.1366-CE7
CE6	VAR20001128.1100.1366-CE8
E12	VAR20001128.1100.1366-E1
E13	VAR20001128.1100.1366-E2
E14	VAR20001128.1100.1366-E3
E1	VAR20001128.1100.1366-E4
E4	VAR20001128.1100.1366-E5
E5	VAR20001128.1100.1366-E6
E6	VAR20001128.1100.1366-E7
E17	VAR20001128.1100.1366-E8
E7	VAR20001128.1100.1366-E9
E9	VAR20001128.1100.1366-E10
E10	VAR20001128.1100.1366-E11
E11	VAR20001128.1100.1366-E12
EM1	VAR20001128.1100.1366-E4-1
EM17	VAR20001128.1100.1366-E11-2
EM18	VAR20001128.1100.1366-E11-3
EM19	VAR20001128.1100.1366-E4-4
EM20	VAR20001128.1100.1366-E1-5
EM21	VAR20001128.1100.1366-E11-6
EM22	VAR20001128.1100.1366-E2-7
EM23	VAR20001128.1100.1366-E6-8
EM24	VAR20001128.1100.1366-E3-9
EM2	VAR20001128.1100.1366-E5-10
EM8	VAR20001128.1100.1366-E8-11
EM3	VAR20001128.1100.1366-E7-12
EM4	VAR20001128.1100.1366-E6-13
EM25	VAR20001128.1100.1366-E6-14
EM5	VAR20001128.1100.1366-E6-15
EM7	VAR20001128.1100.1366-E9-16
EM9	VAR20001128.1100.1366-E6-17
EM10	VAR20001128.1100.1366-E6-18
EM11	VAR20001128.1100.1366-E10-19
EM12	VAR20001128.1100.1366-E10-20
EM13	VAR20001128.1100.1366-E4-21
EM6	VAR20001128.1100.1366-E10-22
EM14	VAR20001128.1100.1366-E11-23
EM15	VAR20001128.1100.1366-E11-24
EM16	VAR20001128.1100.1366-E12-25
R1	VAR20001128.1100.1366-R1
R2	VAR20001128.1100.1366-R2
R3	VAR20001128.1100.1366-R3
RM1	VAR20001128.1100.1366-R1-1
RM2	VAR20001128.1100.1366-R2-1
RM3	VAR20001128.1100.1366-R3-1
Q1	VAR20001128.1100.1366-T1
Q3	VAR20001128.1100.1366-T2
Q4	VAR20001128.1100.1366-V1
Q2	VAR20001128.1100.1366-T3
QM4	VAR20001128.1100.1366-V1-1
