CE10	VAR20001102.1200.0764-CE1
CE11	VAR20001102.1200.0764-CE2
CE12	VAR20001102.1200.0764-CE3
CE13	VAR20001102.1200.0764-CE4
CE1	VAR20001102.1200.0764-CE5
CE14	VAR20001102.1200.0764-CE6
CE3	VAR20001102.1200.0764-CE7
CE4	VAR20001102.1200.0764-CE8
CE5	VAR20001102.1200.0764-CE9
CE6	VAR20001102.1200.0764-CE10
CE7	VAR20001102.1200.0764-CE11
CE8	VAR20001102.1200.0764-CE12
CE9	VAR20001102.1200.0764-CE13
E12	VAR20001102.1200.0764-E1
E13	VAR20001102.1200.0764-E2
E14	VAR20001102.1200.0764-E3
E15	VAR20001102.1200.0764-E4
E16	VAR20001102.1200.0764-E5
E1	VAR20001102.1200.0764-E6
E17	VAR20001102.1200.0764-E7
E3	VAR20001102.1200.0764-E8
E4	VAR20001102.1200.0764-E9
E5	VAR20001102.1200.0764-E10
E6	VAR20001102.1200.0764-E11
E7	VAR20001102.1200.0764-E12
E9	VAR20001102.1200.0764-E13
E10	VAR20001102.1200.0764-E14
E11	VAR20001102.1200.0764-E15
EM19	VAR20001102.1200.0764-E12-1
EM20	VAR20001102.1200.0764-E12-2
EM21	VAR20001102.1200.0764-E12-3
EM22	VAR20001102.1200.0764-E10-4
EM23	VAR20001102.1200.0764-E1-5
EM24	VAR20001102.1200.0764-E2-6
EM25	VAR20001102.1200.0764-E12-7
EM26	VAR20001102.1200.0764-E3-8
EM27	VAR20001102.1200.0764-E4-9
EM28	VAR20001102.1200.0764-E4-10
EM29	VAR20001102.1200.0764-E4-11
EM30	VAR20001102.1200.0764-E5-12
EM31	VAR20001102.1200.0764-E5-13
EM32	VAR20001102.1200.0764-E5-14
EM33	VAR20001102.1200.0764-E8-15
EM34	VAR20001102.1200.0764-E7-16
EM1	VAR20001102.1200.0764-E6-17
EM4	VAR20001102.1200.0764-E8-18
EM5	VAR20001102.1200.0764-E9-19
EM6	VAR20001102.1200.0764-E9-20
EM7	VAR20001102.1200.0764-E9-21
EM8	VAR20001102.1200.0764-E11-22
EM9	VAR20001102.1200.0764-E9-23
EM10	VAR20001102.1200.0764-E9-24
EM11	VAR20001102.1200.0764-E9-25
EM13	VAR20001102.1200.0764-E12-26
EM14	VAR20001102.1200.0764-E9-27
EM15	VAR20001102.1200.0764-E13-28
EM16	VAR20001102.1200.0764-E13-29
EM17	VAR20001102.1200.0764-E14-30
EM18	VAR20001102.1200.0764-E15-31
R1	VAR20001102.1200.0764-R1
R2	VAR20001102.1200.0764-R2
R3	VAR20001102.1200.0764-R3
RM1	VAR20001102.1200.0764-R1-1
RM2	VAR20001102.1200.0764-R2-1
RM3	VAR20001102.1200.0764-R3-1
V3	VAR20001102.1200.0764-EV1
V4	VAR20001102.1200.0764-EV2
V5	VAR20001102.1200.0764-EV3
VM3	VAR20001102.1200.0764-EV1-1
VM4	VAR20001102.1200.0764-EV2-1
VM5	VAR20001102.1200.0764-EV3-1
Q3	VAR20001102.1200.0764-T1
Q1	VAR20001102.1200.0764-T2
