CE11	AFA20001205.1800.0124-CE1
CE3	AFA20001205.1800.0124-CE2
CE13	AFA20001205.1800.0124-CE3
CE14	AFA20001205.1800.0124-CE4
CE15	AFA20001205.1800.0124-CE5
CE1	AFA20001205.1800.0124-CE6
CE16	AFA20001205.1800.0124-CE7
CE17	AFA20001205.1800.0124-CE8
CE18	AFA20001205.1800.0124-CE9
CE19	AFA20001205.1800.0124-CE10
CE2	AFA20001205.1800.0124-CE11
CE20	AFA20001205.1800.0124-CE12
CE21	AFA20001205.1800.0124-CE13
CE5	AFA20001205.1800.0124-CE14
CE12	AFA20001205.1800.0124-CE15
CE6	AFA20001205.1800.0124-CE16
CE7	AFA20001205.1800.0124-CE17
CE8	AFA20001205.1800.0124-CE18
CE4	AFA20001205.1800.0124-CE19
CE9	AFA20001205.1800.0124-CE20
CE10	AFA20001205.1800.0124-CE21
E12	AFA20001205.1800.0124-E1
E13	AFA20001205.1800.0124-E2
E16	AFA20001205.1800.0124-E3
E17	AFA20001205.1800.0124-E4
E20	AFA20001205.1800.0124-E5
E21	AFA20001205.1800.0124-E6
E22	AFA20001205.1800.0124-E7
E24	AFA20001205.1800.0124-E8
E26	AFA20001205.1800.0124-E9
E53	AFA20001205.1800.0124-E10
E31	AFA20001205.1800.0124-E11
E33	AFA20001205.1800.0124-E12
E34	AFA20001205.1800.0124-E13
E36	AFA20001205.1800.0124-E14
E37	AFA20001205.1800.0124-E15
E1	AFA20001205.1800.0124-E16
E38	AFA20001205.1800.0124-E17
E39	AFA20001205.1800.0124-E18
E40	AFA20001205.1800.0124-E19
E42	AFA20001205.1800.0124-E20
E45	AFA20001205.1800.0124-E21
E46	AFA20001205.1800.0124-E22
E47	AFA20001205.1800.0124-E23
E54	AFA20001205.1800.0124-E24
E55	AFA20001205.1800.0124-E25
E56	AFA20001205.1800.0124-E26
E57	AFA20001205.1800.0124-E27
E2	AFA20001205.1800.0124-E28
E3	AFA20001205.1800.0124-E29
E4	AFA20001205.1800.0124-E30
E7	AFA20001205.1800.0124-E31
E8	AFA20001205.1800.0124-E32
E9	AFA20001205.1800.0124-E33
E10	AFA20001205.1800.0124-E34
E11	AFA20001205.1800.0124-E35
EM1	AFA20001205.1800.0124-E16-1
EM19	AFA20001205.1800.0124-E30-2
EM20	AFA20001205.1800.0124-E2-3
EM21	AFA20001205.1800.0124-E16-4
EM22	AFA20001205.1800.0124-E23-5
EM25	AFA20001205.1800.0124-E3-6
EM24	AFA20001205.1800.0124-E4-7
EM28	AFA20001205.1800.0124-E34-8
EM27	AFA20001205.1800.0124-E23-9
EM30	AFA20001205.1800.0124-E32-10
EM31	AFA20001205.1800.0124-E5-11
EM32	AFA20001205.1800.0124-E5-12
EM33	AFA20001205.1800.0124-E6-13
EM34	AFA20001205.1800.0124-E5-14
EM35	AFA20001205.1800.0124-E7-15
EM36	AFA20001205.1800.0124-E30-16
EM39	AFA20001205.1800.0124-E8-17
EM42	AFA20001205.1800.0124-E9-18
EM29	AFA20001205.1800.0124-E10-19
EM65	AFA20001205.1800.0124-E32-20
EM44	AFA20001205.1800.0124-E11-21
EM46	AFA20001205.1800.0124-E5-22
EM47	AFA20001205.1800.0124-E9-23
EM48	AFA20001205.1800.0124-E9-24
EM41	AFA20001205.1800.0124-E32-25
EM50	AFA20001205.1800.0124-E13-26
EM52	AFA20001205.1800.0124-E14-27
EM56	AFA20001205.1800.0124-E15-28
EM58	AFA20001205.1800.0124-E17-29
EM57	AFA20001205.1800.0124-E12-30
EM59	AFA20001205.1800.0124-E18-31
EM60	AFA20001205.1800.0124-E18-32
EM61	AFA20001205.1800.0124-E19-33
EM62	AFA20001205.1800.0124-E20-34
EM63	AFA20001205.1800.0124-E34-35
EM64	AFA20001205.1800.0124-E24-36
EM72	AFA20001205.1800.0124-E34-37
EM73	AFA20001205.1800.0124-E16-38
EM75	AFA20001205.1800.0124-E21-39
EM77	AFA20001205.1800.0124-E1-40
EM76	AFA20001205.1800.0124-E22-41
EM2	AFA20001205.1800.0124-E28-42
EM68	AFA20001205.1800.0124-E25-43
EM40	AFA20001205.1800.0124-E26-44
EM37	AFA20001205.1800.0124-E32-45
EM69	AFA20001205.1800.0124-E32-46
EM70	AFA20001205.1800.0124-E32-47
EM38	AFA20001205.1800.0124-E32-48
EM51	AFA20001205.1800.0124-E12-49
EM55	AFA20001205.1800.0124-E12-50
EM49	AFA20001205.1800.0124-E12-51
EM43	AFA20001205.1800.0124-E12-52
EM26	AFA20001205.1800.0124-E27-53
EM23	AFA20001205.1800.0124-E23-54
EM74	AFA20001205.1800.0124-E32-55
EM67	AFA20001205.1800.0124-E32-56
EM66	AFA20001205.1800.0124-E32-57
EM71	AFA20001205.1800.0124-E32-58
EM45	AFA20001205.1800.0124-E5-59
EM54	AFA20001205.1800.0124-E12-60
EM53	AFA20001205.1800.0124-E12-61
EM3	AFA20001205.1800.0124-E29-62
EM4	AFA20001205.1800.0124-E29-63
EM7	AFA20001205.1800.0124-E31-64
EM9	AFA20001205.1800.0124-E16-65
EM10	AFA20001205.1800.0124-E32-66
EM11	AFA20001205.1800.0124-E32-67
EM13	AFA20001205.1800.0124-E33-68
EM14	AFA20001205.1800.0124-E32-69
EM12	AFA20001205.1800.0124-E34-70
EM5	AFA20001205.1800.0124-E30-71
EM6	AFA20001205.1800.0124-E30-72
EM8	AFA20001205.1800.0124-E35-73
EM15	AFA20001205.1800.0124-E32-74
EM16	AFA20001205.1800.0124-E34-75
EM17	AFA20001205.1800.0124-E32-76
EM18	AFA20001205.1800.0124-E1-77
R5	AFA20001205.1800.0124-R1
R1	AFA20001205.1800.0124-R2
R2	AFA20001205.1800.0124-R3
R3	AFA20001205.1800.0124-R4
R4	AFA20001205.1800.0124-R5
R7	AFA20001205.1800.0124-R6
R8	AFA20001205.1800.0124-R7
R9	AFA20001205.1800.0124-R8
R11	AFA20001205.1800.0124-R9
RM5	AFA20001205.1800.0124-R1-1
RM1	AFA20001205.1800.0124-R2-1
RM2	AFA20001205.1800.0124-R3-1
RM3	AFA20001205.1800.0124-R4-1
RM4	AFA20001205.1800.0124-R5-1
RM7	AFA20001205.1800.0124-R6-1
RM8	AFA20001205.1800.0124-R7-1
RM9	AFA20001205.1800.0124-R8-1
RM11	AFA20001205.1800.0124-R9-1
V7	AFA20001205.1800.0124-EV1
V1	AFA20001205.1800.0124-EV2
V4	AFA20001205.1800.0124-EV3
V5	AFA20001205.1800.0124-EV4
V2	AFA20001205.1800.0124-EV5
V3	AFA20001205.1800.0124-EV6
V6	AFA20001205.1800.0124-EV7
V8	AFA20001205.1800.0124-EV8
V9	AFA20001205.1800.0124-EV9
V10	AFA20001205.1800.0124-EV10
V11	AFA20001205.1800.0124-EV11
V12	AFA20001205.1800.0124-EV12
VM7	AFA20001205.1800.0124-EV1-1
VM4	AFA20001205.1800.0124-EV3-1
VM1	AFA20001205.1800.0124-EV2-1
VM5	AFA20001205.1800.0124-EV4-1
VM2	AFA20001205.1800.0124-EV5-1
VM3	AFA20001205.1800.0124-EV6-1
VM6	AFA20001205.1800.0124-EV7-1
VM8	AFA20001205.1800.0124-EV8-1
VM9	AFA20001205.1800.0124-EV9-1
VM10	AFA20001205.1800.0124-EV10-1
VM11	AFA20001205.1800.0124-EV11-1
VM12	AFA20001205.1800.0124-EV12-1
Q5	AFA20001205.1800.0124-T1
Q4	AFA20001205.1800.0124-T2
Q6	AFA20001205.1800.0124-T3
Q1	AFA20001205.1800.0124-T4
Q2	AFA20001205.1800.0124-T5
Q3	AFA20001205.1800.0124-T6
