CE10	ALH20001115.0700.0047-CE1
CE11	ALH20001115.0700.0047-CE2
CE12	ALH20001115.0700.0047-CE3
CE13	ALH20001115.0700.0047-CE4
CE1	ALH20001115.0700.0047-CE5
CE14	ALH20001115.0700.0047-CE6
CE15	ALH20001115.0700.0047-CE7
CE17	ALH20001115.0700.0047-CE8
CE18	ALH20001115.0700.0047-CE9
CE19	ALH20001115.0700.0047-CE10
CE5	ALH20001115.0700.0047-CE11
CE20	ALH20001115.0700.0047-CE12
CE16	ALH20001115.0700.0047-CE13
CE21	ALH20001115.0700.0047-CE14
CE22	ALH20001115.0700.0047-CE15
CE23	ALH20001115.0700.0047-CE16
CE24	ALH20001115.0700.0047-CE17
CE25	ALH20001115.0700.0047-CE18
CE27	ALH20001115.0700.0047-CE19
CE2	ALH20001115.0700.0047-CE20
CE3	ALH20001115.0700.0047-CE21
CE4	ALH20001115.0700.0047-CE22
CE6	ALH20001115.0700.0047-CE23
CE7	ALH20001115.0700.0047-CE24
CE8	ALH20001115.0700.0047-CE25
CE26	ALH20001115.0700.0047-CE26
CE9	ALH20001115.0700.0047-CE27
E12	ALH20001115.0700.0047-E1
E14	ALH20001115.0700.0047-E2
E15	ALH20001115.0700.0047-E3
E16	ALH20001115.0700.0047-E4
E18	ALH20001115.0700.0047-E5
E19	ALH20001115.0700.0047-E6
E20	ALH20001115.0700.0047-E7
E39	ALH20001115.0700.0047-E8
E21	ALH20001115.0700.0047-E9
E22	ALH20001115.0700.0047-E10
E24	ALH20001115.0700.0047-E11
E25	ALH20001115.0700.0047-E12
E26	ALH20001115.0700.0047-E13
E27	ALH20001115.0700.0047-E14
E28	ALH20001115.0700.0047-E15
E30	ALH20001115.0700.0047-E16
E31	ALH20001115.0700.0047-E17
E33	ALH20001115.0700.0047-E18
E34	ALH20001115.0700.0047-E19
E35	ALH20001115.0700.0047-E20
E40	ALH20001115.0700.0047-E21
E1	ALH20001115.0700.0047-E22
E2	ALH20001115.0700.0047-E23
E3	ALH20001115.0700.0047-E24
E5	ALH20001115.0700.0047-E25
E37	ALH20001115.0700.0047-E26
E7	ALH20001115.0700.0047-E27
E8	ALH20001115.0700.0047-E28
