CE9	ANN20001212.0900.0071-CE1
CE10	ANN20001212.0900.0071-CE2
CE11	ANN20001212.0900.0071-CE3
CE12	ANN20001212.0900.0071-CE4
CE13	ANN20001212.0900.0071-CE5
CE14	ANN20001212.0900.0071-CE6
CE17	ANN20001212.0900.0071-CE7
CE6	ANN20001212.0900.0071-CE8
CE15	ANN20001212.0900.0071-CE9
CE16	ANN20001212.0900.0071-CE10
CE18	ANN20001212.0900.0071-CE11
CE19	ANN20001212.0900.0071-CE12
CE2	ANN20001212.0900.0071-CE13
CE3	ANN20001212.0900.0071-CE14
CE4	ANN20001212.0900.0071-CE15
CE5	ANN20001212.0900.0071-CE16
CE1	ANN20001212.0900.0071-CE17
CE8	ANN20001212.0900.0071-CE18
CE7	ANN20001212.0900.0071-CE19
E11	ANN20001212.0900.0071-E1
E12	ANN20001212.0900.0071-E2
E13	ANN20001212.0900.0071-E3
E14	ANN20001212.0900.0071-E4
E31	ANN20001212.0900.0071-E5
E15	ANN20001212.0900.0071-E6
E16	ANN20001212.0900.0071-E7
E17	ANN20001212.0900.0071-E8
E18	ANN20001212.0900.0071-E9
E20	ANN20001212.0900.0071-E10
E23	ANN20001212.0900.0071-E11
E24	ANN20001212.0900.0071-E12
E34	ANN20001212.0900.0071-E13
E25	ANN20001212.0900.0071-E14
E26	ANN20001212.0900.0071-E15
E27	ANN20001212.0900.0071-E16
E28	ANN20001212.0900.0071-E17
E35	ANN20001212.0900.0071-E18
E1	ANN20001212.0900.0071-E19
E2	ANN20001212.0900.0071-E20
E3	ANN20001212.0900.0071-E21
E4	ANN20001212.0900.0071-E22
E5	ANN20001212.0900.0071-E23
E7	ANN20001212.0900.0071-E24
E29	ANN20001212.0900.0071-E25
E10	ANN20001212.0900.0071-E26
EM20	ANN20001212.0900.0071-E1-1
EM19	ANN20001212.0900.0071-E1-2
EM21	ANN20001212.0900.0071-E2-3
EM22	ANN20001212.0900.0071-E3-4
EM23	ANN20001212.0900.0071-E4-5
EM24	ANN20001212.0900.0071-E2-6
EM25	ANN20001212.0900.0071-E6-7
EM26	ANN20001212.0900.0071-E6-8
EM28	ANN20001212.0900.0071-E7-9
EM27	ANN20001212.0900.0071-E8-10
EM29	ANN20001212.0900.0071-E9-11
EM31	ANN20001212.0900.0071-E21-12
EM32	ANN20001212.0900.0071-E6-13
EM30	ANN20001212.0900.0071-E22-14
EM33	ANN20001212.0900.0071-E22-15
EM34	ANN20001212.0900.0071-E22-16
EM51	ANN20001212.0900.0071-E25-17
EM50	ANN20001212.0900.0071-E13-18
EM11	ANN20001212.0900.0071-E11-19
EM12	ANN20001212.0900.0071-E10-20
EM37	ANN20001212.0900.0071-E12-21
EM38	ANN20001212.0900.0071-E26-22
EM39	ANN20001212.0900.0071-E22-23
EM40	ANN20001212.0900.0071-E10-24
EM41	ANN20001212.0900.0071-E10-25
EM42	ANN20001212.0900.0071-E22-26
EM43	ANN20001212.0900.0071-E22-27
EM44	ANN20001212.0900.0071-E22-28
EM45	ANN20001212.0900.0071-E22-29
EM49	ANN20001212.0900.0071-E22-30
EM46	ANN20001212.0900.0071-E14-31
EM35	ANN20001212.0900.0071-E18-32
EM47	ANN20001212.0900.0071-E14-33
EM52	ANN20001212.0900.0071-E15-34
