CE13	AFA20001018.1400.0130-CE1
CE14	AFA20001018.1400.0130-CE2
CE15	AFA20001018.1400.0130-CE3
CE16	AFA20001018.1400.0130-CE4
CE18	AFA20001018.1400.0130-CE5
CE19	AFA20001018.1400.0130-CE6
CE20	AFA20001018.1400.0130-CE7
CE22	AFA20001018.1400.0130-CE8
CE23	AFA20001018.1400.0130-CE9
CE26	AFA20001018.1400.0130-CE10
CE27	AFA20001018.1400.0130-CE11
CE28	AFA20001018.1400.0130-CE12
CE29	AFA20001018.1400.0130-CE13
CE30	AFA20001018.1400.0130-CE14
CE1	AFA20001018.1400.0130-CE15
CE2	AFA20001018.1400.0130-CE16
CE3	AFA20001018.1400.0130-CE17
CE4	AFA20001018.1400.0130-CE18
CE5	AFA20001018.1400.0130-CE19
CE7	AFA20001018.1400.0130-CE20
CE8	AFA20001018.1400.0130-CE21
CE9	AFA20001018.1400.0130-CE22
CE10	AFA20001018.1400.0130-CE23
CE11	AFA20001018.1400.0130-CE24
CE12	AFA20001018.1400.0130-CE25
E14	AFA20001018.1400.0130-E1
E15	AFA20001018.1400.0130-E2
E16	AFA20001018.1400.0130-E3
E17	AFA20001018.1400.0130-E4
E19	AFA20001018.1400.0130-E5
E20	AFA20001018.1400.0130-E6
E21	AFA20001018.1400.0130-E7
E24	AFA20001018.1400.0130-E8
E26	AFA20001018.1400.0130-E9
E31	AFA20001018.1400.0130-E10
E32	AFA20001018.1400.0130-E11
E33	AFA20001018.1400.0130-E12
E34	AFA20001018.1400.0130-E13
E35	AFA20001018.1400.0130-E14
E1	AFA20001018.1400.0130-E15
E2	AFA20001018.1400.0130-E16
E3	AFA20001018.1400.0130-E17
E4	AFA20001018.1400.0130-E18
E5	AFA20001018.1400.0130-E19
E8	AFA20001018.1400.0130-E20
E9	AFA20001018.1400.0130-E21
E10	AFA20001018.1400.0130-E22
E11	AFA20001018.1400.0130-E23
E12	AFA20001018.1400.0130-E24
E13	AFA20001018.1400.0130-E25
EM1	AFA20001018.1400.0130-E15-1
EM18	AFA20001018.1400.0130-E23-2
EM19	AFA20001018.1400.0130-E2-3
EM20	AFA20001018.1400.0130-E1-4
EM21	AFA20001018.1400.0130-E3-5
EM22	AFA20001018.1400.0130-E4-6
EM24	AFA20001018.1400.0130-E5-7
EM25	AFA20001018.1400.0130-E6-8
EM26	AFA20001018.1400.0130-E7-9
EM28	AFA20001018.1400.0130-E8-10
EM29	AFA20001018.1400.0130-E9-11
EM32	AFA20001018.1400.0130-E10-12
EM33	AFA20001018.1400.0130-E11-13
EM34	AFA20001018.1400.0130-E12-14
EM35	AFA20001018.1400.0130-E13-15
EM37	AFA20001018.1400.0130-E14-16
EM2	AFA20001018.1400.0130-E16-17
EM3	AFA20001018.1400.0130-E17-18
EM4	AFA20001018.1400.0130-E18-19
EM5	AFA20001018.1400.0130-E19-20
EM6	AFA20001018.1400.0130-E14-21
EM7	AFA20001018.1400.0130-E20-22
EM8	AFA20001018.1400.0130-E15-23
EM9	AFA20001018.1400.0130-E21-24
EM10	AFA20001018.1400.0130-E15-25
EM11	AFA20001018.1400.0130-E16-26
EM13	AFA20001018.1400.0130-E22-27
EM14	AFA20001018.1400.0130-E23-28
EM15	AFA20001018.1400.0130-E24-29
EM16	AFA20001018.1400.0130-E25-30
EM17	AFA20001018.1400.0130-E1-31
R12	AFA20001018.1400.0130-R1
R13	AFA20001018.1400.0130-R2
R1	AFA20001018.1400.0130-R3
R2	AFA20001018.1400.0130-R4
R6	AFA20001018.1400.0130-R5
R7	AFA20001018.1400.0130-R6
R10	AFA20001018.1400.0130-R7
R11	AFA20001018.1400.0130-R8
RM13	AFA20001018.1400.0130-R1-1
RM14	AFA20001018.1400.0130-R2-1
RM1	AFA20001018.1400.0130-R3-1
RM2	AFA20001018.1400.0130-R4-1
RM6	AFA20001018.1400.0130-R5-1
RM7	AFA20001018.1400.0130-R6-1
RM11	AFA20001018.1400.0130-R7-1
RM12	AFA20001018.1400.0130-R8-1
V1	AFA20001018.1400.0130-EV1
V2	AFA20001018.1400.0130-EV2
V3	AFA20001018.1400.0130-EV3
V4	AFA20001018.1400.0130-EV4
V5	AFA20001018.1400.0130-EV5
VM1	AFA20001018.1400.0130-EV1-1
VM3	AFA20001018.1400.0130-EV2-1
VM4	AFA20001018.1400.0130-EV3-1
VM5	AFA20001018.1400.0130-EV4-1
VM6	AFA20001018.1400.0130-EV5-1
Q1	AFA20001018.1400.0130-T1
Q3	AFA20001018.1400.0130-T2
Q4	AFA20001018.1400.0130-T3
