CE8	ANN20001124.1500.0090-CE1
CE10	ANN20001124.1500.0090-CE2
CE11	ANN20001124.1500.0090-CE3
CE12	ANN20001124.1500.0090-CE4
CE13	ANN20001124.1500.0090-CE5
CE14	ANN20001124.1500.0090-CE6
CE15	ANN20001124.1500.0090-CE7
CE16	ANN20001124.1500.0090-CE8
CE17	ANN20001124.1500.0090-CE9
CE18	ANN20001124.1500.0090-CE10
CE19	ANN20001124.1500.0090-CE11
CE20	ANN20001124.1500.0090-CE12
CE21	ANN20001124.1500.0090-CE13
CE1	ANN20001124.1500.0090-CE14
CE2	ANN20001124.1500.0090-CE15
CE3	ANN20001124.1500.0090-CE16
CE4	ANN20001124.1500.0090-CE17
CE6	ANN20001124.1500.0090-CE18
CE7	ANN20001124.1500.0090-CE19
E9	ANN20001124.1500.0090-E1
E11	ANN20001124.1500.0090-E2
E12	ANN20001124.1500.0090-E3
E13	ANN20001124.1500.0090-E4
E14	ANN20001124.1500.0090-E5
E15	ANN20001124.1500.0090-E6
E16	ANN20001124.1500.0090-E7
E17	ANN20001124.1500.0090-E8
E18	ANN20001124.1500.0090-E9
E19	ANN20001124.1500.0090-E10
E20	ANN20001124.1500.0090-E11
E21	ANN20001124.1500.0090-E12
E22	ANN20001124.1500.0090-E13
E23	ANN20001124.1500.0090-E14
E24	ANN20001124.1500.0090-E15
E1	ANN20001124.1500.0090-E16
E2	ANN20001124.1500.0090-E17
E3	ANN20001124.1500.0090-E18
E4	ANN20001124.1500.0090-E19
E5	ANN20001124.1500.0090-E20
E7	ANN20001124.1500.0090-E21
E8	ANN20001124.1500.0090-E22
EM23	ANN20001124.1500.0090-E16-1
EM24	ANN20001124.1500.0090-E16-2
EM25	ANN20001124.1500.0090-E17-3
EM29	ANN20001124.1500.0090-E17-4
EM30	ANN20001124.1500.0090-E1-5
EM68	ANN20001124.1500.0090-E16-6
EM32	ANN20001124.1500.0090-E16-7
EM35	ANN20001124.1500.0090-E3-8
EM36	ANN20001124.1500.0090-E4-9
EM37	ANN20001124.1500.0090-E5-10
EM38	ANN20001124.1500.0090-E16-11
EM39	ANN20001124.1500.0090-E16-12
EM40	ANN20001124.1500.0090-E16-13
EM41	ANN20001124.1500.0090-E16-14
EM42	ANN20001124.1500.0090-E6-15
EM43	ANN20001124.1500.0090-E17-16
EM44	ANN20001124.1500.0090-E17-17
EM45	ANN20001124.1500.0090-E7-18
EM46	ANN20001124.1500.0090-E16-19
EM47	ANN20001124.1500.0090-E6-20
EM48	ANN20001124.1500.0090-E8-21
EM49	ANN20001124.1500.0090-E17-22
EM50	ANN20001124.1500.0090-E16-23
EM51	ANN20001124.1500.0090-E9-24
EM52	ANN20001124.1500.0090-E16-25
EM53	ANN20001124.1500.0090-E16-26
EM54	ANN20001124.1500.0090-E2-27
EM55	ANN20001124.1500.0090-E2-28
EM56	ANN20001124.1500.0090-E2-29
EM57	ANN20001124.1500.0090-E10-30
EM58	ANN20001124.1500.0090-E11-31
EM59	ANN20001124.1500.0090-E2-32
EM60	ANN20001124.1500.0090-E8-33
EM61	ANN20001124.1500.0090-E12-34
EM62	ANN20001124.1500.0090-E13-35
EM63	ANN20001124.1500.0090-E12-36
EM64	ANN20001124.1500.0090-E14-37
EM65	ANN20001124.1500.0090-E15-38
EM66	ANN20001124.1500.0090-E16-39
EM67	ANN20001124.1500.0090-E8-40
EM1	ANN20001124.1500.0090-E16-41
EM69	ANN20001124.1500.0090-E2-42
EM2	ANN20001124.1500.0090-E16-43
EM3	ANN20001124.1500.0090-E16-44
EM4	ANN20001124.1500.0090-E17-45
EM5	ANN20001124.1500.0090-E18-46
EM6	ANN20001124.1500.0090-E17-47
EM7	ANN20001124.1500.0090-E19-48
EM8	ANN20001124.1500.0090-E20-49
EM9	ANN20001124.1500.0090-E17-50
EM10	ANN20001124.1500.0090-E17-51
EM27	ANN20001124.1500.0090-E16-52
EM28	ANN20001124.1500.0090-E17-53
EM12	ANN20001124.1500.0090-E21-54
EM13	ANN20001124.1500.0090-E16-55
