CE11	ALH20001114.0100.0020-CE1
CE12	ALH20001114.0100.0020-CE2
CE13	ALH20001114.0100.0020-CE3
CE18	ALH20001114.0100.0020-CE4
CE19	ALH20001114.0100.0020-CE5
CE20	ALH20001114.0100.0020-CE6
CE21	ALH20001114.0100.0020-CE7
CE22	ALH20001114.0100.0020-CE8
CE23	ALH20001114.0100.0020-CE9
CE24	ALH20001114.0100.0020-CE10
CE25	ALH20001114.0100.0020-CE11
CE26	ALH20001114.0100.0020-CE12
CE27	ALH20001114.0100.0020-CE13
CE28	ALH20001114.0100.0020-CE14
CE29	ALH20001114.0100.0020-CE15
CE30	ALH20001114.0100.0020-CE16
CE31	ALH20001114.0100.0020-CE17
CE33	ALH20001114.0100.0020-CE18
CE34	ALH20001114.0100.0020-CE19
CE35	ALH20001114.0100.0020-CE20
CE37	ALH20001114.0100.0020-CE21
CE38	ALH20001114.0100.0020-CE22
CE39	ALH20001114.0100.0020-CE23
CE40	ALH20001114.0100.0020-CE24
CE41	ALH20001114.0100.0020-CE25
CE42	ALH20001114.0100.0020-CE26
CE43	ALH20001114.0100.0020-CE27
CE44	ALH20001114.0100.0020-CE28
CE46	ALH20001114.0100.0020-CE29
CE47	ALH20001114.0100.0020-CE30
CE48	ALH20001114.0100.0020-CE31
CE49	ALH20001114.0100.0020-CE32
CE50	ALH20001114.0100.0020-CE33
CE51	ALH20001114.0100.0020-CE34
CE52	ALH20001114.0100.0020-CE35
CE53	ALH20001114.0100.0020-CE36
CE54	ALH20001114.0100.0020-CE37
CE55	ALH20001114.0100.0020-CE38
CE56	ALH20001114.0100.0020-CE39
CE57	ALH20001114.0100.0020-CE40
CE58	ALH20001114.0100.0020-CE41
CE59	ALH20001114.0100.0020-CE42
CE61	ALH20001114.0100.0020-CE43
CE62	ALH20001114.0100.0020-CE44
CE63	ALH20001114.0100.0020-CE45
CE65	ALH20001114.0100.0020-CE46
CE66	ALH20001114.0100.0020-CE47
CE67	ALH20001114.0100.0020-CE48
CE68	ALH20001114.0100.0020-CE49
CE69	ALH20001114.0100.0020-CE50
CE70	ALH20001114.0100.0020-CE51
CE71	ALH20001114.0100.0020-CE52
CE72	ALH20001114.0100.0020-CE53
CE74	ALH20001114.0100.0020-CE54
CE75	ALH20001114.0100.0020-CE55
CE76	ALH20001114.0100.0020-CE56
CE3	ALH20001114.0100.0020-CE57
CE78	ALH20001114.0100.0020-CE58
CE79	ALH20001114.0100.0020-CE59
CE4	ALH20001114.0100.0020-CE60
CE5	ALH20001114.0100.0020-CE61
CE6	ALH20001114.0100.0020-CE62
CE7	ALH20001114.0100.0020-CE63
CE8	ALH20001114.0100.0020-CE64
CE9	ALH20001114.0100.0020-CE65
CE10	ALH20001114.0100.0020-CE66
E12	ALH20001114.0100.0020-E1
E13	ALH20001114.0100.0020-E2
E14	ALH20001114.0100.0020-E3
E20	ALH20001114.0100.0020-E4
E25	ALH20001114.0100.0020-E5
E26	ALH20001114.0100.0020-E6
E27	ALH20001114.0100.0020-E7
E29	ALH20001114.0100.0020-E8
E30	ALH20001114.0100.0020-E9
E31	ALH20001114.0100.0020-E10
E32	ALH20001114.0100.0020-E11
E33	ALH20001114.0100.0020-E12
E34	ALH20001114.0100.0020-E13
E35	ALH20001114.0100.0020-E14
E36	ALH20001114.0100.0020-E15
E37	ALH20001114.0100.0020-E16
E38	ALH20001114.0100.0020-E17
E39	ALH20001114.0100.0020-E18
E41	ALH20001114.0100.0020-E19
E42	ALH20001114.0100.0020-E20
E43	ALH20001114.0100.0020-E21
E45	ALH20001114.0100.0020-E22
E46	ALH20001114.0100.0020-E23
E47	ALH20001114.0100.0020-E24
E48	ALH20001114.0100.0020-E25
E49	ALH20001114.0100.0020-E26
E50	ALH20001114.0100.0020-E27
E51	ALH20001114.0100.0020-E28
E52	ALH20001114.0100.0020-E29
E56	ALH20001114.0100.0020-E30
E57	ALH20001114.0100.0020-E31
E58	ALH20001114.0100.0020-E32
E59	ALH20001114.0100.0020-E33
E60	ALH20001114.0100.0020-E34
E61	ALH20001114.0100.0020-E35
E62	ALH20001114.0100.0020-E36
E63	ALH20001114.0100.0020-E37
E64	ALH20001114.0100.0020-E38
E65	ALH20001114.0100.0020-E39
E66	ALH20001114.0100.0020-E40
E67	ALH20001114.0100.0020-E41
E68	ALH20001114.0100.0020-E42
E69	ALH20001114.0100.0020-E43
E70	ALH20001114.0100.0020-E44
E72	ALH20001114.0100.0020-E45
E73	ALH20001114.0100.0020-E46
E74	ALH20001114.0100.0020-E47
E76	ALH20001114.0100.0020-E48
E77	ALH20001114.0100.0020-E49
E78	ALH20001114.0100.0020-E50
E79	ALH20001114.0100.0020-E51
E80	ALH20001114.0100.0020-E52
E81	ALH20001114.0100.0020-E53
E82	ALH20001114.0100.0020-E54
E83	ALH20001114.0100.0020-E55
E3	ALH20001114.0100.0020-E56
E85	ALH20001114.0100.0020-E57
E86	ALH20001114.0100.0020-E58
E87	ALH20001114.0100.0020-E59
E89	ALH20001114.0100.0020-E60
E90	ALH20001114.0100.0020-E61
E4	ALH20001114.0100.0020-E62
E5	ALH20001114.0100.0020-E63
E6	ALH20001114.0100.0020-E64
E7	ALH20001114.0100.0020-E65
E8	ALH20001114.0100.0020-E66
E9	ALH20001114.0100.0020-E67
E10	ALH20001114.0100.0020-E68
E11	ALH20001114.0100.0020-E69
EM21	ALH20001114.0100.0020-E1-1
EM22	ALH20001114.0100.0020-E2-2
EM23	ALH20001114.0100.0020-E2-3
EM265	ALH20001114.0100.0020-E66-4
EM32	ALH20001114.0100.0020-E4-5
EM33	ALH20001114.0100.0020-E2-6
EM35	ALH20001114.0100.0020-E5-7
EM36	ALH20001114.0100.0020-E2-8
EM37	ALH20001114.0100.0020-E2-9
EM38	ALH20001114.0100.0020-E6-10
EM39	ALH20001114.0100.0020-E7-11
EM40	ALH20001114.0100.0020-E8-12
EM218	ALH20001114.0100.0020-E52-13
EM41	ALH20001114.0100.0020-E9-14
EM42	ALH20001114.0100.0020-E66-15
EM44	ALH20001114.0100.0020-E56-16
EM45	ALH20001114.0100.0020-E10-17
EM46	ALH20001114.0100.0020-E10-18
EM47	ALH20001114.0100.0020-E11-19
EM48	ALH20001114.0100.0020-E12-20
EM49	ALH20001114.0100.0020-E13-21
EM50	ALH20001114.0100.0020-E14-22
EM51	ALH20001114.0100.0020-E11-23
EM52	ALH20001114.0100.0020-E11-24
EM53	ALH20001114.0100.0020-E11-25
EM55	ALH20001114.0100.0020-E62-26
EM54	ALH20001114.0100.0020-E15-27
EM56	ALH20001114.0100.0020-E16-28
EM57	ALH20001114.0100.0020-E17-29
EM58	ALH20001114.0100.0020-E10-30
EM59	ALH20001114.0100.0020-E18-31
EM60	ALH20001114.0100.0020-E66-32
EM61	ALH20001114.0100.0020-E66-33
EM63	ALH20001114.0100.0020-E19-34
EM64	ALH20001114.0100.0020-E64-35
EM73	ALH20001114.0100.0020-E2-36
EM74	ALH20001114.0100.0020-E66-37
EM75	ALH20001114.0100.0020-E64-38
EM76	ALH20001114.0100.0020-E64-39
EM77	ALH20001114.0100.0020-E64-40
EM78	ALH20001114.0100.0020-E64-41
EM81	ALH20001114.0100.0020-E20-42
EM82	ALH20001114.0100.0020-E21-43
