CE11	ABDULEMAM_20041226.1648-CE1
CE12	ABDULEMAM_20041226.1648-CE2
CE13	ABDULEMAM_20041226.1648-CE3
CE14	ABDULEMAM_20041226.1648-CE4
CE17	ABDULEMAM_20041226.1648-CE5
CE18	ABDULEMAM_20041226.1648-CE6
CE15	ABDULEMAM_20041226.1648-CE7
CE19	ABDULEMAM_20041226.1648-CE8
CE26	ABDULEMAM_20041226.1648-CE9
CE20	ABDULEMAM_20041226.1648-CE10
CE21	ABDULEMAM_20041226.1648-CE11
CE22	ABDULEMAM_20041226.1648-CE12
CE1	ABDULEMAM_20041226.1648-CE13
CE23	ABDULEMAM_20041226.1648-CE14
CE2	ABDULEMAM_20041226.1648-CE15
CE24	ABDULEMAM_20041226.1648-CE16
CE33	ABDULEMAM_20041226.1648-CE17
CE28	ABDULEMAM_20041226.1648-CE18
CE29	ABDULEMAM_20041226.1648-CE19
CE31	ABDULEMAM_20041226.1648-CE20
CE32	ABDULEMAM_20041226.1648-CE21
CE35	ABDULEMAM_20041226.1648-CE22
CE34	ABDULEMAM_20041226.1648-CE23
CE3	ABDULEMAM_20041226.1648-CE24
CE27	ABDULEMAM_20041226.1648-CE25
CE16	ABDULEMAM_20041226.1648-CE26
CE25	ABDULEMAM_20041226.1648-CE27
CE30	ABDULEMAM_20041226.1648-CE28
CE4	ABDULEMAM_20041226.1648-CE29
CE5	ABDULEMAM_20041226.1648-CE30
CE6	ABDULEMAM_20041226.1648-CE31
CE7	ABDULEMAM_20041226.1648-CE32
CE8	ABDULEMAM_20041226.1648-CE33
CE9	ABDULEMAM_20041226.1648-CE34
CE10	ABDULEMAM_20041226.1648-CE35
E10	ABDULEMAM_20041226.1648-E1
E11	ABDULEMAM_20041226.1648-E2
E12	ABDULEMAM_20041226.1648-E3
E13	ABDULEMAM_20041226.1648-E4
E14	ABDULEMAM_20041226.1648-E5
E15	ABDULEMAM_20041226.1648-E6
E16	ABDULEMAM_20041226.1648-E7
E17	ABDULEMAM_20041226.1648-E8
E60	ABDULEMAM_20041226.1648-E9
E21	ABDULEMAM_20041226.1648-E10
E22	ABDULEMAM_20041226.1648-E11
E1	ABDULEMAM_20041226.1648-E12
E23	ABDULEMAM_20041226.1648-E13
E24	ABDULEMAM_20041226.1648-E14
E25	ABDULEMAM_20041226.1648-E15
E26	ABDULEMAM_20041226.1648-E16
E28	ABDULEMAM_20041226.1648-E17
E30	ABDULEMAM_20041226.1648-E18
E32	ABDULEMAM_20041226.1648-E19
E63	ABDULEMAM_20041226.1648-E20
E39	ABDULEMAM_20041226.1648-E21
E40	ABDULEMAM_20041226.1648-E22
E43	ABDULEMAM_20041226.1648-E23
E44	ABDULEMAM_20041226.1648-E24
E45	ABDULEMAM_20041226.1648-E25
E46	ABDULEMAM_20041226.1648-E26
E2	ABDULEMAM_20041226.1648-E27
E50	ABDULEMAM_20041226.1648-E28
E55	ABDULEMAM_20041226.1648-E29
E56	ABDULEMAM_20041226.1648-E30
E57	ABDULEMAM_20041226.1648-E31
E58	ABDULEMAM_20041226.1648-E32
E3	ABDULEMAM_20041226.1648-E33
E4	ABDULEMAM_20041226.1648-E34
E5	ABDULEMAM_20041226.1648-E35
E6	ABDULEMAM_20041226.1648-E36
E7	ABDULEMAM_20041226.1648-E37
E8	ABDULEMAM_20041226.1648-E38
E9	ABDULEMAM_20041226.1648-E39
EM1	ABDULEMAM_20041226.1648-E12-1
EM24	ABDULEMAM_20041226.1648-E2-2
EM26	ABDULEMAM_20041226.1648-E33-3
EM25	ABDULEMAM_20041226.1648-E3-4
EM27	ABDULEMAM_20041226.1648-E33-5
EM28	ABDULEMAM_20041226.1648-E37-6
EM29	ABDULEMAM_20041226.1648-E33-7
EM30	ABDULEMAM_20041226.1648-E33-8
EM31	ABDULEMAM_20041226.1648-E4-9
EM35	ABDULEMAM_20041226.1648-E34-10
EM34	ABDULEMAM_20041226.1648-E33-11
EM32	ABDULEMAM_20041226.1648-E4-12
EM33	ABDULEMAM_20041226.1648-E4-13
EM37	ABDULEMAM_20041226.1648-E33-14
EM36	ABDULEMAM_20041226.1648-E33-15
EM60	ABDULEMAM_20041226.1648-E6-16
EM170	ABDULEMAM_20041226.1648-E25-17
EM41	ABDULEMAM_20041226.1648-E33-18
EM103	ABDULEMAM_20041226.1648-E9-19
EM43	ABDULEMAM_20041226.1648-E5-20
EM44	ABDULEMAM_20041226.1648-E6-21
EM38	ABDULEMAM_20041226.1648-E7-22
EM40	ABDULEMAM_20041226.1648-E36-23
EM46	ABDULEMAM_20041226.1648-E33-24
EM47	ABDULEMAM_20041226.1648-E34-25
EM48	ABDULEMAM_20041226.1648-E33-26
EM49	ABDULEMAM_20041226.1648-E8-27
EM50	ABDULEMAM_20041226.1648-E8-28
EM51	ABDULEMAM_20041226.1648-E8-29
EM52	ABDULEMAM_20041226.1648-E33-30
EM53	ABDULEMAM_20041226.1648-E8-31
EM54	ABDULEMAM_20041226.1648-E8-32
