CE6	ALFILFILM_20050205.0832-CE1
CE9	ALFILFILM_20050205.0832-CE2
CE10	ALFILFILM_20050205.0832-CE3
CE16	ALFILFILM_20050205.0832-CE4
CE11	ALFILFILM_20050205.0832-CE5
CE12	ALFILFILM_20050205.0832-CE6
CE13	ALFILFILM_20050205.0832-CE7
CE7	ALFILFILM_20050205.0832-CE8
CE8	ALFILFILM_20050205.0832-CE9
CE14	ALFILFILM_20050205.0832-CE10
CE15	ALFILFILM_20050205.0832-CE11
CE1	ALFILFILM_20050205.0832-CE12
CE2	ALFILFILM_20050205.0832-CE13
CE3	ALFILFILM_20050205.0832-CE14
CE4	ALFILFILM_20050205.0832-CE15
CE5	ALFILFILM_20050205.0832-CE16
E12	ALFILFILM_20050205.0832-E1
E13	ALFILFILM_20050205.0832-E2
E14	ALFILFILM_20050205.0832-E3
E32	ALFILFILM_20050205.0832-E4
E15	ALFILFILM_20050205.0832-E5
E16	ALFILFILM_20050205.0832-E6
E17	ALFILFILM_20050205.0832-E7
E18	ALFILFILM_20050205.0832-E8
E19	ALFILFILM_20050205.0832-E9
E20	ALFILFILM_20050205.0832-E10
E1	ALFILFILM_20050205.0832-E11
E23	ALFILFILM_20050205.0832-E12
E24	ALFILFILM_20050205.0832-E13
E27	ALFILFILM_20050205.0832-E14
E31	ALFILFILM_20050205.0832-E15
E2	ALFILFILM_20050205.0832-E16
E3	ALFILFILM_20050205.0832-E17
E4	ALFILFILM_20050205.0832-E18
E5	ALFILFILM_20050205.0832-E19
E6	ALFILFILM_20050205.0832-E20
E7	ALFILFILM_20050205.0832-E21
E8	ALFILFILM_20050205.0832-E22
E9	ALFILFILM_20050205.0832-E23
E10	ALFILFILM_20050205.0832-E24
EM1	ALFILFILM_20050205.0832-E11-1
EM23	ALFILFILM_20050205.0832-E1-2
EM24	ALFILFILM_20050205.0832-E21-3
EM25	ALFILFILM_20050205.0832-E21-4
EM26	ALFILFILM_20050205.0832-E23-5
EM27	ALFILFILM_20050205.0832-E2-6
EM28	ALFILFILM_20050205.0832-E2-7
EM29	ALFILFILM_20050205.0832-E23-8
EM30	ALFILFILM_20050205.0832-E21-9
EM32	ALFILFILM_20050205.0832-E21-10
EM31	ALFILFILM_20050205.0832-E21-11
EM33	ALFILFILM_20050205.0832-E3-12
EM35	ALFILFILM_20050205.0832-E23-13
EM37	ALFILFILM_20050205.0832-E23-14
EM40	ALFILFILM_20050205.0832-E19-15
EM41	ALFILFILM_20050205.0832-E23-16
EM43	ALFILFILM_20050205.0832-E5-17
EM44	ALFILFILM_20050205.0832-E6-18
EM45	ALFILFILM_20050205.0832-E7-19
EM42	ALFILFILM_20050205.0832-E5-20
EM46	ALFILFILM_20050205.0832-E7-21
EM47	ALFILFILM_20050205.0832-E8-22
EM48	ALFILFILM_20050205.0832-E7-23
EM49	ALFILFILM_20050205.0832-E8-24
EM50	ALFILFILM_20050205.0832-E8-25
EM51	ALFILFILM_20050205.0832-E7-26
EM52	ALFILFILM_20050205.0832-E6-27
EM53	ALFILFILM_20050205.0832-E7-28
EM54	ALFILFILM_20050205.0832-E8-29
EM55	ALFILFILM_20050205.0832-E7-30
EM56	ALFILFILM_20050205.0832-E7-31
EM57	ALFILFILM_20050205.0832-E6-32
EM58	ALFILFILM_20050205.0832-E7-33
EM59	ALFILFILM_20050205.0832-E7-34
EM60	ALFILFILM_20050205.0832-E19-35
EM64	ALFILFILM_20050205.0832-E9-36
EM66	ALFILFILM_20050205.0832-E10-37
EM67	ALFILFILM_20050205.0832-E23-38
EM68	ALFILFILM_20050205.0832-E23-39
EM70	ALFILFILM_20050205.0832-E23-40
EM71	ALFILFILM_20050205.0832-E23-41
EM74	ALFILFILM_20050205.0832-E19-42
EM36	ALFILFILM_20050205.0832-E12-43
EM38	ALFILFILM_20050205.0832-E13-44
EM61	ALFILFILM_20050205.0832-E19-45
EM65	ALFILFILM_20050205.0832-E14-46
EM73	ALFILFILM_20050205.0832-E19-47
EM72	ALFILFILM_20050205.0832-E15-48
EM39	ALFILFILM_20050205.0832-E13-49
EM69	ALFILFILM_20050205.0832-E13-50
EM34	ALFILFILM_20050205.0832-E12-51
EM62	ALFILFILM_20050205.0832-E23-52
EM63	ALFILFILM_20050205.0832-E23-53
EM21	ALFILFILM_20050205.0832-E11-54
EM2	ALFILFILM_20050205.0832-E17-55
EM4	ALFILFILM_20050205.0832-E16-56
EM3	ALFILFILM_20050205.0832-E18-57
EM5	ALFILFILM_20050205.0832-E19-58
EM8	ALFILFILM_20050205.0832-E20-59
EM7	ALFILFILM_20050205.0832-E22-60
EM6	ALFILFILM_20050205.0832-E19-61
EM9	ALFILFILM_20050205.0832-E11-62
EM10	ALFILFILM_20050205.0832-E23-63
EM11	ALFILFILM_20050205.0832-E11-64
EM12	ALFILFILM_20050205.0832-E24-65
EM14	ALFILFILM_20050205.0832-E23-66
EM15	ALFILFILM_20050205.0832-E23-67
EM16	ALFILFILM_20050205.0832-E19-68
EM75	ALFILFILM_20050205.0832-E4-69
EM13	ALFILFILM_20050205.0832-E19-70
EM17	ALFILFILM_20050205.0832-E19-71
EM18	ALFILFILM_20050205.0832-E23-72
EM19	ALFILFILM_20050205.0832-E19-73
EM20	ALFILFILM_20050205.0832-E23-74
EM22	ALFILFILM_20050205.0832-E11-75
R1	ALFILFILM_20050205.0832-R1
R2	ALFILFILM_20050205.0832-R2
R4	ALFILFILM_20050205.0832-R3
RM1	ALFILFILM_20050205.0832-R1-1
RM2	ALFILFILM_20050205.0832-R2-1
RM4	ALFILFILM_20050205.0832-R3-1
V2	ALFILFILM_20050205.0832-EV1
V4	ALFILFILM_20050205.0832-EV2
V5	ALFILFILM_20050205.0832-EV3
V1	ALFILFILM_20050205.0832-EV4
V3	ALFILFILM_20050205.0832-EV5
VM2	ALFILFILM_20050205.0832-EV1-1
VM4	ALFILFILM_20050205.0832-EV2-1
VM5	ALFILFILM_20050205.0832-EV3-1
VM1	ALFILFILM_20050205.0832-EV4-1
VM3	ALFILFILM_20050205.0832-EV5-1
Q1	ALFILFILM_20050205.0832-T1
