CE3	AZZAMOH_20041204.1015-CE1
CE4	AZZAMOH_20041204.1015-CE2
CE5	AZZAMOH_20041204.1015-CE3
CE24	AZZAMOH_20041204.1015-CE4
CE1	AZZAMOH_20041204.1015-CE5
CE7	AZZAMOH_20041204.1015-CE6
CE8	AZZAMOH_20041204.1015-CE7
CE9	AZZAMOH_20041204.1015-CE8
CE10	AZZAMOH_20041204.1015-CE9
CE14	AZZAMOH_20041204.1015-CE10
CE15	AZZAMOH_20041204.1015-CE11
CE17	AZZAMOH_20041204.1015-CE12
CE18	AZZAMOH_20041204.1015-CE13
CE19	AZZAMOH_20041204.1015-CE14
CE16	AZZAMOH_20041204.1015-CE15
CE20	AZZAMOH_20041204.1015-CE16
CE21	AZZAMOH_20041204.1015-CE17
CE2	AZZAMOH_20041204.1015-CE18
CE23	AZZAMOH_20041204.1015-CE19
CE25	AZZAMOH_20041204.1015-CE20
CE26	AZZAMOH_20041204.1015-CE21
CE28	AZZAMOH_20041204.1015-CE22
CE6	AZZAMOH_20041204.1015-CE23
CE11	AZZAMOH_20041204.1015-CE24
CE12	AZZAMOH_20041204.1015-CE25
CE13	AZZAMOH_20041204.1015-CE26
CE30	AZZAMOH_20041204.1015-CE27
CE22	AZZAMOH_20041204.1015-CE28
CE29	AZZAMOH_20041204.1015-CE29
CE27	AZZAMOH_20041204.1015-CE30
E4	AZZAMOH_20041204.1015-E1
E5	AZZAMOH_20041204.1015-E2
E6	AZZAMOH_20041204.1015-E3
E72	AZZAMOH_20041204.1015-E4
E58	AZZAMOH_20041204.1015-E5
E9	AZZAMOH_20041204.1015-E6
E10	AZZAMOH_20041204.1015-E7
E11	AZZAMOH_20041204.1015-E8
E12	AZZAMOH_20041204.1015-E9
E18	AZZAMOH_20041204.1015-E10
E19	AZZAMOH_20041204.1015-E11
E20	AZZAMOH_20041204.1015-E12
E21	AZZAMOH_20041204.1015-E13
E25	AZZAMOH_20041204.1015-E14
E26	AZZAMOH_20041204.1015-E15
E27	AZZAMOH_20041204.1015-E16
E29	AZZAMOH_20041204.1015-E17
E2	AZZAMOH_20041204.1015-E18
E30	AZZAMOH_20041204.1015-E19
E31	AZZAMOH_20041204.1015-E20
E32	AZZAMOH_20041204.1015-E21
E33	AZZAMOH_20041204.1015-E22
E35	AZZAMOH_20041204.1015-E23
E38	AZZAMOH_20041204.1015-E24
E39	AZZAMOH_20041204.1015-E25
E40	AZZAMOH_20041204.1015-E26
E69	AZZAMOH_20041204.1015-E27
E51	AZZAMOH_20041204.1015-E28
E52	AZZAMOH_20041204.1015-E29
E70	AZZAMOH_20041204.1015-E30
EM1	AZZAMOH_20041204.1015-E5-1
EM31	AZZAMOH_20041204.1015-E5-2
EM32	AZZAMOH_20041204.1015-E5-3
EM33	AZZAMOH_20041204.1015-E5-4
EM35	AZZAMOH_20041204.1015-E5-5
EM34	AZZAMOH_20041204.1015-E1-6
EM43	AZZAMOH_20041204.1015-E23-7
EM37	AZZAMOH_20041204.1015-E2-8
EM38	AZZAMOH_20041204.1015-E3-9
EM39	AZZAMOH_20041204.1015-E5-10
EM40	AZZAMOH_20041204.1015-E5-11
EM41	AZZAMOH_20041204.1015-E5-12
EM42	AZZAMOH_20041204.1015-E5-13
EM44	AZZAMOH_20041204.1015-E5-14
EM256	AZZAMOH_20041204.1015-E4-15
EM12	AZZAMOH_20041204.1015-E18-16
EM255	AZZAMOH_20041204.1015-E4-17
EM26	AZZAMOH_20041204.1015-E18-18
EM47	AZZAMOH_20041204.1015-E5-19
EM29	AZZAMOH_20041204.1015-E18-20
EM53	AZZAMOH_20041204.1015-E6-21
EM54	AZZAMOH_20041204.1015-E7-22
EM55	AZZAMOH_20041204.1015-E8-23
EM56	AZZAMOH_20041204.1015-E9-24
EM58	AZZAMOH_20041204.1015-E9-25
EM57	AZZAMOH_20041204.1015-E5-26
EM59	AZZAMOH_20041204.1015-E5-27
EM48	AZZAMOH_20041204.1015-E5-28
EM259	AZZAMOH_20041204.1015-E4-29
EM49	AZZAMOH_20041204.1015-E5-30
EM261	AZZAMOH_20041204.1015-E4-31
EM50	AZZAMOH_20041204.1015-E5-32
EM60	AZZAMOH_20041204.1015-E5-33
EM61	AZZAMOH_20041204.1015-E5-34
EM62	AZZAMOH_20041204.1015-E5-35
EM63	AZZAMOH_20041204.1015-E6-36
EM64	AZZAMOH_20041204.1015-E5-37
EM65	AZZAMOH_20041204.1015-E5-38
EM67	AZZAMOH_20041204.1015-E5-39
EM69	AZZAMOH_20041204.1015-E5-40
EM68	AZZAMOH_20041204.1015-E3-41
EM70	AZZAMOH_20041204.1015-E3-42
EM262	AZZAMOH_20041204.1015-E4-43
EM71	AZZAMOH_20041204.1015-E3-44
EM74	AZZAMOH_20041204.1015-E3-45
EM76	AZZAMOH_20041204.1015-E10-46
EM77	AZZAMOH_20041204.1015-E3-47
EM78	AZZAMOH_20041204.1015-E11-48
EM79	AZZAMOH_20041204.1015-E3-49
EM80	AZZAMOH_20041204.1015-E10-50
EM81	AZZAMOH_20041204.1015-E3-51
EM336	AZZAMOH_20041204.1015-E5-52
EM82	AZZAMOH_20041204.1015-E5-53
EM85	AZZAMOH_20041204.1015-E5-54
EM86	AZZAMOH_20041204.1015-E5-55
