CE3	BANYADAM_20050225.0158-CE1
CE5	BANYADAM_20050225.0158-CE2
CE4	BANYADAM_20050225.0158-CE3
CE1	BANYADAM_20050225.0158-CE4
CE2	BANYADAM_20050225.0158-CE5
E8	BANYADAM_20050225.0158-E1
E7	BANYADAM_20050225.0158-E2
E1	BANYADAM_20050225.0158-E3
E2	BANYADAM_20050225.0158-E4
E3	BANYADAM_20050225.0158-E5
EM1	BANYADAM_20050225.0158-E3-1
EM31	BANYADAM_20050225.0158-E3-2
EM32	BANYADAM_20050225.0158-E1-3
EM18	BANYADAM_20050225.0158-E3-4
EM23	BANYADAM_20050225.0158-E3-5
EM30	BANYADAM_20050225.0158-E2-6
EM3	BANYADAM_20050225.0158-E3-7
EM2	BANYADAM_20050225.0158-E4-8
EM4	BANYADAM_20050225.0158-E4-9
EM5	BANYADAM_20050225.0158-E3-10
EM6	BANYADAM_20050225.0158-E3-11
EM7	BANYADAM_20050225.0158-E3-12
EM8	BANYADAM_20050225.0158-E3-13
EM9	BANYADAM_20050225.0158-E4-14
EM10	BANYADAM_20050225.0158-E3-15
EM11	BANYADAM_20050225.0158-E3-16
EM12	BANYADAM_20050225.0158-E3-17
EM13	BANYADAM_20050225.0158-E3-18
EM14	BANYADAM_20050225.0158-E3-19
EM15	BANYADAM_20050225.0158-E3-20
EM16	BANYADAM_20050225.0158-E3-21
EM17	BANYADAM_20050225.0158-E4-22
EM19	BANYADAM_20050225.0158-E4-23
EM21	BANYADAM_20050225.0158-E4-24
EM20	BANYADAM_20050225.0158-E3-25
EM22	BANYADAM_20050225.0158-E3-26
EM24	BANYADAM_20050225.0158-E4-27
EM25	BANYADAM_20050225.0158-E4-28
EM26	BANYADAM_20050225.0158-E3-29
EM27	BANYADAM_20050225.0158-E4-30
EM29	BANYADAM_20050225.0158-E4-31
EM28	BANYADAM_20050225.0158-E5-32
Q1	BANYADAM_20050225.0158-T1
Q2	BANYADAM_20050225.0158-T2
