CE7	DIGRESSING_20041115.1932-CE1
CE8	DIGRESSING_20041115.1932-CE2
CE9	DIGRESSING_20041115.1932-CE3
CE11	DIGRESSING_20041115.1932-CE4
CE12	DIGRESSING_20041115.1932-CE5
CE23	DIGRESSING_20041115.1932-CE6
CE13	DIGRESSING_20041115.1932-CE7
CE14	DIGRESSING_20041115.1932-CE8
CE15	DIGRESSING_20041115.1932-CE9
CE16	DIGRESSING_20041115.1932-CE10
CE17	DIGRESSING_20041115.1932-CE11
CE18	DIGRESSING_20041115.1932-CE12
CE19	DIGRESSING_20041115.1932-CE13
CE20	DIGRESSING_20041115.1932-CE14
CE21	DIGRESSING_20041115.1932-CE15
CE2	DIGRESSING_20041115.1932-CE16
CE10	DIGRESSING_20041115.1932-CE17
CE3	DIGRESSING_20041115.1932-CE18
CE4	DIGRESSING_20041115.1932-CE19
CE5	DIGRESSING_20041115.1932-CE20
CE1	DIGRESSING_20041115.1932-CE21
CE6	DIGRESSING_20041115.1932-CE22
E8	DIGRESSING_20041115.1932-E1
E9	DIGRESSING_20041115.1932-E2
E10	DIGRESSING_20041115.1932-E3
E11	DIGRESSING_20041115.1932-E4
E12	DIGRESSING_20041115.1932-E5
E34	DIGRESSING_20041115.1932-E6
E14	DIGRESSING_20041115.1932-E7
E15	DIGRESSING_20041115.1932-E8
E16	DIGRESSING_20041115.1932-E9
E17	DIGRESSING_20041115.1932-E10
E18	DIGRESSING_20041115.1932-E11
E19	DIGRESSING_20041115.1932-E12
E1	DIGRESSING_20041115.1932-E13
E20	DIGRESSING_20041115.1932-E14
E21	DIGRESSING_20041115.1932-E15
E22	DIGRESSING_20041115.1932-E16
E32	DIGRESSING_20041115.1932-E17
E2	DIGRESSING_20041115.1932-E18
E3	DIGRESSING_20041115.1932-E19
E4	DIGRESSING_20041115.1932-E20
E6	DIGRESSING_20041115.1932-E21
E7	DIGRESSING_20041115.1932-E22
EM1	DIGRESSING_20041115.1932-E13-1
EM26	DIGRESSING_20041115.1932-E1-2
EM27	DIGRESSING_20041115.1932-E1-3
EM28	DIGRESSING_20041115.1932-E22-4
EM30	DIGRESSING_20041115.1932-E22-5
EM29	DIGRESSING_20041115.1932-E2-6
EM31	DIGRESSING_20041115.1932-E22-7
EM32	DIGRESSING_20041115.1932-E13-8
EM33	DIGRESSING_20041115.1932-E3-9
EM35	DIGRESSING_20041115.1932-E3-10
EM36	DIGRESSING_20041115.1932-E4-11
EM37	DIGRESSING_20041115.1932-E3-12
EM103	DIGRESSING_20041115.1932-E6-13
EM39	DIGRESSING_20041115.1932-E3-14
EM40	DIGRESSING_20041115.1932-E3-15
EM41	DIGRESSING_20041115.1932-E13-16
EM42	DIGRESSING_20041115.1932-E13-17
EM43	DIGRESSING_20041115.1932-E5-18
EM45	DIGRESSING_20041115.1932-E20-19
EM44	DIGRESSING_20041115.1932-E22-20
EM47	DIGRESSING_20041115.1932-E13-21
EM48	DIGRESSING_20041115.1932-E13-22
EM49	DIGRESSING_20041115.1932-E13-23
EM50	DIGRESSING_20041115.1932-E13-24
EM51	DIGRESSING_20041115.1932-E13-25
EM52	DIGRESSING_20041115.1932-E13-26
EM53	DIGRESSING_20041115.1932-E13-27
EM54	DIGRESSING_20041115.1932-E13-28
EM55	DIGRESSING_20041115.1932-E7-29
EM56	DIGRESSING_20041115.1932-E7-30
EM58	DIGRESSING_20041115.1932-E13-31
EM59	DIGRESSING_20041115.1932-E13-32
EM60	DIGRESSING_20041115.1932-E8-33
EM61	DIGRESSING_20041115.1932-E9-34
EM63	DIGRESSING_20041115.1932-E9-35
EM62	DIGRESSING_20041115.1932-E9-36
EM64	DIGRESSING_20041115.1932-E10-37
EM69	DIGRESSING_20041115.1932-E10-38
EM67	DIGRESSING_20041115.1932-E10-39
EM65	DIGRESSING_20041115.1932-E10-40
EM66	DIGRESSING_20041115.1932-E11-41
EM68	DIGRESSING_20041115.1932-E12-42
EM70	DIGRESSING_20041115.1932-E13-43
EM71	DIGRESSING_20041115.1932-E13-44
EM72	DIGRESSING_20041115.1932-E7-45
EM73	DIGRESSING_20041115.1932-E13-46
EM75	DIGRESSING_20041115.1932-E13-47
EM76	DIGRESSING_20041115.1932-E8-48
EM79	DIGRESSING_20041115.1932-E8-49
EM78	DIGRESSING_20041115.1932-E8-50
EM77	DIGRESSING_20041115.1932-E8-51
EM80	DIGRESSING_20041115.1932-E8-52
EM81	DIGRESSING_20041115.1932-E8-53
EM82	DIGRESSING_20041115.1932-E8-54
EM84	DIGRESSING_20041115.1932-E8-55
EM85	DIGRESSING_20041115.1932-E8-56
EM86	DIGRESSING_20041115.1932-E8-57
EM83	DIGRESSING_20041115.1932-E14-58
EM87	DIGRESSING_20041115.1932-E13-59
EM88	DIGRESSING_20041115.1932-E7-60
EM89	DIGRESSING_20041115.1932-E7-61
EM15	DIGRESSING_20041115.1932-E13-62
EM92	DIGRESSING_20041115.1932-E13-63
EM93	DIGRESSING_20041115.1932-E13-64
EM94	DIGRESSING_20041115.1932-E13-65
EM95	DIGRESSING_20041115.1932-E13-66
EM96	DIGRESSING_20041115.1932-E15-67
EM99	DIGRESSING_20041115.1932-E16-68
EM100	DIGRESSING_20041115.1932-E16-69
EM101	DIGRESSING_20041115.1932-E16-70
EM57	DIGRESSING_20041115.1932-E13-71
EM74	DIGRESSING_20041115.1932-E13-72
EM90	DIGRESSING_20041115.1932-E13-73
EM91	DIGRESSING_20041115.1932-E13-74
EM2	DIGRESSING_20041115.1932-E13-75
EM46	DIGRESSING_20041115.1932-E13-76
EM97	DIGRESSING_20041115.1932-E13-77
EM98	DIGRESSING_20041115.1932-E13-78
EM34	DIGRESSING_20041115.1932-E17-79
EM38	DIGRESSING_20041115.1932-E17-80
EM25	DIGRESSING_20041115.1932-E22-81
EM3	DIGRESSING_20041115.1932-E13-82
EM4	DIGRESSING_20041115.1932-E18-83
EM5	DIGRESSING_20041115.1932-E13-84
EM6	DIGRESSING_20041115.1932-E19-85
EM7	DIGRESSING_20041115.1932-E13-86
EM8	DIGRESSING_20041115.1932-E13-87
EM9	DIGRESSING_20041115.1932-E13-88
EM11	DIGRESSING_20041115.1932-E13-89
EM12	DIGRESSING_20041115.1932-E13-90
EM13	DIGRESSING_20041115.1932-E20-91
EM16	DIGRESSING_20041115.1932-E20-92
EM17	DIGRESSING_20041115.1932-E20-93
EM18	DIGRESSING_20041115.1932-E20-94
EM19	DIGRESSING_20041115.1932-E20-95
EM20	DIGRESSING_20041115.1932-E20-96
EM21	DIGRESSING_20041115.1932-E13-97
EM14	DIGRESSING_20041115.1932-E21-98
EM10	DIGRESSING_20041115.1932-E13-99
EM22	DIGRESSING_20041115.1932-E20-100
EM24	DIGRESSING_20041115.1932-E20-101
EM102	DIGRESSING_20041115.1932-E13-102
EM23	DIGRESSING_20041115.1932-E22-103
R1	DIGRESSING_20041115.1932-R1
R2	DIGRESSING_20041115.1932-R2
R4	DIGRESSING_20041115.1932-R3
R5	DIGRESSING_20041115.1932-R4
R6	DIGRESSING_20041115.1932-R5
R7	DIGRESSING_20041115.1932-R6
R8	DIGRESSING_20041115.1932-R7
R3	DIGRESSING_20041115.1932-R8
RM1	DIGRESSING_20041115.1932-R1-1
RM2	DIGRESSING_20041115.1932-R2-1
RM4	DIGRESSING_20041115.1932-R3-1
RM5	DIGRESSING_20041115.1932-R4-1
RM6	DIGRESSING_20041115.1932-R5-1
RM7	DIGRESSING_20041115.1932-R6-1
RM8	DIGRESSING_20041115.1932-R7-1
RM3	DIGRESSING_20041115.1932-R8-1
Q1	DIGRESSING_20041115.1932-T1
Q2	DIGRESSING_20041115.1932-T2
Q3	DIGRESSING_20041115.1932-T3
