CE7	EBREAZ_20041203.1056-CE1
CE2	EBREAZ_20041203.1056-CE2
CE10	EBREAZ_20041203.1056-CE3
CE12	EBREAZ_20041203.1056-CE4
CE3	EBREAZ_20041203.1056-CE5
CE21	EBREAZ_20041203.1056-CE6
CE22	EBREAZ_20041203.1056-CE7
CE24	EBREAZ_20041203.1056-CE8
CE26	EBREAZ_20041203.1056-CE9
CE29	EBREAZ_20041203.1056-CE10
CE30	EBREAZ_20041203.1056-CE11
CE5	EBREAZ_20041203.1056-CE12
CE31	EBREAZ_20041203.1056-CE13
CE27	EBREAZ_20041203.1056-CE14
CE28	EBREAZ_20041203.1056-CE15
CE1	EBREAZ_20041203.1056-CE16
CE33	EBREAZ_20041203.1056-CE17
CE35	EBREAZ_20041203.1056-CE18
CE36	EBREAZ_20041203.1056-CE19
CE8	EBREAZ_20041203.1056-CE20
CE9	EBREAZ_20041203.1056-CE21
CE13	EBREAZ_20041203.1056-CE22
CE14	EBREAZ_20041203.1056-CE23
CE15	EBREAZ_20041203.1056-CE24
CE16	EBREAZ_20041203.1056-CE25
CE19	EBREAZ_20041203.1056-CE26
CE20	EBREAZ_20041203.1056-CE27
CE23	EBREAZ_20041203.1056-CE28
CE25	EBREAZ_20041203.1056-CE29
CE34	EBREAZ_20041203.1056-CE30
CE6	EBREAZ_20041203.1056-CE31
CE17	EBREAZ_20041203.1056-CE32
CE18	EBREAZ_20041203.1056-CE33
CE11	EBREAZ_20041203.1056-CE34
CE32	EBREAZ_20041203.1056-CE35
CE4	EBREAZ_20041203.1056-CE36
E8	EBREAZ_20041203.1056-E1
E10	EBREAZ_20041203.1056-E2
E11	EBREAZ_20041203.1056-E3
E12	EBREAZ_20041203.1056-E4
E65	EBREAZ_20041203.1056-E5
E14	EBREAZ_20041203.1056-E6
E15	EBREAZ_20041203.1056-E7
E16	EBREAZ_20041203.1056-E8
E66	EBREAZ_20041203.1056-E9
E18	EBREAZ_20041203.1056-E10
E19	EBREAZ_20041203.1056-E11
E1	EBREAZ_20041203.1056-E12
E67	EBREAZ_20041203.1056-E13
E20	EBREAZ_20041203.1056-E14
E22	EBREAZ_20041203.1056-E15
E23	EBREAZ_20041203.1056-E16
E25	EBREAZ_20041203.1056-E17
E26	EBREAZ_20041203.1056-E18
E27	EBREAZ_20041203.1056-E19
E28	EBREAZ_20041203.1056-E20
E31	EBREAZ_20041203.1056-E21
E33	EBREAZ_20041203.1056-E22
E35	EBREAZ_20041203.1056-E23
E37	EBREAZ_20041203.1056-E24
E38	EBREAZ_20041203.1056-E25
E41	EBREAZ_20041203.1056-E26
E42	EBREAZ_20041203.1056-E27
E43	EBREAZ_20041203.1056-E28
E44	EBREAZ_20041203.1056-E29
E45	EBREAZ_20041203.1056-E30
E2	EBREAZ_20041203.1056-E31
E58	EBREAZ_20041203.1056-E32
E62	EBREAZ_20041203.1056-E33
E63	EBREAZ_20041203.1056-E34
E3	EBREAZ_20041203.1056-E35
E5	EBREAZ_20041203.1056-E36
E6	EBREAZ_20041203.1056-E37
EM3	EBREAZ_20041203.1056-E12-1
EM150	EBREAZ_20041203.1056-E33-2
EM151	EBREAZ_20041203.1056-E33-3
EM152	EBREAZ_20041203.1056-E36-4
EM1	EBREAZ_20041203.1056-E37-5
EM7	EBREAZ_20041203.1056-E1-6
EM8	EBREAZ_20041203.1056-E2-7
EM9	EBREAZ_20041203.1056-E1-8
EM10	EBREAZ_20041203.1056-E1-9
EM13	EBREAZ_20041203.1056-E1-10
EM6	EBREAZ_20041203.1056-E1-11
EM148	EBREAZ_20041203.1056-E36-12
EM19	EBREAZ_20041203.1056-E3-13
EM23	EBREAZ_20041203.1056-E4-14
EM29	EBREAZ_20041203.1056-E25-15
EM174	EBREAZ_20041203.1056-E33-16
EM50	EBREAZ_20041203.1056-E9-17
EM34	EBREAZ_20041203.1056-E37-18
EM35	EBREAZ_20041203.1056-E37-19
EM36	EBREAZ_20041203.1056-E37-20
EM37	EBREAZ_20041203.1056-E37-21
EM39	EBREAZ_20041203.1056-E37-22
EM44	EBREAZ_20041203.1056-E33-23
EM42	EBREAZ_20041203.1056-E6-24
EM43	EBREAZ_20041203.1056-E7-25
EM46	EBREAZ_20041203.1056-E8-26
EM47	EBREAZ_20041203.1056-E8-27
EM48	EBREAZ_20041203.1056-E8-28
EM52	EBREAZ_20041203.1056-E33-29
EM56	EBREAZ_20041203.1056-E33-30
EM53	EBREAZ_20041203.1056-E37-31
EM54	EBREAZ_20041203.1056-E37-32
EM55	EBREAZ_20041203.1056-E35-33
EM57	EBREAZ_20041203.1056-E35-34
EM61	EBREAZ_20041203.1056-E37-35
EM63	EBREAZ_20041203.1056-E35-36
EM64	EBREAZ_20041203.1056-E35-37
EM65	EBREAZ_20041203.1056-E35-38
EM67	EBREAZ_20041203.1056-E35-39
EM74	EBREAZ_20041203.1056-E35-40
EM75	EBREAZ_20041203.1056-E35-41
EM70	EBREAZ_20041203.1056-E35-42
EM77	EBREAZ_20041203.1056-E35-43
EM16	EBREAZ_20041203.1056-E13-44
EM80	EBREAZ_20041203.1056-E10-45
EM82	EBREAZ_20041203.1056-E10-46
EM81	EBREAZ_20041203.1056-E11-47
EM83	EBREAZ_20041203.1056-E33-48
EM78	EBREAZ_20041203.1056-E33-49
EM76	EBREAZ_20041203.1056-E33-50
EM85	EBREAZ_20041203.1056-E33-51
EM86	EBREAZ_20041203.1056-E10-52
EM88	EBREAZ_20041203.1056-E37-53
EM89	EBREAZ_20041203.1056-E37-54
EM90	EBREAZ_20041203.1056-E37-55
EM92	EBREAZ_20041203.1056-E37-56
EM93	EBREAZ_20041203.1056-E37-57
EM87	EBREAZ_20041203.1056-E37-58
EM91	EBREAZ_20041203.1056-E37-59
EM94	EBREAZ_20041203.1056-E10-60
EM98	EBREAZ_20041203.1056-E10-61
EM100	EBREAZ_20041203.1056-E37-62
EM101	EBREAZ_20041203.1056-E37-63
EM102	EBREAZ_20041203.1056-E37-64
EM103	EBREAZ_20041203.1056-E37-65
EM104	EBREAZ_20041203.1056-E37-66
EM108	EBREAZ_20041203.1056-E33-67
EM106	EBREAZ_20041203.1056-E33-68
EM110	EBREAZ_20041203.1056-E33-69
EM97	EBREAZ_20041203.1056-E33-70
EM96	EBREAZ_20041203.1056-E33-71
EM95	EBREAZ_20041203.1056-E33-72
EM99	EBREAZ_20041203.1056-E33-73
EM111	EBREAZ_20041203.1056-E33-74
EM112	EBREAZ_20041203.1056-E33-75
EM113	EBREAZ_20041203.1056-E33-76
EM116	EBREAZ_20041203.1056-E33-77
EM115	EBREAZ_20041203.1056-E33-78
EM114	EBREAZ_20041203.1056-E33-79
EM122	EBREAZ_20041203.1056-E33-80
EM123	EBREAZ_20041203.1056-E33-81
EM124	EBREAZ_20041203.1056-E33-82
EM125	EBREAZ_20041203.1056-E33-83
EM126	EBREAZ_20041203.1056-E33-84
EM127	EBREAZ_20041203.1056-E33-85
EM129	EBREAZ_20041203.1056-E33-86
EM133	EBREAZ_20041203.1056-E33-87
EM131	EBREAZ_20041203.1056-E33-88
EM130	EBREAZ_20041203.1056-E33-89
EM117	EBREAZ_20041203.1056-E33-90
EM11	EBREAZ_20041203.1056-E21-91
EM118	EBREAZ_20041203.1056-E33-92
EM120	EBREAZ_20041203.1056-E33-93
