CE13	EGYDAYS_20050221.1227-CE1
CE14	EGYDAYS_20050221.1227-CE2
CE15	EGYDAYS_20050221.1227-CE3
CE1	EGYDAYS_20050221.1227-CE4
CE18	EGYDAYS_20050221.1227-CE5
CE2	EGYDAYS_20050221.1227-CE6
CE19	EGYDAYS_20050221.1227-CE7
CE20	EGYDAYS_20050221.1227-CE8
CE21	EGYDAYS_20050221.1227-CE9
CE22	EGYDAYS_20050221.1227-CE10
CE23	EGYDAYS_20050221.1227-CE11
CE16	EGYDAYS_20050221.1227-CE12
CE17	EGYDAYS_20050221.1227-CE13
CE3	EGYDAYS_20050221.1227-CE14
CE4	EGYDAYS_20050221.1227-CE15
CE5	EGYDAYS_20050221.1227-CE16
CE6	EGYDAYS_20050221.1227-CE17
CE7	EGYDAYS_20050221.1227-CE18
CE8	EGYDAYS_20050221.1227-CE19
CE9	EGYDAYS_20050221.1227-CE20
CE10	EGYDAYS_20050221.1227-CE21
CE12	EGYDAYS_20050221.1227-CE22
CE11	EGYDAYS_20050221.1227-CE23
E11	EGYDAYS_20050221.1227-E1
E12	EGYDAYS_20050221.1227-E2
E13	EGYDAYS_20050221.1227-E3
E15	EGYDAYS_20050221.1227-E4
E16	EGYDAYS_20050221.1227-E5
E18	EGYDAYS_20050221.1227-E6
E20	EGYDAYS_20050221.1227-E7
E21	EGYDAYS_20050221.1227-E8
E22	EGYDAYS_20050221.1227-E9
E23	EGYDAYS_20050221.1227-E10
E24	EGYDAYS_20050221.1227-E11
E1	EGYDAYS_20050221.1227-E12
E26	EGYDAYS_20050221.1227-E13
E27	EGYDAYS_20050221.1227-E14
E28	EGYDAYS_20050221.1227-E15
E2	EGYDAYS_20050221.1227-E16
E3	EGYDAYS_20050221.1227-E17
E4	EGYDAYS_20050221.1227-E18
E5	EGYDAYS_20050221.1227-E19
E6	EGYDAYS_20050221.1227-E20
E7	EGYDAYS_20050221.1227-E21
E8	EGYDAYS_20050221.1227-E22
E9	EGYDAYS_20050221.1227-E23
E10	EGYDAYS_20050221.1227-E24
EM1	EGYDAYS_20050221.1227-E12-1
EM20	EGYDAYS_20050221.1227-E1-2
EM22	EGYDAYS_20050221.1227-E2-3
EM24	EGYDAYS_20050221.1227-E3-4
EM25	EGYDAYS_20050221.1227-E4-5
EM28	EGYDAYS_20050221.1227-E22-6
EM29	EGYDAYS_20050221.1227-E24-7
EM30	EGYDAYS_20050221.1227-E22-8
EM31	EGYDAYS_20050221.1227-E17-9
EM32	EGYDAYS_20050221.1227-E22-10
EM33	EGYDAYS_20050221.1227-E22-11
EM34	EGYDAYS_20050221.1227-E22-12
EM35	EGYDAYS_20050221.1227-E22-13
EM36	EGYDAYS_20050221.1227-E5-14
EM38	EGYDAYS_20050221.1227-E21-15
EM37	EGYDAYS_20050221.1227-E20-16
EM39	EGYDAYS_20050221.1227-E5-17
EM40	EGYDAYS_20050221.1227-E1-18
EM41	EGYDAYS_20050221.1227-E20-19
EM42	EGYDAYS_20050221.1227-E1-20
EM43	EGYDAYS_20050221.1227-E6-21
EM44	EGYDAYS_20050221.1227-E1-22
EM45	EGYDAYS_20050221.1227-E20-23
EM46	EGYDAYS_20050221.1227-E20-24
EM47	EGYDAYS_20050221.1227-E1-25
EM68	EGYDAYS_20050221.1227-E17-26
EM48	EGYDAYS_20050221.1227-E17-27
EM51	EGYDAYS_20050221.1227-E17-28
EM50	EGYDAYS_20050221.1227-E7-29
EM52	EGYDAYS_20050221.1227-E20-30
EM53	EGYDAYS_20050221.1227-E20-31
EM54	EGYDAYS_20050221.1227-E22-32
EM56	EGYDAYS_20050221.1227-E22-33
EM55	EGYDAYS_20050221.1227-E22-34
EM57	EGYDAYS_20050221.1227-E22-35
EM58	EGYDAYS_20050221.1227-E22-36
EM61	EGYDAYS_20050221.1227-E22-37
EM59	EGYDAYS_20050221.1227-E8-38
EM62	EGYDAYS_20050221.1227-E8-39
EM60	EGYDAYS_20050221.1227-E8-40
EM63	EGYDAYS_20050221.1227-E9-41
EM64	EGYDAYS_20050221.1227-E10-42
EM65	EGYDAYS_20050221.1227-E10-43
EM66	EGYDAYS_20050221.1227-E10-44
EM67	EGYDAYS_20050221.1227-E11-45
EM26	EGYDAYS_20050221.1227-E13-46
EM27	EGYDAYS_20050221.1227-E14-47
EM23	EGYDAYS_20050221.1227-E17-48
EM11	EGYDAYS_20050221.1227-E15-49
EM49	EGYDAYS_20050221.1227-E20-50
EM2	EGYDAYS_20050221.1227-E16-51
EM3	EGYDAYS_20050221.1227-E16-52
EM4	EGYDAYS_20050221.1227-E17-53
EM5	EGYDAYS_20050221.1227-E17-54
EM6	EGYDAYS_20050221.1227-E18-55
EM7	EGYDAYS_20050221.1227-E19-56
EM8	EGYDAYS_20050221.1227-E20-57
EM9	EGYDAYS_20050221.1227-E19-58
EM10	EGYDAYS_20050221.1227-E20-59
EM12	EGYDAYS_20050221.1227-E21-60
EM13	EGYDAYS_20050221.1227-E22-61
EM14	EGYDAYS_20050221.1227-E22-62
EM18	EGYDAYS_20050221.1227-E23-63
EM15	EGYDAYS_20050221.1227-E24-64
EM16	EGYDAYS_20050221.1227-E22-65
EM17	EGYDAYS_20050221.1227-E22-66
EM19	EGYDAYS_20050221.1227-E20-67
EM21	EGYDAYS_20050221.1227-E20-68
R2	EGYDAYS_20050221.1227-R1
