CE7	ENSANKHORDA_20041104.1315-CE1
CE9	ENSANKHORDA_20041104.1315-CE2
CE10	ENSANKHORDA_20041104.1315-CE3
CE12	ENSANKHORDA_20041104.1315-CE4
CE11	ENSANKHORDA_20041104.1315-CE5
CE8	ENSANKHORDA_20041104.1315-CE6
CE1	ENSANKHORDA_20041104.1315-CE7
CE2	ENSANKHORDA_20041104.1315-CE8
CE3	ENSANKHORDA_20041104.1315-CE9
CE4	ENSANKHORDA_20041104.1315-CE10
CE5	ENSANKHORDA_20041104.1315-CE11
CE6	ENSANKHORDA_20041104.1315-CE12
E9	ENSANKHORDA_20041104.1315-E1
E10	ENSANKHORDA_20041104.1315-E2
E11	ENSANKHORDA_20041104.1315-E3
E19	ENSANKHORDA_20041104.1315-E4
E20	ENSANKHORDA_20041104.1315-E5
E1	ENSANKHORDA_20041104.1315-E6
E18	ENSANKHORDA_20041104.1315-E7
E2	ENSANKHORDA_20041104.1315-E8
E3	ENSANKHORDA_20041104.1315-E9
E4	ENSANKHORDA_20041104.1315-E10
E7	ENSANKHORDA_20041104.1315-E11
E8	ENSANKHORDA_20041104.1315-E12
EM1	ENSANKHORDA_20041104.1315-E6-1
EM22	ENSANKHORDA_20041104.1315-E1-2
EM46	ENSANKHORDA_20041104.1315-E4-3
EM26	ENSANKHORDA_20041104.1315-E2-4
EM27	ENSANKHORDA_20041104.1315-E2-5
EM29	ENSANKHORDA_20041104.1315-E2-6
EM32	ENSANKHORDA_20041104.1315-E2-7
EM30	ENSANKHORDA_20041104.1315-E2-8
EM28	ENSANKHORDA_20041104.1315-E3-9
EM31	ENSANKHORDA_20041104.1315-E6-10
EM33	ENSANKHORDA_20041104.1315-E6-11
EM56	ENSANKHORDA_20041104.1315-E4-12
EM35	ENSANKHORDA_20041104.1315-E6-13
EM37	ENSANKHORDA_20041104.1315-E6-14
EM38	ENSANKHORDA_20041104.1315-E2-15
EM39	ENSANKHORDA_20041104.1315-E5-16
EM40	ENSANKHORDA_20041104.1315-E2-17
EM43	ENSANKHORDA_20041104.1315-E2-18
EM45	ENSANKHORDA_20041104.1315-E6-19
EM47	ENSANKHORDA_20041104.1315-E2-20
EM48	ENSANKHORDA_20041104.1315-E11-21
EM50	ENSANKHORDA_20041104.1315-E11-22
EM49	ENSANKHORDA_20041104.1315-E11-23
EM51	ENSANKHORDA_20041104.1315-E8-24
EM52	ENSANKHORDA_20041104.1315-E8-25
EM42	ENSANKHORDA_20041104.1315-E6-26
EM55	ENSANKHORDA_20041104.1315-E11-27
EM58	ENSANKHORDA_20041104.1315-E11-28
EM59	ENSANKHORDA_20041104.1315-E6-29
EM57	ENSANKHORDA_20041104.1315-E6-30
EM60	ENSANKHORDA_20041104.1315-E11-31
EM2	ENSANKHORDA_20041104.1315-E6-32
EM34	ENSANKHORDA_20041104.1315-E6-33
EM53	ENSANKHORDA_20041104.1315-E11-34
EM41	ENSANKHORDA_20041104.1315-E2-35
EM44	ENSANKHORDA_20041104.1315-E2-36
EM25	ENSANKHORDA_20041104.1315-E7-37
EM36	ENSANKHORDA_20041104.1315-E2-38
EM3	ENSANKHORDA_20041104.1315-E6-39
EM5	ENSANKHORDA_20041104.1315-E6-40
EM8	ENSANKHORDA_20041104.1315-E6-41
EM4	ENSANKHORDA_20041104.1315-E8-42
EM6	ENSANKHORDA_20041104.1315-E8-43
EM7	ENSANKHORDA_20041104.1315-E9-44
EM9	ENSANKHORDA_20041104.1315-E9-45
EM10	ENSANKHORDA_20041104.1315-E6-46
EM11	ENSANKHORDA_20041104.1315-E6-47
EM12	ENSANKHORDA_20041104.1315-E10-48
EM13	ENSANKHORDA_20041104.1315-E10-49
EM14	ENSANKHORDA_20041104.1315-E6-50
EM61	ENSANKHORDA_20041104.1315-E11-51
EM16	ENSANKHORDA_20041104.1315-E6-52
EM17	ENSANKHORDA_20041104.1315-E6-53
EM15	ENSANKHORDA_20041104.1315-E11-54
EM18	ENSANKHORDA_20041104.1315-E11-55
EM20	ENSANKHORDA_20041104.1315-E6-56
EM21	ENSANKHORDA_20041104.1315-E6-57
EM19	ENSANKHORDA_20041104.1315-E12-58
EM23	ENSANKHORDA_20041104.1315-E12-59
EM24	ENSANKHORDA_20041104.1315-E1-60
R1	ENSANKHORDA_20041104.1315-R1
R2	ENSANKHORDA_20041104.1315-R2
R3	ENSANKHORDA_20041104.1315-R3
R4	ENSANKHORDA_20041104.1315-R4
R5	ENSANKHORDA_20041104.1315-R5
R6	ENSANKHORDA_20041104.1315-R6
RM1	ENSANKHORDA_20041104.1315-R1-1
RM2	ENSANKHORDA_20041104.1315-R2-1
RM3	ENSANKHORDA_20041104.1315-R3-1
RM4	ENSANKHORDA_20041104.1315-R4-1
RM5	ENSANKHORDA_20041104.1315-R5-1
RM6	ENSANKHORDA_20041104.1315-R1-2
Q1	ENSANKHORDA_20041104.1315-T1
Q2	ENSANKHORDA_20041104.1315-T2
