CE11	GLIMMERMAN_20050118.0339-CE1
CE13	GLIMMERMAN_20050118.0339-CE2
CE12	GLIMMERMAN_20050118.0339-CE3
CE14	GLIMMERMAN_20050118.0339-CE4
CE15	GLIMMERMAN_20050118.0339-CE5
CE16	GLIMMERMAN_20050118.0339-CE6
CE17	GLIMMERMAN_20050118.0339-CE7
CE23	GLIMMERMAN_20050118.0339-CE8
CE18	GLIMMERMAN_20050118.0339-CE9
CE20	GLIMMERMAN_20050118.0339-CE10
CE19	GLIMMERMAN_20050118.0339-CE11
CE21	GLIMMERMAN_20050118.0339-CE12
CE24	GLIMMERMAN_20050118.0339-CE13
CE1	GLIMMERMAN_20050118.0339-CE14
CE2	GLIMMERMAN_20050118.0339-CE15
CE3	GLIMMERMAN_20050118.0339-CE16
CE4	GLIMMERMAN_20050118.0339-CE17
CE5	GLIMMERMAN_20050118.0339-CE18
CE6	GLIMMERMAN_20050118.0339-CE19
CE7	GLIMMERMAN_20050118.0339-CE20
CE8	GLIMMERMAN_20050118.0339-CE21
CE9	GLIMMERMAN_20050118.0339-CE22
E30	GLIMMERMAN_20050118.0339-E1
E13	GLIMMERMAN_20050118.0339-E2
E14	GLIMMERMAN_20050118.0339-E3
E15	GLIMMERMAN_20050118.0339-E4
E16	GLIMMERMAN_20050118.0339-E5
E17	GLIMMERMAN_20050118.0339-E6
E18	GLIMMERMAN_20050118.0339-E7
E19	GLIMMERMAN_20050118.0339-E8
E20	GLIMMERMAN_20050118.0339-E9
E21	GLIMMERMAN_20050118.0339-E10
E22	GLIMMERMAN_20050118.0339-E11
E23	GLIMMERMAN_20050118.0339-E12
E24	GLIMMERMAN_20050118.0339-E13
E25	GLIMMERMAN_20050118.0339-E14
E28	GLIMMERMAN_20050118.0339-E15
E26	GLIMMERMAN_20050118.0339-E16
E27	GLIMMERMAN_20050118.0339-E17
E1	GLIMMERMAN_20050118.0339-E18
E31	GLIMMERMAN_20050118.0339-E19
E2	GLIMMERMAN_20050118.0339-E20
E3	GLIMMERMAN_20050118.0339-E21
E4	GLIMMERMAN_20050118.0339-E22
E5	GLIMMERMAN_20050118.0339-E23
E7	GLIMMERMAN_20050118.0339-E24
E8	GLIMMERMAN_20050118.0339-E25
E9	GLIMMERMAN_20050118.0339-E26
E10	GLIMMERMAN_20050118.0339-E27
E11	GLIMMERMAN_20050118.0339-E28
EM1	GLIMMERMAN_20050118.0339-E18-1
EM20	GLIMMERMAN_20050118.0339-E28-2
EM19	GLIMMERMAN_20050118.0339-E2-3
EM24	GLIMMERMAN_20050118.0339-E2-4
EM29	GLIMMERMAN_20050118.0339-E2-5
EM28	GLIMMERMAN_20050118.0339-E3-6
EM27	GLIMMERMAN_20050118.0339-E23-7
EM23	GLIMMERMAN_20050118.0339-E23-8
EM25	GLIMMERMAN_20050118.0339-E23-9
EM26	GLIMMERMAN_20050118.0339-E4-10
EM21	GLIMMERMAN_20050118.0339-E4-11
EM22	GLIMMERMAN_20050118.0339-E4-12
EM30	GLIMMERMAN_20050118.0339-E5-13
EM31	GLIMMERMAN_20050118.0339-E6-14
EM32	GLIMMERMAN_20050118.0339-E5-15
EM33	GLIMMERMAN_20050118.0339-E5-16
EM34	GLIMMERMAN_20050118.0339-E6-17
EM35	GLIMMERMAN_20050118.0339-E21-18
EM36	GLIMMERMAN_20050118.0339-E7-19
EM37	GLIMMERMAN_20050118.0339-E21-20
EM38	GLIMMERMAN_20050118.0339-E8-21
EM39	GLIMMERMAN_20050118.0339-E9-22
EM40	GLIMMERMAN_20050118.0339-E10-23
EM41	GLIMMERMAN_20050118.0339-E9-24
EM42	GLIMMERMAN_20050118.0339-E11-25
EM43	GLIMMERMAN_20050118.0339-E9-26
EM44	GLIMMERMAN_20050118.0339-E12-27
EM46	GLIMMERMAN_20050118.0339-E13-28
EM47	GLIMMERMAN_20050118.0339-E9-29
EM45	GLIMMERMAN_20050118.0339-E9-30
EM48	GLIMMERMAN_20050118.0339-E5-31
EM49	GLIMMERMAN_20050118.0339-E15-32
EM61	GLIMMERMAN_20050118.0339-E19-33
EM51	GLIMMERMAN_20050118.0339-E5-34
EM52	GLIMMERMAN_20050118.0339-E5-35
EM53	GLIMMERMAN_20050118.0339-E14-36
EM54	GLIMMERMAN_20050118.0339-E14-37
EM56	GLIMMERMAN_20050118.0339-E14-38
EM57	GLIMMERMAN_20050118.0339-E14-39
EM58	GLIMMERMAN_20050118.0339-E16-40
EM55	GLIMMERMAN_20050118.0339-E17-41
EM50	GLIMMERMAN_20050118.0339-E15-42
EM10	GLIMMERMAN_20050118.0339-E15-43
EM59	GLIMMERMAN_20050118.0339-E5-44
EM63	GLIMMERMAN_20050118.0339-E1-45
EM2	GLIMMERMAN_20050118.0339-E20-46
EM3	GLIMMERMAN_20050118.0339-E20-47
EM4	GLIMMERMAN_20050118.0339-E21-48
EM5	GLIMMERMAN_20050118.0339-E20-49
EM6	GLIMMERMAN_20050118.0339-E20-50
EM7	GLIMMERMAN_20050118.0339-E20-51
EM8	GLIMMERMAN_20050118.0339-E22-52
EM9	GLIMMERMAN_20050118.0339-E23-53
EM62	GLIMMERMAN_20050118.0339-E5-54
EM11	GLIMMERMAN_20050118.0339-E25-55
EM12	GLIMMERMAN_20050118.0339-E24-56
EM13	GLIMMERMAN_20050118.0339-E24-57
EM14	GLIMMERMAN_20050118.0339-E26-58
EM15	GLIMMERMAN_20050118.0339-E27-59
EM16	GLIMMERMAN_20050118.0339-E26-60
EM17	GLIMMERMAN_20050118.0339-E28-61
EM60	GLIMMERMAN_20050118.0339-E1-62
EM18	GLIMMERMAN_20050118.0339-E28-63
R1	GLIMMERMAN_20050118.0339-R1
R3	GLIMMERMAN_20050118.0339-R2
R4	GLIMMERMAN_20050118.0339-R3
R5	GLIMMERMAN_20050118.0339-R4
R6	GLIMMERMAN_20050118.0339-R5
R2	GLIMMERMAN_20050118.0339-R6
RM1	GLIMMERMAN_20050118.0339-R1-1
RM3	GLIMMERMAN_20050118.0339-R2-1
RM4	GLIMMERMAN_20050118.0339-R3-1
RM5	GLIMMERMAN_20050118.0339-R4-1
RM6	GLIMMERMAN_20050118.0339-R5-1
RM2	GLIMMERMAN_20050118.0339-R6-1
Q1	GLIMMERMAN_20050118.0339-T1
Q2	GLIMMERMAN_20050118.0339-T2
Q3	GLIMMERMAN_20050118.0339-T3
Q4	GLIMMERMAN_20050118.0339-T4
Q5	GLIMMERMAN_20050118.0339-T5
Q6	GLIMMERMAN_20050118.0339-T6
