CE9	HADOUTA_20050111.0755-CE1
CE4	HADOUTA_20050111.0755-CE2
CE6	HADOUTA_20050111.0755-CE3
CE1	HADOUTA_20050111.0755-CE4
CE7	HADOUTA_20050111.0755-CE5
CE2	HADOUTA_20050111.0755-CE6
CE3	HADOUTA_20050111.0755-CE7
CE5	HADOUTA_20050111.0755-CE8
E17	HADOUTA_20050111.0755-E1
E11	HADOUTA_20050111.0755-E2
E13	HADOUTA_20050111.0755-E3
E1	HADOUTA_20050111.0755-E4
E15	HADOUTA_20050111.0755-E5
E5	HADOUTA_20050111.0755-E6
E6	HADOUTA_20050111.0755-E7
E8	HADOUTA_20050111.0755-E8
EM18	HADOUTA_20050111.0755-E7-1
EM19	HADOUTA_20050111.0755-E8-2
EM20	HADOUTA_20050111.0755-E7-3
EM21	HADOUTA_20050111.0755-E7-4
EM48	HADOUTA_20050111.0755-E1-5
EM22	HADOUTA_20050111.0755-E2-6
EM23	HADOUTA_20050111.0755-E7-7
EM25	HADOUTA_20050111.0755-E7-8
EM26	HADOUTA_20050111.0755-E7-9
EM28	HADOUTA_20050111.0755-E7-10
EM29	HADOUTA_20050111.0755-E7-11
EM30	HADOUTA_20050111.0755-E7-12
EM31	HADOUTA_20050111.0755-E7-13
EM32	HADOUTA_20050111.0755-E7-14
EM46	HADOUTA_20050111.0755-E5-15
EM33	HADOUTA_20050111.0755-E3-16
EM34	HADOUTA_20050111.0755-E7-17
EM35	HADOUTA_20050111.0755-E7-18
EM36	HADOUTA_20050111.0755-E7-19
EM37	HADOUTA_20050111.0755-E4-20
EM38	HADOUTA_20050111.0755-E4-21
EM10	HADOUTA_20050111.0755-E2-22
EM2	HADOUTA_20050111.0755-E4-23
EM42	HADOUTA_20050111.0755-E7-24
EM8	HADOUTA_20050111.0755-E8-25
EM24	HADOUTA_20050111.0755-E2-26
EM7	HADOUTA_20050111.0755-E2-27
EM40	HADOUTA_20050111.0755-E8-28
EM41	HADOUTA_20050111.0755-E8-29
EM43	HADOUTA_20050111.0755-E8-30
EM44	HADOUTA_20050111.0755-E8-31
EM45	HADOUTA_20050111.0755-E7-32
EM1	HADOUTA_20050111.0755-E4-33
EM39	HADOUTA_20050111.0755-E5-34
EM3	HADOUTA_20050111.0755-E6-35
EM4	HADOUTA_20050111.0755-E6-36
EM5	HADOUTA_20050111.0755-E7-37
EM6	HADOUTA_20050111.0755-E6-38
EM9	HADOUTA_20050111.0755-E7-39
EM11	HADOUTA_20050111.0755-E4-40
EM12	HADOUTA_20050111.0755-E7-41
EM13	HADOUTA_20050111.0755-E4-42
EM14	HADOUTA_20050111.0755-E7-43
EM15	HADOUTA_20050111.0755-E8-44
EM47	HADOUTA_20050111.0755-E4-45
EM16	HADOUTA_20050111.0755-E8-46
EM17	HADOUTA_20050111.0755-E8-47
R1	HADOUTA_20050111.0755-R1
RM1	HADOUTA_20050111.0755-R1-1
V2	HADOUTA_20050111.0755-EV1
V3	HADOUTA_20050111.0755-EV2
V4	HADOUTA_20050111.0755-EV3
V5	HADOUTA_20050111.0755-EV4
V1	HADOUTA_20050111.0755-EV5
VM2	HADOUTA_20050111.0755-EV1-1
VM3	HADOUTA_20050111.0755-EV2-1
VM4	HADOUTA_20050111.0755-EV3-1
VM5	HADOUTA_20050111.0755-EV4-1
VM1	HADOUTA_20050111.0755-EV5-1
Q1	HADOUTA_20050111.0755-T1
Q3	HADOUTA_20050111.0755-T2
Q4	HADOUTA_20050111.0755-T3
Q2	HADOUTA_20050111.0755-T4
Q5	HADOUTA_20050111.0755-T5
