CE8	MELEGY_20050222.2126-CE1
CE9	MELEGY_20050222.2126-CE2
CE10	MELEGY_20050222.2126-CE3
CE11	MELEGY_20050222.2126-CE4
CE12	MELEGY_20050222.2126-CE5
CE13	MELEGY_20050222.2126-CE6
CE1	MELEGY_20050222.2126-CE7
CE14	MELEGY_20050222.2126-CE8
CE3	MELEGY_20050222.2126-CE9
CE5	MELEGY_20050222.2126-CE10
CE6	MELEGY_20050222.2126-CE11
CE4	MELEGY_20050222.2126-CE12
CE7	MELEGY_20050222.2126-CE13
CE2	MELEGY_20050222.2126-CE14
E10	MELEGY_20050222.2126-E1
E11	MELEGY_20050222.2126-E2
E12	MELEGY_20050222.2126-E3
E13	MELEGY_20050222.2126-E4
E1	MELEGY_20050222.2126-E5
E15	MELEGY_20050222.2126-E6
E16	MELEGY_20050222.2126-E7
E17	MELEGY_20050222.2126-E8
E2	MELEGY_20050222.2126-E9
E3	MELEGY_20050222.2126-E10
E4	MELEGY_20050222.2126-E11
E5	MELEGY_20050222.2126-E12
E6	MELEGY_20050222.2126-E13
E7	MELEGY_20050222.2126-E14
EM1	MELEGY_20050222.2126-E5-1
EM24	MELEGY_20050222.2126-E9-2
EM25	MELEGY_20050222.2126-E5-3
EM26	MELEGY_20050222.2126-E5-4
EM27	MELEGY_20050222.2126-E5-5
EM28	MELEGY_20050222.2126-E5-6
EM29	MELEGY_20050222.2126-E9-7
EM31	MELEGY_20050222.2126-E5-8
EM135	MELEGY_20050222.2126-E5-9
EM33	MELEGY_20050222.2126-E9-10
EM34	MELEGY_20050222.2126-E5-11
EM35	MELEGY_20050222.2126-E5-12
EM36	MELEGY_20050222.2126-E9-13
EM37	MELEGY_20050222.2126-E5-14
EM38	MELEGY_20050222.2126-E5-15
EM39	MELEGY_20050222.2126-E9-16
EM41	MELEGY_20050222.2126-E9-17
EM69	MELEGY_20050222.2126-E3-18
EM15	MELEGY_20050222.2126-E5-19
EM42	MELEGY_20050222.2126-E5-20
EM43	MELEGY_20050222.2126-E5-21
EM45	MELEGY_20050222.2126-E9-22
EM46	MELEGY_20050222.2126-E5-23
EM47	MELEGY_20050222.2126-E1-24
EM70	MELEGY_20050222.2126-E5-25
EM48	MELEGY_20050222.2126-E2-26
EM49	MELEGY_20050222.2126-E5-27
EM51	MELEGY_20050222.2126-E5-28
EM52	MELEGY_20050222.2126-E1-29
EM53	MELEGY_20050222.2126-E9-30
EM55	MELEGY_20050222.2126-E9-31
EM54	MELEGY_20050222.2126-E5-32
EM57	MELEGY_20050222.2126-E9-33
EM58	MELEGY_20050222.2126-E5-34
EM59	MELEGY_20050222.2126-E5-35
EM60	MELEGY_20050222.2126-E9-36
EM61	MELEGY_20050222.2126-E9-37
EM62	MELEGY_20050222.2126-E9-38
EM63	MELEGY_20050222.2126-E9-39
EM64	MELEGY_20050222.2126-E5-40
EM65	MELEGY_20050222.2126-E5-41
EM66	MELEGY_20050222.2126-E3-42
EM67	MELEGY_20050222.2126-E4-43
EM71	MELEGY_20050222.2126-E9-44
EM72	MELEGY_20050222.2126-E9-45
EM73	MELEGY_20050222.2126-E9-46
EM75	MELEGY_20050222.2126-E5-47
EM76	MELEGY_20050222.2126-E9-48
EM77	MELEGY_20050222.2126-E3-49
EM79	MELEGY_20050222.2126-E14-50
EM78	MELEGY_20050222.2126-E6-51
EM80	MELEGY_20050222.2126-E3-52
EM81	MELEGY_20050222.2126-E5-53
EM82	MELEGY_20050222.2126-E5-54
EM83	MELEGY_20050222.2126-E9-55
EM84	MELEGY_20050222.2126-E5-56
EM85	MELEGY_20050222.2126-E5-57
EM86	MELEGY_20050222.2126-E9-58
EM87	MELEGY_20050222.2126-E5-59
EM88	MELEGY_20050222.2126-E9-60
EM3	MELEGY_20050222.2126-E14-61
EM32	MELEGY_20050222.2126-E5-62
EM89	MELEGY_20050222.2126-E9-63
EM90	MELEGY_20050222.2126-E9-64
EM91	MELEGY_20050222.2126-E9-65
EM92	MELEGY_20050222.2126-E5-66
EM93	MELEGY_20050222.2126-E9-67
EM94	MELEGY_20050222.2126-E5-68
EM95	MELEGY_20050222.2126-E5-69
EM97	MELEGY_20050222.2126-E3-70
EM98	MELEGY_20050222.2126-E3-71
EM99	MELEGY_20050222.2126-E7-72
EM100	MELEGY_20050222.2126-E5-73
EM101	MELEGY_20050222.2126-E7-74
EM103	MELEGY_20050222.2126-E5-75
EM104	MELEGY_20050222.2126-E5-76
EM105	MELEGY_20050222.2126-E5-77
EM106	MELEGY_20050222.2126-E7-78
EM107	MELEGY_20050222.2126-E5-79
EM108	MELEGY_20050222.2126-E7-80
EM109	MELEGY_20050222.2126-E5-81
EM110	MELEGY_20050222.2126-E7-82
EM111	MELEGY_20050222.2126-E5-83
EM112	MELEGY_20050222.2126-E8-84
EM113	MELEGY_20050222.2126-E7-85
EM114	MELEGY_20050222.2126-E5-86
EM115	MELEGY_20050222.2126-E9-87
EM116	MELEGY_20050222.2126-E5-88
EM117	MELEGY_20050222.2126-E9-89
EM118	MELEGY_20050222.2126-E9-90
EM120	MELEGY_20050222.2126-E7-91
EM121	MELEGY_20050222.2126-E5-92
EM119	MELEGY_20050222.2126-E5-93
EM122	MELEGY_20050222.2126-E5-94
EM123	MELEGY_20050222.2126-E5-95
EM124	MELEGY_20050222.2126-E5-96
EM125	MELEGY_20050222.2126-E5-97
EM126	MELEGY_20050222.2126-E5-98
EM127	MELEGY_20050222.2126-E7-99
EM2	MELEGY_20050222.2126-E5-100
EM128	MELEGY_20050222.2126-E5-101
EM129	MELEGY_20050222.2126-E5-102
EM130	MELEGY_20050222.2126-E7-103
EM131	MELEGY_20050222.2126-E5-104
EM132	MELEGY_20050222.2126-E5-105
EM133	MELEGY_20050222.2126-E5-106
EM134	MELEGY_20050222.2126-E5-107
EM30	MELEGY_20050222.2126-E5-108
EM23	MELEGY_20050222.2126-E9-109
EM40	MELEGY_20050222.2126-E5-110
EM44	MELEGY_20050222.2126-E5-111
EM74	MELEGY_20050222.2126-E5-112
EM96	MELEGY_20050222.2126-E5-113
EM102	MELEGY_20050222.2126-E5-114
EM4	MELEGY_20050222.2126-E5-115
EM6	MELEGY_20050222.2126-E5-116
EM7	MELEGY_20050222.2126-E5-117
EM5	MELEGY_20050222.2126-E9-118
EM8	MELEGY_20050222.2126-E5-119
EM50	MELEGY_20050222.2126-E2-120
EM9	MELEGY_20050222.2126-E5-121
EM10	MELEGY_20050222.2126-E5-122
EM11	MELEGY_20050222.2126-E5-123
EM12	MELEGY_20050222.2126-E5-124
EM13	MELEGY_20050222.2126-E9-125
EM14	MELEGY_20050222.2126-E9-126
EM56	MELEGY_20050222.2126-E9-127
EM68	MELEGY_20050222.2126-E9-128
EM16	MELEGY_20050222.2126-E5-129
EM18	MELEGY_20050222.2126-E10-130
EM19	MELEGY_20050222.2126-E11-131
EM17	MELEGY_20050222.2126-E12-132
EM20	MELEGY_20050222.2126-E13-133
EM21	MELEGY_20050222.2126-E14-134
EM22	MELEGY_20050222.2126-E5-135
R6	MELEGY_20050222.2126-R1
R7	MELEGY_20050222.2126-R2
R8	MELEGY_20050222.2126-R3
R1	MELEGY_20050222.2126-R4
R2	MELEGY_20050222.2126-R5
R3	MELEGY_20050222.2126-R6
R4	MELEGY_20050222.2126-R7
R5	MELEGY_20050222.2126-R8
RM6	MELEGY_20050222.2126-R1-1
RM7	MELEGY_20050222.2126-R2-1
RM8	MELEGY_20050222.2126-R3-1
RM1	MELEGY_20050222.2126-R4-1
RM2	MELEGY_20050222.2126-R5-1
RM3	MELEGY_20050222.2126-R6-1
RM4	MELEGY_20050222.2126-R7-1
RM5	MELEGY_20050222.2126-R6-2
V1	MELEGY_20050222.2126-EV1
V2	MELEGY_20050222.2126-EV2
V3	MELEGY_20050222.2126-EV3
V4	MELEGY_20050222.2126-EV4
V5	MELEGY_20050222.2126-EV5
