CE9	ZAYEDALSAIDI_20050129.2053-CE1
CE11	ZAYEDALSAIDI_20050129.2053-CE2
CE1	ZAYEDALSAIDI_20050129.2053-CE3
CE12	ZAYEDALSAIDI_20050129.2053-CE4
CE13	ZAYEDALSAIDI_20050129.2053-CE5
CE14	ZAYEDALSAIDI_20050129.2053-CE6
CE15	ZAYEDALSAIDI_20050129.2053-CE7
CE16	ZAYEDALSAIDI_20050129.2053-CE8
CE17	ZAYEDALSAIDI_20050129.2053-CE9
CE19	ZAYEDALSAIDI_20050129.2053-CE10
CE20	ZAYEDALSAIDI_20050129.2053-CE11
CE21	ZAYEDALSAIDI_20050129.2053-CE12
CE3	ZAYEDALSAIDI_20050129.2053-CE13
CE5	ZAYEDALSAIDI_20050129.2053-CE14
CE4	ZAYEDALSAIDI_20050129.2053-CE15
CE6	ZAYEDALSAIDI_20050129.2053-CE16
CE2	ZAYEDALSAIDI_20050129.2053-CE17
CE10	ZAYEDALSAIDI_20050129.2053-CE18
CE18	ZAYEDALSAIDI_20050129.2053-CE19
CE7	ZAYEDALSAIDI_20050129.2053-CE20
CE8	ZAYEDALSAIDI_20050129.2053-CE21
E12	ZAYEDALSAIDI_20050129.2053-E1
E14	ZAYEDALSAIDI_20050129.2053-E2
E35	ZAYEDALSAIDI_20050129.2053-E3
E36	ZAYEDALSAIDI_20050129.2053-E4
E37	ZAYEDALSAIDI_20050129.2053-E5
E15	ZAYEDALSAIDI_20050129.2053-E6
E16	ZAYEDALSAIDI_20050129.2053-E7
E17	ZAYEDALSAIDI_20050129.2053-E8
E18	ZAYEDALSAIDI_20050129.2053-E9
E20	ZAYEDALSAIDI_20050129.2053-E10
E21	ZAYEDALSAIDI_20050129.2053-E11
E24	ZAYEDALSAIDI_20050129.2053-E12
E25	ZAYEDALSAIDI_20050129.2053-E13
E1	ZAYEDALSAIDI_20050129.2053-E14
E27	ZAYEDALSAIDI_20050129.2053-E15
E2	ZAYEDALSAIDI_20050129.2053-E16
E4	ZAYEDALSAIDI_20050129.2053-E17
E6	ZAYEDALSAIDI_20050129.2053-E18
E9	ZAYEDALSAIDI_20050129.2053-E19
E33	ZAYEDALSAIDI_20050129.2053-E20
E10	ZAYEDALSAIDI_20050129.2053-E21
E11	ZAYEDALSAIDI_20050129.2053-E22
EM1	ZAYEDALSAIDI_20050129.2053-E14-1
EM16	ZAYEDALSAIDI_20050129.2053-E1-2
EM22	ZAYEDALSAIDI_20050129.2053-E14-3
EM4	ZAYEDALSAIDI_20050129.2053-E3-4
EM23	ZAYEDALSAIDI_20050129.2053-E14-5
EM24	ZAYEDALSAIDI_20050129.2053-E2-6
