CE7	ALFILFILM_20050203.1756-CE1
CE8	ALFILFILM_20050203.1756-CE2
CE1	ALFILFILM_20050203.1756-CE3
CE2	ALFILFILM_20050203.1756-CE4
CE3	ALFILFILM_20050203.1756-CE5
CE4	ALFILFILM_20050203.1756-CE6
CE5	ALFILFILM_20050203.1756-CE7
CE6	ALFILFILM_20050203.1756-CE8
E9	ALFILFILM_20050203.1756-E1
E10	ALFILFILM_20050203.1756-E2
E1	ALFILFILM_20050203.1756-E3
E2	ALFILFILM_20050203.1756-E4
E3	ALFILFILM_20050203.1756-E5
E4	ALFILFILM_20050203.1756-E6
E5	ALFILFILM_20050203.1756-E7
E6	ALFILFILM_20050203.1756-E8
E7	ALFILFILM_20050203.1756-E9
E8	ALFILFILM_20050203.1756-E10
EM1	ALFILFILM_20050203.1756-E4-1
EM24	ALFILFILM_20050203.1756-E3-2
EM25	ALFILFILM_20050203.1756-E3-3
EM26	ALFILFILM_20050203.1756-E10-4
EM27	ALFILFILM_20050203.1756-E10-5
EM28	ALFILFILM_20050203.1756-E3-6
EM29	ALFILFILM_20050203.1756-E3-7
EM30	ALFILFILM_20050203.1756-E3-8
EM31	ALFILFILM_20050203.1756-E3-9
EM32	ALFILFILM_20050203.1756-E3-10
EM33	ALFILFILM_20050203.1756-E10-11
EM34	ALFILFILM_20050203.1756-E1-12
EM35	ALFILFILM_20050203.1756-E3-13
EM36	ALFILFILM_20050203.1756-E3-14
EM37	ALFILFILM_20050203.1756-E3-15
EM38	ALFILFILM_20050203.1756-E10-16
EM40	ALFILFILM_20050203.1756-E2-17
EM39	ALFILFILM_20050203.1756-E10-18
EM2	ALFILFILM_20050203.1756-E3-19
EM3	ALFILFILM_20050203.1756-E3-20
EM4	ALFILFILM_20050203.1756-E3-21
EM5	ALFILFILM_20050203.1756-E3-22
EM6	ALFILFILM_20050203.1756-E3-23
EM7	ALFILFILM_20050203.1756-E3-24
EM8	ALFILFILM_20050203.1756-E5-25
EM9	ALFILFILM_20050203.1756-E6-26
EM10	ALFILFILM_20050203.1756-E8-27
EM11	ALFILFILM_20050203.1756-E7-28
EM12	ALFILFILM_20050203.1756-E3-29
EM13	ALFILFILM_20050203.1756-E9-30
EM14	ALFILFILM_20050203.1756-E3-31
EM15	ALFILFILM_20050203.1756-E3-32
EM16	ALFILFILM_20050203.1756-E3-33
EM18	ALFILFILM_20050203.1756-E10-34
EM19	ALFILFILM_20050203.1756-E10-35
EM20	ALFILFILM_20050203.1756-E10-36
EM21	ALFILFILM_20050203.1756-E3-37
EM22	ALFILFILM_20050203.1756-E3-38
EM23	ALFILFILM_20050203.1756-E3-39
R1	ALFILFILM_20050203.1756-R1
R2	ALFILFILM_20050203.1756-R2
R4	ALFILFILM_20050203.1756-R3
R5	ALFILFILM_20050203.1756-R4
R6	ALFILFILM_20050203.1756-R5
R7	ALFILFILM_20050203.1756-R6
RM1	ALFILFILM_20050203.1756-R1-1
RM2	ALFILFILM_20050203.1756-R2-1
RM4	ALFILFILM_20050203.1756-R3-1
RM5	ALFILFILM_20050203.1756-R3-2
RM6	ALFILFILM_20050203.1756-R5-1
RM7	ALFILFILM_20050203.1756-R6-1
V1	ALFILFILM_20050203.1756-EV1
V5	ALFILFILM_20050203.1756-EV2
VM1	ALFILFILM_20050203.1756-EV1-1
VM5	ALFILFILM_20050203.1756-EV2-1
Q1	ALFILFILM_20050203.1756-T1
Q2	ALFILFILM_20050203.1756-T2
Q3	ALFILFILM_20050203.1756-T3
