CE2	AZZAMOH_20041227.0120-CE1
CE3	AZZAMOH_20041227.0120-CE2
CE4	AZZAMOH_20041227.0120-CE3
CE5	AZZAMOH_20041227.0120-CE4
CE6	AZZAMOH_20041227.0120-CE5
CE7	AZZAMOH_20041227.0120-CE6
CE8	AZZAMOH_20041227.0120-CE7
CE9	AZZAMOH_20041227.0120-CE8
CE10	AZZAMOH_20041227.0120-CE9
CE11	AZZAMOH_20041227.0120-CE10
CE12	AZZAMOH_20041227.0120-CE11
CE13	AZZAMOH_20041227.0120-CE12
CE14	AZZAMOH_20041227.0120-CE13
CE15	AZZAMOH_20041227.0120-CE14
CE16	AZZAMOH_20041227.0120-CE15
CE17	AZZAMOH_20041227.0120-CE16
CE18	AZZAMOH_20041227.0120-CE17
CE1	AZZAMOH_20041227.0120-CE18
CE19	AZZAMOH_20041227.0120-CE19
CE20	AZZAMOH_20041227.0120-CE20
CE21	AZZAMOH_20041227.0120-CE21
CE22	AZZAMOH_20041227.0120-CE22
CE23	AZZAMOH_20041227.0120-CE23
CE24	AZZAMOH_20041227.0120-CE24
CE25	AZZAMOH_20041227.0120-CE25
CE27	AZZAMOH_20041227.0120-CE26
CE28	AZZAMOH_20041227.0120-CE27
CE29	AZZAMOH_20041227.0120-CE28
CE30	AZZAMOH_20041227.0120-CE29
E2	AZZAMOH_20041227.0120-E1
E3	AZZAMOH_20041227.0120-E2
E4	AZZAMOH_20041227.0120-E3
E5	AZZAMOH_20041227.0120-E4
E6	AZZAMOH_20041227.0120-E5
E7	AZZAMOH_20041227.0120-E6
E8	AZZAMOH_20041227.0120-E7
E9	AZZAMOH_20041227.0120-E8
E10	AZZAMOH_20041227.0120-E9
E11	AZZAMOH_20041227.0120-E10
E12	AZZAMOH_20041227.0120-E11
E13	AZZAMOH_20041227.0120-E12
E14	AZZAMOH_20041227.0120-E13
E15	AZZAMOH_20041227.0120-E14
E16	AZZAMOH_20041227.0120-E15
E1	AZZAMOH_20041227.0120-E16
E17	AZZAMOH_20041227.0120-E17
E18	AZZAMOH_20041227.0120-E18
E20	AZZAMOH_20041227.0120-E19
E21	AZZAMOH_20041227.0120-E20
E22	AZZAMOH_20041227.0120-E21
E23	AZZAMOH_20041227.0120-E22
E24	AZZAMOH_20041227.0120-E23
E25	AZZAMOH_20041227.0120-E24
E26	AZZAMOH_20041227.0120-E25
E28	AZZAMOH_20041227.0120-E26
E29	AZZAMOH_20041227.0120-E27
E30	AZZAMOH_20041227.0120-E28
E31	AZZAMOH_20041227.0120-E29
EM1	AZZAMOH_20041227.0120-E16-1
EM30	AZZAMOH_20041227.0120-E2-2
EM31	AZZAMOH_20041227.0120-E3-3
EM32	AZZAMOH_20041227.0120-E2-4
EM33	AZZAMOH_20041227.0120-E4-5
EM34	AZZAMOH_20041227.0120-E5-6
EM35	AZZAMOH_20041227.0120-E5-7
EM36	AZZAMOH_20041227.0120-E5-8
EM37	AZZAMOH_20041227.0120-E2-9
EM38	AZZAMOH_20041227.0120-E6-10
EM39	AZZAMOH_20041227.0120-E6-11
EM40	AZZAMOH_20041227.0120-E6-12
EM41	AZZAMOH_20041227.0120-E7-13
EM42	AZZAMOH_20041227.0120-E7-14
EM43	AZZAMOH_20041227.0120-E8-15
EM44	AZZAMOH_20041227.0120-E9-16
EM45	AZZAMOH_20041227.0120-E10-17
EM46	AZZAMOH_20041227.0120-E7-18
EM47	AZZAMOH_20041227.0120-E11-19
EM48	AZZAMOH_20041227.0120-E11-20
EM49	AZZAMOH_20041227.0120-E11-21
EM50	AZZAMOH_20041227.0120-E11-22
EM51	AZZAMOH_20041227.0120-E11-23
EM52	AZZAMOH_20041227.0120-E12-24
EM53	AZZAMOH_20041227.0120-E7-25
EM55	AZZAMOH_20041227.0120-E13-26
EM56	AZZAMOH_20041227.0120-E13-27
EM57	AZZAMOH_20041227.0120-E13-28
EM180	AZZAMOH_20041227.0120-E15-29
EM59	AZZAMOH_20041227.0120-E16-30
EM60	AZZAMOH_20041227.0120-E2-31
EM61	AZZAMOH_20041227.0120-E14-32
EM62	AZZAMOH_20041227.0120-E14-33
EM63	AZZAMOH_20041227.0120-E14-34
EM64	AZZAMOH_20041227.0120-E16-35
EM181	AZZAMOH_20041227.0120-E16-36
EM66	AZZAMOH_20041227.0120-E15-37
EM67	AZZAMOH_20041227.0120-E15-38
EM68	AZZAMOH_20041227.0120-E15-39
EM69	AZZAMOH_20041227.0120-E15-40
EM70	AZZAMOH_20041227.0120-E16-41
EM71	AZZAMOH_20041227.0120-E16-42
EM72	AZZAMOH_20041227.0120-E15-43
EM73	AZZAMOH_20041227.0120-E15-44
EM74	AZZAMOH_20041227.0120-E15-45
EM75	AZZAMOH_20041227.0120-E15-46
EM76	AZZAMOH_20041227.0120-E15-47
EM77	AZZAMOH_20041227.0120-E15-48
EM78	AZZAMOH_20041227.0120-E15-49
EM79	AZZAMOH_20041227.0120-E17-50
EM80	AZZAMOH_20041227.0120-E18-51
EM81	AZZAMOH_20041227.0120-E16-52
EM82	AZZAMOH_20041227.0120-E16-53
EM83	AZZAMOH_20041227.0120-E15-54
EM84	AZZAMOH_20041227.0120-E7-55
EM85	AZZAMOH_20041227.0120-E7-56
EM86	AZZAMOH_20041227.0120-E7-57
EM87	AZZAMOH_20041227.0120-E7-58
EM88	AZZAMOH_20041227.0120-E7-59
EM89	AZZAMOH_20041227.0120-E7-60
EM90	AZZAMOH_20041227.0120-E7-61
EM91	AZZAMOH_20041227.0120-E7-62
EM94	AZZAMOH_20041227.0120-E7-63
EM95	AZZAMOH_20041227.0120-E7-64
EM96	AZZAMOH_20041227.0120-E7-65
EM182	AZZAMOH_20041227.0120-E15-66
EM183	AZZAMOH_20041227.0120-E16-67
EM97	AZZAMOH_20041227.0120-E7-68
EM99	AZZAMOH_20041227.0120-E7-69
EM101	AZZAMOH_20041227.0120-E15-70
EM102	AZZAMOH_20041227.0120-E15-71
EM103	AZZAMOH_20041227.0120-E15-72
EM104	AZZAMOH_20041227.0120-E15-73
EM105	AZZAMOH_20041227.0120-E15-74
EM106	AZZAMOH_20041227.0120-E19-75
EM107	AZZAMOH_20041227.0120-E16-76
EM108	AZZAMOH_20041227.0120-E16-77
EM109	AZZAMOH_20041227.0120-E7-78
EM110	AZZAMOH_20041227.0120-E7-79
EM111	AZZAMOH_20041227.0120-E7-80
EM112	AZZAMOH_20041227.0120-E7-81
EM113	AZZAMOH_20041227.0120-E7-82
EM114	AZZAMOH_20041227.0120-E15-83
EM115	AZZAMOH_20041227.0120-E20-84
EM116	AZZAMOH_20041227.0120-E15-85
EM117	AZZAMOH_20041227.0120-E16-86
EM118	AZZAMOH_20041227.0120-E18-87
EM119	AZZAMOH_20041227.0120-E18-88
EM120	AZZAMOH_20041227.0120-E18-89
EM121	AZZAMOH_20041227.0120-E18-90
EM122	AZZAMOH_20041227.0120-E15-91
EM123	AZZAMOH_20041227.0120-E16-92
EM124	AZZAMOH_20041227.0120-E21-93
EM125	AZZAMOH_20041227.0120-E21-94
EM126	AZZAMOH_20041227.0120-E21-95
EM127	AZZAMOH_20041227.0120-E21-96
EM128	AZZAMOH_20041227.0120-E21-97
EM129	AZZAMOH_20041227.0120-E21-98
EM2	AZZAMOH_20041227.0120-E16-99
EM130	AZZAMOH_20041227.0120-E21-100
EM131	AZZAMOH_20041227.0120-E21-101
EM132	AZZAMOH_20041227.0120-E22-102
EM133	AZZAMOH_20041227.0120-E23-103
EM134	AZZAMOH_20041227.0120-E23-104
EM135	AZZAMOH_20041227.0120-E23-105
EM136	AZZAMOH_20041227.0120-E16-106
EM137	AZZAMOH_20041227.0120-E23-107
EM138	AZZAMOH_20041227.0120-E23-108
EM139	AZZAMOH_20041227.0120-E24-109
EM140	AZZAMOH_20041227.0120-E24-110
EM141	AZZAMOH_20041227.0120-E24-111
EM142	AZZAMOH_20041227.0120-E24-112
EM143	AZZAMOH_20041227.0120-E23-113
EM144	AZZAMOH_20041227.0120-E23-114
EM145	AZZAMOH_20041227.0120-E23-115
EM146	AZZAMOH_20041227.0120-E23-116
EM147	AZZAMOH_20041227.0120-E23-117
EM148	AZZAMOH_20041227.0120-E23-118
EM149	AZZAMOH_20041227.0120-E24-119
EM150	AZZAMOH_20041227.0120-E24-120
EM151	AZZAMOH_20041227.0120-E24-121
EM152	AZZAMOH_20041227.0120-E24-122
EM153	AZZAMOH_20041227.0120-E25-123
EM154	AZZAMOH_20041227.0120-E25-124
EM155	AZZAMOH_20041227.0120-E7-125
EM156	AZZAMOH_20041227.0120-E21-126
EM157	AZZAMOH_20041227.0120-E18-127
EM158	AZZAMOH_20041227.0120-E26-128
EM159	AZZAMOH_20041227.0120-E27-129
EM160	AZZAMOH_20041227.0120-E7-130
EM161	AZZAMOH_20041227.0120-E28-131
EM162	AZZAMOH_20041227.0120-E28-132
EM163	AZZAMOH_20041227.0120-E29-133
EM164	AZZAMOH_20041227.0120-E29-134
EM165	AZZAMOH_20041227.0120-E29-135
EM166	AZZAMOH_20041227.0120-E29-136
EM167	AZZAMOH_20041227.0120-E21-137
EM168	AZZAMOH_20041227.0120-E18-138
EM169	AZZAMOH_20041227.0120-E16-139
EM170	AZZAMOH_20041227.0120-E15-140
EM171	AZZAMOH_20041227.0120-E7-141
EM172	AZZAMOH_20041227.0120-E7-142
EM173	AZZAMOH_20041227.0120-E21-143
EM174	AZZAMOH_20041227.0120-E21-144
EM175	AZZAMOH_20041227.0120-E16-145
EM3	AZZAMOH_20041227.0120-E16-146
EM176	AZZAMOH_20041227.0120-E16-147
EM177	AZZAMOH_20041227.0120-E16-148
EM178	AZZAMOH_20041227.0120-E16-149
EM4	AZZAMOH_20041227.0120-E16-150
EM5	AZZAMOH_20041227.0120-E16-151
EM7	AZZAMOH_20041227.0120-E16-152
EM8	AZZAMOH_20041227.0120-E16-153
EM9	AZZAMOH_20041227.0120-E16-154
EM10	AZZAMOH_20041227.0120-E16-155
EM11	AZZAMOH_20041227.0120-E16-156
EM12	AZZAMOH_20041227.0120-E16-157
EM13	AZZAMOH_20041227.0120-E16-158
EM14	AZZAMOH_20041227.0120-E16-159
EM15	AZZAMOH_20041227.0120-E16-160
EM16	AZZAMOH_20041227.0120-E16-161
EM17	AZZAMOH_20041227.0120-E16-162
EM18	AZZAMOH_20041227.0120-E16-163
EM19	AZZAMOH_20041227.0120-E16-164
EM20	AZZAMOH_20041227.0120-E16-165
EM21	AZZAMOH_20041227.0120-E16-166
EM179	AZZAMOH_20041227.0120-E14-167
EM23	AZZAMOH_20041227.0120-E16-168
EM24	AZZAMOH_20041227.0120-E16-169
EM25	AZZAMOH_20041227.0120-E16-170
EM26	AZZAMOH_20041227.0120-E16-171
EM27	AZZAMOH_20041227.0120-E16-172
EM28	AZZAMOH_20041227.0120-E16-173
EM29	AZZAMOH_20041227.0120-E1-174
R1	AZZAMOH_20041227.0120-R1
R2	AZZAMOH_20041227.0120-R2
