CE5	BANYADAM_20050225.0158-CE1
CE1	BANYADAM_20050225.0158-CE2
CE2	BANYADAM_20050225.0158-CE3
CE3	BANYADAM_20050225.0158-CE4
CE4	BANYADAM_20050225.0158-CE5
E5	BANYADAM_20050225.0158-E1
E1	BANYADAM_20050225.0158-E2
E2	BANYADAM_20050225.0158-E3
E3	BANYADAM_20050225.0158-E4
E4	BANYADAM_20050225.0158-E5
EM1	BANYADAM_20050225.0158-E2-1
EM26	BANYADAM_20050225.0158-E2-2
EM27	BANYADAM_20050225.0158-E3-3
EM28	BANYADAM_20050225.0158-E2-4
EM29	BANYADAM_20050225.0158-E2-5
EM31	BANYADAM_20050225.0158-E2-6
EM32	BANYADAM_20050225.0158-E2-7
EM2	BANYADAM_20050225.0158-E2-8
EM3	BANYADAM_20050225.0158-E2-9
EM4	BANYADAM_20050225.0158-E2-10
EM5	BANYADAM_20050225.0158-E2-11
EM6	BANYADAM_20050225.0158-E2-12
EM7	BANYADAM_20050225.0158-E2-13
EM9	BANYADAM_20050225.0158-E2-14
EM10	BANYADAM_20050225.0158-E2-15
EM11	BANYADAM_20050225.0158-E2-16
EM12	BANYADAM_20050225.0158-E2-17
EM13	BANYADAM_20050225.0158-E3-18
EM14	BANYADAM_20050225.0158-E3-19
EM15	BANYADAM_20050225.0158-E2-20
EM16	BANYADAM_20050225.0158-E3-21
EM17	BANYADAM_20050225.0158-E3-22
EM18	BANYADAM_20050225.0158-E3-23
EM19	BANYADAM_20050225.0158-E3-24
EM20	BANYADAM_20050225.0158-E3-25
EM21	BANYADAM_20050225.0158-E3-26
EM22	BANYADAM_20050225.0158-E3-27
EM23	BANYADAM_20050225.0158-E4-28
EM24	BANYADAM_20050225.0158-E2-29
EM25	BANYADAM_20050225.0158-E5-30
EM33	BANYADAM_20050225.0158-E1-31
Q1	BANYADAM_20050225.0158-T1
Q2	BANYADAM_20050225.0158-T2
