CE12	DIGRESSING_20050217.1534-CE1
CE13	DIGRESSING_20050217.1534-CE2
CE14	DIGRESSING_20050217.1534-CE3
CE15	DIGRESSING_20050217.1534-CE4
CE16	DIGRESSING_20050217.1534-CE5
CE17	DIGRESSING_20050217.1534-CE6
CE18	DIGRESSING_20050217.1534-CE7
CE19	DIGRESSING_20050217.1534-CE8
CE20	DIGRESSING_20050217.1534-CE9
CE22	DIGRESSING_20050217.1534-CE10
CE23	DIGRESSING_20050217.1534-CE11
CE24	DIGRESSING_20050217.1534-CE12
CE25	DIGRESSING_20050217.1534-CE13
CE26	DIGRESSING_20050217.1534-CE14
CE27	DIGRESSING_20050217.1534-CE15
CE28	DIGRESSING_20050217.1534-CE16
CE29	DIGRESSING_20050217.1534-CE17
CE30	DIGRESSING_20050217.1534-CE18
CE31	DIGRESSING_20050217.1534-CE19
CE32	DIGRESSING_20050217.1534-CE20
CE1	DIGRESSING_20050217.1534-CE21
CE35	DIGRESSING_20050217.1534-CE22
CE34	DIGRESSING_20050217.1534-CE23
CE36	DIGRESSING_20050217.1534-CE24
CE37	DIGRESSING_20050217.1534-CE25
CE38	DIGRESSING_20050217.1534-CE26
CE39	DIGRESSING_20050217.1534-CE27
CE40	DIGRESSING_20050217.1534-CE28
CE41	DIGRESSING_20050217.1534-CE29
CE42	DIGRESSING_20050217.1534-CE30
CE43	DIGRESSING_20050217.1534-CE31
CE44	DIGRESSING_20050217.1534-CE32
CE45	DIGRESSING_20050217.1534-CE33
CE46	DIGRESSING_20050217.1534-CE34
CE47	DIGRESSING_20050217.1534-CE35
CE55	DIGRESSING_20050217.1534-CE36
CE48	DIGRESSING_20050217.1534-CE37
CE49	DIGRESSING_20050217.1534-CE38
CE50	DIGRESSING_20050217.1534-CE39
CE51	DIGRESSING_20050217.1534-CE40
CE52	DIGRESSING_20050217.1534-CE41
CE53	DIGRESSING_20050217.1534-CE42
CE2	DIGRESSING_20050217.1534-CE43
CE3	DIGRESSING_20050217.1534-CE44
CE4	DIGRESSING_20050217.1534-CE45
CE5	DIGRESSING_20050217.1534-CE46
CE7	DIGRESSING_20050217.1534-CE47
CE8	DIGRESSING_20050217.1534-CE48
CE9	DIGRESSING_20050217.1534-CE49
CE10	DIGRESSING_20050217.1534-CE50
CE11	DIGRESSING_20050217.1534-CE51
E14	DIGRESSING_20050217.1534-E1
E15	DIGRESSING_20050217.1534-E2
E16	DIGRESSING_20050217.1534-E3
E17	DIGRESSING_20050217.1534-E4
E18	DIGRESSING_20050217.1534-E5
E19	DIGRESSING_20050217.1534-E6
E20	DIGRESSING_20050217.1534-E7
E21	DIGRESSING_20050217.1534-E8
E22	DIGRESSING_20050217.1534-E9
E47	DIGRESSING_20050217.1534-E10
E23	DIGRESSING_20050217.1534-E11
E24	DIGRESSING_20050217.1534-E12
E25	DIGRESSING_20050217.1534-E13
E26	DIGRESSING_20050217.1534-E14
E27	DIGRESSING_20050217.1534-E15
E29	DIGRESSING_20050217.1534-E16
E30	DIGRESSING_20050217.1534-E17
E31	DIGRESSING_20050217.1534-E18
E32	DIGRESSING_20050217.1534-E19
E33	DIGRESSING_20050217.1534-E20
E34	DIGRESSING_20050217.1534-E21
E35	DIGRESSING_20050217.1534-E22
E36	DIGRESSING_20050217.1534-E23
E37	DIGRESSING_20050217.1534-E24
E1	DIGRESSING_20050217.1534-E25
E39	DIGRESSING_20050217.1534-E26
E40	DIGRESSING_20050217.1534-E27
E48	DIGRESSING_20050217.1534-E28
E41	DIGRESSING_20050217.1534-E29
E42	DIGRESSING_20050217.1534-E30
E43	DIGRESSING_20050217.1534-E31
E72	DIGRESSING_20050217.1534-E32
E46	DIGRESSING_20050217.1534-E33
E49	DIGRESSING_20050217.1534-E34
E50	DIGRESSING_20050217.1534-E35
E51	DIGRESSING_20050217.1534-E36
E52	DIGRESSING_20050217.1534-E37
E53	DIGRESSING_20050217.1534-E38
E54	DIGRESSING_20050217.1534-E39
E55	DIGRESSING_20050217.1534-E40
E56	DIGRESSING_20050217.1534-E41
