CE4	ENSANKHORDA_20050215.0843-CE1
CE5	ENSANKHORDA_20050215.0843-CE2
CE6	ENSANKHORDA_20050215.0843-CE3
CE7	ENSANKHORDA_20050215.0843-CE4
CE8	ENSANKHORDA_20050215.0843-CE5
CE9	ENSANKHORDA_20050215.0843-CE6
CE10	ENSANKHORDA_20050215.0843-CE7
CE11	ENSANKHORDA_20050215.0843-CE8
CE12	ENSANKHORDA_20050215.0843-CE9
CE13	ENSANKHORDA_20050215.0843-CE10
CE14	ENSANKHORDA_20050215.0843-CE11
CE1	ENSANKHORDA_20050215.0843-CE12
CE2	ENSANKHORDA_20050215.0843-CE13
CE3	ENSANKHORDA_20050215.0843-CE14
E4	ENSANKHORDA_20050215.0843-E1
E5	ENSANKHORDA_20050215.0843-E2
E6	ENSANKHORDA_20050215.0843-E3
E7	ENSANKHORDA_20050215.0843-E4
E8	ENSANKHORDA_20050215.0843-E5
E9	ENSANKHORDA_20050215.0843-E6
E10	ENSANKHORDA_20050215.0843-E7
E11	ENSANKHORDA_20050215.0843-E8
E12	ENSANKHORDA_20050215.0843-E9
E13	ENSANKHORDA_20050215.0843-E10
E14	ENSANKHORDA_20050215.0843-E11
E1	ENSANKHORDA_20050215.0843-E12
E2	ENSANKHORDA_20050215.0843-E13
E3	ENSANKHORDA_20050215.0843-E14
EM1	ENSANKHORDA_20050215.0843-E12-1
EM28	ENSANKHORDA_20050215.0843-E12-2
EM29	ENSANKHORDA_20050215.0843-E12-3
EM30	ENSANKHORDA_20050215.0843-E13-4
EM31	ENSANKHORDA_20050215.0843-E13-5
EM32	ENSANKHORDA_20050215.0843-E12-6
EM43	ENSANKHORDA_20050215.0843-E3-7
EM35	ENSANKHORDA_20050215.0843-E1-8
EM36	ENSANKHORDA_20050215.0843-E1-9
EM37	ENSANKHORDA_20050215.0843-E1-10
EM38	ENSANKHORDA_20050215.0843-E2-11
EM39	ENSANKHORDA_20050215.0843-E2-12
EM40	ENSANKHORDA_20050215.0843-E1-13
EM41	ENSANKHORDA_20050215.0843-E12-14
EM42	ENSANKHORDA_20050215.0843-E12-15
EM44	ENSANKHORDA_20050215.0843-E3-16
EM45	ENSANKHORDA_20050215.0843-E4-17
EM46	ENSANKHORDA_20050215.0843-E4-18
EM47	ENSANKHORDA_20050215.0843-E4-19
EM48	ENSANKHORDA_20050215.0843-E4-20
EM49	ENSANKHORDA_20050215.0843-E3-21
EM50	ENSANKHORDA_20050215.0843-E5-22
EM51	ENSANKHORDA_20050215.0843-E3-23
EM52	ENSANKHORDA_20050215.0843-E3-24
EM53	ENSANKHORDA_20050215.0843-E3-25
EM54	ENSANKHORDA_20050215.0843-E3-26
EM55	ENSANKHORDA_20050215.0843-E6-27
EM56	ENSANKHORDA_20050215.0843-E5-28
EM57	ENSANKHORDA_20050215.0843-E7-29
EM58	ENSANKHORDA_20050215.0843-E8-30
EM59	ENSANKHORDA_20050215.0843-E8-31
EM60	ENSANKHORDA_20050215.0843-E9-32
EM61	ENSANKHORDA_20050215.0843-E10-33
EM63	ENSANKHORDA_20050215.0843-E14-34
EM64	ENSANKHORDA_20050215.0843-E12-35
EM65	ENSANKHORDA_20050215.0843-E13-36
EM24	ENSANKHORDA_20050215.0843-E13-37
EM66	ENSANKHORDA_20050215.0843-E3-38
EM67	ENSANKHORDA_20050215.0843-E11-39
EM2	ENSANKHORDA_20050215.0843-E13-40
EM3	ENSANKHORDA_20050215.0843-E12-41
EM4	ENSANKHORDA_20050215.0843-E12-42
EM5	ENSANKHORDA_20050215.0843-E12-43
EM6	ENSANKHORDA_20050215.0843-E14-44
EM7	ENSANKHORDA_20050215.0843-E13-45
EM33	ENSANKHORDA_20050215.0843-E1-46
EM9	ENSANKHORDA_20050215.0843-E12-47
EM11	ENSANKHORDA_20050215.0843-E13-48
EM12	ENSANKHORDA_20050215.0843-E13-49
EM13	ENSANKHORDA_20050215.0843-E12-50
EM14	ENSANKHORDA_20050215.0843-E12-51
EM15	ENSANKHORDA_20050215.0843-E13-52
EM16	ENSANKHORDA_20050215.0843-E12-53
EM17	ENSANKHORDA_20050215.0843-E13-54
EM18	ENSANKHORDA_20050215.0843-E12-55
EM19	ENSANKHORDA_20050215.0843-E12-56
EM20	ENSANKHORDA_20050215.0843-E13-57
EM21	ENSANKHORDA_20050215.0843-E13-58
EM22	ENSANKHORDA_20050215.0843-E13-59
EM23	ENSANKHORDA_20050215.0843-E12-60
EM25	ENSANKHORDA_20050215.0843-E12-61
EM26	ENSANKHORDA_20050215.0843-E12-62
EM27	ENSANKHORDA_20050215.0843-E12-63
R1	ENSANKHORDA_20050215.0843-R1
RM1	ENSANKHORDA_20050215.0843-R1-1
Q1	ENSANKHORDA_20050215.0843-T1
Q2	ENSANKHORDA_20050215.0843-T2
Q3	ENSANKHORDA_20050215.0843-T3
Q4	ENSANKHORDA_20050215.0843-T4
Q5	ENSANKHORDA_20050215.0843-T5
