CE9	GLIMMERMAN_20050118.0339-CE1
CE10	GLIMMERMAN_20050118.0339-CE2
CE11	GLIMMERMAN_20050118.0339-CE3
CE1	GLIMMERMAN_20050118.0339-CE4
CE2	GLIMMERMAN_20050118.0339-CE5
CE3	GLIMMERMAN_20050118.0339-CE6
CE4	GLIMMERMAN_20050118.0339-CE7
CE5	GLIMMERMAN_20050118.0339-CE8
CE6	GLIMMERMAN_20050118.0339-CE9
CE7	GLIMMERMAN_20050118.0339-CE10
CE8	GLIMMERMAN_20050118.0339-CE11
E9	GLIMMERMAN_20050118.0339-E1
E10	GLIMMERMAN_20050118.0339-E2
E11	GLIMMERMAN_20050118.0339-E3
E12	GLIMMERMAN_20050118.0339-E4
E13	GLIMMERMAN_20050118.0339-E5
E14	GLIMMERMAN_20050118.0339-E6
E15	GLIMMERMAN_20050118.0339-E7
E16	GLIMMERMAN_20050118.0339-E8
E1	GLIMMERMAN_20050118.0339-E9
E2	GLIMMERMAN_20050118.0339-E10
E3	GLIMMERMAN_20050118.0339-E11
E4	GLIMMERMAN_20050118.0339-E12
E5	GLIMMERMAN_20050118.0339-E13
E6	GLIMMERMAN_20050118.0339-E14
E7	GLIMMERMAN_20050118.0339-E15
E8	GLIMMERMAN_20050118.0339-E16
EM1	GLIMMERMAN_20050118.0339-E9-1
EM16	GLIMMERMAN_20050118.0339-E16-2
EM17	GLIMMERMAN_20050118.0339-E16-3
EM18	GLIMMERMAN_20050118.0339-E1-4
EM19	GLIMMERMAN_20050118.0339-E1-5
EM21	GLIMMERMAN_20050118.0339-E16-6
EM22	GLIMMERMAN_20050118.0339-E1-7
EM23	GLIMMERMAN_20050118.0339-E1-8
EM24	GLIMMERMAN_20050118.0339-E16-9
EM25	GLIMMERMAN_20050118.0339-E11-10
EM26	GLIMMERMAN_20050118.0339-E10-11
EM27	GLIMMERMAN_20050118.0339-E11-12
EM28	GLIMMERMAN_20050118.0339-E2-13
EM29	GLIMMERMAN_20050118.0339-E3-14
EM30	GLIMMERMAN_20050118.0339-E4-15
EM31	GLIMMERMAN_20050118.0339-E5-16
EM32	GLIMMERMAN_20050118.0339-E6-17
EM33	GLIMMERMAN_20050118.0339-E1-18
EM34	GLIMMERMAN_20050118.0339-E12-19
EM35	GLIMMERMAN_20050118.0339-E13-20
EM36	GLIMMERMAN_20050118.0339-E13-21
EM37	GLIMMERMAN_20050118.0339-E1-22
EM38	GLIMMERMAN_20050118.0339-E1-23
EM39	GLIMMERMAN_20050118.0339-E10-24
EM40	GLIMMERMAN_20050118.0339-E10-25
EM41	GLIMMERMAN_20050118.0339-E10-26
EM42	GLIMMERMAN_20050118.0339-E10-27
EM43	GLIMMERMAN_20050118.0339-E10-28
EM44	GLIMMERMAN_20050118.0339-E16-29
EM45	GLIMMERMAN_20050118.0339-E7-30
EM46	GLIMMERMAN_20050118.0339-E9-31
EM47	GLIMMERMAN_20050118.0339-E9-32
EM48	GLIMMERMAN_20050118.0339-E9-33
EM49	GLIMMERMAN_20050118.0339-E9-34
EM50	GLIMMERMAN_20050118.0339-E12-35
EM51	GLIMMERMAN_20050118.0339-E1-36
EM52	GLIMMERMAN_20050118.0339-E8-37
EM2	GLIMMERMAN_20050118.0339-E10-38
EM3	GLIMMERMAN_20050118.0339-E10-39
EM4	GLIMMERMAN_20050118.0339-E10-40
EM5	GLIMMERMAN_20050118.0339-E10-41
EM6	GLIMMERMAN_20050118.0339-E10-42
EM7	GLIMMERMAN_20050118.0339-E11-43
EM8	GLIMMERMAN_20050118.0339-E12-44
EM9	GLIMMERMAN_20050118.0339-E13-45
EM10	GLIMMERMAN_20050118.0339-E14-46
EM11	GLIMMERMAN_20050118.0339-E15-47
EM12	GLIMMERMAN_20050118.0339-E15-48
EM13	GLIMMERMAN_20050118.0339-E16-49
Q1	GLIMMERMAN_20050118.0339-T1
Q2	GLIMMERMAN_20050118.0339-T2
Q3	GLIMMERMAN_20050118.0339-T3
Q4	GLIMMERMAN_20050118.0339-T4
Q5	GLIMMERMAN_20050118.0339-T5
Q6	GLIMMERMAN_20050118.0339-T6
