CE4	MELEGY_20050220.1954-CE1
CE5	MELEGY_20050220.1954-CE2
CE6	MELEGY_20050220.1954-CE3
CE7	MELEGY_20050220.1954-CE4
CE8	MELEGY_20050220.1954-CE5
CE9	MELEGY_20050220.1954-CE6
CE11	MELEGY_20050220.1954-CE7
CE12	MELEGY_20050220.1954-CE8
CE13	MELEGY_20050220.1954-CE9
CE14	MELEGY_20050220.1954-CE10
CE15	MELEGY_20050220.1954-CE11
CE16	MELEGY_20050220.1954-CE12
CE17	MELEGY_20050220.1954-CE13
CE18	MELEGY_20050220.1954-CE14
CE1	MELEGY_20050220.1954-CE15
CE19	MELEGY_20050220.1954-CE16
CE20	MELEGY_20050220.1954-CE17
CE21	MELEGY_20050220.1954-CE18
CE22	MELEGY_20050220.1954-CE19
CE23	MELEGY_20050220.1954-CE20
CE2	MELEGY_20050220.1954-CE21
CE3	MELEGY_20050220.1954-CE22
E4	MELEGY_20050220.1954-E1
E5	MELEGY_20050220.1954-E2
E6	MELEGY_20050220.1954-E3
E7	MELEGY_20050220.1954-E4
E8	MELEGY_20050220.1954-E5
E9	MELEGY_20050220.1954-E6
E23	MELEGY_20050220.1954-E7
E11	MELEGY_20050220.1954-E8
E12	MELEGY_20050220.1954-E9
E1	MELEGY_20050220.1954-E10
E13	MELEGY_20050220.1954-E11
E14	MELEGY_20050220.1954-E12
E15	MELEGY_20050220.1954-E13
E16	MELEGY_20050220.1954-E14
E17	MELEGY_20050220.1954-E15
E18	MELEGY_20050220.1954-E16
E19	MELEGY_20050220.1954-E17
E20	MELEGY_20050220.1954-E18
E21	MELEGY_20050220.1954-E19
E22	MELEGY_20050220.1954-E20
E2	MELEGY_20050220.1954-E21
E3	MELEGY_20050220.1954-E22
EM1	MELEGY_20050220.1954-E10-1
EM28	MELEGY_20050220.1954-E22-2
EM29	MELEGY_20050220.1954-E22-3
EM30	MELEGY_20050220.1954-E22-4
EM31	MELEGY_20050220.1954-E10-5
EM32	MELEGY_20050220.1954-E10-6
EM33	MELEGY_20050220.1954-E10-7
EM34	MELEGY_20050220.1954-E1-8
EM35	MELEGY_20050220.1954-E2-9
EM36	MELEGY_20050220.1954-E10-10
EM37	MELEGY_20050220.1954-E10-11
EM38	MELEGY_20050220.1954-E10-12
EM39	MELEGY_20050220.1954-E10-13
EM40	MELEGY_20050220.1954-E10-14
EM41	MELEGY_20050220.1954-E10-15
EM42	MELEGY_20050220.1954-E10-16
EM43	MELEGY_20050220.1954-E3-17
EM44	MELEGY_20050220.1954-E3-18
EM45	MELEGY_20050220.1954-E3-19
EM46	MELEGY_20050220.1954-E3-20
EM47	MELEGY_20050220.1954-E3-21
EM48	MELEGY_20050220.1954-E3-22
EM49	MELEGY_20050220.1954-E4-23
EM50	MELEGY_20050220.1954-E2-24
EM51	MELEGY_20050220.1954-E10-25
EM52	MELEGY_20050220.1954-E10-26
EM53	MELEGY_20050220.1954-E10-27
EM54	MELEGY_20050220.1954-E10-28
EM55	MELEGY_20050220.1954-E10-29
EM56	MELEGY_20050220.1954-E10-30
EM57	MELEGY_20050220.1954-E10-31
EM119	MELEGY_20050220.1954-E10-32
EM59	MELEGY_20050220.1954-E10-33
EM60	MELEGY_20050220.1954-E5-34
EM61	MELEGY_20050220.1954-E10-35
EM62	MELEGY_20050220.1954-E6-36
EM63	MELEGY_20050220.1954-E6-37
EM64	MELEGY_20050220.1954-E6-38
EM65	MELEGY_20050220.1954-E6-39
EM66	MELEGY_20050220.1954-E10-40
EM68	MELEGY_20050220.1954-E6-41
EM69	MELEGY_20050220.1954-E6-42
EM70	MELEGY_20050220.1954-E6-43
EM71	MELEGY_20050220.1954-E6-44
EM72	MELEGY_20050220.1954-E6-45
EM73	MELEGY_20050220.1954-E6-46
EM117	MELEGY_20050220.1954-E7-47
EM75	MELEGY_20050220.1954-E6-48
EM76	MELEGY_20050220.1954-E8-49
EM77	MELEGY_20050220.1954-E8-50
EM78	MELEGY_20050220.1954-E9-51
EM79	MELEGY_20050220.1954-E9-52
EM80	MELEGY_20050220.1954-E9-53
EM81	MELEGY_20050220.1954-E9-54
EM82	MELEGY_20050220.1954-E9-55
EM83	MELEGY_20050220.1954-E9-56
EM85	MELEGY_20050220.1954-E11-57
EM86	MELEGY_20050220.1954-E12-58
EM87	MELEGY_20050220.1954-E12-59
EM88	MELEGY_20050220.1954-E10-60
EM89	MELEGY_20050220.1954-E12-61
EM90	MELEGY_20050220.1954-E12-62
EM91	MELEGY_20050220.1954-E10-63
EM92	MELEGY_20050220.1954-E10-64
EM93	MELEGY_20050220.1954-E13-65
EM94	MELEGY_20050220.1954-E13-66
EM95	MELEGY_20050220.1954-E14-67
EM96	MELEGY_20050220.1954-E15-68
EM97	MELEGY_20050220.1954-E16-69
EM98	MELEGY_20050220.1954-E13-70
EM99	MELEGY_20050220.1954-E13-71
EM100	MELEGY_20050220.1954-E10-72
EM101	MELEGY_20050220.1954-E2-73
EM102	MELEGY_20050220.1954-E4-74
EM103	MELEGY_20050220.1954-E17-75
EM104	MELEGY_20050220.1954-E18-76
EM105	MELEGY_20050220.1954-E19-77
EM106	MELEGY_20050220.1954-E20-78
EM107	MELEGY_20050220.1954-E19-79
EM108	MELEGY_20050220.1954-E20-80
EM109	MELEGY_20050220.1954-E20-81
EM110	MELEGY_20050220.1954-E18-82
EM111	MELEGY_20050220.1954-E18-83
EM112	MELEGY_20050220.1954-E18-84
EM113	MELEGY_20050220.1954-E18-85
EM114	MELEGY_20050220.1954-E18-86
EM115	MELEGY_20050220.1954-E10-87
EM2	MELEGY_20050220.1954-E10-88
EM118	MELEGY_20050220.1954-E8-89
EM3	MELEGY_20050220.1954-E10-90
EM4	MELEGY_20050220.1954-E10-91
EM5	MELEGY_20050220.1954-E10-92
EM6	MELEGY_20050220.1954-E10-93
EM7	MELEGY_20050220.1954-E10-94
EM8	MELEGY_20050220.1954-E10-95
EM9	MELEGY_20050220.1954-E21-96
EM10	MELEGY_20050220.1954-E10-97
EM12	MELEGY_20050220.1954-E10-98
EM13	MELEGY_20050220.1954-E10-99
EM14	MELEGY_20050220.1954-E10-100
EM15	MELEGY_20050220.1954-E10-101
EM16	MELEGY_20050220.1954-E10-102
EM17	MELEGY_20050220.1954-E10-103
EM18	MELEGY_20050220.1954-E10-104
EM19	MELEGY_20050220.1954-E10-105
EM20	MELEGY_20050220.1954-E10-106
EM21	MELEGY_20050220.1954-E10-107
EM22	MELEGY_20050220.1954-E10-108
EM23	MELEGY_20050220.1954-E22-109
EM24	MELEGY_20050220.1954-E22-110
EM25	MELEGY_20050220.1954-E22-111
EM26	MELEGY_20050220.1954-E22-112
EM27	MELEGY_20050220.1954-E22-113
R2	MELEGY_20050220.1954-R1
RM2	MELEGY_20050220.1954-R1-1
V1	MELEGY_20050220.1954-EV1
V2	MELEGY_20050220.1954-EV2
VM1	MELEGY_20050220.1954-EV1-1
VM2	MELEGY_20050220.1954-EV2-1
Q1	MELEGY_20050220.1954-T1
Q3	MELEGY_20050220.1954-T2
Q4	MELEGY_20050220.1954-T3
Q6	MELEGY_20050220.1954-T4
Q7	MELEGY_20050220.1954-T5
Q8	MELEGY_20050220.1954-T6
Q9	MELEGY_20050220.1954-T7
Q10	MELEGY_20050220.1954-T8
Q11	MELEGY_20050220.1954-T9
Q12	MELEGY_20050220.1954-T10
Q13	MELEGY_20050220.1954-T11
Q14	MELEGY_20050220.1954-T12
Q15	MELEGY_20050220.1954-T13
