CE9	MISRDIGITAL_20050126.0079-CE1
CE10	MISRDIGITAL_20050126.0079-CE2
CE11	MISRDIGITAL_20050126.0079-CE3
CE13	MISRDIGITAL_20050126.0079-CE4
CE14	MISRDIGITAL_20050126.0079-CE5
CE15	MISRDIGITAL_20050126.0079-CE6
CE16	MISRDIGITAL_20050126.0079-CE7
CE17	MISRDIGITAL_20050126.0079-CE8
CE18	MISRDIGITAL_20050126.0079-CE9
CE19	MISRDIGITAL_20050126.0079-CE10
CE1	MISRDIGITAL_20050126.0079-CE11
CE2	MISRDIGITAL_20050126.0079-CE12
CE4	MISRDIGITAL_20050126.0079-CE13
CE5	MISRDIGITAL_20050126.0079-CE14
CE6	MISRDIGITAL_20050126.0079-CE15
CE8	MISRDIGITAL_20050126.0079-CE16
E9	MISRDIGITAL_20050126.0079-E1
E10	MISRDIGITAL_20050126.0079-E2
E11	MISRDIGITAL_20050126.0079-E3
E13	MISRDIGITAL_20050126.0079-E4
E14	MISRDIGITAL_20050126.0079-E5
E15	MISRDIGITAL_20050126.0079-E6
E16	MISRDIGITAL_20050126.0079-E7
E17	MISRDIGITAL_20050126.0079-E8
E18	MISRDIGITAL_20050126.0079-E9
E19	MISRDIGITAL_20050126.0079-E10
E1	MISRDIGITAL_20050126.0079-E11
E2	MISRDIGITAL_20050126.0079-E12
E4	MISRDIGITAL_20050126.0079-E13
E5	MISRDIGITAL_20050126.0079-E14
E6	MISRDIGITAL_20050126.0079-E15
E8	MISRDIGITAL_20050126.0079-E16
EM1	MISRDIGITAL_20050126.0079-E11-1
EM24	MISRDIGITAL_20050126.0079-E1-2
EM25	MISRDIGITAL_20050126.0079-E1-3
EM26	MISRDIGITAL_20050126.0079-E1-4
EM27	MISRDIGITAL_20050126.0079-E1-5
EM28	MISRDIGITAL_20050126.0079-E2-6
EM29	MISRDIGITAL_20050126.0079-E3-7
EM30	MISRDIGITAL_20050126.0079-E3-8
EM31	MISRDIGITAL_20050126.0079-E3-9
EM32	MISRDIGITAL_20050126.0079-E3-10
EM34	MISRDIGITAL_20050126.0079-E4-11
EM35	MISRDIGITAL_20050126.0079-E5-12
EM36	MISRDIGITAL_20050126.0079-E5-13
EM37	MISRDIGITAL_20050126.0079-E5-14
EM38	MISRDIGITAL_20050126.0079-E5-15
EM39	MISRDIGITAL_20050126.0079-E6-16
EM40	MISRDIGITAL_20050126.0079-E11-17
EM42	MISRDIGITAL_20050126.0079-E5-18
EM43	MISRDIGITAL_20050126.0079-E5-19
EM44	MISRDIGITAL_20050126.0079-E5-20
EM45	MISRDIGITAL_20050126.0079-E5-21
EM46	MISRDIGITAL_20050126.0079-E7-22
EM47	MISRDIGITAL_20050126.0079-E11-23
EM48	MISRDIGITAL_20050126.0079-E7-24
EM49	MISRDIGITAL_20050126.0079-E7-25
EM50	MISRDIGITAL_20050126.0079-E13-26
EM51	MISRDIGITAL_20050126.0079-E11-27
EM52	MISRDIGITAL_20050126.0079-E11-28
EM53	MISRDIGITAL_20050126.0079-E11-29
EM54	MISRDIGITAL_20050126.0079-E8-30
EM55	MISRDIGITAL_20050126.0079-E8-31
EM56	MISRDIGITAL_20050126.0079-E9-32
EM57	MISRDIGITAL_20050126.0079-E10-33
EM58	MISRDIGITAL_20050126.0079-E10-34
EM60	MISRDIGITAL_20050126.0079-E3-35
EM61	MISRDIGITAL_20050126.0079-E3-36
EM2	MISRDIGITAL_20050126.0079-E12-37
EM62	MISRDIGITAL_20050126.0079-E12-38
EM63	MISRDIGITAL_20050126.0079-E12-39
EM64	MISRDIGITAL_20050126.0079-E14-40
EM5	MISRDIGITAL_20050126.0079-E13-41
EM7	MISRDIGITAL_20050126.0079-E14-42
EM8	MISRDIGITAL_20050126.0079-E14-43
EM9	MISRDIGITAL_20050126.0079-E14-44
EM10	MISRDIGITAL_20050126.0079-E15-45
EM11	MISRDIGITAL_20050126.0079-E14-46
EM12	MISRDIGITAL_20050126.0079-E14-47
EM13	MISRDIGITAL_20050126.0079-E11-48
EM14	MISRDIGITAL_20050126.0079-E14-49
EM16	MISRDIGITAL_20050126.0079-E14-50
EM17	MISRDIGITAL_20050126.0079-E15-51
EM18	MISRDIGITAL_20050126.0079-E15-52
EM19	MISRDIGITAL_20050126.0079-E15-53
EM21	MISRDIGITAL_20050126.0079-E14-54
EM23	MISRDIGITAL_20050126.0079-E16-55
R2	MISRDIGITAL_20050126.0079-R1
R4	MISRDIGITAL_20050126.0079-R2
R5	MISRDIGITAL_20050126.0079-R3
R6	MISRDIGITAL_20050126.0079-R4
R7	MISRDIGITAL_20050126.0079-R5
R8	MISRDIGITAL_20050126.0079-R6
RM2	MISRDIGITAL_20050126.0079-R1-1
RM4	MISRDIGITAL_20050126.0079-R2-1
RM5	MISRDIGITAL_20050126.0079-R3-1
RM6	MISRDIGITAL_20050126.0079-R4-1
RM7	MISRDIGITAL_20050126.0079-R5-1
RM8	MISRDIGITAL_20050126.0079-R6-1
V1	MISRDIGITAL_20050126.0079-EV1
V2	MISRDIGITAL_20050126.0079-EV2
V3	MISRDIGITAL_20050126.0079-EV3
V4	MISRDIGITAL_20050126.0079-EV4
VM1	MISRDIGITAL_20050126.0079-EV1-1
VM2	MISRDIGITAL_20050126.0079-EV2-1
VM3	MISRDIGITAL_20050126.0079-EV3-1
VM4	MISRDIGITAL_20050126.0079-EV4-1
Q4	MISRDIGITAL_20050126.0079-T1
Q1	MISRDIGITAL_20050126.0079-T2
Q2	MISRDIGITAL_20050126.0079-T3
Q3	MISRDIGITAL_20050126.0079-T4
