CE11	EGYDAYS_20050221.1227-CE1
CE12	EGYDAYS_20050221.1227-CE2
CE13	EGYDAYS_20050221.1227-CE3
CE14	EGYDAYS_20050221.1227-CE4
CE15	EGYDAYS_20050221.1227-CE5
CE16	EGYDAYS_20050221.1227-CE6
CE17	EGYDAYS_20050221.1227-CE7
CE18	EGYDAYS_20050221.1227-CE8
CE19	EGYDAYS_20050221.1227-CE9
CE20	EGYDAYS_20050221.1227-CE10
CE21	EGYDAYS_20050221.1227-CE11
CE1	EGYDAYS_20050221.1227-CE12
CE2	EGYDAYS_20050221.1227-CE13
CE3	EGYDAYS_20050221.1227-CE14
CE4	EGYDAYS_20050221.1227-CE15
CE5	EGYDAYS_20050221.1227-CE16
CE6	EGYDAYS_20050221.1227-CE17
CE7	EGYDAYS_20050221.1227-CE18
CE8	EGYDAYS_20050221.1227-CE19
CE9	EGYDAYS_20050221.1227-CE20
CE10	EGYDAYS_20050221.1227-CE21
E11	EGYDAYS_20050221.1227-E1
E12	EGYDAYS_20050221.1227-E2
E13	EGYDAYS_20050221.1227-E3
E15	EGYDAYS_20050221.1227-E4
E16	EGYDAYS_20050221.1227-E5
E18	EGYDAYS_20050221.1227-E6
E19	EGYDAYS_20050221.1227-E7
E20	EGYDAYS_20050221.1227-E8
E21	EGYDAYS_20050221.1227-E9
E22	EGYDAYS_20050221.1227-E10
E23	EGYDAYS_20050221.1227-E11
E24	EGYDAYS_20050221.1227-E12
E1	EGYDAYS_20050221.1227-E13
E2	EGYDAYS_20050221.1227-E14
E3	EGYDAYS_20050221.1227-E15
E4	EGYDAYS_20050221.1227-E16
E5	EGYDAYS_20050221.1227-E17
E6	EGYDAYS_20050221.1227-E18
E7	EGYDAYS_20050221.1227-E19
E8	EGYDAYS_20050221.1227-E20
E9	EGYDAYS_20050221.1227-E21
E10	EGYDAYS_20050221.1227-E22
EM1	EGYDAYS_20050221.1227-E13-1
EM21	EGYDAYS_20050221.1227-E1-2
EM22	EGYDAYS_20050221.1227-E2-3
EM23	EGYDAYS_20050221.1227-E3-4
EM24	EGYDAYS_20050221.1227-E4-5
EM25	EGYDAYS_20050221.1227-E20-6
