CE8	HADOUTA_20041226.1238-CE1
CE1	HADOUTA_20041226.1238-CE2
CE3	HADOUTA_20041226.1238-CE3
CE4	HADOUTA_20041226.1238-CE4
CE7	HADOUTA_20041226.1238-CE5
E8	HADOUTA_20041226.1238-E1
E1	HADOUTA_20041226.1238-E2
E3	HADOUTA_20041226.1238-E3
E4	HADOUTA_20041226.1238-E4
E7	HADOUTA_20041226.1238-E5
EM24	HADOUTA_20041226.1238-E2-1
EM25	HADOUTA_20041226.1238-E1-2
EM27	HADOUTA_20041226.1238-E2-3
EM28	HADOUTA_20041226.1238-E2-4
EM29	HADOUTA_20041226.1238-E2-5
EM30	HADOUTA_20041226.1238-E2-6
EM2	HADOUTA_20041226.1238-E2-7
EM31	HADOUTA_20041226.1238-E2-8
EM4	HADOUTA_20041226.1238-E2-9
EM6	HADOUTA_20041226.1238-E3-10
EM7	HADOUTA_20041226.1238-E4-11
EM8	HADOUTA_20041226.1238-E2-12
EM3	HADOUTA_20041226.1238-E3-13
EM9	HADOUTA_20041226.1238-E2-14
EM10	HADOUTA_20041226.1238-E2-15
EM14	HADOUTA_20041226.1238-E2-16
EM16	HADOUTA_20041226.1238-E2-17
EM17	HADOUTA_20041226.1238-E5-18
EM18	HADOUTA_20041226.1238-E2-19
EM19	HADOUTA_20041226.1238-E2-20
EM20	HADOUTA_20041226.1238-E2-21
EM21	HADOUTA_20041226.1238-E2-22
EM22	HADOUTA_20041226.1238-E2-23
EM23	HADOUTA_20041226.1238-E2-24
Q1	HADOUTA_20041226.1238-T1
Q2	HADOUTA_20041226.1238-T2
