CE16	CBS20001205.1000.0731-CE1
CE17	CBS20001205.1000.0731-CE2
CE18	CBS20001205.1000.0731-CE3
CE19	CBS20001205.1000.0731-CE4
CE20	CBS20001205.1000.0731-CE5
CE21	CBS20001205.1000.0731-CE6
CE23	CBS20001205.1000.0731-CE7
CE22	CBS20001205.1000.0731-CE8
CE24	CBS20001205.1000.0731-CE9
CE25	CBS20001205.1000.0731-CE10
CE26	CBS20001205.1000.0731-CE11
CE27	CBS20001205.1000.0731-CE12
CE28	CBS20001205.1000.0731-CE13
CE29	CBS20001205.1000.0731-CE14
CE30	CBS20001205.1000.0731-CE15
CE31	CBS20001205.1000.0731-CE16
CE32	CBS20001205.1000.0731-CE17
CE33	CBS20001205.1000.0731-CE18
CE34	CBS20001205.1000.0731-CE19
CE35	CBS20001205.1000.0731-CE20
CE36	CBS20001205.1000.0731-CE21
CE37	CBS20001205.1000.0731-CE22
CE38	CBS20001205.1000.0731-CE23
CE39	CBS20001205.1000.0731-CE24
CE40	CBS20001205.1000.0731-CE25
CE41	CBS20001205.1000.0731-CE26
CE46	CBS20001205.1000.0731-CE27
CE42	CBS20001205.1000.0731-CE28
CE43	CBS20001205.1000.0731-CE29
CE45	CBS20001205.1000.0731-CE30
CE44	CBS20001205.1000.0731-CE31
CE5	CBS20001205.1000.0731-CE32
CE1	CBS20001205.1000.0731-CE33
CE6	CBS20001205.1000.0731-CE34
CE3	CBS20001205.1000.0731-CE35
CE4	CBS20001205.1000.0731-CE36
CE8	CBS20001205.1000.0731-CE37
CE2	CBS20001205.1000.0731-CE38
CE7	CBS20001205.1000.0731-CE39
CE9	CBS20001205.1000.0731-CE40
CE10	CBS20001205.1000.0731-CE41
CE11	CBS20001205.1000.0731-CE42
CE12	CBS20001205.1000.0731-CE43
CE13	CBS20001205.1000.0731-CE44
CE14	CBS20001205.1000.0731-CE45
CE15	CBS20001205.1000.0731-CE46
E13	CBS20001205.1000.0731-E1
E14	CBS20001205.1000.0731-E2
E15	CBS20001205.1000.0731-E3
E16	CBS20001205.1000.0731-E4
E17	CBS20001205.1000.0731-E5
E18	CBS20001205.1000.0731-E6
