CE11	CNR20001016.1700.0645-CE1
CE12	CNR20001016.1700.0645-CE2
CE13	CNR20001016.1700.0645-CE3
CE14	CNR20001016.1700.0645-CE4
CE15	CNR20001016.1700.0645-CE5
CE16	CNR20001016.1700.0645-CE6
CE17	CNR20001016.1700.0645-CE7
CE18	CNR20001016.1700.0645-CE8
CE20	CNR20001016.1700.0645-CE9
CE19	CNR20001016.1700.0645-CE10
CE22	CNR20001016.1700.0645-CE11
CE21	CNR20001016.1700.0645-CE12
CE24	CNR20001016.1700.0645-CE13
CE23	CNR20001016.1700.0645-CE14
CE25	CNR20001016.1700.0645-CE15
CE26	CNR20001016.1700.0645-CE16
CE27	CNR20001016.1700.0645-CE17
CE29	CNR20001016.1700.0645-CE18
CE31	CNR20001016.1700.0645-CE19
CE32	CNR20001016.1700.0645-CE20
CE34	CNR20001016.1700.0645-CE21
CE35	CNR20001016.1700.0645-CE22
CE33	CNR20001016.1700.0645-CE23
CE53	CNR20001016.1700.0645-CE24
CE37	CNR20001016.1700.0645-CE25
CE39	CNR20001016.1700.0645-CE26
CE38	CNR20001016.1700.0645-CE27
CE40	CNR20001016.1700.0645-CE28
CE41	CNR20001016.1700.0645-CE29
CE42	CNR20001016.1700.0645-CE30
CE43	CNR20001016.1700.0645-CE31
CE45	CNR20001016.1700.0645-CE32
CE44	CNR20001016.1700.0645-CE33
CE46	CNR20001016.1700.0645-CE34
CE47	CNR20001016.1700.0645-CE35
CE48	CNR20001016.1700.0645-CE36
CE49	CNR20001016.1700.0645-CE37
CE51	CNR20001016.1700.0645-CE38
CE50	CNR20001016.1700.0645-CE39
CE52	CNR20001016.1700.0645-CE40
CE54	CNR20001016.1700.0645-CE41
CE55	CNR20001016.1700.0645-CE42
CE36	CNR20001016.1700.0645-CE43
CE2	CNR20001016.1700.0645-CE44
CE30	CNR20001016.1700.0645-CE45
CE4	CNR20001016.1700.0645-CE46
CE3	CNR20001016.1700.0645-CE47
CE1	CNR20001016.1700.0645-CE48
CE5	CNR20001016.1700.0645-CE49
CE6	CNR20001016.1700.0645-CE50
CE7	CNR20001016.1700.0645-CE51
CE8	CNR20001016.1700.0645-CE52
CE10	CNR20001016.1700.0645-CE53
CE9	CNR20001016.1700.0645-CE54
E14	CNR20001016.1700.0645-E1
E15	CNR20001016.1700.0645-E2
E16	CNR20001016.1700.0645-E3
E17	CNR20001016.1700.0645-E4
E18	CNR20001016.1700.0645-E5
E19	CNR20001016.1700.0645-E6
E20	CNR20001016.1700.0645-E7
E21	CNR20001016.1700.0645-E8
E22	CNR20001016.1700.0645-E9
E23	CNR20001016.1700.0645-E10
E24	CNR20001016.1700.0645-E11
E25	CNR20001016.1700.0645-E12
E26	CNR20001016.1700.0645-E13
E27	CNR20001016.1700.0645-E14
E28	CNR20001016.1700.0645-E15
E29	CNR20001016.1700.0645-E16
E30	CNR20001016.1700.0645-E17
E32	CNR20001016.1700.0645-E18
E63	CNR20001016.1700.0645-E19
E34	CNR20001016.1700.0645-E20
E35	CNR20001016.1700.0645-E21
E36	CNR20001016.1700.0645-E22
E37	CNR20001016.1700.0645-E23
E38	CNR20001016.1700.0645-E24
E40	CNR20001016.1700.0645-E25
E41	CNR20001016.1700.0645-E26
E42	CNR20001016.1700.0645-E27
E43	CNR20001016.1700.0645-E28
E44	CNR20001016.1700.0645-E29
E45	CNR20001016.1700.0645-E30
E46	CNR20001016.1700.0645-E31
E47	CNR20001016.1700.0645-E32
E48	CNR20001016.1700.0645-E33
E49	CNR20001016.1700.0645-E34
E50	CNR20001016.1700.0645-E35
E51	CNR20001016.1700.0645-E36
E52	CNR20001016.1700.0645-E37
E53	CNR20001016.1700.0645-E38
E54	CNR20001016.1700.0645-E39
E55	CNR20001016.1700.0645-E40
E56	CNR20001016.1700.0645-E41
E58	CNR20001016.1700.0645-E42
E59	CNR20001016.1700.0645-E43
E67	CNR20001016.1700.0645-E44
E2	CNR20001016.1700.0645-E45
E60	CNR20001016.1700.0645-E46
E3	CNR20001016.1700.0645-E47
E4	CNR20001016.1700.0645-E48
E5	CNR20001016.1700.0645-E49
E6	CNR20001016.1700.0645-E50
E7	CNR20001016.1700.0645-E51
E8	CNR20001016.1700.0645-E52
E9	CNR20001016.1700.0645-E53
E10	CNR20001016.1700.0645-E54
E11	CNR20001016.1700.0645-E55
E12	CNR20001016.1700.0645-E56
E13	CNR20001016.1700.0645-E57
EM13	CNR20001016.1700.0645-E54-1
EM20	CNR20001016.1700.0645-E1-2
EM21	CNR20001016.1700.0645-E2-3
EM22	CNR20001016.1700.0645-E3-4
EM23	CNR20001016.1700.0645-E4-5
EM24	CNR20001016.1700.0645-E5-6
EM25	CNR20001016.1700.0645-E6-7
EM26	CNR20001016.1700.0645-E7-8
EM27	CNR20001016.1700.0645-E51-9
EM16	CNR20001016.1700.0645-E54-10
EM28	CNR20001016.1700.0645-E8-11
EM29	CNR20001016.1700.0645-E9-12
EM30	CNR20001016.1700.0645-E10-13
EM31	CNR20001016.1700.0645-E11-14
EM32	CNR20001016.1700.0645-E12-15
EM33	CNR20001016.1700.0645-E13-16
EM34	CNR20001016.1700.0645-E51-17
EM35	CNR20001016.1700.0645-E14-18
EM38	CNR20001016.1700.0645-E14-19
EM36	CNR20001016.1700.0645-E15-20
EM37	CNR20001016.1700.0645-E16-21
EM39	CNR20001016.1700.0645-E51-22
EM40	CNR20001016.1700.0645-E16-23
EM41	CNR20001016.1700.0645-E14-24
EM42	CNR20001016.1700.0645-E51-25
EM43	CNR20001016.1700.0645-E17-26
EM44	CNR20001016.1700.0645-E16-27
EM46	CNR20001016.1700.0645-E51-28
EM48	CNR20001016.1700.0645-E18-29
EM87	CNR20001016.1700.0645-E19-30
EM52	CNR20001016.1700.0645-E51-31
EM50	CNR20001016.1700.0645-E20-32
EM51	CNR20001016.1700.0645-E21-33
EM53	CNR20001016.1700.0645-E22-34
EM55	CNR20001016.1700.0645-E23-35
EM96	CNR20001016.1700.0645-E54-36
EM54	CNR20001016.1700.0645-E24-37
EM56	CNR20001016.1700.0645-E51-38
EM90	CNR20001016.1700.0645-E19-39
EM57	CNR20001016.1700.0645-E53-40
EM59	CNR20001016.1700.0645-E25-41
EM60	CNR20001016.1700.0645-E51-42
EM61	CNR20001016.1700.0645-E26-43
EM62	CNR20001016.1700.0645-E27-44
EM63	CNR20001016.1700.0645-E55-45
EM64	CNR20001016.1700.0645-E28-46
EM65	CNR20001016.1700.0645-E29-47
EM66	CNR20001016.1700.0645-E30-48
EM67	CNR20001016.1700.0645-E31-49
EM92	CNR20001016.1700.0645-E19-50
EM68	CNR20001016.1700.0645-E51-51
EM69	CNR20001016.1700.0645-E32-52
EM70	CNR20001016.1700.0645-E33-53
EM1	CNR20001016.1700.0645-E45-54
EM71	CNR20001016.1700.0645-E51-55
EM72	CNR20001016.1700.0645-E34-56
EM73	CNR20001016.1700.0645-E35-57
EM74	CNR20001016.1700.0645-E51-58
EM75	CNR20001016.1700.0645-E36-59
EM76	CNR20001016.1700.0645-E51-60
EM77	CNR20001016.1700.0645-E51-61
EM78	CNR20001016.1700.0645-E37-62
EM79	CNR20001016.1700.0645-E51-63
EM80	CNR20001016.1700.0645-E38-64
EM83	CNR20001016.1700.0645-E38-65
EM81	CNR20001016.1700.0645-E39-66
EM82	CNR20001016.1700.0645-E40-67
EM84	CNR20001016.1700.0645-E41-68
EM85	CNR20001016.1700.0645-E51-69
EM45	CNR20001016.1700.0645-E51-70
EM86	CNR20001016.1700.0645-E37-71
EM88	CNR20001016.1700.0645-E37-72
EM89	CNR20001016.1700.0645-E37-73
EM91	CNR20001016.1700.0645-E51-74
EM93	CNR20001016.1700.0645-E42-75
EM94	CNR20001016.1700.0645-E43-76
EM95	CNR20001016.1700.0645-E37-77
EM58	CNR20001016.1700.0645-E44-78
EM49	CNR20001016.1700.0645-E46-79
EM5	CNR20001016.1700.0645-E47-80
EM4	CNR20001016.1700.0645-E48-81
EM2	CNR20001016.1700.0645-E49-82
EM3	CNR20001016.1700.0645-E50-83
EM6	CNR20001016.1700.0645-E51-84
EM7	CNR20001016.1700.0645-E52-85
EM8	CNR20001016.1700.0645-E53-86
EM9	CNR20001016.1700.0645-E51-87
EM10	CNR20001016.1700.0645-E51-88
EM11	CNR20001016.1700.0645-E54-89
EM12	CNR20001016.1700.0645-E51-90
EM14	CNR20001016.1700.0645-E54-91
EM15	CNR20001016.1700.0645-E51-92
EM17	CNR20001016.1700.0645-E55-93
EM18	CNR20001016.1700.0645-E56-94
EM19	CNR20001016.1700.0645-E57-95
R1	CNR20001016.1700.0645-R1
R2	CNR20001016.1700.0645-R2
R3	CNR20001016.1700.0645-R3
R5	CNR20001016.1700.0645-R4
R6	CNR20001016.1700.0645-R5
R4	CNR20001016.1700.0645-R6
R7	CNR20001016.1700.0645-R7
R8	CNR20001016.1700.0645-R8
R9	CNR20001016.1700.0645-R9
R10	CNR20001016.1700.0645-R10
R14	CNR20001016.1700.0645-R11
R11	CNR20001016.1700.0645-R12
R12	CNR20001016.1700.0645-R13
R13	CNR20001016.1700.0645-R14
R27	CNR20001016.1700.0645-R15
R15	CNR20001016.1700.0645-R16
R16	CNR20001016.1700.0645-R17
R17	CNR20001016.1700.0645-R18
R18	CNR20001016.1700.0645-R19
R19	CNR20001016.1700.0645-R20
R23	CNR20001016.1700.0645-R21
R33	CNR20001016.1700.0645-R22
R21	CNR20001016.1700.0645-R23
R22	CNR20001016.1700.0645-R24
R34	CNR20001016.1700.0645-R25
R20	CNR20001016.1700.0645-R26
R24	CNR20001016.1700.0645-R27
R25	CNR20001016.1700.0645-R28
R26	CNR20001016.1700.0645-R29
R28	CNR20001016.1700.0645-R30
R29	CNR20001016.1700.0645-R31
R30	CNR20001016.1700.0645-R32
R31	CNR20001016.1700.0645-R33
R32	CNR20001016.1700.0645-R34
RM1	CNR20001016.1700.0645-R1-1
RM2	CNR20001016.1700.0645-R2-1
RM3	CNR20001016.1700.0645-R3-1
RM5	CNR20001016.1700.0645-R4-1
RM6	CNR20001016.1700.0645-R5-1
RM4	CNR20001016.1700.0645-R6-1
RM8	CNR20001016.1700.0645-R8-1
RM7	CNR20001016.1700.0645-R7-1
RM9	CNR20001016.1700.0645-R9-1
RM10	CNR20001016.1700.0645-R10-1
RM27	CNR20001016.1700.0645-R15-1
RM14	CNR20001016.1700.0645-R11-1
RM11	CNR20001016.1700.0645-R12-1
RM12	CNR20001016.1700.0645-R13-1
RM13	CNR20001016.1700.0645-R14-1
RM33	CNR20001016.1700.0645-R22-1
RM15	CNR20001016.1700.0645-R16-1
RM16	CNR20001016.1700.0645-R17-1
RM17	CNR20001016.1700.0645-R18-1
RM18	CNR20001016.1700.0645-R19-1
RM19	CNR20001016.1700.0645-R20-1
RM23	CNR20001016.1700.0645-R21-1
RM34	CNR20001016.1700.0645-R25-1
RM21	CNR20001016.1700.0645-R23-1
RM22	CNR20001016.1700.0645-R24-1
