CE11	CTS20001124.1300.0705-CE1
CE12	CTS20001124.1300.0705-CE2
CE1	CTS20001124.1300.0705-CE3
CE4	CTS20001124.1300.0705-CE4
CE6	CTS20001124.1300.0705-CE5
CE2	CTS20001124.1300.0705-CE6
CE3	CTS20001124.1300.0705-CE7
CE5	CTS20001124.1300.0705-CE8
CE9	CTS20001124.1300.0705-CE9
CE7	CTS20001124.1300.0705-CE10
CE8	CTS20001124.1300.0705-CE11
CE10	CTS20001124.1300.0705-CE12
E12	CTS20001124.1300.0705-E1
E13	CTS20001124.1300.0705-E2
E15	CTS20001124.1300.0705-E3
E16	CTS20001124.1300.0705-E4
E1	CTS20001124.1300.0705-E5
E17	CTS20001124.1300.0705-E6
E2	CTS20001124.1300.0705-E7
E4	CTS20001124.1300.0705-E8
E6	CTS20001124.1300.0705-E9
E18	CTS20001124.1300.0705-E10
E8	CTS20001124.1300.0705-E11
E9	CTS20001124.1300.0705-E12
E11	CTS20001124.1300.0705-E13
EM2	CTS20001124.1300.0705-E5-1
EM22	CTS20001124.1300.0705-E3-2
EM23	CTS20001124.1300.0705-E3-3
EM25	CTS20001124.1300.0705-E3-4
EM27	CTS20001124.1300.0705-E3-5
EM24	CTS20001124.1300.0705-E8-6
EM26	CTS20001124.1300.0705-E8-7
EM29	CTS20001124.1300.0705-E9-8
EM31	CTS20001124.1300.0705-E1-9
EM33	CTS20001124.1300.0705-E2-10
EM34	CTS20001124.1300.0705-E3-11
EM35	CTS20001124.1300.0705-E3-12
EM37	CTS20001124.1300.0705-E5-13
EM13	CTS20001124.1300.0705-E4-14
EM12	CTS20001124.1300.0705-E4-15
EM28	CTS20001124.1300.0705-E4-16
EM32	CTS20001124.1300.0705-E4-17
EM11	CTS20001124.1300.0705-E6-18
EM30	CTS20001124.1300.0705-E6-19
EM4	CTS20001124.1300.0705-E5-20
EM3	CTS20001124.1300.0705-E7-21
EM1	CTS20001124.1300.0705-E3-22
EM5	CTS20001124.1300.0705-E3-23
EM6	CTS20001124.1300.0705-E8-24
EM17	CTS20001124.1300.0705-E10-25
EM8	CTS20001124.1300.0705-E3-26
EM9	CTS20001124.1300.0705-E3-27
EM10	CTS20001124.1300.0705-E9-28
EM36	CTS20001124.1300.0705-E5-29
EM14	CTS20001124.1300.0705-E11-30
EM15	CTS20001124.1300.0705-E12-31
EM16	CTS20001124.1300.0705-E12-32
EM21	CTS20001124.1300.0705-E4-33
EM7	CTS20001124.1300.0705-E4-34
EM18	CTS20001124.1300.0705-E11-35
EM19	CTS20001124.1300.0705-E3-36
EM20	CTS20001124.1300.0705-E13-37
R2	CTS20001124.1300.0705-R1
R3	CTS20001124.1300.0705-R2
R1	CTS20001124.1300.0705-R3
R4	CTS20001124.1300.0705-R4
R9	CTS20001124.1300.0705-R5
R8	CTS20001124.1300.0705-R6
R10	CTS20001124.1300.0705-R7
R5	CTS20001124.1300.0705-R8
R6	CTS20001124.1300.0705-R9
R7	CTS20001124.1300.0705-R10
R11	CTS20001124.1300.0705-R11
R12	CTS20001124.1300.0705-R12
RM2	CTS20001124.1300.0705-R1-1
RM3	CTS20001124.1300.0705-R2-1
RM4	CTS20001124.1300.0705-R4-1
RM1	CTS20001124.1300.0705-R3-1
RM9	CTS20001124.1300.0705-R1-2
RM10	CTS20001124.1300.0705-R2-2
RM8	CTS20001124.1300.0705-R6-1
RM5	CTS20001124.1300.0705-R8-1
RM6	CTS20001124.1300.0705-R9-1
RM7	CTS20001124.1300.0705-R10-1
RM11	CTS20001124.1300.0705-R11-1
RM12	CTS20001124.1300.0705-R12-1
V2	CTS20001124.1300.0705-EV1
V3	CTS20001124.1300.0705-EV2
V4	CTS20001124.1300.0705-EV3
VM7	CTS20001124.1300.0705-EV1-1
VM2	CTS20001124.1300.0705-EV1-2
VM3	CTS20001124.1300.0705-EV2-1
VM4	CTS20001124.1300.0705-EV3-1
VM5	CTS20001124.1300.0705-EV1-3
VM6	CTS20001124.1300.0705-EV3-2
VM11	CTS20001124.1300.0705-EV1-4
VM10	CTS20001124.1300.0705-EV2-2
VM8	CTS20001124.1300.0705-EV3-3
VM9	CTS20001124.1300.0705-EV1-5
Q8	CTS20001124.1300.0705-T1
Q1	CTS20001124.1300.0705-T2
Q2	CTS20001124.1300.0705-T3
Q3	CTS20001124.1300.0705-T4
Q5	CTS20001124.1300.0705-T5
Q6	CTS20001124.1300.0705-T6
Q7	CTS20001124.1300.0705-T7
