CE10	CTV20001114.1330.1559-CE1
CE14	CTV20001114.1330.1559-CE2
CE11	CTV20001114.1330.1559-CE3
CE12	CTV20001114.1330.1559-CE4
CE13	CTV20001114.1330.1559-CE5
CE15	CTV20001114.1330.1559-CE6
CE16	CTV20001114.1330.1559-CE7
CE1	CTV20001114.1330.1559-CE8
CE2	CTV20001114.1330.1559-CE9
CE3	CTV20001114.1330.1559-CE10
CE4	CTV20001114.1330.1559-CE11
CE5	CTV20001114.1330.1559-CE12
CE6	CTV20001114.1330.1559-CE13
CE7	CTV20001114.1330.1559-CE14
CE8	CTV20001114.1330.1559-CE15
CE9	CTV20001114.1330.1559-CE16
E12	CTV20001114.1330.1559-E1
E19	CTV20001114.1330.1559-E2
E14	CTV20001114.1330.1559-E3
E15	CTV20001114.1330.1559-E4
E16	CTV20001114.1330.1559-E5
E17	CTV20001114.1330.1559-E6
E18	CTV20001114.1330.1559-E7
E1	CTV20001114.1330.1559-E8
E2	CTV20001114.1330.1559-E9
E3	CTV20001114.1330.1559-E10
E4	CTV20001114.1330.1559-E11
E5	CTV20001114.1330.1559-E12
E6	CTV20001114.1330.1559-E13
E7	CTV20001114.1330.1559-E14
E9	CTV20001114.1330.1559-E15
E10	CTV20001114.1330.1559-E16
E11	CTV20001114.1330.1559-E17
EM19	CTV20001114.1330.1559-E11-1
EM20	CTV20001114.1330.1559-E11-2
EM21	CTV20001114.1330.1559-E10-3
EM22	CTV20001114.1330.1559-E10-4
EM23	CTV20001114.1330.1559-E3-5
EM24	CTV20001114.1330.1559-E11-6
EM25	CTV20001114.1330.1559-E11-7
EM26	CTV20001114.1330.1559-E4-8
EM27	CTV20001114.1330.1559-E4-9
EM28	CTV20001114.1330.1559-E11-10
EM29	CTV20001114.1330.1559-E5-11
EM31	CTV20001114.1330.1559-E11-12
EM32	CTV20001114.1330.1559-E6-13
EM33	CTV20001114.1330.1559-E7-14
EM1	CTV20001114.1330.1559-E8-15
EM2	CTV20001114.1330.1559-E9-16
EM3	CTV20001114.1330.1559-E10-17
EM4	CTV20001114.1330.1559-E11-18
EM6	CTV20001114.1330.1559-E11-19
EM5	CTV20001114.1330.1559-E12-20
EM7	CTV20001114.1330.1559-E13-21
EM8	CTV20001114.1330.1559-E9-22
EM9	CTV20001114.1330.1559-E13-23
EM10	CTV20001114.1330.1559-E8-24
EM11	CTV20001114.1330.1559-E14-25
EM12	CTV20001114.1330.1559-E11-26
EM13	CTV20001114.1330.1559-E11-27
EM30	CTV20001114.1330.1559-E2-28
EM14	CTV20001114.1330.1559-E13-29
EM15	CTV20001114.1330.1559-E15-30
EM16	CTV20001114.1330.1559-E16-31
EM17	CTV20001114.1330.1559-E17-32
EM18	CTV20001114.1330.1559-E1-33
R1	CTV20001114.1330.1559-R1
R2	CTV20001114.1330.1559-R2
R3	CTV20001114.1330.1559-R3
R4	CTV20001114.1330.1559-R4
R5	CTV20001114.1330.1559-R5
R6	CTV20001114.1330.1559-R6
R9	CTV20001114.1330.1559-R7
R7	CTV20001114.1330.1559-R8
R8	CTV20001114.1330.1559-R9
RM2	CTV20001114.1330.1559-R1-1
RM1	CTV20001114.1330.1559-R2-1
RM3	CTV20001114.1330.1559-R3-1
RM4	CTV20001114.1330.1559-R4-1
RM5	CTV20001114.1330.1559-R5-1
RM6	CTV20001114.1330.1559-R6-1
RM9	CTV20001114.1330.1559-R7-1
RM7	CTV20001114.1330.1559-R8-1
RM8	CTV20001114.1330.1559-R9-1
V9	CTV20001114.1330.1559-EV1
V3	CTV20001114.1330.1559-EV2
V10	CTV20001114.1330.1559-EV3
V5	CTV20001114.1330.1559-EV4
V11	CTV20001114.1330.1559-EV5
V8	CTV20001114.1330.1559-EV6
V2	CTV20001114.1330.1559-EV7
V4	CTV20001114.1330.1559-EV8
V6	CTV20001114.1330.1559-EV9
V7	CTV20001114.1330.1559-EV10
VM3	CTV20001114.1330.1559-EV2-1
VM10	CTV20001114.1330.1559-EV3-1
VM5	CTV20001114.1330.1559-EV4-1
VM11	CTV20001114.1330.1559-EV5-1
VM8	CTV20001114.1330.1559-EV6-1
VM2	CTV20001114.1330.1559-EV7-1
VM4	CTV20001114.1330.1559-EV8-1
VM6	CTV20001114.1330.1559-EV9-1
VM7	CTV20001114.1330.1559-EV10-1
VM9	CTV20001114.1330.1559-EV1-1
Q9	CTV20001114.1330.1559-T1
Q2	CTV20001114.1330.1559-T2
Q3	CTV20001114.1330.1559-V1
Q4	CTV20001114.1330.1559-T3
Q5	CTV20001114.1330.1559-V2
Q6	CTV20001114.1330.1559-V3
Q7	CTV20001114.1330.1559-T4
Q8	CTV20001114.1330.1559-V4
Q1	CTV20001114.1330.1559-T5
QM3	CTV20001114.1330.1559-V1-1
QM5	CTV20001114.1330.1559-V2-1
QM6	CTV20001114.1330.1559-V3-1
QM8	CTV20001114.1330.1559-V4-1
