CE12	CTS20001106.1300.0423-CE1
CE13	CTS20001106.1300.0423-CE2
CE14	CTS20001106.1300.0423-CE3
CE15	CTS20001106.1300.0423-CE4
CE16	CTS20001106.1300.0423-CE5
CE17	CTS20001106.1300.0423-CE6
CE18	CTS20001106.1300.0423-CE7
CE19	CTS20001106.1300.0423-CE8
CE20	CTS20001106.1300.0423-CE9
CE21	CTS20001106.1300.0423-CE10
CE22	CTS20001106.1300.0423-CE11
CE1	CTS20001106.1300.0423-CE12
CE2	CTS20001106.1300.0423-CE13
CE3	CTS20001106.1300.0423-CE14
CE4	CTS20001106.1300.0423-CE15
CE5	CTS20001106.1300.0423-CE16
CE6	CTS20001106.1300.0423-CE17
CE7	CTS20001106.1300.0423-CE18
CE8	CTS20001106.1300.0423-CE19
CE10	CTS20001106.1300.0423-CE20
CE11	CTS20001106.1300.0423-CE21
E13	CTS20001106.1300.0423-E1
E14	CTS20001106.1300.0423-E2
E15	CTS20001106.1300.0423-E3
E16	CTS20001106.1300.0423-E4
E17	CTS20001106.1300.0423-E5
E18	CTS20001106.1300.0423-E6
E19	CTS20001106.1300.0423-E7
E20	CTS20001106.1300.0423-E8
E21	CTS20001106.1300.0423-E9
E22	CTS20001106.1300.0423-E10
E1	CTS20001106.1300.0423-E11
E2	CTS20001106.1300.0423-E12
E3	CTS20001106.1300.0423-E13
E4	CTS20001106.1300.0423-E14
E5	CTS20001106.1300.0423-E15
E6	CTS20001106.1300.0423-E16
E7	CTS20001106.1300.0423-E17
E8	CTS20001106.1300.0423-E18
E10	CTS20001106.1300.0423-E19
E11	CTS20001106.1300.0423-E20
E12	CTS20001106.1300.0423-E21
EM1	CTS20001106.1300.0423-E11-1
EM20	CTS20001106.1300.0423-E1-2
EM21	CTS20001106.1300.0423-E14-3
EM22	CTS20001106.1300.0423-E14-4
EM23	CTS20001106.1300.0423-E2-5
EM24	CTS20001106.1300.0423-E14-6
EM25	CTS20001106.1300.0423-E3-7
EM26	CTS20001106.1300.0423-E3-8
EM27	CTS20001106.1300.0423-E3-9
EM28	CTS20001106.1300.0423-E3-10
EM29	CTS20001106.1300.0423-E14-11
EM30	CTS20001106.1300.0423-E4-12
EM31	CTS20001106.1300.0423-E5-13
EM33	CTS20001106.1300.0423-E21-14
EM34	CTS20001106.1300.0423-E6-15
EM35	CTS20001106.1300.0423-E7-16
EM36	CTS20001106.1300.0423-E8-17
EM37	CTS20001106.1300.0423-E9-18
EM38	CTS20001106.1300.0423-E10-19
EM39	CTS20001106.1300.0423-E19-20
EM2	CTS20001106.1300.0423-E11-21
EM3	CTS20001106.1300.0423-E11-22
EM4	CTS20001106.1300.0423-E11-23
EM5	CTS20001106.1300.0423-E11-24
EM7	CTS20001106.1300.0423-E11-25
EM8	CTS20001106.1300.0423-E12-26
EM9	CTS20001106.1300.0423-E13-27
EM10	CTS20001106.1300.0423-E14-28
EM11	CTS20001106.1300.0423-E15-29
EM12	CTS20001106.1300.0423-E16-30
EM13	CTS20001106.1300.0423-E17-31
EM14	CTS20001106.1300.0423-E12-32
EM15	CTS20001106.1300.0423-E18-33
EM17	CTS20001106.1300.0423-E19-34
EM18	CTS20001106.1300.0423-E20-35
EM19	CTS20001106.1300.0423-E21-36
R1	CTS20001106.1300.0423-R1
R2	CTS20001106.1300.0423-R2
R3	CTS20001106.1300.0423-R3
R4	CTS20001106.1300.0423-R4
R5	CTS20001106.1300.0423-R5
R6	CTS20001106.1300.0423-R6
R7	CTS20001106.1300.0423-R7
R8	CTS20001106.1300.0423-R8
R9	CTS20001106.1300.0423-R9
R12	CTS20001106.1300.0423-R10
R14	CTS20001106.1300.0423-R11
R15	CTS20001106.1300.0423-R12
R16	CTS20001106.1300.0423-R13
R17	CTS20001106.1300.0423-R14
R18	CTS20001106.1300.0423-R15
RM1	CTS20001106.1300.0423-R1-1
RM2	CTS20001106.1300.0423-R2-1
RM3	CTS20001106.1300.0423-R3-1
RM4	CTS20001106.1300.0423-R4-1
RM5	CTS20001106.1300.0423-R5-1
RM6	CTS20001106.1300.0423-R6-1
RM7	CTS20001106.1300.0423-R7-1
RM8	CTS20001106.1300.0423-R8-1
RM9	CTS20001106.1300.0423-R1-2
RM12	CTS20001106.1300.0423-R10-1
RM14	CTS20001106.1300.0423-R11-1
RM15	CTS20001106.1300.0423-R11-2
RM16	CTS20001106.1300.0423-R13-1
RM17	CTS20001106.1300.0423-R14-1
RM18	CTS20001106.1300.0423-R8-2
V1	CTS20001106.1300.0423-EV1
V2	CTS20001106.1300.0423-EV2
V3	CTS20001106.1300.0423-EV3
V4	CTS20001106.1300.0423-EV4
VM1	CTS20001106.1300.0423-EV1-1
VM2	CTS20001106.1300.0423-EV2-1
VM3	CTS20001106.1300.0423-EV3-1
VM4	CTS20001106.1300.0423-EV4-1
VM5	CTS20001106.1300.0423-EV2-2
VM6	CTS20001106.1300.0423-EV3-2
VM7	CTS20001106.1300.0423-EV3-3
Q1	CTS20001106.1300.0423-T1
Q2	CTS20001106.1300.0423-T2
Q3	CTS20001106.1300.0423-T3
Q4	CTS20001106.1300.0423-T4
Q5	CTS20001106.1300.0423-T5
Q6	CTS20001106.1300.0423-T6
Q8	CTS20001106.1300.0423-T7
