CE12	CTV20001207.1330.1143-CE1
CE13	CTV20001207.1330.1143-CE2
CE14	CTV20001207.1330.1143-CE3
CE15	CTV20001207.1330.1143-CE4
CE16	CTV20001207.1330.1143-CE5
CE17	CTV20001207.1330.1143-CE6
CE18	CTV20001207.1330.1143-CE7
CE19	CTV20001207.1330.1143-CE8
CE20	CTV20001207.1330.1143-CE9
CE21	CTV20001207.1330.1143-CE10
CE22	CTV20001207.1330.1143-CE11
CE1	CTV20001207.1330.1143-CE12
CE2	CTV20001207.1330.1143-CE13
CE3	CTV20001207.1330.1143-CE14
CE4	CTV20001207.1330.1143-CE15
CE5	CTV20001207.1330.1143-CE16
CE6	CTV20001207.1330.1143-CE17
CE7	CTV20001207.1330.1143-CE18
CE8	CTV20001207.1330.1143-CE19
CE9	CTV20001207.1330.1143-CE20
CE10	CTV20001207.1330.1143-CE21
CE11	CTV20001207.1330.1143-CE22
E12	CTV20001207.1330.1143-E1
E13	CTV20001207.1330.1143-E2
E14	CTV20001207.1330.1143-E3
E15	CTV20001207.1330.1143-E4
E16	CTV20001207.1330.1143-E5
E17	CTV20001207.1330.1143-E6
E18	CTV20001207.1330.1143-E7
E19	CTV20001207.1330.1143-E8
E20	CTV20001207.1330.1143-E9
E21	CTV20001207.1330.1143-E10
E22	CTV20001207.1330.1143-E11
E23	CTV20001207.1330.1143-E12
E1	CTV20001207.1330.1143-E13
E24	CTV20001207.1330.1143-E14
E2	CTV20001207.1330.1143-E15
E3	CTV20001207.1330.1143-E16
E4	CTV20001207.1330.1143-E17
E5	CTV20001207.1330.1143-E18
E6	CTV20001207.1330.1143-E19
E7	CTV20001207.1330.1143-E20
E8	CTV20001207.1330.1143-E21
E9	CTV20001207.1330.1143-E22
E10	CTV20001207.1330.1143-E23
E11	CTV20001207.1330.1143-E24
EM1	CTV20001207.1330.1143-E13-1
EM20	CTV20001207.1330.1143-E16-2
EM21	CTV20001207.1330.1143-E1-3
EM22	CTV20001207.1330.1143-E2-4
EM23	CTV20001207.1330.1143-E17-5
EM24	CTV20001207.1330.1143-E1-6
EM58	CTV20001207.1330.1143-E16-7
EM25	CTV20001207.1330.1143-E17-8
EM26	CTV20001207.1330.1143-E3-9
EM27	CTV20001207.1330.1143-E4-10
EM28	CTV20001207.1330.1143-E16-11
EM29	CTV20001207.1330.1143-E5-12
EM30	CTV20001207.1330.1143-E6-13
EM31	CTV20001207.1330.1143-E7-14
EM32	CTV20001207.1330.1143-E7-15
EM33	CTV20001207.1330.1143-E8-16
EM34	CTV20001207.1330.1143-E16-17
EM35	CTV20001207.1330.1143-E19-18
EM36	CTV20001207.1330.1143-E17-19
EM38	CTV20001207.1330.1143-E16-20
EM39	CTV20001207.1330.1143-E9-21
EM40	CTV20001207.1330.1143-E16-22
EM41	CTV20001207.1330.1143-E13-23
EM42	CTV20001207.1330.1143-E18-24
EM43	CTV20001207.1330.1143-E20-25
EM44	CTV20001207.1330.1143-E19-26
EM45	CTV20001207.1330.1143-E17-27
EM46	CTV20001207.1330.1143-E17-28
EM47	CTV20001207.1330.1143-E9-29
EM48	CTV20001207.1330.1143-E16-30
EM49	CTV20001207.1330.1143-E13-31
EM50	CTV20001207.1330.1143-E9-32
EM52	CTV20001207.1330.1143-E9-33
EM53	CTV20001207.1330.1143-E10-34
EM54	CTV20001207.1330.1143-E11-35
EM55	CTV20001207.1330.1143-E12-36
EM56	CTV20001207.1330.1143-E13-37
EM59	CTV20001207.1330.1143-E16-38
EM37	CTV20001207.1330.1143-E14-39
EM2	CTV20001207.1330.1143-E15-40
EM3	CTV20001207.1330.1143-E16-41
EM4	CTV20001207.1330.1143-E13-42
EM5	CTV20001207.1330.1143-E17-43
EM6	CTV20001207.1330.1143-E18-44
EM7	CTV20001207.1330.1143-E19-45
EM9	CTV20001207.1330.1143-E17-46
EM10	CTV20001207.1330.1143-E18-47
EM11	CTV20001207.1330.1143-E20-48
EM12	CTV20001207.1330.1143-E19-49
EM13	CTV20001207.1330.1143-E21-50
EM14	CTV20001207.1330.1143-E22-51
EM15	CTV20001207.1330.1143-E17-52
EM16	CTV20001207.1330.1143-E23-53
EM17	CTV20001207.1330.1143-E21-54
EM18	CTV20001207.1330.1143-E19-55
EM19	CTV20001207.1330.1143-E24-56
R1	CTV20001207.1330.1143-R1
R2	CTV20001207.1330.1143-R2
R4	CTV20001207.1330.1143-R3
R5	CTV20001207.1330.1143-R4
R6	CTV20001207.1330.1143-R5
R7	CTV20001207.1330.1143-R6
R8	CTV20001207.1330.1143-R7
R9	CTV20001207.1330.1143-R8
R11	CTV20001207.1330.1143-R9
R12	CTV20001207.1330.1143-R10
R13	CTV20001207.1330.1143-R11
RM1	CTV20001207.1330.1143-R1-1
RM2	CTV20001207.1330.1143-R2-1
RM4	CTV20001207.1330.1143-R3-1
RM5	CTV20001207.1330.1143-R4-1
RM6	CTV20001207.1330.1143-R5-1
RM7	CTV20001207.1330.1143-R6-1
RM8	CTV20001207.1330.1143-R7-1
RM9	CTV20001207.1330.1143-R8-1
RM11	CTV20001207.1330.1143-R9-1
RM12	CTV20001207.1330.1143-R10-1
RM13	CTV20001207.1330.1143-R11-1
V1	CTV20001207.1330.1143-EV1
VM1	CTV20001207.1330.1143-EV1-1
Q1	CTV20001207.1330.1143-T1
Q3	CTV20001207.1330.1143-T2
Q4	CTV20001207.1330.1143-T3
Q5	CTV20001207.1330.1143-T4
