CE9	CBS20001109.1000.1047-CE1
CE10	CBS20001109.1000.1047-CE2
CE11	CBS20001109.1000.1047-CE3
CE12	CBS20001109.1000.1047-CE4
CE1	CBS20001109.1000.1047-CE5
CE3	CBS20001109.1000.1047-CE6
CE4	CBS20001109.1000.1047-CE7
CE5	CBS20001109.1000.1047-CE8
CE6	CBS20001109.1000.1047-CE9
CE7	CBS20001109.1000.1047-CE10
CE8	CBS20001109.1000.1047-CE11
E11	CBS20001109.1000.1047-E1
E12	CBS20001109.1000.1047-E2
E14	CBS20001109.1000.1047-E3
E15	CBS20001109.1000.1047-E4
E16	CBS20001109.1000.1047-E5
E1	CBS20001109.1000.1047-E6
E2	CBS20001109.1000.1047-E7
E13	CBS20001109.1000.1047-E8
E4	CBS20001109.1000.1047-E9
E5	CBS20001109.1000.1047-E10
E6	CBS20001109.1000.1047-E11
E7	CBS20001109.1000.1047-E12
E8	CBS20001109.1000.1047-E13
E9	CBS20001109.1000.1047-E14
E10	CBS20001109.1000.1047-E15
EM1	CBS20001109.1000.1047-E6-1
EM22	CBS20001109.1000.1047-E12-2
EM23	CBS20001109.1000.1047-E6-3
EM24	CBS20001109.1000.1047-E14-4
EM25	CBS20001109.1000.1047-E6-5
EM26	CBS20001109.1000.1047-E15-6
EM27	CBS20001109.1000.1047-E6-7
EM28	CBS20001109.1000.1047-E1-8
EM29	CBS20001109.1000.1047-E6-9
EM30	CBS20001109.1000.1047-E6-10
EM31	CBS20001109.1000.1047-E2-11
EM32	CBS20001109.1000.1047-E6-12
EM33	CBS20001109.1000.1047-E6-13
EM34	CBS20001109.1000.1047-E12-14
EM35	CBS20001109.1000.1047-E6-15
EM36	CBS20001109.1000.1047-E6-16
EM40	CBS20001109.1000.1047-E6-17
EM41	CBS20001109.1000.1047-E6-18
EM42	CBS20001109.1000.1047-E3-19
EM43	CBS20001109.1000.1047-E6-20
EM44	CBS20001109.1000.1047-E6-21
EM45	CBS20001109.1000.1047-E4-22
EM46	CBS20001109.1000.1047-E5-23
EM47	CBS20001109.1000.1047-E6-24
EM48	CBS20001109.1000.1047-E6-25
EM49	CBS20001109.1000.1047-E6-26
EM50	CBS20001109.1000.1047-E6-27
EM51	CBS20001109.1000.1047-E6-28
EM52	CBS20001109.1000.1047-E6-29
EM2	CBS20001109.1000.1047-E6-30
EM3	CBS20001109.1000.1047-E7-31
EM38	CBS20001109.1000.1047-E6-32
EM39	CBS20001109.1000.1047-E8-33
EM6	CBS20001109.1000.1047-E9-34
EM7	CBS20001109.1000.1047-E10-35
EM8	CBS20001109.1000.1047-E6-36
EM9	CBS20001109.1000.1047-E6-37
EM10	CBS20001109.1000.1047-E9-38
EM11	CBS20001109.1000.1047-E6-39
EM12	CBS20001109.1000.1047-E11-40
EM13	CBS20001109.1000.1047-E10-41
EM14	CBS20001109.1000.1047-E6-42
EM15	CBS20001109.1000.1047-E10-43
EM16	CBS20001109.1000.1047-E12-44
EM17	CBS20001109.1000.1047-E12-45
EM18	CBS20001109.1000.1047-E13-46
EM19	CBS20001109.1000.1047-E14-47
EM20	CBS20001109.1000.1047-E15-48
EM21	CBS20001109.1000.1047-E6-49
R1	CBS20001109.1000.1047-R1
R2	CBS20001109.1000.1047-R2
R3	CBS20001109.1000.1047-R3
R4	CBS20001109.1000.1047-R4
R2	CBS20001109.1000.1047-R5
RM1	CBS20001109.1000.1047-R1-1
RM2	CBS20001109.1000.1047-R2-1
RM3	CBS20001109.1000.1047-R5-1
RM4	CBS20001109.1000.1047-R3-1
RM5	CBS20001109.1000.1047-R3-2
V2	CBS20001109.1000.1047-EV1
V5	CBS20001109.1000.1047-EV2
VM2	CBS20001109.1000.1047-EV1-1
VM6	CBS20001109.1000.1047-EV2-1
Q1	CBS20001109.1000.1047-T1
Q2	CBS20001109.1000.1047-T2
Q3	CBS20001109.1000.1047-V1
Q4	CBS20001109.1000.1047-V2
Q6	CBS20001109.1000.1047-T3
Q7	CBS20001109.1000.1047-V3
Q8	CBS20001109.1000.1047-V4
Q9	CBS20001109.1000.1047-T4
Q10	CBS20001109.1000.1047-T5
Q11	CBS20001109.1000.1047-T6
Q12	CBS20001109.1000.1047-T7
Q13	CBS20001109.1000.1047-T8
Q14	CBS20001109.1000.1047-T9
Q15	CBS20001109.1000.1047-T10
QM3	CBS20001109.1000.1047-V1-1
QM4	CBS20001109.1000.1047-V2-1
QM7	CBS20001109.1000.1047-V3-1
QM8	CBS20001109.1000.1047-V4-1
