CE13	CNR20001218.1700.0890-CE1
CE14	CNR20001218.1700.0890-CE2
CE17	CNR20001218.1700.0890-CE3
CE18	CNR20001218.1700.0890-CE4
CE20	CNR20001218.1700.0890-CE5
CE21	CNR20001218.1700.0890-CE6
CE22	CNR20001218.1700.0890-CE7
CE24	CNR20001218.1700.0890-CE8
CE25	CNR20001218.1700.0890-CE9
CE26	CNR20001218.1700.0890-CE10
CE28	CNR20001218.1700.0890-CE11
CE29	CNR20001218.1700.0890-CE12
CE30	CNR20001218.1700.0890-CE13
CE32	CNR20001218.1700.0890-CE14
CE1	CNR20001218.1700.0890-CE15
CE2	CNR20001218.1700.0890-CE16
CE3	CNR20001218.1700.0890-CE17
CE4	CNR20001218.1700.0890-CE18
CE5	CNR20001218.1700.0890-CE19
CE6	CNR20001218.1700.0890-CE20
CE8	CNR20001218.1700.0890-CE21
CE9	CNR20001218.1700.0890-CE22
CE10	CNR20001218.1700.0890-CE23
CE11	CNR20001218.1700.0890-CE24
CE12	CNR20001218.1700.0890-CE25
E13	CNR20001218.1700.0890-E1
E14	CNR20001218.1700.0890-E2
E17	CNR20001218.1700.0890-E3
E18	CNR20001218.1700.0890-E4
E20	CNR20001218.1700.0890-E5
E21	CNR20001218.1700.0890-E6
E22	CNR20001218.1700.0890-E7
E24	CNR20001218.1700.0890-E8
E25	CNR20001218.1700.0890-E9
E26	CNR20001218.1700.0890-E10
E28	CNR20001218.1700.0890-E11
E29	CNR20001218.1700.0890-E12
E30	CNR20001218.1700.0890-E13
E32	CNR20001218.1700.0890-E14
E1	CNR20001218.1700.0890-E15
E2	CNR20001218.1700.0890-E16
E3	CNR20001218.1700.0890-E17
E4	CNR20001218.1700.0890-E18
E5	CNR20001218.1700.0890-E19
E6	CNR20001218.1700.0890-E20
E8	CNR20001218.1700.0890-E21
E9	CNR20001218.1700.0890-E22
E10	CNR20001218.1700.0890-E23
E11	CNR20001218.1700.0890-E24
E12	CNR20001218.1700.0890-E25
EM1	CNR20001218.1700.0890-E15-1
EM19	CNR20001218.1700.0890-E1-2
EM20	CNR20001218.1700.0890-E2-3
EM23	CNR20001218.1700.0890-E3-4
EM24	CNR20001218.1700.0890-E4-5
EM25	CNR20001218.1700.0890-E18-6
EM26	CNR20001218.1700.0890-E4-7
EM27	CNR20001218.1700.0890-E5-8
EM28	CNR20001218.1700.0890-E6-9
EM29	CNR20001218.1700.0890-E18-10
EM31	CNR20001218.1700.0890-E7-11
EM32	CNR20001218.1700.0890-E23-12
EM34	CNR20001218.1700.0890-E8-13
EM35	CNR20001218.1700.0890-E9-14
EM36	CNR20001218.1700.0890-E10-15
EM38	CNR20001218.1700.0890-E11-16
EM39	CNR20001218.1700.0890-E12-17
EM40	CNR20001218.1700.0890-E12-18
EM41	CNR20001218.1700.0890-E13-19
EM42	CNR20001218.1700.0890-E18-20
EM43	CNR20001218.1700.0890-E14-21
EM2	CNR20001218.1700.0890-E16-22
EM3	CNR20001218.1700.0890-E17-23
EM4	CNR20001218.1700.0890-E18-24
EM5	CNR20001218.1700.0890-E19-25
EM8	CNR20001218.1700.0890-E21-26
EM9	CNR20001218.1700.0890-E22-27
EM10	CNR20001218.1700.0890-E23-28
EM11	CNR20001218.1700.0890-E19-29
EM15	CNR20001218.1700.0890-E25-30
EM16	CNR20001218.1700.0890-E20-31
EM17	CNR20001218.1700.0890-E20-32
EM18	CNR20001218.1700.0890-E24-33
R17	CNR20001218.1700.0890-R1
R19	CNR20001218.1700.0890-R2
R20	CNR20001218.1700.0890-R3
R1	CNR20001218.1700.0890-R4
R2	CNR20001218.1700.0890-R5
R3	CNR20001218.1700.0890-R6
R4	CNR20001218.1700.0890-R7
R21	CNR20001218.1700.0890-R8
R9	CNR20001218.1700.0890-R9
R10	CNR20001218.1700.0890-R10
R11	CNR20001218.1700.0890-R11
RM18	CNR20001218.1700.0890-R1-1
RM20	CNR20001218.1700.0890-R2-1
RM21	CNR20001218.1700.0890-R3-1
RM1	CNR20001218.1700.0890-R4-1
RM2	CNR20001218.1700.0890-R5-1
RM3	CNR20001218.1700.0890-R6-1
RM4	CNR20001218.1700.0890-R7-1
RM22	CNR20001218.1700.0890-R8-1
RM9	CNR20001218.1700.0890-R9-1
RM10	CNR20001218.1700.0890-R10-1
RM13	CNR20001218.1700.0890-R11-1
V1	CNR20001218.1700.0890-EV1
V2	CNR20001218.1700.0890-EV2
VM1	CNR20001218.1700.0890-EV1-1
VM2	CNR20001218.1700.0890-EV2-1
VM3	CNR20001218.1700.0890-EV2-2
VM4	CNR20001218.1700.0890-EV2-3
Q1	CNR20001218.1700.0890-T1
Q2	CNR20001218.1700.0890-T2
Q3	CNR20001218.1700.0890-T3
Q4	CNR20001218.1700.0890-T4
Q5	CNR20001218.1700.0890-T5
