CE12	XIN20001114.0200.0027-CE1
CE14	XIN20001114.0200.0027-CE2
CE15	XIN20001114.0200.0027-CE3
CE13	XIN20001114.0200.0027-CE4
CE10	XIN20001114.0200.0027-CE5
CE17	XIN20001114.0200.0027-CE6
CE18	XIN20001114.0200.0027-CE7
CE19	XIN20001114.0200.0027-CE8
CE20	XIN20001114.0200.0027-CE9
CE22	XIN20001114.0200.0027-CE10
CE23	XIN20001114.0200.0027-CE11
CE24	XIN20001114.0200.0027-CE12
CE39	XIN20001114.0200.0027-CE13
CE5	XIN20001114.0200.0027-CE14
CE25	XIN20001114.0200.0027-CE15
CE26	XIN20001114.0200.0027-CE16
CE27	XIN20001114.0200.0027-CE17
CE28	XIN20001114.0200.0027-CE18
CE29	XIN20001114.0200.0027-CE19
CE30	XIN20001114.0200.0027-CE20
CE31	XIN20001114.0200.0027-CE21
CE32	XIN20001114.0200.0027-CE22
CE34	XIN20001114.0200.0027-CE23
CE35	XIN20001114.0200.0027-CE24
CE36	XIN20001114.0200.0027-CE25
CE37	XIN20001114.0200.0027-CE26
CE38	XIN20001114.0200.0027-CE27
CE1	XIN20001114.0200.0027-CE28
CE40	XIN20001114.0200.0027-CE29
CE41	XIN20001114.0200.0027-CE30
CE11	XIN20001114.0200.0027-CE31
CE42	XIN20001114.0200.0027-CE32
CE43	XIN20001114.0200.0027-CE33
CE44	XIN20001114.0200.0027-CE34
CE21	XIN20001114.0200.0027-CE35
CE4	XIN20001114.0200.0027-CE36
CE16	XIN20001114.0200.0027-CE37
CE33	XIN20001114.0200.0027-CE38
CE3	XIN20001114.0200.0027-CE39
CE6	XIN20001114.0200.0027-CE40
CE7	XIN20001114.0200.0027-CE41
CE8	XIN20001114.0200.0027-CE42
CE2	XIN20001114.0200.0027-CE43
CE9	XIN20001114.0200.0027-CE44
E14	XIN20001114.0200.0027-E1
E15	XIN20001114.0200.0027-E2
E16	XIN20001114.0200.0027-E3
E17	XIN20001114.0200.0027-E4
E52	XIN20001114.0200.0027-E5
E18	XIN20001114.0200.0027-E6
E19	XIN20001114.0200.0027-E7
E20	XIN20001114.0200.0027-E8
E21	XIN20001114.0200.0027-E9
E22	XIN20001114.0200.0027-E10
E23	XIN20001114.0200.0027-E11
E24	XIN20001114.0200.0027-E12
E53	XIN20001114.0200.0027-E13
E27	XIN20001114.0200.0027-E14
E29	XIN20001114.0200.0027-E15
E30	XIN20001114.0200.0027-E16
E31	XIN20001114.0200.0027-E17
E32	XIN20001114.0200.0027-E18
E33	XIN20001114.0200.0027-E19
E34	XIN20001114.0200.0027-E20
E35	XIN20001114.0200.0027-E21
E1	XIN20001114.0200.0027-E22
E37	XIN20001114.0200.0027-E23
E38	XIN20001114.0200.0027-E24
E39	XIN20001114.0200.0027-E25
E40	XIN20001114.0200.0027-E26
E41	XIN20001114.0200.0027-E27
E43	XIN20001114.0200.0027-E28
E44	XIN20001114.0200.0027-E29
E45	XIN20001114.0200.0027-E30
E46	XIN20001114.0200.0027-E31
E47	XIN20001114.0200.0027-E32
E48	XIN20001114.0200.0027-E33
E49	XIN20001114.0200.0027-E34
E56	XIN20001114.0200.0027-E35
E50	XIN20001114.0200.0027-E36
E61	XIN20001114.0200.0027-E37
E62	XIN20001114.0200.0027-E38
E63	XIN20001114.0200.0027-E39
E3	XIN20001114.0200.0027-E40
E4	XIN20001114.0200.0027-E41
E5	XIN20001114.0200.0027-E42
E6	XIN20001114.0200.0027-E43
E7	XIN20001114.0200.0027-E44
E8	XIN20001114.0200.0027-E45
E9	XIN20001114.0200.0027-E46
E10	XIN20001114.0200.0027-E47
E64	XIN20001114.0200.0027-E48
E13	XIN20001114.0200.0027-E49
EM1	XIN20001114.0200.0027-E22-1
EM19	XIN20001114.0200.0027-E43-2
EM20	XIN20001114.0200.0027-E42-3
EM21	XIN20001114.0200.0027-E43-4
EM22	XIN20001114.0200.0027-E1-5
EM23	XIN20001114.0200.0027-E2-6
EM24	XIN20001114.0200.0027-E3-7
EM25	XIN20001114.0200.0027-E43-8
EM28	XIN20001114.0200.0027-E4-9
EM31	XIN20001114.0200.0027-E42-10
EM32	XIN20001114.0200.0027-E42-11
EM34	XIN20001114.0200.0027-E6-12
EM35	XIN20001114.0200.0027-E7-13
EM36	XIN20001114.0200.0027-E8-14
EM37	XIN20001114.0200.0027-E9-15
EM38	XIN20001114.0200.0027-E7-16
EM39	XIN20001114.0200.0027-E10-17
