CE13	XIN20001003.0800.0031-CE1
CE14	XIN20001003.0800.0031-CE2
CE15	XIN20001003.0800.0031-CE3
CE16	XIN20001003.0800.0031-CE4
CE17	XIN20001003.0800.0031-CE5
CE18	XIN20001003.0800.0031-CE6
CE20	XIN20001003.0800.0031-CE7
CE21	XIN20001003.0800.0031-CE8
CE23	XIN20001003.0800.0031-CE9
CE24	XIN20001003.0800.0031-CE10
CE25	XIN20001003.0800.0031-CE11
CE26	XIN20001003.0800.0031-CE12
CE27	XIN20001003.0800.0031-CE13
CE28	XIN20001003.0800.0031-CE14
CE29	XIN20001003.0800.0031-CE15
CE1	XIN20001003.0800.0031-CE16
CE30	XIN20001003.0800.0031-CE17
CE31	XIN20001003.0800.0031-CE18
CE2	XIN20001003.0800.0031-CE19
CE3	XIN20001003.0800.0031-CE20
CE4	XIN20001003.0800.0031-CE21
CE5	XIN20001003.0800.0031-CE22
CE7	XIN20001003.0800.0031-CE23
CE8	XIN20001003.0800.0031-CE24
CE9	XIN20001003.0800.0031-CE25
CE10	XIN20001003.0800.0031-CE26
CE11	XIN20001003.0800.0031-CE27
CE12	XIN20001003.0800.0031-CE28
E13	XIN20001003.0800.0031-E1
E14	XIN20001003.0800.0031-E2
E15	XIN20001003.0800.0031-E3
E16	XIN20001003.0800.0031-E4
E17	XIN20001003.0800.0031-E5
E18	XIN20001003.0800.0031-E6
E19	XIN20001003.0800.0031-E7
E20	XIN20001003.0800.0031-E8
E22	XIN20001003.0800.0031-E9
E23	XIN20001003.0800.0031-E10
E24	XIN20001003.0800.0031-E11
E25	XIN20001003.0800.0031-E12
E26	XIN20001003.0800.0031-E13
E29	XIN20001003.0800.0031-E14
E1	XIN20001003.0800.0031-E15
E30	XIN20001003.0800.0031-E16
E31	XIN20001003.0800.0031-E17
E32	XIN20001003.0800.0031-E18
E33	XIN20001003.0800.0031-E19
E34	XIN20001003.0800.0031-E20
E35	XIN20001003.0800.0031-E21
E36	XIN20001003.0800.0031-E22
E37	XIN20001003.0800.0031-E23
E38	XIN20001003.0800.0031-E24
E39	XIN20001003.0800.0031-E25
E2	XIN20001003.0800.0031-E26
E3	XIN20001003.0800.0031-E27
E4	XIN20001003.0800.0031-E28
E5	XIN20001003.0800.0031-E29
E7	XIN20001003.0800.0031-E30
E8	XIN20001003.0800.0031-E31
E9	XIN20001003.0800.0031-E32
E10	XIN20001003.0800.0031-E33
E11	XIN20001003.0800.0031-E34
E12	XIN20001003.0800.0031-E35
EM1	XIN20001003.0800.0031-E15-1
EM19	XIN20001003.0800.0031-E1-2
EM20	XIN20001003.0800.0031-E2-3
EM21	XIN20001003.0800.0031-E27-4
EM22	XIN20001003.0800.0031-E28-5
EM23	XIN20001003.0800.0031-E34-6
EM24	XIN20001003.0800.0031-E28-7
EM25	XIN20001003.0800.0031-E28-8
EM26	XIN20001003.0800.0031-E3-9
EM27	XIN20001003.0800.0031-E4-10
EM28	XIN20001003.0800.0031-E3-11
EM29	XIN20001003.0800.0031-E5-12
EM30	XIN20001003.0800.0031-E7-13
EM31	XIN20001003.0800.0031-E28-14
EM32	XIN20001003.0800.0031-E28-15
EM33	XIN20001003.0800.0031-E8-16
EM34	XIN20001003.0800.0031-E8-17
EM36	XIN20001003.0800.0031-E28-18
EM37	XIN20001003.0800.0031-E28-19
EM38	XIN20001003.0800.0031-E28-20
EM39	XIN20001003.0800.0031-E34-21
EM40	XIN20001003.0800.0031-E28-22
EM41	XIN20001003.0800.0031-E9-23
EM42	XIN20001003.0800.0031-E9-24
EM43	XIN20001003.0800.0031-E10-25
EM44	XIN20001003.0800.0031-E11-26
EM45	XIN20001003.0800.0031-E29-27
EM46	XIN20001003.0800.0031-E28-28
EM47	XIN20001003.0800.0031-E34-29
EM48	XIN20001003.0800.0031-E6-30
EM49	XIN20001003.0800.0031-E12-31
EM50	XIN20001003.0800.0031-E28-32
