CE3	ZBN20001223.1300.0044-CE1
CE4	ZBN20001223.1300.0044-CE2
CE5	ZBN20001223.1300.0044-CE3
CE6	ZBN20001223.1300.0044-CE4
CE7	ZBN20001223.1300.0044-CE5
CE8	ZBN20001223.1300.0044-CE6
CE9	ZBN20001223.1300.0044-CE7
CE10	ZBN20001223.1300.0044-CE8
CE11	ZBN20001223.1300.0044-CE9
CE12	ZBN20001223.1300.0044-CE10
CE13	ZBN20001223.1300.0044-CE11
CE1	ZBN20001223.1300.0044-CE12
CE14	ZBN20001223.1300.0044-CE13
CE2	ZBN20001223.1300.0044-CE14
E3	ZBN20001223.1300.0044-E1
E4	ZBN20001223.1300.0044-E2
E5	ZBN20001223.1300.0044-E3
E6	ZBN20001223.1300.0044-E4
E7	ZBN20001223.1300.0044-E5
E8	ZBN20001223.1300.0044-E6
E9	ZBN20001223.1300.0044-E7
E10	ZBN20001223.1300.0044-E8
E11	ZBN20001223.1300.0044-E9
E12	ZBN20001223.1300.0044-E10
E13	ZBN20001223.1300.0044-E11
E14	ZBN20001223.1300.0044-E12
E1	ZBN20001223.1300.0044-E13
E15	ZBN20001223.1300.0044-E14
E16	ZBN20001223.1300.0044-E15
E17	ZBN20001223.1300.0044-E16
E2	ZBN20001223.1300.0044-E17
EM1	ZBN20001223.1300.0044-E13-1
EM29	ZBN20001223.1300.0044-E13-2
EM30	ZBN20001223.1300.0044-E13-3
EM31	ZBN20001223.1300.0044-E13-4
EM32	ZBN20001223.1300.0044-E13-5
EM33	ZBN20001223.1300.0044-E13-6
EM34	ZBN20001223.1300.0044-E13-7
EM36	ZBN20001223.1300.0044-E13-8
EM37	ZBN20001223.1300.0044-E17-9
EM38	ZBN20001223.1300.0044-E17-10
EM39	ZBN20001223.1300.0044-E1-11
EM40	ZBN20001223.1300.0044-E17-12
EM41	ZBN20001223.1300.0044-E17-13
EM42	ZBN20001223.1300.0044-E2-14
EM43	ZBN20001223.1300.0044-E17-15
EM44	ZBN20001223.1300.0044-E17-16
EM45	ZBN20001223.1300.0044-E17-17
EM46	ZBN20001223.1300.0044-E17-18
EM47	ZBN20001223.1300.0044-E17-19
EM48	ZBN20001223.1300.0044-E17-20
EM49	ZBN20001223.1300.0044-E17-21
EM50	ZBN20001223.1300.0044-E17-22
EM51	ZBN20001223.1300.0044-E17-23
EM52	ZBN20001223.1300.0044-E13-24
EM53	ZBN20001223.1300.0044-E17-25
EM54	ZBN20001223.1300.0044-E17-26
EM55	ZBN20001223.1300.0044-E3-27
EM56	ZBN20001223.1300.0044-E4-28
EM57	ZBN20001223.1300.0044-E5-29
EM58	ZBN20001223.1300.0044-E4-30
EM59	ZBN20001223.1300.0044-E6-31
EM60	ZBN20001223.1300.0044-E7-32
EM61	ZBN20001223.1300.0044-E8-33
EM62	ZBN20001223.1300.0044-E9-34
EM63	ZBN20001223.1300.0044-E3-35
EM64	ZBN20001223.1300.0044-E10-36
EM65	ZBN20001223.1300.0044-E10-37
EM66	ZBN20001223.1300.0044-E11-38
EM67	ZBN20001223.1300.0044-E10-39
EM68	ZBN20001223.1300.0044-E10-40
EM69	ZBN20001223.1300.0044-E10-41
EM70	ZBN20001223.1300.0044-E12-42
EM71	ZBN20001223.1300.0044-E14-43
EM72	ZBN20001223.1300.0044-E15-44
EM73	ZBN20001223.1300.0044-E16-45
EM2	ZBN20001223.1300.0044-E17-46
EM74	ZBN20001223.1300.0044-E13-47
EM3	ZBN20001223.1300.0044-E13-48
EM4	ZBN20001223.1300.0044-E13-49
EM5	ZBN20001223.1300.0044-E13-50
EM6	ZBN20001223.1300.0044-E13-51
EM7	ZBN20001223.1300.0044-E13-52
EM8	ZBN20001223.1300.0044-E13-53
EM9	ZBN20001223.1300.0044-E13-54
EM10	ZBN20001223.1300.0044-E13-55
EM11	ZBN20001223.1300.0044-E13-56
EM12	ZBN20001223.1300.0044-E13-57
EM13	ZBN20001223.1300.0044-E13-58
EM14	ZBN20001223.1300.0044-E13-59
EM15	ZBN20001223.1300.0044-E13-60
EM16	ZBN20001223.1300.0044-E13-61
EM17	ZBN20001223.1300.0044-E13-62
EM18	ZBN20001223.1300.0044-E13-63
EM19	ZBN20001223.1300.0044-E13-64
EM20	ZBN20001223.1300.0044-E13-65
EM21	ZBN20001223.1300.0044-E13-66
EM22	ZBN20001223.1300.0044-E13-67
EM23	ZBN20001223.1300.0044-E13-68
EM24	ZBN20001223.1300.0044-E13-69
EM25	ZBN20001223.1300.0044-E13-70
EM26	ZBN20001223.1300.0044-E13-71
EM27	ZBN20001223.1300.0044-E13-72
EM28	ZBN20001223.1300.0044-E13-73
R1	ZBN20001223.1300.0044-R1
R2	ZBN20001223.1300.0044-R2
R3	ZBN20001223.1300.0044-R3
R4	ZBN20001223.1300.0044-R4
R5	ZBN20001223.1300.0044-R5
R6	ZBN20001223.1300.0044-R6
R7	ZBN20001223.1300.0044-R7
R8	ZBN20001223.1300.0044-R8
R9	ZBN20001223.1300.0044-R9
R10	ZBN20001223.1300.0044-R10
R11	ZBN20001223.1300.0044-R11
R12	ZBN20001223.1300.0044-R12
R13	ZBN20001223.1300.0044-R13
R14	ZBN20001223.1300.0044-R14
R15	ZBN20001223.1300.0044-R15
R16	ZBN20001223.1300.0044-R16
R17	ZBN20001223.1300.0044-R17
RM1	ZBN20001223.1300.0044-R1-1
RM2	ZBN20001223.1300.0044-R1-2
RM3	ZBN20001223.1300.0044-R1-3
RM4	ZBN20001223.1300.0044-R4-1
RM5	ZBN20001223.1300.0044-R5-1
RM6	ZBN20001223.1300.0044-R1-4
RM7	ZBN20001223.1300.0044-R1-5
RM8	ZBN20001223.1300.0044-R8-1
RM9	ZBN20001223.1300.0044-R1-6
RM10	ZBN20001223.1300.0044-R1-7
RM11	ZBN20001223.1300.0044-R1-8
RM12	ZBN20001223.1300.0044-R1-9
RM13	ZBN20001223.1300.0044-R1-10
RM14	ZBN20001223.1300.0044-R1-11
RM15	ZBN20001223.1300.0044-R1-12
RM16	ZBN20001223.1300.0044-R4-2
RM17	ZBN20001223.1300.0044-R17-1
V1	ZBN20001223.1300.0044-EV1
V2	ZBN20001223.1300.0044-EV2
V3	ZBN20001223.1300.0044-EV3
V4	ZBN20001223.1300.0044-EV4
V5	ZBN20001223.1300.0044-EV5
V8	ZBN20001223.1300.0044-EV6
V9	ZBN20001223.1300.0044-EV7
V10	ZBN20001223.1300.0044-EV8
V11	ZBN20001223.1300.0044-EV9
VM1	ZBN20001223.1300.0044-EV1-1
VM2	ZBN20001223.1300.0044-EV2-1
VM3	ZBN20001223.1300.0044-EV3-1
VM4	ZBN20001223.1300.0044-EV4-1
VM5	ZBN20001223.1300.0044-EV5-1
VM8	ZBN20001223.1300.0044-EV6-1
VM9	ZBN20001223.1300.0044-EV7-1
VM10	ZBN20001223.1300.0044-EV8-1
VM11	ZBN20001223.1300.0044-EV9-1
Q1	ZBN20001223.1300.0044-T1
Q2	ZBN20001223.1300.0044-T2
Q3	ZBN20001223.1300.0044-V1
Q4	ZBN20001223.1300.0044-V2
Q5	ZBN20001223.1300.0044-T3
Q6	ZBN20001223.1300.0044-T4
Q7	ZBN20001223.1300.0044-T5
Q8	ZBN20001223.1300.0044-T6
Q9	ZBN20001223.1300.0044-T7
Q10	ZBN20001223.1300.0044-T8
Q11	ZBN20001223.1300.0044-V3
Q12	ZBN20001223.1300.0044-T9
Q13	ZBN20001223.1300.0044-T10
Q14	ZBN20001223.1300.0044-V4
Q15	ZBN20001223.1300.0044-V5
Q16	ZBN20001223.1300.0044-V6
Q17	ZBN20001223.1300.0044-V7
Q18	ZBN20001223.1300.0044-V8
Q19	ZBN20001223.1300.0044-V9
Q20	ZBN20001223.1300.0044-V10
Q21	ZBN20001223.1300.0044-V11
Q22	ZBN20001223.1300.0044-V12
Q25	ZBN20001223.1300.0044-V13
Q26	ZBN20001223.1300.0044-T11
Q27	ZBN20001223.1300.0044-T12
Q28	ZBN20001223.1300.0044-T13
Q29	ZBN20001223.1300.0044-V14
Q30	ZBN20001223.1300.0044-V15
Q31	ZBN20001223.1300.0044-V16
Q32	ZBN20001223.1300.0044-T14
Q33	ZBN20001223.1300.0044-T15
Q34	ZBN20001223.1300.0044-T16
Q36	ZBN20001223.1300.0044-T17
Q37	ZBN20001223.1300.0044-V17
QM3	ZBN20001223.1300.0044-V1-1
QM4	ZBN20001223.1300.0044-V2-1
QM11	ZBN20001223.1300.0044-V3-1
QM14	ZBN20001223.1300.0044-V4-1
QM15	ZBN20001223.1300.0044-V5-1
QM16	ZBN20001223.1300.0044-V6-1
QM17	ZBN20001223.1300.0044-V7-1
QM18	ZBN20001223.1300.0044-V8-1
QM19	ZBN20001223.1300.0044-V9-1
QM20	ZBN20001223.1300.0044-V10-1
QM21	ZBN20001223.1300.0044-V11-1
QM22	ZBN20001223.1300.0044-V12-1
QM25	ZBN20001223.1300.0044-V13-1
QM29	ZBN20001223.1300.0044-V14-1
QM30	ZBN20001223.1300.0044-V15-1
QM31	ZBN20001223.1300.0044-V16-1
QM37	ZBN20001223.1300.0044-V17-1
