CE57	DAVYZW_20050118.0946-CE1
CE12	DAVYZW_20050118.0946-CE2
CE14	DAVYZW_20050118.0946-CE3
CE15	DAVYZW_20050118.0946-CE4
CE16	DAVYZW_20050118.0946-CE5
CE17	DAVYZW_20050118.0946-CE6
CE19	DAVYZW_20050118.0946-CE7
CE18	DAVYZW_20050118.0946-CE8
CE20	DAVYZW_20050118.0946-CE9
CE35	DAVYZW_20050118.0946-CE10
CE21	DAVYZW_20050118.0946-CE11
CE22	DAVYZW_20050118.0946-CE12
CE23	DAVYZW_20050118.0946-CE13
CE26	DAVYZW_20050118.0946-CE14
CE27	DAVYZW_20050118.0946-CE15
CE28	DAVYZW_20050118.0946-CE16
CE29	DAVYZW_20050118.0946-CE17
CE30	DAVYZW_20050118.0946-CE18
CE31	DAVYZW_20050118.0946-CE19
CE32	DAVYZW_20050118.0946-CE20
CE33	DAVYZW_20050118.0946-CE21
CE34	DAVYZW_20050118.0946-CE22
CE36	DAVYZW_20050118.0946-CE23
CE37	DAVYZW_20050118.0946-CE24
CE38	DAVYZW_20050118.0946-CE25
CE40	DAVYZW_20050118.0946-CE26
CE41	DAVYZW_20050118.0946-CE27
CE42	DAVYZW_20050118.0946-CE28
CE43	DAVYZW_20050118.0946-CE29
CE1	DAVYZW_20050118.0946-CE30
CE44	DAVYZW_20050118.0946-CE31
CE45	DAVYZW_20050118.0946-CE32
CE39	DAVYZW_20050118.0946-CE33
CE47	DAVYZW_20050118.0946-CE34
CE48	DAVYZW_20050118.0946-CE35
CE49	DAVYZW_20050118.0946-CE36
CE50	DAVYZW_20050118.0946-CE37
CE51	DAVYZW_20050118.0946-CE38
CE52	DAVYZW_20050118.0946-CE39
CE53	DAVYZW_20050118.0946-CE40
CE54	DAVYZW_20050118.0946-CE41
CE55	DAVYZW_20050118.0946-CE42
CE56	DAVYZW_20050118.0946-CE43
CE58	DAVYZW_20050118.0946-CE44
CE46	DAVYZW_20050118.0946-CE45
CE59	DAVYZW_20050118.0946-CE46
CE2	DAVYZW_20050118.0946-CE47
CE3	DAVYZW_20050118.0946-CE48
CE5	DAVYZW_20050118.0946-CE49
CE4	DAVYZW_20050118.0946-CE50
CE6	DAVYZW_20050118.0946-CE51
CE7	DAVYZW_20050118.0946-CE52
CE8	DAVYZW_20050118.0946-CE53
CE9	DAVYZW_20050118.0946-CE54
CE10	DAVYZW_20050118.0946-CE55
CE11	DAVYZW_20050118.0946-CE56
CE24	DAVYZW_20050118.0946-CE57
CE25	DAVYZW_20050118.0946-CE58
E66	DAVYZW_20050118.0946-E1
E67	DAVYZW_20050118.0946-E2
E16	DAVYZW_20050118.0946-E3
E17	DAVYZW_20050118.0946-E4
E18	DAVYZW_20050118.0946-E5
E19	DAVYZW_20050118.0946-E6
E20	DAVYZW_20050118.0946-E7
