CE15	GLOVEBX_20041105.0620-CE1
CE30	GLOVEBX_20041105.0620-CE2
CE16	GLOVEBX_20041105.0620-CE3
CE18	GLOVEBX_20041105.0620-CE4
CE21	GLOVEBX_20041105.0620-CE5
CE22	GLOVEBX_20041105.0620-CE6
CE31	GLOVEBX_20041105.0620-CE7
CE24	GLOVEBX_20041105.0620-CE8
CE25	GLOVEBX_20041105.0620-CE9
CE26	GLOVEBX_20041105.0620-CE10
CE27	GLOVEBX_20041105.0620-CE11
CE28	GLOVEBX_20041105.0620-CE12
CE29	GLOVEBX_20041105.0620-CE13
CE17	GLOVEBX_20041105.0620-CE14
CE10	GLOVEBX_20041105.0620-CE15
CE2	GLOVEBX_20041105.0620-CE16
CE19	GLOVEBX_20041105.0620-CE17
CE20	GLOVEBX_20041105.0620-CE18
CE23	GLOVEBX_20041105.0620-CE19
CE3	GLOVEBX_20041105.0620-CE20
CE4	GLOVEBX_20041105.0620-CE21
CE5	GLOVEBX_20041105.0620-CE22
CE6	GLOVEBX_20041105.0620-CE23
CE7	GLOVEBX_20041105.0620-CE24
CE8	GLOVEBX_20041105.0620-CE25
CE9	GLOVEBX_20041105.0620-CE26
CE11	GLOVEBX_20041105.0620-CE27
CE12	GLOVEBX_20041105.0620-CE28
CE14	GLOVEBX_20041105.0620-CE29
CE13	GLOVEBX_20041105.0620-CE30
E36	GLOVEBX_20041105.0620-E1
E49	GLOVEBX_20041105.0620-E2
E20	GLOVEBX_20041105.0620-E3
E21	GLOVEBX_20041105.0620-E4
E22	GLOVEBX_20041105.0620-E5
E23	GLOVEBX_20041105.0620-E6
E24	GLOVEBX_20041105.0620-E7
E50	GLOVEBX_20041105.0620-E8
E26	GLOVEBX_20041105.0620-E9
E27	GLOVEBX_20041105.0620-E10
E28	GLOVEBX_20041105.0620-E11
E29	GLOVEBX_20041105.0620-E12
E30	GLOVEBX_20041105.0620-E13
E31	GLOVEBX_20041105.0620-E14
E32	GLOVEBX_20041105.0620-E15
E33	GLOVEBX_20041105.0620-E16
E1	GLOVEBX_20041105.0620-E17
E34	GLOVEBX_20041105.0620-E18
E37	GLOVEBX_20041105.0620-E19
E38	GLOVEBX_20041105.0620-E20
E39	GLOVEBX_20041105.0620-E21
E42	GLOVEBX_20041105.0620-E22
E48	GLOVEBX_20041105.0620-E23
E2	GLOVEBX_20041105.0620-E24
E3	GLOVEBX_20041105.0620-E25
E4	GLOVEBX_20041105.0620-E26
E5	GLOVEBX_20041105.0620-E27
