CE14	LANGLANGGARGEN_20050213.0141-CE1
CE15	LANGLANGGARGEN_20050213.0141-CE2
CE16	LANGLANGGARGEN_20050213.0141-CE3
CE17	LANGLANGGARGEN_20050213.0141-CE4
CE18	LANGLANGGARGEN_20050213.0141-CE5
CE19	LANGLANGGARGEN_20050213.0141-CE6
CE21	LANGLANGGARGEN_20050213.0141-CE7
CE20	LANGLANGGARGEN_20050213.0141-CE8
CE22	LANGLANGGARGEN_20050213.0141-CE9
CE23	LANGLANGGARGEN_20050213.0141-CE10
CE24	LANGLANGGARGEN_20050213.0141-CE11
CE25	LANGLANGGARGEN_20050213.0141-CE12
CE1	LANGLANGGARGEN_20050213.0141-CE13
CE26	LANGLANGGARGEN_20050213.0141-CE14
CE27	LANGLANGGARGEN_20050213.0141-CE15
CE28	LANGLANGGARGEN_20050213.0141-CE16
CE29	LANGLANGGARGEN_20050213.0141-CE17
CE30	LANGLANGGARGEN_20050213.0141-CE18
CE2	LANGLANGGARGEN_20050213.0141-CE19
CE3	LANGLANGGARGEN_20050213.0141-CE20
CE4	LANGLANGGARGEN_20050213.0141-CE21
CE5	LANGLANGGARGEN_20050213.0141-CE22
CE6	LANGLANGGARGEN_20050213.0141-CE23
CE7	LANGLANGGARGEN_20050213.0141-CE24
CE8	LANGLANGGARGEN_20050213.0141-CE25
CE9	LANGLANGGARGEN_20050213.0141-CE26
CE11	LANGLANGGARGEN_20050213.0141-CE27
CE10	LANGLANGGARGEN_20050213.0141-CE28
CE12	LANGLANGGARGEN_20050213.0141-CE29
CE13	LANGLANGGARGEN_20050213.0141-CE30
E14	LANGLANGGARGEN_20050213.0141-E1
E15	LANGLANGGARGEN_20050213.0141-E2
E16	LANGLANGGARGEN_20050213.0141-E3
E17	LANGLANGGARGEN_20050213.0141-E4
E18	LANGLANGGARGEN_20050213.0141-E5
E19	LANGLANGGARGEN_20050213.0141-E6
E20	LANGLANGGARGEN_20050213.0141-E7
E21	LANGLANGGARGEN_20050213.0141-E8
E22	LANGLANGGARGEN_20050213.0141-E9
E23	LANGLANGGARGEN_20050213.0141-E10
E24	LANGLANGGARGEN_20050213.0141-E11
E26	LANGLANGGARGEN_20050213.0141-E12
E27	LANGLANGGARGEN_20050213.0141-E13
E29	LANGLANGGARGEN_20050213.0141-E14
E30	LANGLANGGARGEN_20050213.0141-E15
E1	LANGLANGGARGEN_20050213.0141-E16
E31	LANGLANGGARGEN_20050213.0141-E17
E32	LANGLANGGARGEN_20050213.0141-E18
E33	LANGLANGGARGEN_20050213.0141-E19
E34	LANGLANGGARGEN_20050213.0141-E20
E35	LANGLANGGARGEN_20050213.0141-E21
E3	LANGLANGGARGEN_20050213.0141-E22
E4	LANGLANGGARGEN_20050213.0141-E23
E5	LANGLANGGARGEN_20050213.0141-E24
E6	LANGLANGGARGEN_20050213.0141-E25
E7	LANGLANGGARGEN_20050213.0141-E26
E8	LANGLANGGARGEN_20050213.0141-E27
E9	LANGLANGGARGEN_20050213.0141-E28
E10	LANGLANGGARGEN_20050213.0141-E29
E11	LANGLANGGARGEN_20050213.0141-E30
E12	LANGLANGGARGEN_20050213.0141-E31
E13	LANGLANGGARGEN_20050213.0141-E32
EM1	LANGLANGGARGEN_20050213.0141-E16-1
EM17	LANGLANGGARGEN_20050213.0141-E2-2
EM18	LANGLANGGARGEN_20050213.0141-E32-3
EM19	LANGLANGGARGEN_20050213.0141-E3-4
EM37	LANGLANGGARGEN_20050213.0141-E11-5
EM20	LANGLANGGARGEN_20050213.0141-E16-6
EM21	LANGLANGGARGEN_20050213.0141-E4-7
EM22	LANGLANGGARGEN_20050213.0141-E5-8
EM23	LANGLANGGARGEN_20050213.0141-E16-9
EM24	LANGLANGGARGEN_20050213.0141-E16-10
EM25	LANGLANGGARGEN_20050213.0141-E6-11
EM27	LANGLANGGARGEN_20050213.0141-E7-12
EM28	LANGLANGGARGEN_20050213.0141-E8-13
EM29	LANGLANGGARGEN_20050213.0141-E9-14
EM30	LANGLANGGARGEN_20050213.0141-E10-15
EM31	LANGLANGGARGEN_20050213.0141-E16-16
EM32	LANGLANGGARGEN_20050213.0141-E8-17
EM26	LANGLANGGARGEN_20050213.0141-E8-18
EM33	LANGLANGGARGEN_20050213.0141-E8-19
EM34	LANGLANGGARGEN_20050213.0141-E11-20
EM35	LANGLANGGARGEN_20050213.0141-E11-21
EM63	LANGLANGGARGEN_20050213.0141-E16-22
EM36	LANGLANGGARGEN_20050213.0141-E16-23
EM38	LANGLANGGARGEN_20050213.0141-E12-24
EM39	LANGLANGGARGEN_20050213.0141-E16-25
EM40	LANGLANGGARGEN_20050213.0141-E16-26
EM41	LANGLANGGARGEN_20050213.0141-E11-27
EM42	LANGLANGGARGEN_20050213.0141-E11-28
EM43	LANGLANGGARGEN_20050213.0141-E11-29
EM44	LANGLANGGARGEN_20050213.0141-E16-30
EM45	LANGLANGGARGEN_20050213.0141-E16-31
EM46	LANGLANGGARGEN_20050213.0141-E11-32
EM47	LANGLANGGARGEN_20050213.0141-E11-33
EM48	LANGLANGGARGEN_20050213.0141-E13-34
EM49	LANGLANGGARGEN_20050213.0141-E16-35
EM50	LANGLANGGARGEN_20050213.0141-E14-36
EM51	LANGLANGGARGEN_20050213.0141-E11-37
EM52	LANGLANGGARGEN_20050213.0141-E16-38
EM53	LANGLANGGARGEN_20050213.0141-E16-39
EM54	LANGLANGGARGEN_20050213.0141-E11-40
EM55	LANGLANGGARGEN_20050213.0141-E11-41
EM56	LANGLANGGARGEN_20050213.0141-E16-42
EM57	LANGLANGGARGEN_20050213.0141-E16-43
EM58	LANGLANGGARGEN_20050213.0141-E15-44
EM60	LANGLANGGARGEN_20050213.0141-E17-45
EM61	LANGLANGGARGEN_20050213.0141-E18-46
EM62	LANGLANGGARGEN_20050213.0141-E19-47
EM64	LANGLANGGARGEN_20050213.0141-E20-48
EM65	LANGLANGGARGEN_20050213.0141-E21-49
EM66	LANGLANGGARGEN_20050213.0141-E11-50
EM67	LANGLANGGARGEN_20050213.0141-E16-51
EM59	LANGLANGGARGEN_20050213.0141-E16-52
EM68	LANGLANGGARGEN_20050213.0141-E11-53
EM69	LANGLANGGARGEN_20050213.0141-E15-54
EM70	LANGLANGGARGEN_20050213.0141-E11-55
EM71	LANGLANGGARGEN_20050213.0141-E11-56
EM72	LANGLANGGARGEN_20050213.0141-E11-57
EM73	LANGLANGGARGEN_20050213.0141-E16-58
EM74	LANGLANGGARGEN_20050213.0141-E11-59
EM75	LANGLANGGARGEN_20050213.0141-E16-60
EM2	LANGLANGGARGEN_20050213.0141-E22-61
EM3	LANGLANGGARGEN_20050213.0141-E23-62
EM4	LANGLANGGARGEN_20050213.0141-E24-63
EM5	LANGLANGGARGEN_20050213.0141-E25-64
EM6	LANGLANGGARGEN_20050213.0141-E26-65
EM7	LANGLANGGARGEN_20050213.0141-E27-66
EM8	LANGLANGGARGEN_20050213.0141-E28-67
EM9	LANGLANGGARGEN_20050213.0141-E23-68
EM10	LANGLANGGARGEN_20050213.0141-E16-69
