CE12	LIUYIFENG_20050123.1752-CE1
CE13	LIUYIFENG_20050123.1752-CE2
CE15	LIUYIFENG_20050123.1752-CE3
CE14	LIUYIFENG_20050123.1752-CE4
CE16	LIUYIFENG_20050123.1752-CE5
CE17	LIUYIFENG_20050123.1752-CE6
CE18	LIUYIFENG_20050123.1752-CE7
CE19	LIUYIFENG_20050123.1752-CE8
CE20	LIUYIFENG_20050123.1752-CE9
CE21	LIUYIFENG_20050123.1752-CE10
CE22	LIUYIFENG_20050123.1752-CE11
CE23	LIUYIFENG_20050123.1752-CE12
CE24	LIUYIFENG_20050123.1752-CE13
CE25	LIUYIFENG_20050123.1752-CE14
CE26	LIUYIFENG_20050123.1752-CE15
CE27	LIUYIFENG_20050123.1752-CE16
CE28	LIUYIFENG_20050123.1752-CE17
CE3	LIUYIFENG_20050123.1752-CE18
CE1	LIUYIFENG_20050123.1752-CE19
CE2	LIUYIFENG_20050123.1752-CE20
CE4	LIUYIFENG_20050123.1752-CE21
CE8	LIUYIFENG_20050123.1752-CE22
CE5	LIUYIFENG_20050123.1752-CE23
CE6	LIUYIFENG_20050123.1752-CE24
CE7	LIUYIFENG_20050123.1752-CE25
CE9	LIUYIFENG_20050123.1752-CE26
CE10	LIUYIFENG_20050123.1752-CE27
CE11	LIUYIFENG_20050123.1752-CE28
E15	LIUYIFENG_20050123.1752-E1
E16	LIUYIFENG_20050123.1752-E2
E17	LIUYIFENG_20050123.1752-E3
E18	LIUYIFENG_20050123.1752-E4
E19	LIUYIFENG_20050123.1752-E5
E20	LIUYIFENG_20050123.1752-E6
E21	LIUYIFENG_20050123.1752-E7
E22	LIUYIFENG_20050123.1752-E8
E23	LIUYIFENG_20050123.1752-E9
E24	LIUYIFENG_20050123.1752-E10
E25	LIUYIFENG_20050123.1752-E11
E26	LIUYIFENG_20050123.1752-E12
E27	LIUYIFENG_20050123.1752-E13
E28	LIUYIFENG_20050123.1752-E14
E29	LIUYIFENG_20050123.1752-E15
E30	LIUYIFENG_20050123.1752-E16
E32	LIUYIFENG_20050123.1752-E17
E1	LIUYIFENG_20050123.1752-E18
E36	LIUYIFENG_20050123.1752-E19
E34	LIUYIFENG_20050123.1752-E20
E3	LIUYIFENG_20050123.1752-E21
E4	LIUYIFENG_20050123.1752-E22
E35	LIUYIFENG_20050123.1752-E23
E6	LIUYIFENG_20050123.1752-E24
E7	LIUYIFENG_20050123.1752-E25
E8	LIUYIFENG_20050123.1752-E26
E9	LIUYIFENG_20050123.1752-E27
E11	LIUYIFENG_20050123.1752-E28
E12	LIUYIFENG_20050123.1752-E29
E13	LIUYIFENG_20050123.1752-E30
E14	LIUYIFENG_20050123.1752-E31
EM1	LIUYIFENG_20050123.1752-E18-1
EM18	LIUYIFENG_20050123.1752-E2-2
EM20	LIUYIFENG_20050123.1752-E3-3
EM21	LIUYIFENG_20050123.1752-E4-4
EM22	LIUYIFENG_20050123.1752-E5-5
EM23	LIUYIFENG_20050123.1752-E6-6
EM24	LIUYIFENG_20050123.1752-E7-7
EM25	LIUYIFENG_20050123.1752-E26-8
EM26	LIUYIFENG_20050123.1752-E27-9
EM27	LIUYIFENG_20050123.1752-E8-10
EM28	LIUYIFENG_20050123.1752-E26-11
EM29	LIUYIFENG_20050123.1752-E26-12
EM30	LIUYIFENG_20050123.1752-E27-13
EM31	LIUYIFENG_20050123.1752-E27-14
EM32	LIUYIFENG_20050123.1752-E7-15
EM33	LIUYIFENG_20050123.1752-E9-16
EM34	LIUYIFENG_20050123.1752-E10-17
EM35	LIUYIFENG_20050123.1752-E11-18
EM36	LIUYIFENG_20050123.1752-E27-19
EM37	LIUYIFENG_20050123.1752-E12-20
EM38	LIUYIFENG_20050123.1752-E7-21
EM39	LIUYIFENG_20050123.1752-E13-22
EM40	LIUYIFENG_20050123.1752-E27-23
EM41	LIUYIFENG_20050123.1752-E7-24
EM42	LIUYIFENG_20050123.1752-E14-25
EM43	LIUYIFENG_20050123.1752-E7-26
EM44	LIUYIFENG_20050123.1752-E15-27
EM45	LIUYIFENG_20050123.1752-E24-28
EM46	LIUYIFENG_20050123.1752-E16-29
EM47	LIUYIFENG_20050123.1752-E22-30
EM48	LIUYIFENG_20050123.1752-E16-31
EM49	LIUYIFENG_20050123.1752-E17-32
EM50	LIUYIFENG_20050123.1752-E22-33
EM51	LIUYIFENG_20050123.1752-E24-34
EM52	LIUYIFENG_20050123.1752-E27-35
EM53	LIUYIFENG_20050123.1752-E16-36
EM19	LIUYIFENG_20050123.1752-E29-37
EM54	LIUYIFENG_20050123.1752-E27-38
EM55	LIUYIFENG_20050123.1752-E7-39
EM56	LIUYIFENG_20050123.1752-E7-40
EM57	LIUYIFENG_20050123.1752-E27-41
EM58	LIUYIFENG_20050123.1752-E26-42
EM59	LIUYIFENG_20050123.1752-E26-43
EM60	LIUYIFENG_20050123.1752-E7-44
EM61	LIUYIFENG_20050123.1752-E26-45
EM62	LIUYIFENG_20050123.1752-E19-46
EM4	LIUYIFENG_20050123.1752-E20-47
EM2	LIUYIFENG_20050123.1752-E21-48
EM3	LIUYIFENG_20050123.1752-E22-49
EM9	LIUYIFENG_20050123.1752-E23-50
EM5	LIUYIFENG_20050123.1752-E24-51
EM6	LIUYIFENG_20050123.1752-E25-52
EM7	LIUYIFENG_20050123.1752-E26-53
EM8	LIUYIFENG_20050123.1752-E27-54
EM10	LIUYIFENG_20050123.1752-E26-55
EM11	LIUYIFENG_20050123.1752-E26-56
EM12	LIUYIFENG_20050123.1752-E28-57
EM13	LIUYIFENG_20050123.1752-E26-58
EM14	LIUYIFENG_20050123.1752-E29-59
EM15	LIUYIFENG_20050123.1752-E30-60
EM16	LIUYIFENG_20050123.1752-E31-61
EM17	LIUYIFENG_20050123.1752-E1-62
R15	LIUYIFENG_20050123.1752-R1
R1	LIUYIFENG_20050123.1752-R2
R2	LIUYIFENG_20050123.1752-R3
R3	LIUYIFENG_20050123.1752-R4
R6	LIUYIFENG_20050123.1752-R5
R7	LIUYIFENG_20050123.1752-R6
R8	LIUYIFENG_20050123.1752-R7
R10	LIUYIFENG_20050123.1752-R8
R11	LIUYIFENG_20050123.1752-R9
R12	LIUYIFENG_20050123.1752-R10
R13	LIUYIFENG_20050123.1752-R11
R5	LIUYIFENG_20050123.1752-R12
R9	LIUYIFENG_20050123.1752-R13
R14	LIUYIFENG_20050123.1752-R14
RM15	LIUYIFENG_20050123.1752-R1-1
RM1	LIUYIFENG_20050123.1752-R2-1
RM2	LIUYIFENG_20050123.1752-R3-1
RM3	LIUYIFENG_20050123.1752-R4-1
RM6	LIUYIFENG_20050123.1752-R5-1
RM7	LIUYIFENG_20050123.1752-R6-1
RM8	LIUYIFENG_20050123.1752-R7-1
RM10	LIUYIFENG_20050123.1752-R7-2
RM11	LIUYIFENG_20050123.1752-R9-1
RM12	LIUYIFENG_20050123.1752-R10-1
RM13	LIUYIFENG_20050123.1752-R11-1
RM5	LIUYIFENG_20050123.1752-R12-1
RM9	LIUYIFENG_20050123.1752-R13-1
RM14	LIUYIFENG_20050123.1752-R14-1
V2	LIUYIFENG_20050123.1752-EV1
V3	LIUYIFENG_20050123.1752-EV2
V5	LIUYIFENG_20050123.1752-EV3
V1	LIUYIFENG_20050123.1752-EV4
V4	LIUYIFENG_20050123.1752-EV5
VM2	LIUYIFENG_20050123.1752-EV1-1
VM3	LIUYIFENG_20050123.1752-EV2-1
VM5	LIUYIFENG_20050123.1752-EV3-1
VM6	LIUYIFENG_20050123.1752-EV3-2
VM1	LIUYIFENG_20050123.1752-EV4-1
VM4	LIUYIFENG_20050123.1752-EV5-1
Q3	LIUYIFENG_20050123.1752-T1
Q4	LIUYIFENG_20050123.1752-V1
Q5	LIUYIFENG_20050123.1752-V2
Q6	LIUYIFENG_20050123.1752-T2
Q7	LIUYIFENG_20050123.1752-T3
Q8	LIUYIFENG_20050123.1752-V3
Q9	LIUYIFENG_20050123.1752-V4
Q10	LIUYIFENG_20050123.1752-T4
Q12	LIUYIFENG_20050123.1752-T5
Q1	LIUYIFENG_20050123.1752-T6
Q2	LIUYIFENG_20050123.1752-T7
Q11	LIUYIFENG_20050123.1752-T8
QM4	LIUYIFENG_20050123.1752-V1-1
QM5	LIUYIFENG_20050123.1752-V2-1
QM8	LIUYIFENG_20050123.1752-V3-1
QM9	LIUYIFENG_20050123.1752-V4-1
