CE13	SHIHUA_20050111.1335-CE1
CE14	SHIHUA_20050111.1335-CE2
CE15	SHIHUA_20050111.1335-CE3
CE16	SHIHUA_20050111.1335-CE4
CE18	SHIHUA_20050111.1335-CE5
CE17	SHIHUA_20050111.1335-CE6
CE19	SHIHUA_20050111.1335-CE7
CE20	SHIHUA_20050111.1335-CE8
CE21	SHIHUA_20050111.1335-CE9
CE22	SHIHUA_20050111.1335-CE10
CE23	SHIHUA_20050111.1335-CE11
CE24	SHIHUA_20050111.1335-CE12
CE25	SHIHUA_20050111.1335-CE13
CE26	SHIHUA_20050111.1335-CE14
CE27	SHIHUA_20050111.1335-CE15
CE28	SHIHUA_20050111.1335-CE16
CE29	SHIHUA_20050111.1335-CE17
CE30	SHIHUA_20050111.1335-CE18
CE31	SHIHUA_20050111.1335-CE19
CE32	SHIHUA_20050111.1335-CE20
CE1	SHIHUA_20050111.1335-CE21
CE33	SHIHUA_20050111.1335-CE22
CE34	SHIHUA_20050111.1335-CE23
CE36	SHIHUA_20050111.1335-CE24
CE37	SHIHUA_20050111.1335-CE25
CE35	SHIHUA_20050111.1335-CE26
CE38	SHIHUA_20050111.1335-CE27
CE2	SHIHUA_20050111.1335-CE28
CE4	SHIHUA_20050111.1335-CE29
CE5	SHIHUA_20050111.1335-CE30
CE6	SHIHUA_20050111.1335-CE31
CE7	SHIHUA_20050111.1335-CE32
CE8	SHIHUA_20050111.1335-CE33
CE3	SHIHUA_20050111.1335-CE34
CE9	SHIHUA_20050111.1335-CE35
CE10	SHIHUA_20050111.1335-CE36
CE11	SHIHUA_20050111.1335-CE37
CE12	SHIHUA_20050111.1335-CE38
E13	SHIHUA_20050111.1335-E1
E43	SHIHUA_20050111.1335-E2
E16	SHIHUA_20050111.1335-E3
E17	SHIHUA_20050111.1335-E4
E18	SHIHUA_20050111.1335-E5
E19	SHIHUA_20050111.1335-E6
E20	SHIHUA_20050111.1335-E7
E21	SHIHUA_20050111.1335-E8
E22	SHIHUA_20050111.1335-E9
E23	SHIHUA_20050111.1335-E10
E24	SHIHUA_20050111.1335-E11
E25	SHIHUA_20050111.1335-E12
E1	SHIHUA_20050111.1335-E13
E26	SHIHUA_20050111.1335-E14
E27	SHIHUA_20050111.1335-E15
E28	SHIHUA_20050111.1335-E16
E29	SHIHUA_20050111.1335-E17
E32	SHIHUA_20050111.1335-E18
E33	SHIHUA_20050111.1335-E19
E34	SHIHUA_20050111.1335-E20
E35	SHIHUA_20050111.1335-E21
E36	SHIHUA_20050111.1335-E22
E37	SHIHUA_20050111.1335-E23
E38	SHIHUA_20050111.1335-E24
E44	SHIHUA_20050111.1335-E25
E41	SHIHUA_20050111.1335-E26
E42	SHIHUA_20050111.1335-E27
E2	SHIHUA_20050111.1335-E28
E3	SHIHUA_20050111.1335-E29
E4	SHIHUA_20050111.1335-E30
E5	SHIHUA_20050111.1335-E31
E6	SHIHUA_20050111.1335-E32
E7	SHIHUA_20050111.1335-E33
E8	SHIHUA_20050111.1335-E34
E9	SHIHUA_20050111.1335-E35
E10	SHIHUA_20050111.1335-E36
E11	SHIHUA_20050111.1335-E37
E12	SHIHUA_20050111.1335-E38
EM1	SHIHUA_20050111.1335-E13-1
EM87	SHIHUA_20050111.1335-E2-2
EM20	SHIHUA_20050111.1335-E29-3
EM21	SHIHUA_20050111.1335-E34-4
EM22	SHIHUA_20050111.1335-E34-5
EM23	SHIHUA_20050111.1335-E34-6
EM24	SHIHUA_20050111.1335-E34-7
EM25	SHIHUA_20050111.1335-E34-8
EM26	SHIHUA_20050111.1335-E3-9
EM27	SHIHUA_20050111.1335-E4-10
EM28	SHIHUA_20050111.1335-E13-11
EM29	SHIHUA_20050111.1335-E5-12
EM30	SHIHUA_20050111.1335-E6-13
EM31	SHIHUA_20050111.1335-E7-14
EM32	SHIHUA_20050111.1335-E7-15
EM33	SHIHUA_20050111.1335-E7-16
EM34	SHIHUA_20050111.1335-E6-17
EM35	SHIHUA_20050111.1335-E4-18
EM36	SHIHUA_20050111.1335-E4-19
EM37	SHIHUA_20050111.1335-E7-20
EM38	SHIHUA_20050111.1335-E6-21
EM39	SHIHUA_20050111.1335-E4-22
EM40	SHIHUA_20050111.1335-E7-23
EM41	SHIHUA_20050111.1335-E6-24
EM42	SHIHUA_20050111.1335-E4-25
EM43	SHIHUA_20050111.1335-E8-26
EM44	SHIHUA_20050111.1335-E3-27
EM46	SHIHUA_20050111.1335-E9-28
EM47	SHIHUA_20050111.1335-E3-29
EM49	SHIHUA_20050111.1335-E34-30
EM50	SHIHUA_20050111.1335-E34-31
EM51	SHIHUA_20050111.1335-E34-32
EM52	SHIHUA_20050111.1335-E34-33
EM53	SHIHUA_20050111.1335-E34-34
EM54	SHIHUA_20050111.1335-E10-35
EM56	SHIHUA_20050111.1335-E11-36
EM3	SHIHUA_20050111.1335-E34-37
EM45	SHIHUA_20050111.1335-E34-38
