CE7	DAVYZW_20050114.0855-CE1
CE8	DAVYZW_20050114.0855-CE2
CE9	DAVYZW_20050114.0855-CE3
CE10	DAVYZW_20050114.0855-CE4
CE11	DAVYZW_20050114.0855-CE5
CE12	DAVYZW_20050114.0855-CE6
CE13	DAVYZW_20050114.0855-CE7
CE14	DAVYZW_20050114.0855-CE8
CE15	DAVYZW_20050114.0855-CE9
CE16	DAVYZW_20050114.0855-CE10
CE17	DAVYZW_20050114.0855-CE11
CE18	DAVYZW_20050114.0855-CE12
CE19	DAVYZW_20050114.0855-CE13
CE20	DAVYZW_20050114.0855-CE14
CE21	DAVYZW_20050114.0855-CE15
CE22	DAVYZW_20050114.0855-CE16
CE1	DAVYZW_20050114.0855-CE17
CE23	DAVYZW_20050114.0855-CE18
CE24	DAVYZW_20050114.0855-CE19
CE25	DAVYZW_20050114.0855-CE20
CE26	DAVYZW_20050114.0855-CE21
CE27	DAVYZW_20050114.0855-CE22
CE2	DAVYZW_20050114.0855-CE23
CE3	DAVYZW_20050114.0855-CE24
CE4	DAVYZW_20050114.0855-CE25
CE5	DAVYZW_20050114.0855-CE26
CE6	DAVYZW_20050114.0855-CE27
E9	DAVYZW_20050114.0855-E1
E10	DAVYZW_20050114.0855-E2
E11	DAVYZW_20050114.0855-E3
E12	DAVYZW_20050114.0855-E4
E13	DAVYZW_20050114.0855-E5
E14	DAVYZW_20050114.0855-E6
E15	DAVYZW_20050114.0855-E7
E16	DAVYZW_20050114.0855-E8
E17	DAVYZW_20050114.0855-E9
E18	DAVYZW_20050114.0855-E10
E19	DAVYZW_20050114.0855-E11
E20	DAVYZW_20050114.0855-E12
E21	DAVYZW_20050114.0855-E13
E1	DAVYZW_20050114.0855-E14
E22	DAVYZW_20050114.0855-E15
E23	DAVYZW_20050114.0855-E16
E24	DAVYZW_20050114.0855-E17
E25	DAVYZW_20050114.0855-E18
E26	DAVYZW_20050114.0855-E19
E27	DAVYZW_20050114.0855-E20
E28	DAVYZW_20050114.0855-E21
E29	DAVYZW_20050114.0855-E22
E30	DAVYZW_20050114.0855-E23
E31	DAVYZW_20050114.0855-E24
E32	DAVYZW_20050114.0855-E25
E33	DAVYZW_20050114.0855-E26
E2	DAVYZW_20050114.0855-E27
E3	DAVYZW_20050114.0855-E28
E4	DAVYZW_20050114.0855-E29
E5	DAVYZW_20050114.0855-E30
E6	DAVYZW_20050114.0855-E31
E7	DAVYZW_20050114.0855-E32
E8	DAVYZW_20050114.0855-E33
EM1	DAVYZW_20050114.0855-E14-1
EM23	DAVYZW_20050114.0855-E30-2
EM24	DAVYZW_20050114.0855-E31-3
EM25	DAVYZW_20050114.0855-E29-4
EM26	DAVYZW_20050114.0855-E29-5
EM27	DAVYZW_20050114.0855-E27-6
EM28	DAVYZW_20050114.0855-E1-7
EM11	DAVYZW_20050114.0855-E1-8
EM16	DAVYZW_20050114.0855-E1-9
EM29	DAVYZW_20050114.0855-E30-10
EM30	DAVYZW_20050114.0855-E2-11
EM31	DAVYZW_20050114.0855-E30-12
EM32	DAVYZW_20050114.0855-E1-13
EM33	DAVYZW_20050114.0855-E3-14
EM34	DAVYZW_20050114.0855-E29-15
EM35	DAVYZW_20050114.0855-E4-16
EM36	DAVYZW_20050114.0855-E5-17
EM37	DAVYZW_20050114.0855-E6-18
EM38	DAVYZW_20050114.0855-E1-19
EM39	DAVYZW_20050114.0855-E29-20
EM40	DAVYZW_20050114.0855-E29-21
EM41	DAVYZW_20050114.0855-E29-22
EM42	DAVYZW_20050114.0855-E5-23
EM43	DAVYZW_20050114.0855-E31-24
EM44	DAVYZW_20050114.0855-E1-25
EM45	DAVYZW_20050114.0855-E7-26
EM46	DAVYZW_20050114.0855-E7-27
EM47	DAVYZW_20050114.0855-E8-28
EM48	DAVYZW_20050114.0855-E27-29
EM49	DAVYZW_20050114.0855-E27-30
EM50	DAVYZW_20050114.0855-E9-31
EM51	DAVYZW_20050114.0855-E27-32
EM52	DAVYZW_20050114.0855-E27-33
EM53	DAVYZW_20050114.0855-E27-34
EM54	DAVYZW_20050114.0855-E1-35
EM55	DAVYZW_20050114.0855-E10-36
EM56	DAVYZW_20050114.0855-E1-37
EM57	DAVYZW_20050114.0855-E27-38
EM58	DAVYZW_20050114.0855-E30-39
EM59	DAVYZW_20050114.0855-E1-40
EM60	DAVYZW_20050114.0855-E11-41
EM61	DAVYZW_20050114.0855-E29-42
EM62	DAVYZW_20050114.0855-E11-43
EM63	DAVYZW_20050114.0855-E30-44
EM64	DAVYZW_20050114.0855-E1-45
EM65	DAVYZW_20050114.0855-E27-46
EM66	DAVYZW_20050114.0855-E12-47
EM67	DAVYZW_20050114.0855-E13-48
EM68	DAVYZW_20050114.0855-E15-49
EM69	DAVYZW_20050114.0855-E13-50
EM70	DAVYZW_20050114.0855-E31-51
EM71	DAVYZW_20050114.0855-E30-52
EM72	DAVYZW_20050114.0855-E16-53
EM73	DAVYZW_20050114.0855-E30-54
EM74	DAVYZW_20050114.0855-E31-55
EM75	DAVYZW_20050114.0855-E31-56
EM76	DAVYZW_20050114.0855-E30-57
EM77	DAVYZW_20050114.0855-E17-58
EM78	DAVYZW_20050114.0855-E30-59
