CE14	DAVYZW_20050228.1136-CE1
CE15	DAVYZW_20050228.1136-CE2
CE16	DAVYZW_20050228.1136-CE3
CE17	DAVYZW_20050228.1136-CE4
CE18	DAVYZW_20050228.1136-CE5
CE19	DAVYZW_20050228.1136-CE6
CE20	DAVYZW_20050228.1136-CE7
CE21	DAVYZW_20050228.1136-CE8
CE22	DAVYZW_20050228.1136-CE9
CE23	DAVYZW_20050228.1136-CE10
CE24	DAVYZW_20050228.1136-CE11
CE25	DAVYZW_20050228.1136-CE12
CE26	DAVYZW_20050228.1136-CE13
CE27	DAVYZW_20050228.1136-CE14
CE28	DAVYZW_20050228.1136-CE15
CE29	DAVYZW_20050228.1136-CE16
CE30	DAVYZW_20050228.1136-CE17
CE1	DAVYZW_20050228.1136-CE18
CE31	DAVYZW_20050228.1136-CE19
CE32	DAVYZW_20050228.1136-CE20
CE33	DAVYZW_20050228.1136-CE21
CE34	DAVYZW_20050228.1136-CE22
CE36	DAVYZW_20050228.1136-CE23
CE38	DAVYZW_20050228.1136-CE24
CE39	DAVYZW_20050228.1136-CE25
CE40	DAVYZW_20050228.1136-CE26
CE41	DAVYZW_20050228.1136-CE27
CE2	DAVYZW_20050228.1136-CE28
CE3	DAVYZW_20050228.1136-CE29
CE4	DAVYZW_20050228.1136-CE30
CE7	DAVYZW_20050228.1136-CE31
CE8	DAVYZW_20050228.1136-CE32
CE42	DAVYZW_20050228.1136-CE33
CE9	DAVYZW_20050228.1136-CE34
CE10	DAVYZW_20050228.1136-CE35
CE11	DAVYZW_20050228.1136-CE36
CE12	DAVYZW_20050228.1136-CE37
CE13	DAVYZW_20050228.1136-CE38
E15	DAVYZW_20050228.1136-E1
E16	DAVYZW_20050228.1136-E2
E17	DAVYZW_20050228.1136-E3
E18	DAVYZW_20050228.1136-E4
E19	DAVYZW_20050228.1136-E5
E20	DAVYZW_20050228.1136-E6
E21	DAVYZW_20050228.1136-E7
E22	DAVYZW_20050228.1136-E8
E23	DAVYZW_20050228.1136-E9
E24	DAVYZW_20050228.1136-E10
E25	DAVYZW_20050228.1136-E11
E26	DAVYZW_20050228.1136-E12
E1	DAVYZW_20050228.1136-E13
E27	DAVYZW_20050228.1136-E14
E28	DAVYZW_20050228.1136-E15
E29	DAVYZW_20050228.1136-E16
E30	DAVYZW_20050228.1136-E17
E31	DAVYZW_20050228.1136-E18
E32	DAVYZW_20050228.1136-E19
E33	DAVYZW_20050228.1136-E20
E34	DAVYZW_20050228.1136-E21
E35	DAVYZW_20050228.1136-E22
E36	DAVYZW_20050228.1136-E23
E37	DAVYZW_20050228.1136-E24
E39	DAVYZW_20050228.1136-E25
E2	DAVYZW_20050228.1136-E26
E41	DAVYZW_20050228.1136-E27
E42	DAVYZW_20050228.1136-E28
E43	DAVYZW_20050228.1136-E29
E44	DAVYZW_20050228.1136-E30
E3	DAVYZW_20050228.1136-E31
E4	DAVYZW_20050228.1136-E32
E7	DAVYZW_20050228.1136-E33
E8	DAVYZW_20050228.1136-E34
E45	DAVYZW_20050228.1136-E35
E9	DAVYZW_20050228.1136-E36
E10	DAVYZW_20050228.1136-E37
E11	DAVYZW_20050228.1136-E38
E12	DAVYZW_20050228.1136-E39
E13	DAVYZW_20050228.1136-E40
E14	DAVYZW_20050228.1136-E41
EM1	DAVYZW_20050228.1136-E13-1
EM6	DAVYZW_20050228.1136-E40-2
EM20	DAVYZW_20050228.1136-E2-3
EM21	DAVYZW_20050228.1136-E2-4
EM22	DAVYZW_20050228.1136-E2-5
EM23	DAVYZW_20050228.1136-E2-6
EM24	DAVYZW_20050228.1136-E2-7
EM25	DAVYZW_20050228.1136-E1-8
EM26	DAVYZW_20050228.1136-E3-9
EM67	DAVYZW_20050228.1136-E35-10
EM28	DAVYZW_20050228.1136-E13-11
EM29	DAVYZW_20050228.1136-E4-12
EM30	DAVYZW_20050228.1136-E5-13
EM31	DAVYZW_20050228.1136-E13-14
EM32	DAVYZW_20050228.1136-E2-15
EM33	DAVYZW_20050228.1136-E40-16
EM34	DAVYZW_20050228.1136-E13-17
EM35	DAVYZW_20050228.1136-E4-18
EM36	DAVYZW_20050228.1136-E4-19
EM37	DAVYZW_20050228.1136-E40-20
EM38	DAVYZW_20050228.1136-E13-21
EM39	DAVYZW_20050228.1136-E13-22
EM40	DAVYZW_20050228.1136-E4-23
EM41	DAVYZW_20050228.1136-E13-24
EM42	DAVYZW_20050228.1136-E4-25
EM43	DAVYZW_20050228.1136-E13-26
EM44	DAVYZW_20050228.1136-E6-27
EM45	DAVYZW_20050228.1136-E4-28
EM46	DAVYZW_20050228.1136-E13-29
EM47	DAVYZW_20050228.1136-E13-30
EM48	DAVYZW_20050228.1136-E13-31
EM49	DAVYZW_20050228.1136-E7-32
EM50	DAVYZW_20050228.1136-E8-33
EM51	DAVYZW_20050228.1136-E4-34
EM52	DAVYZW_20050228.1136-E4-35
EM53	DAVYZW_20050228.1136-E13-36
EM54	DAVYZW_20050228.1136-E9-37
EM55	DAVYZW_20050228.1136-E10-38
EM56	DAVYZW_20050228.1136-E4-39
EM57	DAVYZW_20050228.1136-E11-40
EM58	DAVYZW_20050228.1136-E12-41
EM59	DAVYZW_20050228.1136-E13-42
EM60	DAVYZW_20050228.1136-E13-43
EM61	DAVYZW_20050228.1136-E4-44
EM62	DAVYZW_20050228.1136-E4-45
EM63	DAVYZW_20050228.1136-E13-46
EM64	DAVYZW_20050228.1136-E13-47
EM65	DAVYZW_20050228.1136-E12-48
EM66	DAVYZW_20050228.1136-E12-49
EM72	DAVYZW_20050228.1136-E35-50
EM68	DAVYZW_20050228.1136-E14-51
EM69	DAVYZW_20050228.1136-E12-52
EM70	DAVYZW_20050228.1136-E15-53
EM71	DAVYZW_20050228.1136-E13-54
EM73	DAVYZW_20050228.1136-E12-55
EM74	DAVYZW_20050228.1136-E13-56
EM75	DAVYZW_20050228.1136-E13-57
EM76	DAVYZW_20050228.1136-E12-58
EM77	DAVYZW_20050228.1136-E2-59
EM79	DAVYZW_20050228.1136-E4-60
EM80	DAVYZW_20050228.1136-E13-61
EM81	DAVYZW_20050228.1136-E16-62
EM82	DAVYZW_20050228.1136-E17-63
EM83	DAVYZW_20050228.1136-E16-64
EM84	DAVYZW_20050228.1136-E18-65
EM85	DAVYZW_20050228.1136-E13-66
EM86	DAVYZW_20050228.1136-E2-67
EM87	DAVYZW_20050228.1136-E33-68
EM88	DAVYZW_20050228.1136-E36-69
EM89	DAVYZW_20050228.1136-E36-70
EM90	DAVYZW_20050228.1136-E13-71
EM91	DAVYZW_20050228.1136-E19-72
EM93	DAVYZW_20050228.1136-E21-73
EM94	DAVYZW_20050228.1136-E22-74
EM95	DAVYZW_20050228.1136-E20-75
EM97	DAVYZW_20050228.1136-E23-76
EM78	DAVYZW_20050228.1136-E20-77
EM98	DAVYZW_20050228.1136-E13-78
EM99	DAVYZW_20050228.1136-E24-79
EM101	DAVYZW_20050228.1136-E4-80
EM102	DAVYZW_20050228.1136-E25-81
EM103	DAVYZW_20050228.1136-E36-82
EM104	DAVYZW_20050228.1136-E12-83
EM105	DAVYZW_20050228.1136-E13-84
EM107	DAVYZW_20050228.1136-E13-85
EM108	DAVYZW_20050228.1136-E41-86
EM110	DAVYZW_20050228.1136-E39-87
EM111	DAVYZW_20050228.1136-E40-88
EM100	DAVYZW_20050228.1136-E5-89
EM2	DAVYZW_20050228.1136-E26-90
EM112	DAVYZW_20050228.1136-E20-91
EM115	DAVYZW_20050228.1136-E27-92
EM116	DAVYZW_20050228.1136-E28-93
EM117	DAVYZW_20050228.1136-E29-94
EM118	DAVYZW_20050228.1136-E30-95
EM3	DAVYZW_20050228.1136-E31-96
EM4	DAVYZW_20050228.1136-E32-97
EM5	DAVYZW_20050228.1136-E13-98
EM17	DAVYZW_20050228.1136-E36-99
EM18	DAVYZW_20050228.1136-E13-100
EM19	DAVYZW_20050228.1136-E1-101
EM8	DAVYZW_20050228.1136-E33-102
EM9	DAVYZW_20050228.1136-E34-103
EM11	DAVYZW_20050228.1136-E36-104
EM12	DAVYZW_20050228.1136-E37-105
EM13	DAVYZW_20050228.1136-E38-106
EM14	DAVYZW_20050228.1136-E39-107
EM15	DAVYZW_20050228.1136-E40-108
EM16	DAVYZW_20050228.1136-E41-109
R1	DAVYZW_20050228.1136-R1
R2	DAVYZW_20050228.1136-R2
R3	DAVYZW_20050228.1136-R3
R5	DAVYZW_20050228.1136-R4
R6	DAVYZW_20050228.1136-R5
R7	DAVYZW_20050228.1136-R6
R8	DAVYZW_20050228.1136-R7
R9	DAVYZW_20050228.1136-R8
R10	DAVYZW_20050228.1136-R9
R11	DAVYZW_20050228.1136-R10
R12	DAVYZW_20050228.1136-R11
R13	DAVYZW_20050228.1136-R12
R14	DAVYZW_20050228.1136-R13
R15	DAVYZW_20050228.1136-R14
R16	DAVYZW_20050228.1136-R15
R17	DAVYZW_20050228.1136-R16
R18	DAVYZW_20050228.1136-R17
R19	DAVYZW_20050228.1136-R18
R20	DAVYZW_20050228.1136-R19
R22	DAVYZW_20050228.1136-R20
R23	DAVYZW_20050228.1136-R21
R24	DAVYZW_20050228.1136-R22
R25	DAVYZW_20050228.1136-R23
R26	DAVYZW_20050228.1136-R24
RM1	DAVYZW_20050228.1136-R1-1
RM2	DAVYZW_20050228.1136-R2-1
RM3	DAVYZW_20050228.1136-R3-1
RM5	DAVYZW_20050228.1136-R4-1
RM6	DAVYZW_20050228.1136-R5-1
RM7	DAVYZW_20050228.1136-R6-1
RM8	DAVYZW_20050228.1136-R7-1
RM9	DAVYZW_20050228.1136-R8-1
RM10	DAVYZW_20050228.1136-R9-1
RM11	DAVYZW_20050228.1136-R9-2
RM12	DAVYZW_20050228.1136-R11-1
RM13	DAVYZW_20050228.1136-R12-1
RM14	DAVYZW_20050228.1136-R13-1
RM15	DAVYZW_20050228.1136-R14-1
RM16	DAVYZW_20050228.1136-R15-1
RM17	DAVYZW_20050228.1136-R16-1
RM18	DAVYZW_20050228.1136-R17-1
RM19	DAVYZW_20050228.1136-R11-2
RM20	DAVYZW_20050228.1136-R19-1
RM22	DAVYZW_20050228.1136-R20-1
RM23	DAVYZW_20050228.1136-R21-1
RM24	DAVYZW_20050228.1136-R22-1
RM25	DAVYZW_20050228.1136-R4-2
RM26	DAVYZW_20050228.1136-R7-2
V1	DAVYZW_20050228.1136-EV1
V3	DAVYZW_20050228.1136-EV2
VM1	DAVYZW_20050228.1136-EV1-1
VM3	DAVYZW_20050228.1136-EV2-1
Q1	DAVYZW_20050228.1136-T1
Q2	DAVYZW_20050228.1136-T2
Q3	DAVYZW_20050228.1136-T3
Q4	DAVYZW_20050228.1136-T4
Q5	DAVYZW_20050228.1136-T5
Q6	DAVYZW_20050228.1136-T6
Q7	DAVYZW_20050228.1136-T7
Q8	DAVYZW_20050228.1136-T8
Q9	DAVYZW_20050228.1136-T9
Q10	DAVYZW_20050228.1136-T10
Q11	DAVYZW_20050228.1136-V1
Q12	DAVYZW_20050228.1136-T11
Q13	DAVYZW_20050228.1136-T12
Q14	DAVYZW_20050228.1136-T13
Q15	DAVYZW_20050228.1136-V2
Q16	DAVYZW_20050228.1136-T14
Q17	DAVYZW_20050228.1136-T15
QM11	DAVYZW_20050228.1136-V1-1
QM15	DAVYZW_20050228.1136-V2-1
