CE12	SHIHUA_20050111.1335-CE1
CE14	SHIHUA_20050111.1335-CE2
CE15	SHIHUA_20050111.1335-CE3
CE16	SHIHUA_20050111.1335-CE4
CE17	SHIHUA_20050111.1335-CE5
CE18	SHIHUA_20050111.1335-CE6
CE19	SHIHUA_20050111.1335-CE7
CE20	SHIHUA_20050111.1335-CE8
CE21	SHIHUA_20050111.1335-CE9
CE22	SHIHUA_20050111.1335-CE10
CE23	SHIHUA_20050111.1335-CE11
CE24	SHIHUA_20050111.1335-CE12
CE25	SHIHUA_20050111.1335-CE13
CE26	SHIHUA_20050111.1335-CE14
CE27	SHIHUA_20050111.1335-CE15
CE28	SHIHUA_20050111.1335-CE16
CE29	SHIHUA_20050111.1335-CE17
CE30	SHIHUA_20050111.1335-CE18
CE31	SHIHUA_20050111.1335-CE19
CE32	SHIHUA_20050111.1335-CE20
CE33	SHIHUA_20050111.1335-CE21
CE1	SHIHUA_20050111.1335-CE22
CE35	SHIHUA_20050111.1335-CE23
CE36	SHIHUA_20050111.1335-CE24
CE38	SHIHUA_20050111.1335-CE25
CE39	SHIHUA_20050111.1335-CE26
CE40	SHIHUA_20050111.1335-CE27
CE41	SHIHUA_20050111.1335-CE28
CE42	SHIHUA_20050111.1335-CE29
CE2	SHIHUA_20050111.1335-CE30
CE3	SHIHUA_20050111.1335-CE31
CE4	SHIHUA_20050111.1335-CE32
CE5	SHIHUA_20050111.1335-CE33
CE6	SHIHUA_20050111.1335-CE34
CE7	SHIHUA_20050111.1335-CE35
CE8	SHIHUA_20050111.1335-CE36
CE9	SHIHUA_20050111.1335-CE37
CE10	SHIHUA_20050111.1335-CE38
CE11	SHIHUA_20050111.1335-CE39
E14	SHIHUA_20050111.1335-E1
E15	SHIHUA_20050111.1335-E2
E16	SHIHUA_20050111.1335-E3
E17	SHIHUA_20050111.1335-E4
E18	SHIHUA_20050111.1335-E5
E19	SHIHUA_20050111.1335-E6
E20	SHIHUA_20050111.1335-E7
E21	SHIHUA_20050111.1335-E8
E22	SHIHUA_20050111.1335-E9
E23	SHIHUA_20050111.1335-E10
E24	SHIHUA_20050111.1335-E11
E25	SHIHUA_20050111.1335-E12
E1	SHIHUA_20050111.1335-E13
E26	SHIHUA_20050111.1335-E14
E27	SHIHUA_20050111.1335-E15
E28	SHIHUA_20050111.1335-E16
E29	SHIHUA_20050111.1335-E17
E30	SHIHUA_20050111.1335-E18
E31	SHIHUA_20050111.1335-E19
E32	SHIHUA_20050111.1335-E20
E33	SHIHUA_20050111.1335-E21
E35	SHIHUA_20050111.1335-E22
E36	SHIHUA_20050111.1335-E23
E38	SHIHUA_20050111.1335-E24
E39	SHIHUA_20050111.1335-E25
E40	SHIHUA_20050111.1335-E26
E41	SHIHUA_20050111.1335-E27
E42	SHIHUA_20050111.1335-E28
E2	SHIHUA_20050111.1335-E29
E3	SHIHUA_20050111.1335-E30
E4	SHIHUA_20050111.1335-E31
E5	SHIHUA_20050111.1335-E32
E6	SHIHUA_20050111.1335-E33
E7	SHIHUA_20050111.1335-E34
E8	SHIHUA_20050111.1335-E35
E9	SHIHUA_20050111.1335-E36
E10	SHIHUA_20050111.1335-E37
E11	SHIHUA_20050111.1335-E38
E12	SHIHUA_20050111.1335-E39
EM1	SHIHUA_20050111.1335-E13-1
EM20	SHIHUA_20050111.1335-E30-2
EM21	SHIHUA_20050111.1335-E29-3
EM22	SHIHUA_20050111.1335-E29-4
EM23	SHIHUA_20050111.1335-E29-5
EM24	SHIHUA_20050111.1335-E29-6
EM25	SHIHUA_20050111.1335-E29-7
EM26	SHIHUA_20050111.1335-E1-8
EM27	SHIHUA_20050111.1335-E34-9
EM28	SHIHUA_20050111.1335-E2-10
EM29	SHIHUA_20050111.1335-E3-11
EM30	SHIHUA_20050111.1335-E4-12
EM31	SHIHUA_20050111.1335-E5-13
EM32	SHIHUA_20050111.1335-E5-14
EM33	SHIHUA_20050111.1335-E5-15
EM34	SHIHUA_20050111.1335-E2-16
EM35	SHIHUA_20050111.1335-E4-17
EM36	SHIHUA_20050111.1335-E2-18
EM37	SHIHUA_20050111.1335-E5-19
EM38	SHIHUA_20050111.1335-E2-20
EM39	SHIHUA_20050111.1335-E4-21
EM40	SHIHUA_20050111.1335-E5-22
EM41	SHIHUA_20050111.1335-E2-23
EM42	SHIHUA_20050111.1335-E4-24
EM43	SHIHUA_20050111.1335-E1-25
EM44	SHIHUA_20050111.1335-E6-26
EM45	SHIHUA_20050111.1335-E29-27
EM46	SHIHUA_20050111.1335-E7-28
EM47	SHIHUA_20050111.1335-E1-29
EM48	SHIHUA_20050111.1335-E29-30
EM49	SHIHUA_20050111.1335-E29-31
EM50	SHIHUA_20050111.1335-E29-32
EM51	SHIHUA_20050111.1335-E29-33
EM52	SHIHUA_20050111.1335-E29-34
EM53	SHIHUA_20050111.1335-E29-35
EM54	SHIHUA_20050111.1335-E8-36
