CE6	DAVYZW_20050114.0855-CE1
CE7	DAVYZW_20050114.0855-CE2
CE8	DAVYZW_20050114.0855-CE3
CE10	DAVYZW_20050114.0855-CE4
CE11	DAVYZW_20050114.0855-CE5
CE12	DAVYZW_20050114.0855-CE6
CE13	DAVYZW_20050114.0855-CE7
CE14	DAVYZW_20050114.0855-CE8
CE15	DAVYZW_20050114.0855-CE9
CE22	DAVYZW_20050114.0855-CE10
CE16	DAVYZW_20050114.0855-CE11
CE18	DAVYZW_20050114.0855-CE12
CE19	DAVYZW_20050114.0855-CE13
CE20	DAVYZW_20050114.0855-CE14
CE21	DAVYZW_20050114.0855-CE15
CE30	DAVYZW_20050114.0855-CE16
CE25	DAVYZW_20050114.0855-CE17
CE28	DAVYZW_20050114.0855-CE18
CE29	DAVYZW_20050114.0855-CE19
CE2	DAVYZW_20050114.0855-CE20
CE3	DAVYZW_20050114.0855-CE21
CE4	DAVYZW_20050114.0855-CE22
CE5	DAVYZW_20050114.0855-CE23
E8	DAVYZW_20050114.0855-E1
E9	DAVYZW_20050114.0855-E2
E10	DAVYZW_20050114.0855-E3
E12	DAVYZW_20050114.0855-E4
E13	DAVYZW_20050114.0855-E5
E14	DAVYZW_20050114.0855-E6
E15	DAVYZW_20050114.0855-E7
E16	DAVYZW_20050114.0855-E8
E17	DAVYZW_20050114.0855-E9
E18	DAVYZW_20050114.0855-E10
E26	DAVYZW_20050114.0855-E11
E19	DAVYZW_20050114.0855-E12
E21	DAVYZW_20050114.0855-E13
E22	DAVYZW_20050114.0855-E14
E23	DAVYZW_20050114.0855-E15
E24	DAVYZW_20050114.0855-E16
E25	DAVYZW_20050114.0855-E17
E37	DAVYZW_20050114.0855-E18
E38	DAVYZW_20050114.0855-E19
E29	DAVYZW_20050114.0855-E20
E33	DAVYZW_20050114.0855-E21
E35	DAVYZW_20050114.0855-E22
E36	DAVYZW_20050114.0855-E23
E2	DAVYZW_20050114.0855-E24
E3	DAVYZW_20050114.0855-E25
E4	DAVYZW_20050114.0855-E26
E5	DAVYZW_20050114.0855-E27
E6	DAVYZW_20050114.0855-E28
E7	DAVYZW_20050114.0855-E29
EM135	DAVYZW_20050114.0855-E27-1
EM26	DAVYZW_20050114.0855-E26-2
EM27	DAVYZW_20050114.0855-E26-3
EM28	DAVYZW_20050114.0855-E27-4
EM29	DAVYZW_20050114.0855-E1-5
EM30	DAVYZW_20050114.0855-E27-6
EM31	DAVYZW_20050114.0855-E28-7
EM32	DAVYZW_20050114.0855-E2-8
EM33	DAVYZW_20050114.0855-E26-9
EM34	DAVYZW_20050114.0855-E3-10
EM104	DAVYZW_20050114.0855-E26-11
EM105	DAVYZW_20050114.0855-E28-12
EM36	DAVYZW_20050114.0855-E26-13
EM37	DAVYZW_20050114.0855-E28-14
EM106	DAVYZW_20050114.0855-E11-15
EM39	DAVYZW_20050114.0855-E26-16
EM40	DAVYZW_20050114.0855-E26-17
EM41	DAVYZW_20050114.0855-E4-18
EM42	DAVYZW_20050114.0855-E5-19
EM43	DAVYZW_20050114.0855-E28-20
EM44	DAVYZW_20050114.0855-E6-21
EM45	DAVYZW_20050114.0855-E6-22
EM46	DAVYZW_20050114.0855-E7-23
EM47	DAVYZW_20050114.0855-E24-24
EM48	DAVYZW_20050114.0855-E24-25
EM96	DAVYZW_20050114.0855-E28-26
EM49	DAVYZW_20050114.0855-E8-27
EM50	DAVYZW_20050114.0855-E24-28
EM51	DAVYZW_20050114.0855-E24-29
EM52	DAVYZW_20050114.0855-E24-30
EM53	DAVYZW_20050114.0855-E28-31
EM54	DAVYZW_20050114.0855-E9-32
EM55	DAVYZW_20050114.0855-E24-33
EM56	DAVYZW_20050114.0855-E24-34
EM57	DAVYZW_20050114.0855-E27-35
EM136	DAVYZW_20050114.0855-E5-36
EM137	DAVYZW_20050114.0855-E27-37
EM61	DAVYZW_20050114.0855-E28-38
EM138	DAVYZW_20050114.0855-E5-39
EM139	DAVYZW_20050114.0855-E18-40
EM64	DAVYZW_20050114.0855-E10-41
EM66	DAVYZW_20050114.0855-E12-42
EM67	DAVYZW_20050114.0855-E26-43
EM68	DAVYZW_20050114.0855-E28-44
EM107	DAVYZW_20050114.0855-E12-45
EM108	DAVYZW_20050114.0855-E12-46
EM70	DAVYZW_20050114.0855-E28-47
EM109	DAVYZW_20050114.0855-E26-48
EM73	DAVYZW_20050114.0855-E13-49
EM74	DAVYZW_20050114.0855-E27-50
EM75	DAVYZW_20050114.0855-E14-51
EM76	DAVYZW_20050114.0855-E14-52
EM77	DAVYZW_20050114.0855-E15-53
EM78	DAVYZW_20050114.0855-E5-54
EM79	DAVYZW_20050114.0855-E13-55
