CE35	DAVYZW_20050228.1136-CE1
CE16	DAVYZW_20050228.1136-CE2
CE38	DAVYZW_20050228.1136-CE3
CE21	DAVYZW_20050228.1136-CE4
CE22	DAVYZW_20050228.1136-CE5
CE23	DAVYZW_20050228.1136-CE6
CE24	DAVYZW_20050228.1136-CE7
CE25	DAVYZW_20050228.1136-CE8
CE28	DAVYZW_20050228.1136-CE9
CE69	DAVYZW_20050228.1136-CE10
CE39	DAVYZW_20050228.1136-CE11
CE31	DAVYZW_20050228.1136-CE12
CE40	DAVYZW_20050228.1136-CE13
CE41	DAVYZW_20050228.1136-CE14
CE42	DAVYZW_20050228.1136-CE15
CE43	DAVYZW_20050228.1136-CE16
CE70	DAVYZW_20050228.1136-CE17
CE71	DAVYZW_20050228.1136-CE18
CE47	DAVYZW_20050228.1136-CE19
CE66	DAVYZW_20050228.1136-CE20
CE48	DAVYZW_20050228.1136-CE21
CE50	DAVYZW_20050228.1136-CE22
CE51	DAVYZW_20050228.1136-CE23
CE52	DAVYZW_20050228.1136-CE24
CE53	DAVYZW_20050228.1136-CE25
CE54	DAVYZW_20050228.1136-CE26
CE55	DAVYZW_20050228.1136-CE27
CE57	DAVYZW_20050228.1136-CE28
CE58	DAVYZW_20050228.1136-CE29
CE59	DAVYZW_20050228.1136-CE30
CE60	DAVYZW_20050228.1136-CE31
CE63	DAVYZW_20050228.1136-CE32
CE64	DAVYZW_20050228.1136-CE33
CE65	DAVYZW_20050228.1136-CE34
CE2	DAVYZW_20050228.1136-CE35
CE5	DAVYZW_20050228.1136-CE36
CE6	DAVYZW_20050228.1136-CE37
CE7	DAVYZW_20050228.1136-CE38
CE8	DAVYZW_20050228.1136-CE39
CE32	DAVYZW_20050228.1136-CE40
CE11	DAVYZW_20050228.1136-CE41
CE67	DAVYZW_20050228.1136-CE42
CE12	DAVYZW_20050228.1136-CE43
CE68	DAVYZW_20050228.1136-CE44
E35	DAVYZW_20050228.1136-E1
E16	DAVYZW_20050228.1136-E2
E38	DAVYZW_20050228.1136-E3
E21	DAVYZW_20050228.1136-E4
E22	DAVYZW_20050228.1136-E5
E23	DAVYZW_20050228.1136-E6
E24	DAVYZW_20050228.1136-E7
E25	DAVYZW_20050228.1136-E8
E28	DAVYZW_20050228.1136-E9
E70	DAVYZW_20050228.1136-E10
E39	DAVYZW_20050228.1136-E11
E31	DAVYZW_20050228.1136-E12
E67	DAVYZW_20050228.1136-E13
E40	DAVYZW_20050228.1136-E14
E41	DAVYZW_20050228.1136-E15
E42	DAVYZW_20050228.1136-E16
E43	DAVYZW_20050228.1136-E17
E71	DAVYZW_20050228.1136-E18
E72	DAVYZW_20050228.1136-E19
E47	DAVYZW_20050228.1136-E20
E48	DAVYZW_20050228.1136-E21
E50	DAVYZW_20050228.1136-E22
E51	DAVYZW_20050228.1136-E23
E52	DAVYZW_20050228.1136-E24
E53	DAVYZW_20050228.1136-E25
E54	DAVYZW_20050228.1136-E26
E55	DAVYZW_20050228.1136-E27
E56	DAVYZW_20050228.1136-E28
E58	DAVYZW_20050228.1136-E29
E59	DAVYZW_20050228.1136-E30
E60	DAVYZW_20050228.1136-E31
E61	DAVYZW_20050228.1136-E32
E64	DAVYZW_20050228.1136-E33
E65	DAVYZW_20050228.1136-E34
E66	DAVYZW_20050228.1136-E35
E2	DAVYZW_20050228.1136-E36
E5	DAVYZW_20050228.1136-E37
E6	DAVYZW_20050228.1136-E38
E7	DAVYZW_20050228.1136-E39
E8	DAVYZW_20050228.1136-E40
E32	DAVYZW_20050228.1136-E41
E68	DAVYZW_20050228.1136-E42
E11	DAVYZW_20050228.1136-E43
E12	DAVYZW_20050228.1136-E44
E69	DAVYZW_20050228.1136-E45
EM173	DAVYZW_20050228.1136-E13-1
EM78	DAVYZW_20050228.1136-E1-2
EM80	DAVYZW_20050228.1136-E36-3
EM81	DAVYZW_20050228.1136-E9-4
EM23	DAVYZW_20050228.1136-E38-5
EM24	DAVYZW_20050228.1136-E44-6
EM82	DAVYZW_20050228.1136-E36-7
EM83	DAVYZW_20050228.1136-E41-8
EM87	DAVYZW_20050228.1136-E3-9
