CE13	GLOVEBX_20041205.0542-CE1
CE14	GLOVEBX_20041205.0542-CE2
CE15	GLOVEBX_20041205.0542-CE3
CE16	GLOVEBX_20041205.0542-CE4
CE17	GLOVEBX_20041205.0542-CE5
CE18	GLOVEBX_20041205.0542-CE6
CE19	GLOVEBX_20041205.0542-CE7
CE20	GLOVEBX_20041205.0542-CE8
CE21	GLOVEBX_20041205.0542-CE9
CE22	GLOVEBX_20041205.0542-CE10
CE23	GLOVEBX_20041205.0542-CE11
CE24	GLOVEBX_20041205.0542-CE12
CE25	GLOVEBX_20041205.0542-CE13
CE26	GLOVEBX_20041205.0542-CE14
CE27	GLOVEBX_20041205.0542-CE15
CE28	GLOVEBX_20041205.0542-CE16
CE29	GLOVEBX_20041205.0542-CE17
CE30	GLOVEBX_20041205.0542-CE18
CE31	GLOVEBX_20041205.0542-CE19
CE32	GLOVEBX_20041205.0542-CE20
CE33	GLOVEBX_20041205.0542-CE21
CE1	GLOVEBX_20041205.0542-CE22
CE2	GLOVEBX_20041205.0542-CE23
CE3	GLOVEBX_20041205.0542-CE24
CE4	GLOVEBX_20041205.0542-CE25
CE5	GLOVEBX_20041205.0542-CE26
CE6	GLOVEBX_20041205.0542-CE27
CE7	GLOVEBX_20041205.0542-CE28
CE8	GLOVEBX_20041205.0542-CE29
CE9	GLOVEBX_20041205.0542-CE30
CE10	GLOVEBX_20041205.0542-CE31
CE11	GLOVEBX_20041205.0542-CE32
CE12	GLOVEBX_20041205.0542-CE33
E14	GLOVEBX_20041205.0542-E1
E15	GLOVEBX_20041205.0542-E2
E16	GLOVEBX_20041205.0542-E3
E17	GLOVEBX_20041205.0542-E4
E18	GLOVEBX_20041205.0542-E5
E19	GLOVEBX_20041205.0542-E6
E38	GLOVEBX_20041205.0542-E7
E21	GLOVEBX_20041205.0542-E8
E22	GLOVEBX_20041205.0542-E9
E23	GLOVEBX_20041205.0542-E10
E24	GLOVEBX_20041205.0542-E11
E25	GLOVEBX_20041205.0542-E12
E26	GLOVEBX_20041205.0542-E13
E27	GLOVEBX_20041205.0542-E14
E28	GLOVEBX_20041205.0542-E15
