CE9	LANGLANGGARGEN_20041228.1339-CE1
CE10	LANGLANGGARGEN_20041228.1339-CE2
CE11	LANGLANGGARGEN_20041228.1339-CE3
CE12	LANGLANGGARGEN_20041228.1339-CE4
CE14	LANGLANGGARGEN_20041228.1339-CE5
CE15	LANGLANGGARGEN_20041228.1339-CE6
CE16	LANGLANGGARGEN_20041228.1339-CE7
CE17	LANGLANGGARGEN_20041228.1339-CE8
CE18	LANGLANGGARGEN_20041228.1339-CE9
CE19	LANGLANGGARGEN_20041228.1339-CE10
CE21	LANGLANGGARGEN_20041228.1339-CE11
CE22	LANGLANGGARGEN_20041228.1339-CE12
CE23	LANGLANGGARGEN_20041228.1339-CE13
CE24	LANGLANGGARGEN_20041228.1339-CE14
CE25	LANGLANGGARGEN_20041228.1339-CE15
CE26	LANGLANGGARGEN_20041228.1339-CE16
CE27	LANGLANGGARGEN_20041228.1339-CE17
CE28	LANGLANGGARGEN_20041228.1339-CE18
CE29	LANGLANGGARGEN_20041228.1339-CE19
CE30	LANGLANGGARGEN_20041228.1339-CE20
CE31	LANGLANGGARGEN_20041228.1339-CE21
CE32	LANGLANGGARGEN_20041228.1339-CE22
CE33	LANGLANGGARGEN_20041228.1339-CE23
CE34	LANGLANGGARGEN_20041228.1339-CE24
CE35	LANGLANGGARGEN_20041228.1339-CE25
CE1	LANGLANGGARGEN_20041228.1339-CE26
CE36	LANGLANGGARGEN_20041228.1339-CE27
CE37	LANGLANGGARGEN_20041228.1339-CE28
CE2	LANGLANGGARGEN_20041228.1339-CE29
CE3	LANGLANGGARGEN_20041228.1339-CE30
CE4	LANGLANGGARGEN_20041228.1339-CE31
CE5	LANGLANGGARGEN_20041228.1339-CE32
CE6	LANGLANGGARGEN_20041228.1339-CE33
CE7	LANGLANGGARGEN_20041228.1339-CE34
CE8	LANGLANGGARGEN_20041228.1339-CE35
E10	LANGLANGGARGEN_20041228.1339-E1
E11	LANGLANGGARGEN_20041228.1339-E2
E12	LANGLANGGARGEN_20041228.1339-E3
E13	LANGLANGGARGEN_20041228.1339-E4
E15	LANGLANGGARGEN_20041228.1339-E5
E16	LANGLANGGARGEN_20041228.1339-E6
E17	LANGLANGGARGEN_20041228.1339-E7
E18	LANGLANGGARGEN_20041228.1339-E8
E19	LANGLANGGARGEN_20041228.1339-E9
E20	LANGLANGGARGEN_20041228.1339-E10
E22	LANGLANGGARGEN_20041228.1339-E11
E23	LANGLANGGARGEN_20041228.1339-E12
E24	LANGLANGGARGEN_20041228.1339-E13
E25	LANGLANGGARGEN_20041228.1339-E14
E26	LANGLANGGARGEN_20041228.1339-E15
E27	LANGLANGGARGEN_20041228.1339-E16
E28	LANGLANGGARGEN_20041228.1339-E17
E29	LANGLANGGARGEN_20041228.1339-E18
E1	LANGLANGGARGEN_20041228.1339-E19
E30	LANGLANGGARGEN_20041228.1339-E20
E31	LANGLANGGARGEN_20041228.1339-E21
E32	LANGLANGGARGEN_20041228.1339-E22
E33	LANGLANGGARGEN_20041228.1339-E23
E34	LANGLANGGARGEN_20041228.1339-E24
E35	LANGLANGGARGEN_20041228.1339-E25
E36	LANGLANGGARGEN_20041228.1339-E26
E37	LANGLANGGARGEN_20041228.1339-E27
E38	LANGLANGGARGEN_20041228.1339-E28
E39	LANGLANGGARGEN_20041228.1339-E29
E40	LANGLANGGARGEN_20041228.1339-E30
E2	LANGLANGGARGEN_20041228.1339-E31
E3	LANGLANGGARGEN_20041228.1339-E32
E4	LANGLANGGARGEN_20041228.1339-E33
E5	LANGLANGGARGEN_20041228.1339-E34
E6	LANGLANGGARGEN_20041228.1339-E35
E7	LANGLANGGARGEN_20041228.1339-E36
E8	LANGLANGGARGEN_20041228.1339-E37
E9	LANGLANGGARGEN_20041228.1339-E38
