CE14	LIUYIFENG_20050128.0839-CE1
CE15	LIUYIFENG_20050128.0839-CE2
CE16	LIUYIFENG_20050128.0839-CE3
CE17	LIUYIFENG_20050128.0839-CE4
CE18	LIUYIFENG_20050128.0839-CE5
CE19	LIUYIFENG_20050128.0839-CE6
CE20	LIUYIFENG_20050128.0839-CE7
CE21	LIUYIFENG_20050128.0839-CE8
CE22	LIUYIFENG_20050128.0839-CE9
CE23	LIUYIFENG_20050128.0839-CE10
CE24	LIUYIFENG_20050128.0839-CE11
CE25	LIUYIFENG_20050128.0839-CE12
CE26	LIUYIFENG_20050128.0839-CE13
CE27	LIUYIFENG_20050128.0839-CE14
CE28	LIUYIFENG_20050128.0839-CE15
CE29	LIUYIFENG_20050128.0839-CE16
CE30	LIUYIFENG_20050128.0839-CE17
CE31	LIUYIFENG_20050128.0839-CE18
CE32	LIUYIFENG_20050128.0839-CE19
CE33	LIUYIFENG_20050128.0839-CE20
CE34	LIUYIFENG_20050128.0839-CE21
CE35	LIUYIFENG_20050128.0839-CE22
CE36	LIUYIFENG_20050128.0839-CE23
CE2	LIUYIFENG_20050128.0839-CE24
CE3	LIUYIFENG_20050128.0839-CE25
CE4	LIUYIFENG_20050128.0839-CE26
CE5	LIUYIFENG_20050128.0839-CE27
CE6	LIUYIFENG_20050128.0839-CE28
CE7	LIUYIFENG_20050128.0839-CE29
CE8	LIUYIFENG_20050128.0839-CE30
CE9	LIUYIFENG_20050128.0839-CE31
CE10	LIUYIFENG_20050128.0839-CE32
CE11	LIUYIFENG_20050128.0839-CE33
CE12	LIUYIFENG_20050128.0839-CE34
CE13	LIUYIFENG_20050128.0839-CE35
E14	LIUYIFENG_20050128.0839-E1
E15	LIUYIFENG_20050128.0839-E2
E16	LIUYIFENG_20050128.0839-E3
E17	LIUYIFENG_20050128.0839-E4
E18	LIUYIFENG_20050128.0839-E5
E19	LIUYIFENG_20050128.0839-E6
E20	LIUYIFENG_20050128.0839-E7
E21	LIUYIFENG_20050128.0839-E8
E22	LIUYIFENG_20050128.0839-E9
E23	LIUYIFENG_20050128.0839-E10
E24	LIUYIFENG_20050128.0839-E11
E25	LIUYIFENG_20050128.0839-E12
E26	LIUYIFENG_20050128.0839-E13
E27	LIUYIFENG_20050128.0839-E14
E28	LIUYIFENG_20050128.0839-E15
E29	LIUYIFENG_20050128.0839-E16
E30	LIUYIFENG_20050128.0839-E17
E31	LIUYIFENG_20050128.0839-E18
E32	LIUYIFENG_20050128.0839-E19
E33	LIUYIFENG_20050128.0839-E20
E34	LIUYIFENG_20050128.0839-E21
E35	LIUYIFENG_20050128.0839-E22
E36	LIUYIFENG_20050128.0839-E23
E37	LIUYIFENG_20050128.0839-E24
E2	LIUYIFENG_20050128.0839-E25
E3	LIUYIFENG_20050128.0839-E26
E4	LIUYIFENG_20050128.0839-E27
E5	LIUYIFENG_20050128.0839-E28
E6	LIUYIFENG_20050128.0839-E29
E7	LIUYIFENG_20050128.0839-E30
E8	LIUYIFENG_20050128.0839-E31
E9	LIUYIFENG_20050128.0839-E32
E10	LIUYIFENG_20050128.0839-E33
E11	LIUYIFENG_20050128.0839-E34
E12	LIUYIFENG_20050128.0839-E35
E13	LIUYIFENG_20050128.0839-E36
EM56	LIUYIFENG_20050128.0839-E34-1
EM18	LIUYIFENG_20050128.0839-E36-2
EM19	LIUYIFENG_20050128.0839-E1-3
EM20	LIUYIFENG_20050128.0839-E36-4
EM21	LIUYIFENG_20050128.0839-E2-5
EM22	LIUYIFENG_20050128.0839-E3-6
EM23	LIUYIFENG_20050128.0839-E4-7
EM24	LIUYIFENG_20050128.0839-E5-8
EM25	LIUYIFENG_20050128.0839-E2-9
EM26	LIUYIFENG_20050128.0839-E2-10
EM27	LIUYIFENG_20050128.0839-E3-11
EM28	LIUYIFENG_20050128.0839-E25-12
EM29	LIUYIFENG_20050128.0839-E30-13
EM30	LIUYIFENG_20050128.0839-E26-14
EM31	LIUYIFENG_20050128.0839-E6-15
EM32	LIUYIFENG_20050128.0839-E7-16
EM33	LIUYIFENG_20050128.0839-E8-17
EM34	LIUYIFENG_20050128.0839-E9-18
EM35	LIUYIFENG_20050128.0839-E10-19
EM36	LIUYIFENG_20050128.0839-E11-20
EM37	LIUYIFENG_20050128.0839-E12-21
EM38	LIUYIFENG_20050128.0839-E13-22
EM39	LIUYIFENG_20050128.0839-E2-23
EM40	LIUYIFENG_20050128.0839-E36-24
EM41	LIUYIFENG_20050128.0839-E14-25
