CE13	NJWSL_20041211.1642-CE1
CE14	NJWSL_20041211.1642-CE2
CE15	NJWSL_20041211.1642-CE3
CE17	NJWSL_20041211.1642-CE4
CE18	NJWSL_20041211.1642-CE5
CE19	NJWSL_20041211.1642-CE6
CE28	NJWSL_20041211.1642-CE7
CE21	NJWSL_20041211.1642-CE8
CE29	NJWSL_20041211.1642-CE9
CE23	NJWSL_20041211.1642-CE10
CE24	NJWSL_20041211.1642-CE11
CE25	NJWSL_20041211.1642-CE12
CE26	NJWSL_20041211.1642-CE13
CE27	NJWSL_20041211.1642-CE14
CE30	NJWSL_20041211.1642-CE15
CE1	NJWSL_20041211.1642-CE16
CE2	NJWSL_20041211.1642-CE17
CE3	NJWSL_20041211.1642-CE18
CE6	NJWSL_20041211.1642-CE19
CE7	NJWSL_20041211.1642-CE20
CE10	NJWSL_20041211.1642-CE21
CE11	NJWSL_20041211.1642-CE22
E14	NJWSL_20041211.1642-E1
E15	NJWSL_20041211.1642-E2
E16	NJWSL_20041211.1642-E3
E18	NJWSL_20041211.1642-E4
E19	NJWSL_20041211.1642-E5
E20	NJWSL_20041211.1642-E6
E29	NJWSL_20041211.1642-E7
E22	NJWSL_20041211.1642-E8
E30	NJWSL_20041211.1642-E9
E24	NJWSL_20041211.1642-E10
E25	NJWSL_20041211.1642-E11
E26	NJWSL_20041211.1642-E12
E27	NJWSL_20041211.1642-E13
E28	NJWSL_20041211.1642-E14
E1	NJWSL_20041211.1642-E15
E31	NJWSL_20041211.1642-E16
E2	NJWSL_20041211.1642-E17
E3	NJWSL_20041211.1642-E18
E6	NJWSL_20041211.1642-E19
E7	NJWSL_20041211.1642-E20
E8	NJWSL_20041211.1642-E21
E11	NJWSL_20041211.1642-E22
E12	NJWSL_20041211.1642-E23
EM1	NJWSL_20041211.1642-E15-1
EM19	NJWSL_20041211.1642-E1-2
EM21	NJWSL_20041211.1642-E23-3
EM22	NJWSL_20041211.1642-E23-4
EM23	NJWSL_20041211.1642-E2-5
EM24	NJWSL_20041211.1642-E3-6
EM25	NJWSL_20041211.1642-E23-7
EM27	NJWSL_20041211.1642-E4-8
EM28	NJWSL_20041211.1642-E5-9
EM29	NJWSL_20041211.1642-E6-10
EM31	NJWSL_20041211.1642-E20-11
EM70	NJWSL_20041211.1642-E7-12
EM35	NJWSL_20041211.1642-E23-13
EM36	NJWSL_20041211.1642-E23-14
EM38	NJWSL_20041211.1642-E8-15
EM71	NJWSL_20041211.1642-E9-16
EM43	NJWSL_20041211.1642-E20-17
EM44	NJWSL_20041211.1642-E23-18
EM45	NJWSL_20041211.1642-E23-19
EM47	NJWSL_20041211.1642-E23-20
EM49	NJWSL_20041211.1642-E23-21
EM50	NJWSL_20041211.1642-E10-22
EM51	NJWSL_20041211.1642-E23-23
EM52	NJWSL_20041211.1642-E23-24
EM53	NJWSL_20041211.1642-E23-25
EM54	NJWSL_20041211.1642-E22-26
EM56	NJWSL_20041211.1642-E23-27
EM57	NJWSL_20041211.1642-E11-28
EM58	NJWSL_20041211.1642-E12-29
EM59	NJWSL_20041211.1642-E13-30
EM60	NJWSL_20041211.1642-E14-31
EM61	NJWSL_20041211.1642-E19-32
EM62	NJWSL_20041211.1642-E17-33
EM63	NJWSL_20041211.1642-E19-34
EM64	NJWSL_20041211.1642-E19-35
EM2	NJWSL_20041211.1642-E17-36
EM3	NJWSL_20041211.1642-E18-37
EM68	NJWSL_20041211.1642-E19-38
EM6	NJWSL_20041211.1642-E15-39
EM7	NJWSL_20041211.1642-E19-40
EM8	NJWSL_20041211.1642-E20-41
EM9	NJWSL_20041211.1642-E20-42
EM10	NJWSL_20041211.1642-E21-43
EM69	NJWSL_20041211.1642-E19-44
EM14	NJWSL_20041211.1642-E22-45
EM15	NJWSL_20041211.1642-E23-46
EM16	NJWSL_20041211.1642-E23-47
EM33	NJWSL_20041211.1642-E16-48
R5	NJWSL_20041211.1642-R1
R6	NJWSL_20041211.1642-R2
R8	NJWSL_20041211.1642-R3
R10	NJWSL_20041211.1642-R4
R11	NJWSL_20041211.1642-R5
R12	NJWSL_20041211.1642-R6
R13	NJWSL_20041211.1642-R7
R1	NJWSL_20041211.1642-R8
R2	NJWSL_20041211.1642-R9
R3	NJWSL_20041211.1642-R10
R4	NJWSL_20041211.1642-R11
RM6	NJWSL_20041211.1642-R2-1
RM8	NJWSL_20041211.1642-R3-1
RM10	NJWSL_20041211.1642-R4-1
RM11	NJWSL_20041211.1642-R5-1
RM12	NJWSL_20041211.1642-R6-1
RM13	NJWSL_20041211.1642-R7-1
RM1	NJWSL_20041211.1642-R8-1
RM2	NJWSL_20041211.1642-R9-1
RM3	NJWSL_20041211.1642-R10-1
RM4	NJWSL_20041211.1642-R11-1
RM5	NJWSL_20041211.1642-R1-1
V1	NJWSL_20041211.1642-EV1
V2	NJWSL_20041211.1642-EV2
V3	NJWSL_20041211.1642-EV3
VM1	NJWSL_20041211.1642-EV1-1
VM2	NJWSL_20041211.1642-EV2-1
VM3	NJWSL_20041211.1642-EV3-1
Q1	NJWSL_20041211.1642-T1
Q2	NJWSL_20041211.1642-T2
Q3	NJWSL_20041211.1642-T3
Q4	NJWSL_20041211.1642-T4
Q5	NJWSL_20041211.1642-T5
Q6	NJWSL_20041211.1642-T6
Q8	NJWSL_20041211.1642-T7
