CE14	CNN_CF_20030304.1900.01-CE1
CE15	CNN_CF_20030304.1900.01-CE2
CE16	CNN_CF_20030304.1900.01-CE3
CE17	CNN_CF_20030304.1900.01-CE4
CE18	CNN_CF_20030304.1900.01-CE5
CE19	CNN_CF_20030304.1900.01-CE6
CE20	CNN_CF_20030304.1900.01-CE7
CE21	CNN_CF_20030304.1900.01-CE8
CE22	CNN_CF_20030304.1900.01-CE9
CE23	CNN_CF_20030304.1900.01-CE10
CE24	CNN_CF_20030304.1900.01-CE11
CE25	CNN_CF_20030304.1900.01-CE12
CE26	CNN_CF_20030304.1900.01-CE13
CE27	CNN_CF_20030304.1900.01-CE14
CE28	CNN_CF_20030304.1900.01-CE15
CE29	CNN_CF_20030304.1900.01-CE16
CE54	CNN_CF_20030304.1900.01-CE17
CE30	CNN_CF_20030304.1900.01-CE18
CE31	CNN_CF_20030304.1900.01-CE19
CE32	CNN_CF_20030304.1900.01-CE20
CE33	CNN_CF_20030304.1900.01-CE21
CE34	CNN_CF_20030304.1900.01-CE22
CE35	CNN_CF_20030304.1900.01-CE23
CE36	CNN_CF_20030304.1900.01-CE24
CE37	CNN_CF_20030304.1900.01-CE25
CE38	CNN_CF_20030304.1900.01-CE26
CE39	CNN_CF_20030304.1900.01-CE27
CE65	CNN_CF_20030304.1900.01-CE28
CE40	CNN_CF_20030304.1900.01-CE29
CE41	CNN_CF_20030304.1900.01-CE30
CE1	CNN_CF_20030304.1900.01-CE31
CE5	CNN_CF_20030304.1900.01-CE32
CE70	CNN_CF_20030304.1900.01-CE33
CE42	CNN_CF_20030304.1900.01-CE34
CE43	CNN_CF_20030304.1900.01-CE35
CE44	CNN_CF_20030304.1900.01-CE36
CE45	CNN_CF_20030304.1900.01-CE37
CE46	CNN_CF_20030304.1900.01-CE38
CE47	CNN_CF_20030304.1900.01-CE39
CE48	CNN_CF_20030304.1900.01-CE40
CE49	CNN_CF_20030304.1900.01-CE41
CE50	CNN_CF_20030304.1900.01-CE42
CE51	CNN_CF_20030304.1900.01-CE43
CE52	CNN_CF_20030304.1900.01-CE44
CE53	CNN_CF_20030304.1900.01-CE45
CE56	CNN_CF_20030304.1900.01-CE46
CE55	CNN_CF_20030304.1900.01-CE47
CE4	CNN_CF_20030304.1900.01-CE48
CE3	CNN_CF_20030304.1900.01-CE49
CE58	CNN_CF_20030304.1900.01-CE50
CE57	CNN_CF_20030304.1900.01-CE51
CE59	CNN_CF_20030304.1900.01-CE52
CE61	CNN_CF_20030304.1900.01-CE53
CE60	CNN_CF_20030304.1900.01-CE54
CE62	CNN_CF_20030304.1900.01-CE55
CE63	CNN_CF_20030304.1900.01-CE56
CE64	CNN_CF_20030304.1900.01-CE57
CE67	CNN_CF_20030304.1900.01-CE58
CE68	CNN_CF_20030304.1900.01-CE59
CE69	CNN_CF_20030304.1900.01-CE60
CE71	CNN_CF_20030304.1900.01-CE61
CE72	CNN_CF_20030304.1900.01-CE62
CE73	CNN_CF_20030304.1900.01-CE63
CE74	CNN_CF_20030304.1900.01-CE64
CE75	CNN_CF_20030304.1900.01-CE65
CE76	CNN_CF_20030304.1900.01-CE66
CE77	CNN_CF_20030304.1900.01-CE67
CE78	CNN_CF_20030304.1900.01-CE68
CE79	CNN_CF_20030304.1900.01-CE69
CE80	CNN_CF_20030304.1900.01-CE70
CE81	CNN_CF_20030304.1900.01-CE71
CE83	CNN_CF_20030304.1900.01-CE72
CE84	CNN_CF_20030304.1900.01-CE73
CE85	CNN_CF_20030304.1900.01-CE74
CE86	CNN_CF_20030304.1900.01-CE75
CE87	CNN_CF_20030304.1900.01-CE76
CE88	CNN_CF_20030304.1900.01-CE77
CE6	CNN_CF_20030304.1900.01-CE78
CE89	CNN_CF_20030304.1900.01-CE79
CE90	CNN_CF_20030304.1900.01-CE80
CE91	CNN_CF_20030304.1900.01-CE81
CE92	CNN_CF_20030304.1900.01-CE82
CE93	CNN_CF_20030304.1900.01-CE83
CE94	CNN_CF_20030304.1900.01-CE84
CE95	CNN_CF_20030304.1900.01-CE85
CE96	CNN_CF_20030304.1900.01-CE86
CE97	CNN_CF_20030304.1900.01-CE87
CE98	CNN_CF_20030304.1900.01-CE88
CE99	CNN_CF_20030304.1900.01-CE89
CE100	CNN_CF_20030304.1900.01-CE90
CE101	CNN_CF_20030304.1900.01-CE91
CE102	CNN_CF_20030304.1900.01-CE92
CE103	CNN_CF_20030304.1900.01-CE93
CE104	CNN_CF_20030304.1900.01-CE94
CE105	CNN_CF_20030304.1900.01-CE95
CE106	CNN_CF_20030304.1900.01-CE96
CE107	CNN_CF_20030304.1900.01-CE97
CE108	CNN_CF_20030304.1900.01-CE98
CE109	CNN_CF_20030304.1900.01-CE99
CE110	CNN_CF_20030304.1900.01-CE100
CE2	CNN_CF_20030304.1900.01-CE101
CE7	CNN_CF_20030304.1900.01-CE102
CE66	CNN_CF_20030304.1900.01-CE103
CE82	CNN_CF_20030304.1900.01-CE104
CE8	CNN_CF_20030304.1900.01-CE105
CE9	CNN_CF_20030304.1900.01-CE106
CE10	CNN_CF_20030304.1900.01-CE107
CE11	CNN_CF_20030304.1900.01-CE108
CE12	CNN_CF_20030304.1900.01-CE109
CE13	CNN_CF_20030304.1900.01-CE110
E14	CNN_CF_20030304.1900.01-E1
E16	CNN_CF_20030304.1900.01-E2
E17	CNN_CF_20030304.1900.01-E3
E18	CNN_CF_20030304.1900.01-E4
E19	CNN_CF_20030304.1900.01-E5
E20	CNN_CF_20030304.1900.01-E6
E21	CNN_CF_20030304.1900.01-E7
E22	CNN_CF_20030304.1900.01-E8
E23	CNN_CF_20030304.1900.01-E9
E24	CNN_CF_20030304.1900.01-E10
E25	CNN_CF_20030304.1900.01-E11
E26	CNN_CF_20030304.1900.01-E12
E27	CNN_CF_20030304.1900.01-E13
E28	CNN_CF_20030304.1900.01-E14
E29	CNN_CF_20030304.1900.01-E15
E30	CNN_CF_20030304.1900.01-E16
E31	CNN_CF_20030304.1900.01-E17
E169	CNN_CF_20030304.1900.01-E18
E33	CNN_CF_20030304.1900.01-E19
E34	CNN_CF_20030304.1900.01-E20
E35	CNN_CF_20030304.1900.01-E21
E36	CNN_CF_20030304.1900.01-E22
E37	CNN_CF_20030304.1900.01-E23
E38	CNN_CF_20030304.1900.01-E24
E1	CNN_CF_20030304.1900.01-E25
E39	CNN_CF_20030304.1900.01-E26
E40	CNN_CF_20030304.1900.01-E27
E41	CNN_CF_20030304.1900.01-E28
E42	CNN_CF_20030304.1900.01-E29
E43	CNN_CF_20030304.1900.01-E30
E170	CNN_CF_20030304.1900.01-E31
E45	CNN_CF_20030304.1900.01-E32
E46	CNN_CF_20030304.1900.01-E33
E48	CNN_CF_20030304.1900.01-E34
E171	CNN_CF_20030304.1900.01-E35
E50	CNN_CF_20030304.1900.01-E36
E51	CNN_CF_20030304.1900.01-E37
E52	CNN_CF_20030304.1900.01-E38
E53	CNN_CF_20030304.1900.01-E39
E54	CNN_CF_20030304.1900.01-E40
E55	CNN_CF_20030304.1900.01-E41
