CE13	CNN_IP_20030403.1600.00-4-CE1
CE14	CNN_IP_20030403.1600.00-4-CE2
CE15	CNN_IP_20030403.1600.00-4-CE3
CE16	CNN_IP_20030403.1600.00-4-CE4
CE39	CNN_IP_20030403.1600.00-4-CE5
CE33	CNN_IP_20030403.1600.00-4-CE6
CE18	CNN_IP_20030403.1600.00-4-CE7
CE41	CNN_IP_20030403.1600.00-4-CE8
CE3	CNN_IP_20030403.1600.00-4-CE9
CE20	CNN_IP_20030403.1600.00-4-CE10
CE32	CNN_IP_20030403.1600.00-4-CE11
CE42	CNN_IP_20030403.1600.00-4-CE12
CE1	CNN_IP_20030403.1600.00-4-CE13
CE21	CNN_IP_20030403.1600.00-4-CE14
CE22	CNN_IP_20030403.1600.00-4-CE15
CE2	CNN_IP_20030403.1600.00-4-CE16
CE23	CNN_IP_20030403.1600.00-4-CE17
CE24	CNN_IP_20030403.1600.00-4-CE18
CE25	CNN_IP_20030403.1600.00-4-CE19
CE26	CNN_IP_20030403.1600.00-4-CE20
CE27	CNN_IP_20030403.1600.00-4-CE21
CE28	CNN_IP_20030403.1600.00-4-CE22
CE29	CNN_IP_20030403.1600.00-4-CE23
CE30	CNN_IP_20030403.1600.00-4-CE24
CE31	CNN_IP_20030403.1600.00-4-CE25
CE35	CNN_IP_20030403.1600.00-4-CE26
CE4	CNN_IP_20030403.1600.00-4-CE27
CE36	CNN_IP_20030403.1600.00-4-CE28
CE37	CNN_IP_20030403.1600.00-4-CE29
CE38	CNN_IP_20030403.1600.00-4-CE30
CE6	CNN_IP_20030403.1600.00-4-CE31
CE40	CNN_IP_20030403.1600.00-4-CE32
CE43	CNN_IP_20030403.1600.00-4-CE33
CE44	CNN_IP_20030403.1600.00-4-CE34
CE45	CNN_IP_20030403.1600.00-4-CE35
CE46	CNN_IP_20030403.1600.00-4-CE36
CE47	CNN_IP_20030403.1600.00-4-CE37
CE19	CNN_IP_20030403.1600.00-4-CE38
CE48	CNN_IP_20030403.1600.00-4-CE39
CE49	CNN_IP_20030403.1600.00-4-CE40
CE50	CNN_IP_20030403.1600.00-4-CE41
CE51	CNN_IP_20030403.1600.00-4-CE42
CE52	CNN_IP_20030403.1600.00-4-CE43
CE34	CNN_IP_20030403.1600.00-4-CE44
CE5	CNN_IP_20030403.1600.00-4-CE45
CE17	CNN_IP_20030403.1600.00-4-CE46
CE7	CNN_IP_20030403.1600.00-4-CE47
CE8	CNN_IP_20030403.1600.00-4-CE48
CE9	CNN_IP_20030403.1600.00-4-CE49
CE10	CNN_IP_20030403.1600.00-4-CE50
CE11	CNN_IP_20030403.1600.00-4-CE51
CE12	CNN_IP_20030403.1600.00-4-CE52
E14	CNN_IP_20030403.1600.00-4-E1
E15	CNN_IP_20030403.1600.00-4-E2
E16	CNN_IP_20030403.1600.00-4-E3
E17	CNN_IP_20030403.1600.00-4-E4
E19	CNN_IP_20030403.1600.00-4-E5
E88	CNN_IP_20030403.1600.00-4-E6
E91	CNN_IP_20030403.1600.00-4-E7
E23	CNN_IP_20030403.1600.00-4-E8
E84	CNN_IP_20030403.1600.00-4-E9
E90	CNN_IP_20030403.1600.00-4-E10
E85	CNN_IP_20030403.1600.00-4-E11
E26	CNN_IP_20030403.1600.00-4-E12
E27	CNN_IP_20030403.1600.00-4-E13
E31	CNN_IP_20030403.1600.00-4-E14
E32	CNN_IP_20030403.1600.00-4-E15
E33	CNN_IP_20030403.1600.00-4-E16
E35	CNN_IP_20030403.1600.00-4-E17
E36	CNN_IP_20030403.1600.00-4-E18
E37	CNN_IP_20030403.1600.00-4-E19
E38	CNN_IP_20030403.1600.00-4-E20
E1	CNN_IP_20030403.1600.00-4-E21
E39	CNN_IP_20030403.1600.00-4-E22
E40	CNN_IP_20030403.1600.00-4-E23
E41	CNN_IP_20030403.1600.00-4-E24
E42	CNN_IP_20030403.1600.00-4-E25
E43	CNN_IP_20030403.1600.00-4-E26
E44	CNN_IP_20030403.1600.00-4-E27
E45	CNN_IP_20030403.1600.00-4-E28
E47	CNN_IP_20030403.1600.00-4-E29
E48	CNN_IP_20030403.1600.00-4-E30
E49	CNN_IP_20030403.1600.00-4-E31
E50	CNN_IP_20030403.1600.00-4-E32
E87	CNN_IP_20030403.1600.00-4-E33
E57	CNN_IP_20030403.1600.00-4-E34
E61	CNN_IP_20030403.1600.00-4-E35
