CE3	CNN_IP_20030417.1600.06-CE1
CE10	CNN_IP_20030417.1600.06-CE2
CE11	CNN_IP_20030417.1600.06-CE3
CE12	CNN_IP_20030417.1600.06-CE4
CE13	CNN_IP_20030417.1600.06-CE5
CE4	CNN_IP_20030417.1600.06-CE6
CE5	CNN_IP_20030417.1600.06-CE7
CE6	CNN_IP_20030417.1600.06-CE8
CE2	CNN_IP_20030417.1600.06-CE9
CE7	CNN_IP_20030417.1600.06-CE10
CE8	CNN_IP_20030417.1600.06-CE11
CE9	CNN_IP_20030417.1600.06-CE12
CE1	CNN_IP_20030417.1600.06-CE13
E16	CNN_IP_20030417.1600.06-E1
E18	CNN_IP_20030417.1600.06-E2
E19	CNN_IP_20030417.1600.06-E3
E20	CNN_IP_20030417.1600.06-E4
E21	CNN_IP_20030417.1600.06-E5
E22	CNN_IP_20030417.1600.06-E6
E23	CNN_IP_20030417.1600.06-E7
E24	CNN_IP_20030417.1600.06-E8
E25	CNN_IP_20030417.1600.06-E9
E1	CNN_IP_20030417.1600.06-E10
E2	CNN_IP_20030417.1600.06-E11
E3	CNN_IP_20030417.1600.06-E12
E4	CNN_IP_20030417.1600.06-E13
E6	CNN_IP_20030417.1600.06-E14
E8	CNN_IP_20030417.1600.06-E15
E9	CNN_IP_20030417.1600.06-E16
E11	CNN_IP_20030417.1600.06-E17
E12	CNN_IP_20030417.1600.06-E18
E14	CNN_IP_20030417.1600.06-E19
EM1	CNN_IP_20030417.1600.06-E10-1
EM17	CNN_IP_20030417.1600.06-E11-2
EM18	CNN_IP_20030417.1600.06-E17-3
EM19	CNN_IP_20030417.1600.06-E2-4
EM20	CNN_IP_20030417.1600.06-E3-5
EM21	CNN_IP_20030417.1600.06-E4-6
EM22	CNN_IP_20030417.1600.06-E5-7
EM23	CNN_IP_20030417.1600.06-E6-8
EM24	CNN_IP_20030417.1600.06-E7-9
EM11	CNN_IP_20030417.1600.06-E12-10
EM12	CNN_IP_20030417.1600.06-E9-11
EM2	CNN_IP_20030417.1600.06-E10-12
EM3	CNN_IP_20030417.1600.06-E10-13
EM4	CNN_IP_20030417.1600.06-E11-14
EM5	CNN_IP_20030417.1600.06-E12-15
EM6	CNN_IP_20030417.1600.06-E13-16
EM7	CNN_IP_20030417.1600.06-E14-17
EM8	CNN_IP_20030417.1600.06-E8-18
EM9	CNN_IP_20030417.1600.06-E15-19
EM10	CNN_IP_20030417.1600.06-E16-20
EM13	CNN_IP_20030417.1600.06-E17-21
EM25	CNN_IP_20030417.1600.06-E6-22
EM16	CNN_IP_20030417.1600.06-E18-23
EM14	CNN_IP_20030417.1600.06-E19-24
EM15	CNN_IP_20030417.1600.06-E1-25
R2	CNN_IP_20030417.1600.06-R1
R3	CNN_IP_20030417.1600.06-R2
R5	CNN_IP_20030417.1600.06-R3
R1	CNN_IP_20030417.1600.06-R4
R4	CNN_IP_20030417.1600.06-R5
RM2	CNN_IP_20030417.1600.06-R1-1
RM3	CNN_IP_20030417.1600.06-R2-1
RM5	CNN_IP_20030417.1600.06-R3-1
RM1	CNN_IP_20030417.1600.06-R4-1
RM4	CNN_IP_20030417.1600.06-R5-1
V1	CNN_IP_20030417.1600.06-EV1
V2	CNN_IP_20030417.1600.06-EV2
V3	CNN_IP_20030417.1600.06-EV3
V5	CNN_IP_20030417.1600.06-EV4
V6	CNN_IP_20030417.1600.06-EV5
V7	CNN_IP_20030417.1600.06-EV6
V4	CNN_IP_20030417.1600.06-EV7
V8	CNN_IP_20030417.1600.06-EV8
VM1	CNN_IP_20030417.1600.06-EV1-1
VM2	CNN_IP_20030417.1600.06-EV2-1
VM3	CNN_IP_20030417.1600.06-EV3-1
VM5	CNN_IP_20030417.1600.06-EV3-2
VM6	CNN_IP_20030417.1600.06-EV4-1
VM7	CNN_IP_20030417.1600.06-EV5-1
VM8	CNN_IP_20030417.1600.06-EV6-1
VM4	CNN_IP_20030417.1600.06-EV7-1
VM9	CNN_IP_20030417.1600.06-EV8-1
Q3	CNN_IP_20030417.1600.06-T1
Q1	CNN_IP_20030417.1600.06-T2
Q4	CNN_IP_20030417.1600.06-T3
Q2	CNN_IP_20030417.1600.06-T4
