CE12	CNN_LE_20030504.1200.02-2-CE1
CE13	CNN_LE_20030504.1200.02-2-CE2
CE14	CNN_LE_20030504.1200.02-2-CE3
CE15	CNN_LE_20030504.1200.02-2-CE4
CE16	CNN_LE_20030504.1200.02-2-CE5
CE5	CNN_LE_20030504.1200.02-2-CE6
CE17	CNN_LE_20030504.1200.02-2-CE7
CE18	CNN_LE_20030504.1200.02-2-CE8
CE4	CNN_LE_20030504.1200.02-2-CE9
CE20	CNN_LE_20030504.1200.02-2-CE10
CE21	CNN_LE_20030504.1200.02-2-CE11
CE23	CNN_LE_20030504.1200.02-2-CE12
CE24	CNN_LE_20030504.1200.02-2-CE13
CE25	CNN_LE_20030504.1200.02-2-CE14
CE26	CNN_LE_20030504.1200.02-2-CE15
CE1	CNN_LE_20030504.1200.02-2-CE16
CE28	CNN_LE_20030504.1200.02-2-CE17
CE29	CNN_LE_20030504.1200.02-2-CE18
CE30	CNN_LE_20030504.1200.02-2-CE19
CE31	CNN_LE_20030504.1200.02-2-CE20
CE32	CNN_LE_20030504.1200.02-2-CE21
CE33	CNN_LE_20030504.1200.02-2-CE22
CE2	CNN_LE_20030504.1200.02-2-CE23
CE34	CNN_LE_20030504.1200.02-2-CE24
CE35	CNN_LE_20030504.1200.02-2-CE25
CE36	CNN_LE_20030504.1200.02-2-CE26
CE3	CNN_LE_20030504.1200.02-2-CE27
CE6	CNN_LE_20030504.1200.02-2-CE28
CE7	CNN_LE_20030504.1200.02-2-CE29
CE8	CNN_LE_20030504.1200.02-2-CE30
CE9	CNN_LE_20030504.1200.02-2-CE31
CE10	CNN_LE_20030504.1200.02-2-CE32
CE11	CNN_LE_20030504.1200.02-2-CE33
CE22	CNN_LE_20030504.1200.02-2-CE34
CE37	CNN_LE_20030504.1200.02-2-CE35
E16	CNN_LE_20030504.1200.02-2-E1
E17	CNN_LE_20030504.1200.02-2-E2
E18	CNN_LE_20030504.1200.02-2-E3
E19	CNN_LE_20030504.1200.02-2-E4
E20	CNN_LE_20030504.1200.02-2-E5
E22	CNN_LE_20030504.1200.02-2-E6
E23	CNN_LE_20030504.1200.02-2-E7
E24	CNN_LE_20030504.1200.02-2-E8
E27	CNN_LE_20030504.1200.02-2-E9
E28	CNN_LE_20030504.1200.02-2-E10
E29	CNN_LE_20030504.1200.02-2-E11
E30	CNN_LE_20030504.1200.02-2-E12
E31	CNN_LE_20030504.1200.02-2-E13
E32	CNN_LE_20030504.1200.02-2-E14
E33	CNN_LE_20030504.1200.02-2-E15
E34	CNN_LE_20030504.1200.02-2-E16
E36	CNN_LE_20030504.1200.02-2-E17
E37	CNN_LE_20030504.1200.02-2-E18
E39	CNN_LE_20030504.1200.02-2-E19
E42	CNN_LE_20030504.1200.02-2-E20
E43	CNN_LE_20030504.1200.02-2-E21
E45	CNN_LE_20030504.1200.02-2-E22
E46	CNN_LE_20030504.1200.02-2-E23
E47	CNN_LE_20030504.1200.02-2-E24
E48	CNN_LE_20030504.1200.02-2-E25
E49	CNN_LE_20030504.1200.02-2-E26
E50	CNN_LE_20030504.1200.02-2-E27
E51	CNN_LE_20030504.1200.02-2-E28
E53	CNN_LE_20030504.1200.02-2-E29
E54	CNN_LE_20030504.1200.02-2-E30
E56	CNN_LE_20030504.1200.02-2-E31
E57	CNN_LE_20030504.1200.02-2-E32
E58	CNN_LE_20030504.1200.02-2-E33
E59	CNN_LE_20030504.1200.02-2-E34
E61	CNN_LE_20030504.1200.02-2-E35
E3	CNN_LE_20030504.1200.02-2-E36
E4	CNN_LE_20030504.1200.02-2-E37
E5	CNN_LE_20030504.1200.02-2-E38
E6	CNN_LE_20030504.1200.02-2-E39
E7	CNN_LE_20030504.1200.02-2-E40
E8	CNN_LE_20030504.1200.02-2-E41
E9	CNN_LE_20030504.1200.02-2-E42
E10	CNN_LE_20030504.1200.02-2-E43
E11	CNN_LE_20030504.1200.02-2-E44
E12	CNN_LE_20030504.1200.02-2-E45
E13	CNN_LE_20030504.1200.02-2-E46
E62	CNN_LE_20030504.1200.02-2-E47
E14	CNN_LE_20030504.1200.02-2-E48
EM61	CNN_LE_20030504.1200.02-2-E39-1
EM17	CNN_LE_20030504.1200.02-2-E40-2
EM18	CNN_LE_20030504.1200.02-2-E40-3
EM19	CNN_LE_20030504.1200.02-2-E39-4
EM22	CNN_LE_20030504.1200.02-2-E1-5
EM23	CNN_LE_20030504.1200.02-2-E2-6
EM24	CNN_LE_20030504.1200.02-2-E3-7
EM26	CNN_LE_20030504.1200.02-2-E4-8
EM28	CNN_LE_20030504.1200.02-2-E5-9
EM29	CNN_LE_20030504.1200.02-2-E6-10
EM30	CNN_LE_20030504.1200.02-2-E7-11
EM31	CNN_LE_20030504.1200.02-2-E8-12
EM33	CNN_LE_20030504.1200.02-2-E9-13
EM37	CNN_LE_20030504.1200.02-2-E40-14
EM38	CNN_LE_20030504.1200.02-2-E10-15
EM39	CNN_LE_20030504.1200.02-2-E11-16
EM40	CNN_LE_20030504.1200.02-2-E40-17
EM41	CNN_LE_20030504.1200.02-2-E44-18
EM42	CNN_LE_20030504.1200.02-2-E12-19
EM43	CNN_LE_20030504.1200.02-2-E48-20
EM44	CNN_LE_20030504.1200.02-2-E13-21
EM45	CNN_LE_20030504.1200.02-2-E13-22
EM46	CNN_LE_20030504.1200.02-2-E14-23
EM47	CNN_LE_20030504.1200.02-2-E15-24
EM48	CNN_LE_20030504.1200.02-2-E16-25
EM49	CNN_LE_20030504.1200.02-2-E13-26
EM50	CNN_LE_20030504.1200.02-2-E37-27
EM53	CNN_LE_20030504.1200.02-2-E37-28
EM54	CNN_LE_20030504.1200.02-2-E13-29
EM55	CNN_LE_20030504.1200.02-2-E17-30
EM56	CNN_LE_20030504.1200.02-2-E18-31
EM107	CNN_LE_20030504.1200.02-2-E47-32
EM57	CNN_LE_20030504.1200.02-2-E19-33
EM58	CNN_LE_20030504.1200.02-2-E39-34
EM66	CNN_LE_20030504.1200.02-2-E39-35
EM68	CNN_LE_20030504.1200.02-2-E40-36
EM69	CNN_LE_20030504.1200.02-2-E20-37
EM70	CNN_LE_20030504.1200.02-2-E21-38
EM71	CNN_LE_20030504.1200.02-2-E21-39
EM73	CNN_LE_20030504.1200.02-2-E40-40
EM74	CNN_LE_20030504.1200.02-2-E22-41
EM75	CNN_LE_20030504.1200.02-2-E40-42
EM76	CNN_LE_20030504.1200.02-2-E23-43
EM77	CNN_LE_20030504.1200.02-2-E40-44
EM78	CNN_LE_20030504.1200.02-2-E7-45
EM79	CNN_LE_20030504.1200.02-2-E24-46
EM80	CNN_LE_20030504.1200.02-2-E25-47
EM81	CNN_LE_20030504.1200.02-2-E26-48
EM1	CNN_LE_20030504.1200.02-2-E36-49
EM82	CNN_LE_20030504.1200.02-2-E27-50
EM83	CNN_LE_20030504.1200.02-2-E24-51
EM84	CNN_LE_20030504.1200.02-2-E28-52
EM85	CNN_LE_20030504.1200.02-2-E29-53
EM86	CNN_LE_20030504.1200.02-2-E40-54
EM87	CNN_LE_20030504.1200.02-2-E24-55
EM88	CNN_LE_20030504.1200.02-2-E40-56
EM89	CNN_LE_20030504.1200.02-2-E30-57
EM90	CNN_LE_20030504.1200.02-2-E40-58
EM91	CNN_LE_20030504.1200.02-2-E7-59
EM92	CNN_LE_20030504.1200.02-2-E39-60
EM93	CNN_LE_20030504.1200.02-2-E40-61
EM94	CNN_LE_20030504.1200.02-2-E40-62
EM96	CNN_LE_20030504.1200.02-2-E13-63
EM97	CNN_LE_20030504.1200.02-2-E31-64
EM98	CNN_LE_20030504.1200.02-2-E21-65
EM99	CNN_LE_20030504.1200.02-2-E32-66
EM100	CNN_LE_20030504.1200.02-2-E21-67
EM101	CNN_LE_20030504.1200.02-2-E40-68
EM102	CNN_LE_20030504.1200.02-2-E13-69
EM103	CNN_LE_20030504.1200.02-2-E33-70
EM104	CNN_LE_20030504.1200.02-2-E21-71
EM105	CNN_LE_20030504.1200.02-2-E32-72
EM106	CNN_LE_20030504.1200.02-2-E34-73
EM95	CNN_LE_20030504.1200.02-2-E17-74
EM59	CNN_LE_20030504.1200.02-2-E18-75
EM14	CNN_LE_20030504.1200.02-2-E37-76
EM67	CNN_LE_20030504.1200.02-2-E37-77
EM62	CNN_LE_20030504.1200.02-2-E37-78
EM36	CNN_LE_20030504.1200.02-2-E37-79
EM51	CNN_LE_20030504.1200.02-2-E48-80
EM52	CNN_LE_20030504.1200.02-2-E37-81
EM64	CNN_LE_20030504.1200.02-2-E37-82
EM72	CNN_LE_20030504.1200.02-2-E46-83
EM20	CNN_LE_20030504.1200.02-2-E37-84
EM21	CNN_LE_20030504.1200.02-2-E37-85
EM25	CNN_LE_20030504.1200.02-2-E37-86
EM27	CNN_LE_20030504.1200.02-2-E37-87
EM34	CNN_LE_20030504.1200.02-2-E37-88
EM35	CNN_LE_20030504.1200.02-2-E37-89
EM65	CNN_LE_20030504.1200.02-2-E35-90
EM2	CNN_LE_20030504.1200.02-2-E38-91
EM3	CNN_LE_20030504.1200.02-2-E39-92
EM4	CNN_LE_20030504.1200.02-2-E40-93
EM5	CNN_LE_20030504.1200.02-2-E41-94
EM6	CNN_LE_20030504.1200.02-2-E40-95
EM7	CNN_LE_20030504.1200.02-2-E42-96
EM8	CNN_LE_20030504.1200.02-2-E43-97
EM9	CNN_LE_20030504.1200.02-2-E39-98
EM10	CNN_LE_20030504.1200.02-2-E40-99
EM11	CNN_LE_20030504.1200.02-2-E44-100
EM12	CNN_LE_20030504.1200.02-2-E45-101
EM13	CNN_LE_20030504.1200.02-2-E46-102
EM63	CNN_LE_20030504.1200.02-2-E13-103
EM15	CNN_LE_20030504.1200.02-2-E42-104
EM16	CNN_LE_20030504.1200.02-2-E39-105
R1	CNN_LE_20030504.1200.02-2-R1
R3	CNN_LE_20030504.1200.02-2-R2
R2	CNN_LE_20030504.1200.02-2-R3
R4	CNN_LE_20030504.1200.02-2-R4
R5	CNN_LE_20030504.1200.02-2-R5
R6	CNN_LE_20030504.1200.02-2-R6
R8	CNN_LE_20030504.1200.02-2-R7
R10	CNN_LE_20030504.1200.02-2-R8
R9	CNN_LE_20030504.1200.02-2-R9
R11	CNN_LE_20030504.1200.02-2-R10
RM1	CNN_LE_20030504.1200.02-2-R1-1
RM3	CNN_LE_20030504.1200.02-2-R2-1
RM2	CNN_LE_20030504.1200.02-2-R3-1
RM4	CNN_LE_20030504.1200.02-2-R3-2
RM5	CNN_LE_20030504.1200.02-2-R5-1
RM6	CNN_LE_20030504.1200.02-2-R6-1
RM8	CNN_LE_20030504.1200.02-2-R7-1
RM10	CNN_LE_20030504.1200.02-2-R8-1
RM9	CNN_LE_20030504.1200.02-2-R9-1
RM11	CNN_LE_20030504.1200.02-2-R10-1
