CE13	CNN_CF_20030304.1900.02-CE1
CE14	CNN_CF_20030304.1900.02-CE2
CE15	CNN_CF_20030304.1900.02-CE3
CE16	CNN_CF_20030304.1900.02-CE4
CE43	CNN_CF_20030304.1900.02-CE5
CE18	CNN_CF_20030304.1900.02-CE6
CE19	CNN_CF_20030304.1900.02-CE7
CE20	CNN_CF_20030304.1900.02-CE8
CE21	CNN_CF_20030304.1900.02-CE9
CE22	CNN_CF_20030304.1900.02-CE10
CE23	CNN_CF_20030304.1900.02-CE11
CE24	CNN_CF_20030304.1900.02-CE12
CE25	CNN_CF_20030304.1900.02-CE13
CE26	CNN_CF_20030304.1900.02-CE14
CE27	CNN_CF_20030304.1900.02-CE15
CE28	CNN_CF_20030304.1900.02-CE16
CE29	CNN_CF_20030304.1900.02-CE17
CE30	CNN_CF_20030304.1900.02-CE18
CE32	CNN_CF_20030304.1900.02-CE19
CE33	CNN_CF_20030304.1900.02-CE20
CE34	CNN_CF_20030304.1900.02-CE21
CE1	CNN_CF_20030304.1900.02-CE22
CE35	CNN_CF_20030304.1900.02-CE23
CE36	CNN_CF_20030304.1900.02-CE24
CE37	CNN_CF_20030304.1900.02-CE25
CE38	CNN_CF_20030304.1900.02-CE26
CE39	CNN_CF_20030304.1900.02-CE27
CE45	CNN_CF_20030304.1900.02-CE28
CE41	CNN_CF_20030304.1900.02-CE29
CE42	CNN_CF_20030304.1900.02-CE30
CE46	CNN_CF_20030304.1900.02-CE31
CE47	CNN_CF_20030304.1900.02-CE32
CE48	CNN_CF_20030304.1900.02-CE33
CE49	CNN_CF_20030304.1900.02-CE34
CE50	CNN_CF_20030304.1900.02-CE35
CE51	CNN_CF_20030304.1900.02-CE36
CE52	CNN_CF_20030304.1900.02-CE37
CE53	CNN_CF_20030304.1900.02-CE38
CE54	CNN_CF_20030304.1900.02-CE39
CE55	CNN_CF_20030304.1900.02-CE40
CE56	CNN_CF_20030304.1900.02-CE41
CE57	CNN_CF_20030304.1900.02-CE42
CE58	CNN_CF_20030304.1900.02-CE43
CE59	CNN_CF_20030304.1900.02-CE44
CE60	CNN_CF_20030304.1900.02-CE45
CE61	CNN_CF_20030304.1900.02-CE46
CE62	CNN_CF_20030304.1900.02-CE47
CE63	CNN_CF_20030304.1900.02-CE48
CE64	CNN_CF_20030304.1900.02-CE49
CE65	CNN_CF_20030304.1900.02-CE50
CE66	CNN_CF_20030304.1900.02-CE51
CE67	CNN_CF_20030304.1900.02-CE52
CE68	CNN_CF_20030304.1900.02-CE53
CE69	CNN_CF_20030304.1900.02-CE54
CE70	CNN_CF_20030304.1900.02-CE55
CE71	CNN_CF_20030304.1900.02-CE56
CE72	CNN_CF_20030304.1900.02-CE57
CE73	CNN_CF_20030304.1900.02-CE58
CE2	CNN_CF_20030304.1900.02-CE59
CE74	CNN_CF_20030304.1900.02-CE60
CE75	CNN_CF_20030304.1900.02-CE61
CE76	CNN_CF_20030304.1900.02-CE62
CE77	CNN_CF_20030304.1900.02-CE63
CE78	CNN_CF_20030304.1900.02-CE64
CE79	CNN_CF_20030304.1900.02-CE65
CE80	CNN_CF_20030304.1900.02-CE66
CE81	CNN_CF_20030304.1900.02-CE67
CE82	CNN_CF_20030304.1900.02-CE68
CE83	CNN_CF_20030304.1900.02-CE69
CE84	CNN_CF_20030304.1900.02-CE70
CE85	CNN_CF_20030304.1900.02-CE71
CE86	CNN_CF_20030304.1900.02-CE72
CE87	CNN_CF_20030304.1900.02-CE73
CE88	CNN_CF_20030304.1900.02-CE74
CE89	CNN_CF_20030304.1900.02-CE75
CE90	CNN_CF_20030304.1900.02-CE76
CE3	CNN_CF_20030304.1900.02-CE77
CE4	CNN_CF_20030304.1900.02-CE78
CE5	CNN_CF_20030304.1900.02-CE79
CE6	CNN_CF_20030304.1900.02-CE80
CE7	CNN_CF_20030304.1900.02-CE81
CE8	CNN_CF_20030304.1900.02-CE82
CE9	CNN_CF_20030304.1900.02-CE83
CE10	CNN_CF_20030304.1900.02-CE84
CE11	CNN_CF_20030304.1900.02-CE85
CE12	CNN_CF_20030304.1900.02-CE86
E16	CNN_CF_20030304.1900.02-E1
E17	CNN_CF_20030304.1900.02-E2
E18	CNN_CF_20030304.1900.02-E3
E19	CNN_CF_20030304.1900.02-E4
E20	CNN_CF_20030304.1900.02-E5
E21	CNN_CF_20030304.1900.02-E6
E22	CNN_CF_20030304.1900.02-E7
E23	CNN_CF_20030304.1900.02-E8
E24	CNN_CF_20030304.1900.02-E9
E25	CNN_CF_20030304.1900.02-E10
E26	CNN_CF_20030304.1900.02-E11
E27	CNN_CF_20030304.1900.02-E12
E60	CNN_CF_20030304.1900.02-E13
E29	CNN_CF_20030304.1900.02-E14
E30	CNN_CF_20030304.1900.02-E15
E31	CNN_CF_20030304.1900.02-E16
E32	CNN_CF_20030304.1900.02-E17
E33	CNN_CF_20030304.1900.02-E18
E34	CNN_CF_20030304.1900.02-E19
E35	CNN_CF_20030304.1900.02-E20
E36	CNN_CF_20030304.1900.02-E21
E37	CNN_CF_20030304.1900.02-E22
E1	CNN_CF_20030304.1900.02-E23
E38	CNN_CF_20030304.1900.02-E24
E39	CNN_CF_20030304.1900.02-E25
E40	CNN_CF_20030304.1900.02-E26
E41	CNN_CF_20030304.1900.02-E27
E42	CNN_CF_20030304.1900.02-E28
E43	CNN_CF_20030304.1900.02-E29
E44	CNN_CF_20030304.1900.02-E30
E45	CNN_CF_20030304.1900.02-E31
E47	CNN_CF_20030304.1900.02-E32
E49	CNN_CF_20030304.1900.02-E33
E50	CNN_CF_20030304.1900.02-E34
E51	CNN_CF_20030304.1900.02-E35
E52	CNN_CF_20030304.1900.02-E36
E53	CNN_CF_20030304.1900.02-E37
E54	CNN_CF_20030304.1900.02-E38
E62	CNN_CF_20030304.1900.02-E39
E55	CNN_CF_20030304.1900.02-E40
E57	CNN_CF_20030304.1900.02-E41
E58	CNN_CF_20030304.1900.02-E42
E59	CNN_CF_20030304.1900.02-E43
E63	CNN_CF_20030304.1900.02-E44
E65	CNN_CF_20030304.1900.02-E45
E66	CNN_CF_20030304.1900.02-E46
E67	CNN_CF_20030304.1900.02-E47
E68	CNN_CF_20030304.1900.02-E48
E69	CNN_CF_20030304.1900.02-E49
E70	CNN_CF_20030304.1900.02-E50
E71	CNN_CF_20030304.1900.02-E51
E72	CNN_CF_20030304.1900.02-E52
E73	CNN_CF_20030304.1900.02-E53
E74	CNN_CF_20030304.1900.02-E54
E75	CNN_CF_20030304.1900.02-E55
E76	CNN_CF_20030304.1900.02-E56
E77	CNN_CF_20030304.1900.02-E57
E78	CNN_CF_20030304.1900.02-E58
E79	CNN_CF_20030304.1900.02-E59
E80	CNN_CF_20030304.1900.02-E60
E81	CNN_CF_20030304.1900.02-E61
E82	CNN_CF_20030304.1900.02-E62
E83	CNN_CF_20030304.1900.02-E63
E84	CNN_CF_20030304.1900.02-E64
E85	CNN_CF_20030304.1900.02-E65
E2	CNN_CF_20030304.1900.02-E66
E86	CNN_CF_20030304.1900.02-E67
E87	CNN_CF_20030304.1900.02-E68
E89	CNN_CF_20030304.1900.02-E69
E90	CNN_CF_20030304.1900.02-E70
E91	CNN_CF_20030304.1900.02-E71
E92	CNN_CF_20030304.1900.02-E72
E93	CNN_CF_20030304.1900.02-E73
E94	CNN_CF_20030304.1900.02-E74
E95	CNN_CF_20030304.1900.02-E75
E96	CNN_CF_20030304.1900.02-E76
E97	CNN_CF_20030304.1900.02-E77
E98	CNN_CF_20030304.1900.02-E78
E99	CNN_CF_20030304.1900.02-E79
E100	CNN_CF_20030304.1900.02-E80
E104	CNN_CF_20030304.1900.02-E81
E105	CNN_CF_20030304.1900.02-E82
E106	CNN_CF_20030304.1900.02-E83
E107	CNN_CF_20030304.1900.02-E84
E108	CNN_CF_20030304.1900.02-E85
E109	CNN_CF_20030304.1900.02-E86
E110	CNN_CF_20030304.1900.02-E87
E111	CNN_CF_20030304.1900.02-E88
E112	CNN_CF_20030304.1900.02-E89
E114	CNN_CF_20030304.1900.02-E90
E115	CNN_CF_20030304.1900.02-E91
E116	CNN_CF_20030304.1900.02-E92
E117	CNN_CF_20030304.1900.02-E93
E118	CNN_CF_20030304.1900.02-E94
E119	CNN_CF_20030304.1900.02-E95
E120	CNN_CF_20030304.1900.02-E96
E121	CNN_CF_20030304.1900.02-E97
E3	CNN_CF_20030304.1900.02-E98
E122	CNN_CF_20030304.1900.02-E99
