CE8	CNN_IP_20030417.1600.06-CE1
CE9	CNN_IP_20030417.1600.06-CE2
CE10	CNN_IP_20030417.1600.06-CE3
CE11	CNN_IP_20030417.1600.06-CE4
CE12	CNN_IP_20030417.1600.06-CE5
CE1	CNN_IP_20030417.1600.06-CE6
CE2	CNN_IP_20030417.1600.06-CE7
CE3	CNN_IP_20030417.1600.06-CE8
CE4	CNN_IP_20030417.1600.06-CE9
CE5	CNN_IP_20030417.1600.06-CE10
CE6	CNN_IP_20030417.1600.06-CE11
CE7	CNN_IP_20030417.1600.06-CE12
E17	CNN_IP_20030417.1600.06-E1
E18	CNN_IP_20030417.1600.06-E2
E19	CNN_IP_20030417.1600.06-E3
E20	CNN_IP_20030417.1600.06-E4
E21	CNN_IP_20030417.1600.06-E5
E1	CNN_IP_20030417.1600.06-E6
E2	CNN_IP_20030417.1600.06-E7
E3	CNN_IP_20030417.1600.06-E8
E4	CNN_IP_20030417.1600.06-E9
E6	CNN_IP_20030417.1600.06-E10
E7	CNN_IP_20030417.1600.06-E11
E8	CNN_IP_20030417.1600.06-E12
E9	CNN_IP_20030417.1600.06-E13
E10	CNN_IP_20030417.1600.06-E14
E13	CNN_IP_20030417.1600.06-E15
E14	CNN_IP_20030417.1600.06-E16
E15	CNN_IP_20030417.1600.06-E17
EM1	CNN_IP_20030417.1600.06-E6-1
EM21	CNN_IP_20030417.1600.06-E1-2
EM22	CNN_IP_20030417.1600.06-E2-3
EM23	CNN_IP_20030417.1600.06-E3-4
EM24	CNN_IP_20030417.1600.06-E3-5
EM25	CNN_IP_20030417.1600.06-E4-6
EM26	CNN_IP_20030417.1600.06-E5-7
EM27	CNN_IP_20030417.1600.06-E4-8
EM2	CNN_IP_20030417.1600.06-E6-9
EM3	CNN_IP_20030417.1600.06-E6-10
EM4	CNN_IP_20030417.1600.06-E7-11
EM5	CNN_IP_20030417.1600.06-E8-12
EM6	CNN_IP_20030417.1600.06-E9-13
EM7	CNN_IP_20030417.1600.06-E10-14
EM8	CNN_IP_20030417.1600.06-E11-15
EM9	CNN_IP_20030417.1600.06-E12-16
EM10	CNN_IP_20030417.1600.06-E8-17
EM11	CNN_IP_20030417.1600.06-E13-18
EM12	CNN_IP_20030417.1600.06-E14-19
EM14	CNN_IP_20030417.1600.06-E15-20
EM16	CNN_IP_20030417.1600.06-E16-21
EM17	CNN_IP_20030417.1600.06-E17-22
EM18	CNN_IP_20030417.1600.06-E7-23
EM20	CNN_IP_20030417.1600.06-E14-24
R1	CNN_IP_20030417.1600.06-R1
R3	CNN_IP_20030417.1600.06-R2
R4	CNN_IP_20030417.1600.06-R3
R5	CNN_IP_20030417.1600.06-R4
RM1	CNN_IP_20030417.1600.06-R1-1
RM3	CNN_IP_20030417.1600.06-R2-1
RM4	CNN_IP_20030417.1600.06-R3-1
RM5	CNN_IP_20030417.1600.06-R4-1
V10	CNN_IP_20030417.1600.06-EV1
V2	CNN_IP_20030417.1600.06-EV2
V3	CNN_IP_20030417.1600.06-EV3
V4	CNN_IP_20030417.1600.06-EV4
V11	CNN_IP_20030417.1600.06-EV5
VM7	CNN_IP_20030417.1600.06-EV1-1
VM2	CNN_IP_20030417.1600.06-EV2-1
VM3	CNN_IP_20030417.1600.06-EV3-1
VM4	CNN_IP_20030417.1600.06-EV4-1
VM5	CNN_IP_20030417.1600.06-EV3-2
VM8	CNN_IP_20030417.1600.06-EV5-1
Q1	CNN_IP_20030417.1600.06-T1
Q2	CNN_IP_20030417.1600.06-T2
Q3	CNN_IP_20030417.1600.06-T3
