CE12	CNN_LE_20030504.1200.01-CE1
CE13	CNN_LE_20030504.1200.01-CE2
CE14	CNN_LE_20030504.1200.01-CE3
CE15	CNN_LE_20030504.1200.01-CE4
CE20	CNN_LE_20030504.1200.01-CE5
CE18	CNN_LE_20030504.1200.01-CE6
CE19	CNN_LE_20030504.1200.01-CE7
CE21	CNN_LE_20030504.1200.01-CE8
CE22	CNN_LE_20030504.1200.01-CE9
CE23	CNN_LE_20030504.1200.01-CE10
CE24	CNN_LE_20030504.1200.01-CE11
CE25	CNN_LE_20030504.1200.01-CE12
CE26	CNN_LE_20030504.1200.01-CE13
CE27	CNN_LE_20030504.1200.01-CE14
CE28	CNN_LE_20030504.1200.01-CE15
CE1	CNN_LE_20030504.1200.01-CE16
CE30	CNN_LE_20030504.1200.01-CE17
CE31	CNN_LE_20030504.1200.01-CE18
CE32	CNN_LE_20030504.1200.01-CE19
CE33	CNN_LE_20030504.1200.01-CE20
CE34	CNN_LE_20030504.1200.01-CE21
CE35	CNN_LE_20030504.1200.01-CE22
CE36	CNN_LE_20030504.1200.01-CE23
CE37	CNN_LE_20030504.1200.01-CE24
CE38	CNN_LE_20030504.1200.01-CE25
CE39	CNN_LE_20030504.1200.01-CE26
CE40	CNN_LE_20030504.1200.01-CE27
CE41	CNN_LE_20030504.1200.01-CE28
CE42	CNN_LE_20030504.1200.01-CE29
CE43	CNN_LE_20030504.1200.01-CE30
CE44	CNN_LE_20030504.1200.01-CE31
CE45	CNN_LE_20030504.1200.01-CE32
CE46	CNN_LE_20030504.1200.01-CE33
CE51	CNN_LE_20030504.1200.01-CE34
CE48	CNN_LE_20030504.1200.01-CE35
CE49	CNN_LE_20030504.1200.01-CE36
CE50	CNN_LE_20030504.1200.01-CE37
CE53	CNN_LE_20030504.1200.01-CE38
CE54	CNN_LE_20030504.1200.01-CE39
CE55	CNN_LE_20030504.1200.01-CE40
CE56	CNN_LE_20030504.1200.01-CE41
CE57	CNN_LE_20030504.1200.01-CE42
CE58	CNN_LE_20030504.1200.01-CE43
CE59	CNN_LE_20030504.1200.01-CE44
CE2	CNN_LE_20030504.1200.01-CE45
CE60	CNN_LE_20030504.1200.01-CE46
CE61	CNN_LE_20030504.1200.01-CE47
CE3	CNN_LE_20030504.1200.01-CE48
CE4	CNN_LE_20030504.1200.01-CE49
CE5	CNN_LE_20030504.1200.01-CE50
CE6	CNN_LE_20030504.1200.01-CE51
CE7	CNN_LE_20030504.1200.01-CE52
CE8	CNN_LE_20030504.1200.01-CE53
CE9	CNN_LE_20030504.1200.01-CE54
CE10	CNN_LE_20030504.1200.01-CE55
CE11	CNN_LE_20030504.1200.01-CE56
E15	CNN_LE_20030504.1200.01-E1
E16	CNN_LE_20030504.1200.01-E2
E17	CNN_LE_20030504.1200.01-E3
E18	CNN_LE_20030504.1200.01-E4
E19	CNN_LE_20030504.1200.01-E5
E20	CNN_LE_20030504.1200.01-E6
E26	CNN_LE_20030504.1200.01-E7
E23	CNN_LE_20030504.1200.01-E8
E1	CNN_LE_20030504.1200.01-E9
E24	CNN_LE_20030504.1200.01-E10
E25	CNN_LE_20030504.1200.01-E11
E28	CNN_LE_20030504.1200.01-E12
E30	CNN_LE_20030504.1200.01-E13
E32	CNN_LE_20030504.1200.01-E14
E34	CNN_LE_20030504.1200.01-E15
E35	CNN_LE_20030504.1200.01-E16
E36	CNN_LE_20030504.1200.01-E17
E37	CNN_LE_20030504.1200.01-E18
E38	CNN_LE_20030504.1200.01-E19
E40	CNN_LE_20030504.1200.01-E20
E41	CNN_LE_20030504.1200.01-E21
E42	CNN_LE_20030504.1200.01-E22
E43	CNN_LE_20030504.1200.01-E23
E44	CNN_LE_20030504.1200.01-E24
E45	CNN_LE_20030504.1200.01-E25
E46	CNN_LE_20030504.1200.01-E26
E47	CNN_LE_20030504.1200.01-E27
E49	CNN_LE_20030504.1200.01-E28
E50	CNN_LE_20030504.1200.01-E29
E51	CNN_LE_20030504.1200.01-E30
E52	CNN_LE_20030504.1200.01-E31
E53	CNN_LE_20030504.1200.01-E32
E54	CNN_LE_20030504.1200.01-E33
E55	CNN_LE_20030504.1200.01-E34
E56	CNN_LE_20030504.1200.01-E35
E57	CNN_LE_20030504.1200.01-E36
E58	CNN_LE_20030504.1200.01-E37
E59	CNN_LE_20030504.1200.01-E38
E60	CNN_LE_20030504.1200.01-E39
E66	CNN_LE_20030504.1200.01-E40
E62	CNN_LE_20030504.1200.01-E41
E63	CNN_LE_20030504.1200.01-E42
E64	CNN_LE_20030504.1200.01-E43
E69	CNN_LE_20030504.1200.01-E44
E71	CNN_LE_20030504.1200.01-E45
E72	CNN_LE_20030504.1200.01-E46
E73	CNN_LE_20030504.1200.01-E47
E2	CNN_LE_20030504.1200.01-E48
E74	CNN_LE_20030504.1200.01-E49
E75	CNN_LE_20030504.1200.01-E50
E76	CNN_LE_20030504.1200.01-E51
E78	CNN_LE_20030504.1200.01-E52
E79	CNN_LE_20030504.1200.01-E53
E81	CNN_LE_20030504.1200.01-E54
E82	CNN_LE_20030504.1200.01-E55
E3	CNN_LE_20030504.1200.01-E56
E4	CNN_LE_20030504.1200.01-E57
E5	CNN_LE_20030504.1200.01-E58
E6	CNN_LE_20030504.1200.01-E59
E7	CNN_LE_20030504.1200.01-E60
E8	CNN_LE_20030504.1200.01-E61
E9	CNN_LE_20030504.1200.01-E62
E10	CNN_LE_20030504.1200.01-E63
E11	CNN_LE_20030504.1200.01-E64
E12	CNN_LE_20030504.1200.01-E65
E13	CNN_LE_20030504.1200.01-E66
E14	CNN_LE_20030504.1200.01-E67
EM1	CNN_LE_20030504.1200.01-E9-1
EM18	CNN_LE_20030504.1200.01-E56-2
EM19	CNN_LE_20030504.1200.01-E65-3
EM20	CNN_LE_20030504.1200.01-E1-4
EM21	CNN_LE_20030504.1200.01-E56-5
EM22	CNN_LE_20030504.1200.01-E48-6
EM23	CNN_LE_20030504.1200.01-E65-7
EM24	CNN_LE_20030504.1200.01-E2-8
EM25	CNN_LE_20030504.1200.01-E56-9
EM26	CNN_LE_20030504.1200.01-E65-10
EM27	CNN_LE_20030504.1200.01-E3-11
EM28	CNN_LE_20030504.1200.01-E4-12
EM29	CNN_LE_20030504.1200.01-E56-13
EM30	CNN_LE_20030504.1200.01-E56-14
EM31	CNN_LE_20030504.1200.01-E56-15
EM32	CNN_LE_20030504.1200.01-E56-16
EM33	CNN_LE_20030504.1200.01-E56-17
EM34	CNN_LE_20030504.1200.01-E56-18
EM35	CNN_LE_20030504.1200.01-E56-19
EM36	CNN_LE_20030504.1200.01-E56-20
EM37	CNN_LE_20030504.1200.01-E56-21
EM38	CNN_LE_20030504.1200.01-E56-22
EM39	CNN_LE_20030504.1200.01-E56-23
EM40	CNN_LE_20030504.1200.01-E56-24
EM41	CNN_LE_20030504.1200.01-E56-25
EM42	CNN_LE_20030504.1200.01-E56-26
EM43	CNN_LE_20030504.1200.01-E56-27
EM44	CNN_LE_20030504.1200.01-E56-28
EM45	CNN_LE_20030504.1200.01-E56-29
EM46	CNN_LE_20030504.1200.01-E56-30
EM47	CNN_LE_20030504.1200.01-E65-31
EM48	CNN_LE_20030504.1200.01-E5-32
EM49	CNN_LE_20030504.1200.01-E65-33
EM50	CNN_LE_20030504.1200.01-E67-34
EM51	CNN_LE_20030504.1200.01-E65-35
EM52	CNN_LE_20030504.1200.01-E65-36
EM53	CNN_LE_20030504.1200.01-E65-37
EM54	CNN_LE_20030504.1200.01-E65-38
EM55	CNN_LE_20030504.1200.01-E61-39
EM56	CNN_LE_20030504.1200.01-E61-40
EM57	CNN_LE_20030504.1200.01-E61-41
EM58	CNN_LE_20030504.1200.01-E61-42
EM59	CNN_LE_20030504.1200.01-E61-43
EM60	CNN_LE_20030504.1200.01-E61-44
EM61	CNN_LE_20030504.1200.01-E61-45
EM62	CNN_LE_20030504.1200.01-E61-46
EM63	CNN_LE_20030504.1200.01-E6-47
EM64	CNN_LE_20030504.1200.01-E6-48
EM81	CNN_LE_20030504.1200.01-E7-49
EM68	CNN_LE_20030504.1200.01-E6-50
EM82	CNN_LE_20030504.1200.01-E12-51
EM70	CNN_LE_20030504.1200.01-E8-52
EM72	CNN_LE_20030504.1200.01-E11-53
EM73	CNN_LE_20030504.1200.01-E6-54
EM74	CNN_LE_20030504.1200.01-E48-55
EM75	CNN_LE_20030504.1200.01-E48-56
EM76	CNN_LE_20030504.1200.01-E48-57
EM77	CNN_LE_20030504.1200.01-E48-58
EM78	CNN_LE_20030504.1200.01-E56-59
EM79	CNN_LE_20030504.1200.01-E61-60
EM83	CNN_LE_20030504.1200.01-E13-61
EM84	CNN_LE_20030504.1200.01-E14-62
EM85	CNN_LE_20030504.1200.01-E15-63
EM86	CNN_LE_20030504.1200.01-E16-64
EM87	CNN_LE_20030504.1200.01-E17-65
EM88	CNN_LE_20030504.1200.01-E6-66
EM89	CNN_LE_20030504.1200.01-E18-67
EM90	CNN_LE_20030504.1200.01-E6-68
EM91	CNN_LE_20030504.1200.01-E19-69
EM150	CNN_LE_20030504.1200.01-E40-70
EM93	CNN_LE_20030504.1200.01-E20-71
EM94	CNN_LE_20030504.1200.01-E21-72
EM95	CNN_LE_20030504.1200.01-E20-73
EM96	CNN_LE_20030504.1200.01-E20-74
EM97	CNN_LE_20030504.1200.01-E22-75
EM98	CNN_LE_20030504.1200.01-E10-76
EM99	CNN_LE_20030504.1200.01-E10-77
EM100	CNN_LE_20030504.1200.01-E11-78
EM101	CNN_LE_20030504.1200.01-E20-79
EM102	CNN_LE_20030504.1200.01-E20-80
EM103	CNN_LE_20030504.1200.01-E22-81
EM104	CNN_LE_20030504.1200.01-E23-82
EM105	CNN_LE_20030504.1200.01-E24-83
EM106	CNN_LE_20030504.1200.01-E25-84
EM107	CNN_LE_20030504.1200.01-E26-85
EM108	CNN_LE_20030504.1200.01-E27-86
EM109	CNN_LE_20030504.1200.01-E28-87
EM110	CNN_LE_20030504.1200.01-E23-88
EM111	CNN_LE_20030504.1200.01-E23-89
EM112	CNN_LE_20030504.1200.01-E27-90
EM2	CNN_LE_20030504.1200.01-E48-91
EM113	CNN_LE_20030504.1200.01-E26-92
EM114	CNN_LE_20030504.1200.01-E23-93
EM115	CNN_LE_20030504.1200.01-E29-94
EM116	CNN_LE_20030504.1200.01-E30-95
EM117	CNN_LE_20030504.1200.01-E23-96
EM118	CNN_LE_20030504.1200.01-E31-97
EM119	CNN_LE_20030504.1200.01-E32-98
EM120	CNN_LE_20030504.1200.01-E31-99
EM121	CNN_LE_20030504.1200.01-E33-100
EM122	CNN_LE_20030504.1200.01-E58-101
EM123	CNN_LE_20030504.1200.01-E58-102
EM124	CNN_LE_20030504.1200.01-E34-103
EM125	CNN_LE_20030504.1200.01-E35-104
EM126	CNN_LE_20030504.1200.01-E35-105
EM127	CNN_LE_20030504.1200.01-E36-106
EM128	CNN_LE_20030504.1200.01-E35-107
EM129	CNN_LE_20030504.1200.01-E37-108
EM130	CNN_LE_20030504.1200.01-E38-109
EM131	CNN_LE_20030504.1200.01-E38-110
EM132	CNN_LE_20030504.1200.01-E58-111
EM133	CNN_LE_20030504.1200.01-E39-112
EM134	CNN_LE_20030504.1200.01-E58-113
EM135	CNN_LE_20030504.1200.01-E58-114
EM136	CNN_LE_20030504.1200.01-E58-115
EM138	CNN_LE_20030504.1200.01-E41-116
EM139	CNN_LE_20030504.1200.01-E42-117
EM140	CNN_LE_20030504.1200.01-E42-118
EM141	CNN_LE_20030504.1200.01-E42-119
EM142	CNN_LE_20030504.1200.01-E41-120
EM143	CNN_LE_20030504.1200.01-E29-121
EM144	CNN_LE_20030504.1200.01-E30-122
EM145	CNN_LE_20030504.1200.01-E58-123
EM146	CNN_LE_20030504.1200.01-E43-124
EM147	CNN_LE_20030504.1200.01-E43-125
EM148	CNN_LE_20030504.1200.01-E43-126
EM152	CNN_LE_20030504.1200.01-E44-127
EM153	CNN_LE_20030504.1200.01-E44-128
EM154	CNN_LE_20030504.1200.01-E45-129
EM155	CNN_LE_20030504.1200.01-E46-130
EM156	CNN_LE_20030504.1200.01-E47-131
EM157	CNN_LE_20030504.1200.01-E49-132
EM158	CNN_LE_20030504.1200.01-E50-133
EM160	CNN_LE_20030504.1200.01-E51-134
EM161	CNN_LE_20030504.1200.01-E46-135
EM162	CNN_LE_20030504.1200.01-E46-136
EM163	CNN_LE_20030504.1200.01-E46-137
EM164	CNN_LE_20030504.1200.01-E46-138
EM165	CNN_LE_20030504.1200.01-E52-139
EM166	CNN_LE_20030504.1200.01-E4-140
EM167	CNN_LE_20030504.1200.01-E53-141
EM168	CNN_LE_20030504.1200.01-E10-142
EM3	CNN_LE_20030504.1200.01-E56-143
EM169	CNN_LE_20030504.1200.01-E54-144
EM170	CNN_LE_20030504.1200.01-E55-145
EM4	CNN_LE_20030504.1200.01-E56-146
EM5	CNN_LE_20030504.1200.01-E57-147
EM6	CNN_LE_20030504.1200.01-E59-148
EM7	CNN_LE_20030504.1200.01-E48-149
EM8	CNN_LE_20030504.1200.01-E56-150
EM9	CNN_LE_20030504.1200.01-E60-151
EM10	CNN_LE_20030504.1200.01-E62-152
EM11	CNN_LE_20030504.1200.01-E61-153
EM12	CNN_LE_20030504.1200.01-E63-154
EM13	CNN_LE_20030504.1200.01-E64-155
EM14	CNN_LE_20030504.1200.01-E65-156
EM15	CNN_LE_20030504.1200.01-E66-157
EM16	CNN_LE_20030504.1200.01-E67-158
EM17	CNN_LE_20030504.1200.01-E56-159
R2	CNN_LE_20030504.1200.01-R1
R3	CNN_LE_20030504.1200.01-R2
R6	CNN_LE_20030504.1200.01-R3
R7	CNN_LE_20030504.1200.01-R4
R8	CNN_LE_20030504.1200.01-R5
R2	CNN_LE_20030504.1200.01-R6
R10	CNN_LE_20030504.1200.01-R7
R11	CNN_LE_20030504.1200.01-R8
R6	CNN_LE_20030504.1200.01-R9
R6	CNN_LE_20030504.1200.01-R10
R17	CNN_LE_20030504.1200.01-R11
R20	CNN_LE_20030504.1200.01-R12
RM2	CNN_LE_20030504.1200.01-R1-1
RM3	CNN_LE_20030504.1200.01-R2-1
RM4	CNN_LE_20030504.1200.01-R1-2
RM8	CNN_LE_20030504.1200.01-R4-1
RM9	CNN_LE_20030504.1200.01-R5-1
RM13	CNN_LE_20030504.1200.01-R7-1
RM14	CNN_LE_20030504.1200.01-R8-1
RM20	CNN_LE_20030504.1200.01-R3-1
RM21	CNN_LE_20030504.1200.01-R3-2
RM22	CNN_LE_20030504.1200.01-R11-1
RM23	CNN_LE_20030504.1200.01-R3-3
RM25	CNN_LE_20030504.1200.01-R12-1
V8	CNN_LE_20030504.1200.01-EV1
V9	CNN_LE_20030504.1200.01-EV2
V10	CNN_LE_20030504.1200.01-EV3
V11	CNN_LE_20030504.1200.01-EV4
V1	CNN_LE_20030504.1200.01-EV5
V2	CNN_LE_20030504.1200.01-EV6
V3	CNN_LE_20030504.1200.01-EV7
V4	CNN_LE_20030504.1200.01-EV8
V5	CNN_LE_20030504.1200.01-EV9
V7	CNN_LE_20030504.1200.01-EV10
VM14	CNN_LE_20030504.1200.01-EV1-1
VM15	CNN_LE_20030504.1200.01-EV2-1
VM16	CNN_LE_20030504.1200.01-EV3-1
VM17	CNN_LE_20030504.1200.01-EV4-1
VM1	CNN_LE_20030504.1200.01-EV5-1
VM2	CNN_LE_20030504.1200.01-EV5-2
VM3	CNN_LE_20030504.1200.01-EV6-1
VM4	CNN_LE_20030504.1200.01-EV7-1
VM5	CNN_LE_20030504.1200.01-EV8-1
VM6	CNN_LE_20030504.1200.01-EV9-1
VM8	CNN_LE_20030504.1200.01-EV9-2
VM9	CNN_LE_20030504.1200.01-EV9-3
VM11	CNN_LE_20030504.1200.01-EV10-1
VM12	CNN_LE_20030504.1200.01-EV5-3
VM13	CNN_LE_20030504.1200.01-EV8-2
Q1	CNN_LE_20030504.1200.01-T1
Q2	CNN_LE_20030504.1200.01-T2
Q3	CNN_LE_20030504.1200.01-T3
Q4	CNN_LE_20030504.1200.01-T4
Q5	CNN_LE_20030504.1200.01-T5
