CE7	CNN_LE_20030504.1200.02-2-CE1
CE9	CNN_LE_20030504.1200.02-2-CE2
CE10	CNN_LE_20030504.1200.02-2-CE3
CE11	CNN_LE_20030504.1200.02-2-CE4
CE12	CNN_LE_20030504.1200.02-2-CE5
CE13	CNN_LE_20030504.1200.02-2-CE6
CE14	CNN_LE_20030504.1200.02-2-CE7
CE15	CNN_LE_20030504.1200.02-2-CE8
CE16	CNN_LE_20030504.1200.02-2-CE9
CE17	CNN_LE_20030504.1200.02-2-CE10
CE18	CNN_LE_20030504.1200.02-2-CE11
CE19	CNN_LE_20030504.1200.02-2-CE12
CE20	CNN_LE_20030504.1200.02-2-CE13
CE21	CNN_LE_20030504.1200.02-2-CE14
CE22	CNN_LE_20030504.1200.02-2-CE15
CE24	CNN_LE_20030504.1200.02-2-CE16
CE25	CNN_LE_20030504.1200.02-2-CE17
CE26	CNN_LE_20030504.1200.02-2-CE18
CE27	CNN_LE_20030504.1200.02-2-CE19
CE28	CNN_LE_20030504.1200.02-2-CE20
CE1	CNN_LE_20030504.1200.02-2-CE21
CE31	CNN_LE_20030504.1200.02-2-CE22
CE32	CNN_LE_20030504.1200.02-2-CE23
CE33	CNN_LE_20030504.1200.02-2-CE24
CE34	CNN_LE_20030504.1200.02-2-CE25
CE35	CNN_LE_20030504.1200.02-2-CE26
CE36	CNN_LE_20030504.1200.02-2-CE27
CE37	CNN_LE_20030504.1200.02-2-CE28
CE38	CNN_LE_20030504.1200.02-2-CE29
CE39	CNN_LE_20030504.1200.02-2-CE30
CE40	CNN_LE_20030504.1200.02-2-CE31
CE41	CNN_LE_20030504.1200.02-2-CE32
CE42	CNN_LE_20030504.1200.02-2-CE33
CE43	CNN_LE_20030504.1200.02-2-CE34
CE2	CNN_LE_20030504.1200.02-2-CE35
CE3	CNN_LE_20030504.1200.02-2-CE36
CE4	CNN_LE_20030504.1200.02-2-CE37
CE5	CNN_LE_20030504.1200.02-2-CE38
CE6	CNN_LE_20030504.1200.02-2-CE39
E13	CNN_LE_20030504.1200.02-2-E1
E15	CNN_LE_20030504.1200.02-2-E2
E16	CNN_LE_20030504.1200.02-2-E3
E17	CNN_LE_20030504.1200.02-2-E4
E19	CNN_LE_20030504.1200.02-2-E5
E20	CNN_LE_20030504.1200.02-2-E6
E21	CNN_LE_20030504.1200.02-2-E7
E22	CNN_LE_20030504.1200.02-2-E8
E23	CNN_LE_20030504.1200.02-2-E9
E24	CNN_LE_20030504.1200.02-2-E10
E25	CNN_LE_20030504.1200.02-2-E11
E26	CNN_LE_20030504.1200.02-2-E12
E27	CNN_LE_20030504.1200.02-2-E13
E28	CNN_LE_20030504.1200.02-2-E14
E29	CNN_LE_20030504.1200.02-2-E15
E30	CNN_LE_20030504.1200.02-2-E16
E1	CNN_LE_20030504.1200.02-2-E17
E31	CNN_LE_20030504.1200.02-2-E18
E32	CNN_LE_20030504.1200.02-2-E19
E33	CNN_LE_20030504.1200.02-2-E20
E34	CNN_LE_20030504.1200.02-2-E21
E35	CNN_LE_20030504.1200.02-2-E22
E38	CNN_LE_20030504.1200.02-2-E23
E39	CNN_LE_20030504.1200.02-2-E24
E40	CNN_LE_20030504.1200.02-2-E25
E42	CNN_LE_20030504.1200.02-2-E26
E43	CNN_LE_20030504.1200.02-2-E27
E47	CNN_LE_20030504.1200.02-2-E28
E48	CNN_LE_20030504.1200.02-2-E29
E49	CNN_LE_20030504.1200.02-2-E30
E50	CNN_LE_20030504.1200.02-2-E31
E51	CNN_LE_20030504.1200.02-2-E32
E52	CNN_LE_20030504.1200.02-2-E33
E54	CNN_LE_20030504.1200.02-2-E34
E55	CNN_LE_20030504.1200.02-2-E35
E56	CNN_LE_20030504.1200.02-2-E36
E57	CNN_LE_20030504.1200.02-2-E37
E58	CNN_LE_20030504.1200.02-2-E38
E59	CNN_LE_20030504.1200.02-2-E39
E2	CNN_LE_20030504.1200.02-2-E40
E60	CNN_LE_20030504.1200.02-2-E41
E62	CNN_LE_20030504.1200.02-2-E42
E63	CNN_LE_20030504.1200.02-2-E43
E3	CNN_LE_20030504.1200.02-2-E44
E5	CNN_LE_20030504.1200.02-2-E45
E6	CNN_LE_20030504.1200.02-2-E46
E7	CNN_LE_20030504.1200.02-2-E47
E8	CNN_LE_20030504.1200.02-2-E48
E9	CNN_LE_20030504.1200.02-2-E49
E10	CNN_LE_20030504.1200.02-2-E50
E11	CNN_LE_20030504.1200.02-2-E51
E12	CNN_LE_20030504.1200.02-2-E52
EM1	CNN_LE_20030504.1200.02-2-E40-1
EM22	CNN_LE_20030504.1200.02-2-E46-2
EM23	CNN_LE_20030504.1200.02-2-E46-3
EM24	CNN_LE_20030504.1200.02-2-E46-4
EM25	CNN_LE_20030504.1200.02-2-E46-5
EM26	CNN_LE_20030504.1200.02-2-E46-6
EM27	CNN_LE_20030504.1200.02-2-E1-7
EM28	CNN_LE_20030504.1200.02-2-E17-8
EM29	CNN_LE_20030504.1200.02-2-E17-9
EM30	CNN_LE_20030504.1200.02-2-E17-10
EM31	CNN_LE_20030504.1200.02-2-E17-11
EM32	CNN_LE_20030504.1200.02-2-E17-12
EM33	CNN_LE_20030504.1200.02-2-E17-13
EM34	CNN_LE_20030504.1200.02-2-E17-14
EM35	CNN_LE_20030504.1200.02-2-E17-15
EM36	CNN_LE_20030504.1200.02-2-E50-16
EM37	CNN_LE_20030504.1200.02-2-E2-17
EM38	CNN_LE_20030504.1200.02-2-E3-18
EM40	CNN_LE_20030504.1200.02-2-E44-19
EM41	CNN_LE_20030504.1200.02-2-E4-20
EM42	CNN_LE_20030504.1200.02-2-E5-21
EM43	CNN_LE_20030504.1200.02-2-E6-22
EM44	CNN_LE_20030504.1200.02-2-E7-23
EM45	CNN_LE_20030504.1200.02-2-E8-24
EM46	CNN_LE_20030504.1200.02-2-E9-25
EM47	CNN_LE_20030504.1200.02-2-E10-26
EM48	CNN_LE_20030504.1200.02-2-E10-27
EM49	CNN_LE_20030504.1200.02-2-E11-28
EM50	CNN_LE_20030504.1200.02-2-E10-29
